Entity,Code,Year,Ozone concentration (parts per billion)
Russia,RUS,1990,49
Russia,RUS,1995,48
Russia,RUS,2000,48
Russia,RUS,2005,48
Russia,RUS,2010,48
Russia,RUS,2013,48
Russia,RUS,2015,48
Rwanda,RWA,1990,52
Rwanda,RWA,1995,52
Rwanda,RWA,2000,52
Rwanda,RWA,2005,52
Rwanda,RWA,2010,52
Rwanda,RWA,2013,52
Rwanda,RWA,2015,52
Saint Lucia,LCA,1990,39
Saint Lucia,LCA,1995,39
Saint Lucia,LCA,2000,39
Saint Lucia,LCA,2005,40
Saint Lucia,LCA,2010,40
Saint Lucia,LCA,2013,40
Saint Lucia,LCA,2015,40
Saint Vincent and the Grenadines,VCT,1990,39
Saint Vincent and the Grenadines,VCT,1995,39
Saint Vincent and the Grenadines,VCT,2000,39
Saint Vincent and the Grenadines,VCT,2005,39
Saint Vincent and the Grenadines,VCT,2010,39
Saint Vincent and the Grenadines,VCT,2013,40
Saint Vincent and the Grenadines,VCT,2015,39
Samoa,WSM,1990,31
Samoa,WSM,1995,31
Samoa,WSM,2000,31
Samoa,WSM,2005,31
Samoa,WSM,2010,31
Samoa,WSM,2013,31
Samoa,WSM,2015,31
Sao Tome and Principe,STP,1990,53
Sao Tome and Principe,STP,1995,54
Sao Tome and Principe,STP,2000,54
Sao Tome and Principe,STP,2005,54
Sao Tome and Principe,STP,2010,54
Sao Tome and Principe,STP,2013,54
Sao Tome and Principe,STP,2015,55
Saudi Arabia,SAU,1990,63
Saudi Arabia,SAU,1995,65
Saudi Arabia,SAU,2000,66
Saudi Arabia,SAU,2005,67
Saudi Arabia,SAU,2010,68
Saudi Arabia,SAU,2013,69
Saudi Arabia,SAU,2015,69
Senegal,SEN,1990,44
Senegal,SEN,1995,44
Senegal,SEN,2000,45
Senegal,SEN,2005,45
Senegal,SEN,2010,45
Senegal,SEN,2013,45
Senegal,SEN,2015,45
Serbia,SRB,1990,64
Serbia,SRB,1995,63
Serbia,SRB,2000,63
Serbia,SRB,2005,62
Serbia,SRB,2010,62
Serbia,SRB,2013,61
Serbia,SRB,2015,61
Seychelles,SYC,1990,33
Seychelles,SYC,1995,33
Seychelles,SYC,2000,33
Seychelles,SYC,2005,33
Seychelles,SYC,2010,34
Seychelles,SYC,2013,34
Seychelles,SYC,2015,34
Sierra Leone,SLE,1990,57
Sierra Leone,SLE,1995,58
Sierra Leone,SLE,2000,58
Sierra Leone,SLE,2005,58
Sierra Leone,SLE,2010,58
Sierra Leone,SLE,2013,58
Sierra Leone,SLE,2015,58
Singapore,SGP,1990,67
Singapore,SGP,1995,57
Singapore,SGP,2000,50
Singapore,SGP,2005,50
Singapore,SGP,2010,52
Singapore,SGP,2013,54
Singapore,SGP,2015,56
Slovakia,SVK,1990,62
Slovakia,SVK,1995,62
Slovakia,SVK,2000,61
Slovakia,SVK,2005,61
Slovakia,SVK,2010,60
Slovakia,SVK,2013,60
Slovakia,SVK,2015,60
Slovenia,SVN,1990,68
Slovenia,SVN,1995,67
Slovenia,SVN,2000,66
Slovenia,SVN,2005,66
Slovenia,SVN,2010,65
Slovenia,SVN,2013,64
Slovenia,SVN,2015,64
Solomon Islands,SLB,1990,27
Solomon Islands,SLB,1995,26
Solomon Islands,SLB,2000,26
Solomon Islands,SLB,2005,27
Solomon Islands,SLB,2010,27
Solomon Islands,SLB,2013,28
Solomon Islands,SLB,2015,28
Somalia,SOM,1990,40
Somalia,SOM,1995,40
Somalia,SOM,2000,40
Somalia,SOM,2005,40
Somalia,SOM,2010,40
Somalia,SOM,2013,40
Somalia,SOM,2015,40
South Africa,ZAF,1990,50
South Africa,ZAF,1995,50
South Africa,ZAF,2000,51
South Africa,ZAF,2005,52
South Africa,ZAF,2010,52
South Africa,ZAF,2013,53
South Africa,ZAF,2015,53
South Korea,KOR,1990,66
South Korea,KOR,1995,63
South Korea,KOR,2000,61
South Korea,KOR,2005,62
South Korea,KOR,2010,65
South Korea,KOR,2013,67
South Korea,KOR,2015,68
South Sudan,SSD,1990,65
South Sudan,SSD,1995,65
South Sudan,SSD,2000,65
South Sudan,SSD,2005,65
South Sudan,SSD,2010,64
South Sudan,SSD,2013,64
South Sudan,SSD,2015,64
Spain,ESP,1990,65
Spain,ESP,1995,65
Spain,ESP,2000,65
Spain,ESP,2005,64
Spain,ESP,2010,63
Spain,ESP,2013,62
Spain,ESP,2015,61
Sri Lanka,LKA,1990,46
Sri Lanka,LKA,1995,46
Sri Lanka,LKA,2000,47
Sri Lanka,LKA,2005,49
Sri Lanka,LKA,2010,51
Sri Lanka,LKA,2013,53
Sri Lanka,LKA,2015,54
Sudan,SDN,1990,50
Sudan,SDN,1995,51
Sudan,SDN,2000,51
Sudan,SDN,2005,51
Sudan,SDN,2010,51
Sudan,SDN,2013,51
Sudan,SDN,2015,51
Suriname,SUR,1990,33
Suriname,SUR,1995,33
Suriname,SUR,2000,33
Suriname,SUR,2005,33
Suriname,SUR,2010,34
Suriname,SUR,2013,34
Suriname,SUR,2015,34
Swaziland,SWZ,1990,48
Swaziland,SWZ,1995,48
Swaziland,SWZ,2000,49
Swaziland,SWZ,2005,49
Swaziland,SWZ,2010,50
Swaziland,SWZ,2013,51
Swaziland,SWZ,2015,51
Sweden,SWE,1990,47
Sweden,SWE,1995,47
Sweden,SWE,2000,47
Sweden,SWE,2005,46
Sweden,SWE,2010,46
Sweden,SWE,2013,46
Sweden,SWE,2015,46
Switzerland,CHE,1990,64
Switzerland,CHE,1995,63
Switzerland,CHE,2000,62
Switzerland,CHE,2005,61
Switzerland,CHE,2010,60
Switzerland,CHE,2013,59
Switzerland,CHE,2015,59
Syria,SYR,1990,68
Syria,SYR,1995,69
Syria,SYR,2000,70
Syria,SYR,2005,70
Syria,SYR,2010,70
Syria,SYR,2013,70
Syria,SYR,2015,70
Taiwan,TWN,1990,59
Taiwan,TWN,1995,59
Taiwan,TWN,2000,60
Taiwan,TWN,2005,63
Taiwan,TWN,2010,66
Taiwan,TWN,2013,68
Taiwan,TWN,2015,69
Tajikistan,TJK,1990,64
Tajikistan,TJK,1995,64
Tajikistan,TJK,2000,64
Tajikistan,TJK,2005,64
Tajikistan,TJK,2010,64
Tajikistan,TJK,2013,64
Tajikistan,TJK,2015,64
Tanzania,TZA,1990,45
Tanzania,TZA,1995,45
Tanzania,TZA,2000,45
Tanzania,TZA,2005,46
Tanzania,TZA,2010,46
Tanzania,TZA,2013,47
Tanzania,TZA,2015,47
Thailand,THA,1990,48
Thailand,THA,1995,50
Thailand,THA,2000,51
Thailand,THA,2005,53
Thailand,THA,2010,56
Thailand,THA,2013,58
Thailand,THA,2015,59
Timor-Leste,,1990,40
Timor-Leste,,1995,39
Timor-Leste,,2000,38
Timor-Leste,,2005,38
Timor-Leste,,2010,37
Timor-Leste,,2013,37
Timor-Leste,,2015,37
Togo,TGO,1990,71
Togo,TGO,1995,72
Togo,TGO,2000,72
Togo,TGO,2005,73
Togo,TGO,2010,72
Togo,TGO,2013,72
Togo,TGO,2015,72
Tonga,TON,1990,38
Tonga,TON,1995,38
Tonga,TON,2000,38
Tonga,TON,2005,38
Tonga,TON,2010,38
Tonga,TON,2013,39
Tonga,TON,2015,39
Trinidad and Tobago,TTO,1990,38
Trinidad and Tobago,TTO,1995,39
Trinidad and Tobago,TTO,2000,39
Trinidad and Tobago,TTO,2005,39
Trinidad and Tobago,TTO,2010,39
Trinidad and Tobago,TTO,2013,39
Trinidad and Tobago,TTO,2015,39
Tunisia,TUN,1990,66
Tunisia,TUN,1995,67
Tunisia,TUN,2000,67
Tunisia,TUN,2005,67
Tunisia,TUN,2010,67
Tunisia,TUN,2013,67
Tunisia,TUN,2015,67
Turkey,TUR,1990,67
Turkey,TUR,1995,67
Turkey,TUR,2000,67
Turkey,TUR,2005,67
Turkey,TUR,2010,67
Turkey,TUR,2013,67
Turkey,TUR,2015,67
Turkmenistan,TKM,1990,59
Turkmenistan,TKM,1995,59
Turkmenistan,TKM,2000,58
Turkmenistan,TKM,2005,58
Turkmenistan,TKM,2010,58
Turkmenistan,TKM,2013,58
Turkmenistan,TKM,2015,59
Uganda,UGA,1990,52
Uganda,UGA,1995,51
Uganda,UGA,2000,51
Uganda,UGA,2005,51
Uganda,UGA,2010,51
Uganda,UGA,2013,51
Uganda,UGA,2015,51
Ukraine,UKR,1990,60
Ukraine,UKR,1995,59
Ukraine,UKR,2000,58
Ukraine,UKR,2005,58
Ukraine,UKR,2010,57
Ukraine,UKR,2013,57
Ukraine,UKR,2015,57
United Arab Emirates,ARE,1990,89
United Arab Emirates,ARE,1995,93
United Arab Emirates,ARE,2000,97
United Arab Emirates,ARE,2005,99
United Arab Emirates,ARE,2010,101
United Arab Emirates,ARE,2013,102
United Arab Emirates,ARE,2015,102
United Kingdom,GBR,1990,41
United Kingdom,GBR,1995,43
United Kingdom,GBR,2000,45
United Kingdom,GBR,2005,47
United Kingdom,GBR,2010,48
United Kingdom,GBR,2013,49
United Kingdom,GBR,2015,49
United States,USA,1990,70
United States,USA,1995,70
United States,USA,2000,70
United States,USA,2005,69
United States,USA,2010,68
United States,USA,2013,67
United States,USA,2015,67
Uruguay,URY,1990,34
Uruguay,URY,1995,35
Uruguay,URY,2000,35
Uruguay,URY,2005,36
Uruguay,URY,2010,37
Uruguay,URY,2013,38
Uruguay,URY,2015,38
Uzbekistan,UZB,1990,64
Uzbekistan,UZB,1995,63
Uzbekistan,UZB,2000,63
Uzbekistan,UZB,2005,63
Uzbekistan,UZB,2010,63
Uzbekistan,UZB,2013,63
Uzbekistan,UZB,2015,63
Vanuatu,VUT,1990,37
Vanuatu,VUT,1995,37
Vanuatu,VUT,2000,37
Vanuatu,VUT,2005,36
Vanuatu,VUT,2010,35
Vanuatu,VUT,2013,37
Vanuatu,VUT,2015,37
Venezuela,VEN,1990,40
Venezuela,VEN,1995,40
Venezuela,VEN,2000,42
Venezuela,VEN,2005,43
Venezuela,VEN,2010,45
Venezuela,VEN,2013,47
Venezuela,VEN,2015,48
Vietnam,VNM,1990,46
Vietnam,VNM,1995,47
Vietnam,VNM,2000,48
Vietnam,VNM,2005,50
Vietnam,VNM,2010,53
Vietnam,VNM,2013,54
Vietnam,VNM,2015,56
Yemen,YEM,1990,50
Yemen,YEM,1995,51
Yemen,YEM,2000,52
Yemen,YEM,2005,53
Yemen,YEM,2010,53
Yemen,YEM,2013,53
Yemen,YEM,2015,54
Zambia,ZMB,1990,58
Zambia,ZMB,1995,59
Zambia,ZMB,2000,59
Zambia,ZMB,2005,60
Zambia,ZMB,2010,62
Zambia,ZMB,2013,63
Zambia,ZMB,2015,64
Zimbabwe,ZWE,1990,53
Zimbabwe,ZWE,1995,53
Zimbabwe,ZWE,2000,53
Zimbabwe,ZWE,2005,54
Zimbabwe,ZWE,2010,56
Zimbabwe,ZWE,2013,57
Zimbabwe,ZWE,2015,57
