Entity,Code,Year,All staff compensation as % of total expenditure in primary public institutions (%) (%)
Philippines,PHL,1998,94.9142608642578
Philippines,PHL,2000,79.553581237793
Philippines,PHL,2001,79.553581237793
Philippines,PHL,2002,89.2834777832031
Philippines,PHL,2003,93.0781021118164
Philippines,PHL,2004,91.2038116455078
Philippines,PHL,2005,91.8756103515625
Philippines,PHL,2007,83.2812805175781
Philippines,PHL,2008,74.1374664306641
Philippines,PHL,2009,79.3544235229492
Poland,POL,1998,68.8407363891602
Poland,POL,1999,68.3351821899414
Poland,POL,2002,67.9130935668945
Poland,POL,2003,70.3254318237305
Poland,POL,2004,69.3370208740234
Poland,POL,2005,68.2455062866211
Poland,POL,2006,88.8923797607422
Poland,POL,2007,66.553596496582
Poland,POL,2008,63.574878692627
Poland,POL,2009,64.6670913696289
Poland,POL,2010,64.3117218017578
Poland,POL,2011,67.6718368530273
Poland,POL,2012,68.1416778564453
Portugal,PRT,1998,93.6250076293945
Portugal,PRT,1999,93.9926986694336
Portugal,PRT,2000,94.9455718994141
Portugal,PRT,2001,94.5632629394531
Portugal,PRT,2002,96.732307434082
Portugal,PRT,2003,95.5053024291992
Portugal,PRT,2004,95.5177993774414
Portugal,PRT,2005,95.5961608886719
Portugal,PRT,2006,94.9334030151367
Portugal,PRT,2007,91.5876693725586
Portugal,PRT,2008,93.8688201904297
Portugal,PRT,2009,92.8168029785156
Portugal,PRT,2010,93.0268173217773
Portugal,PRT,2011,92.5907287597656
Puerto Rico,PRI,2013,63.2785301208496
Romania,ROU,1998,81.6662673950195
Romania,ROU,2001,79.858512878418
Romania,ROU,2002,78.7768936157227
Romania,ROU,2003,76.497688293457
Romania,ROU,2004,74.6900787353516
Romania,ROU,2005,75.4288101196289
Romania,ROU,2007,63.0270690917969
Romania,ROU,2009,82.7010726928711
Romania,ROU,2010,77.7276229858398
Romania,ROU,2011,72.1628036499023
Romania,ROU,2012,71.7816467285156
Romania,ROU,2013,73.8493118286133
Rwanda,RWA,2010,57.6052589416504
Rwanda,RWA,2011,60.6612510681152
Saint Kitts and Nevis,KNA,1998,41.2623481750488
Saint Kitts and Nevis,KNA,2013,74.6945877075195
Saint Lucia,LCA,1999,92.2736663818359
Saint Lucia,LCA,2004,90.088249206543
Saint Lucia,LCA,2006,88.0516204833984
Saint Lucia,LCA,2008,80.7768783569336
Saint Lucia,LCA,2013,74.0214996337891
Saint Lucia,LCA,2014,74.9299774169922
Saint Vincent and the Grenadines,VCT,2000,67.3804702758789
Saint Vincent and the Grenadines,VCT,2002,87.969841003418
Saint Vincent and the Grenadines,VCT,2004,64.6633911132813
Saint Vincent and the Grenadines,VCT,2005,76.8969116210938
Saint Vincent and the Grenadines,VCT,2007,100
Saint Vincent and the Grenadines,VCT,2009,100
Saint Vincent and the Grenadines,VCT,2010,89.7072830200195
Saint Vincent and the Grenadines,VCT,2011,98.7085418701172
San Marino,SMR,2010,93.424560546875
San Marino,SMR,2011,92.8883972167969
Sao Tome and Principe,STP,2012,44.4523086547852
Sao Tome and Principe,STP,2013,62.6972885131836
Sao Tome and Principe,STP,2014,86.3892822265625
Serbia,SRB,2007,76.6121520996094
Serbia,SRB,2008,78.1763076782227
Serbia,SRB,2009,80.7626724243164
Serbia,SRB,2010,80.6864166259766
Serbia,SRB,2011,80.3934326171875
Seychelles,SYC,2002,71.9532089233398
Seychelles,SYC,2003,69.4093475341797
Seychelles,SYC,2006,74.6110763549805
Seychelles,SYC,2011,92.1158599853516
Sierra Leone,SLE,2007,87.291633605957
Sierra Leone,SLE,2008,90.1689987182617
Sierra Leone,SLE,2009,81.602912902832
Sierra Leone,SLE,2010,83.8440017700195
Sierra Leone,SLE,2011,90.409797668457
Slovakia,SVK,1999,73.6570663452148
Slovakia,SVK,2000,67.4516220092773
Slovakia,SVK,2001,72.0416793823242
Slovakia,SVK,2002,71.816650390625
Slovakia,SVK,2003,63.6484184265137
Slovakia,SVK,2004,64.4606323242188
Slovakia,SVK,2005,62.9131393432617
Slovakia,SVK,2006,62.5476989746094
Slovakia,SVK,2007,67.3796615600586
Slovakia,SVK,2008,63.4827995300293
Slovakia,SVK,2009,59.3229484558105
Slovakia,SVK,2010,55.5657386779785
Slovakia,SVK,2011,60.6838684082031
Slovakia,SVK,2012,61.6483383178711
Slovakia,SVK,2013,64.4988632202148
Slovenia,SVN,2003,70.1032104492188
Slovenia,SVN,2004,72.2953720092773
Slovenia,SVN,2010,75.0415420532227
Slovenia,SVN,2011,75.1186370849609
Slovenia,SVN,2012,74.8403091430664
South Africa,ZAF,2001,92.3366165161133
South Africa,ZAF,2003,97.6312103271484
South Africa,ZAF,2004,87.0748062133789
South Africa,ZAF,2005,83.2654418945313
South Africa,ZAF,2006,78.3343124389648
South Africa,ZAF,2007,81.7855377197266
South Africa,ZAF,2008,81.1411895751953
South Africa,ZAF,2009,79.0250930786133
South Africa,ZAF,2010,78.2684631347656
South Africa,ZAF,2011,79.2146377563477
South Africa,ZAF,2012,76.5900573730469
South Africa,ZAF,2013,77.1590881347656
South Africa,ZAF,2014,78.4110565185547
South Korea,KOR,1998,67.4113616943359
South Korea,KOR,1999,72.816047668457
South Korea,KOR,2002,60.4857711791992
South Korea,KOR,2003,58.0483016967773
South Korea,KOR,2004,58.1063003540039
South Korea,KOR,2005,62.5597114562988
South Korea,KOR,2006,65.2893981933594
South Korea,KOR,2007,65.8398971557617
South Korea,KOR,2008,66.7068710327148
South Korea,KOR,2009,59.229621887207
South Korea,KOR,2012,60.8502616882324
South Korea,KOR,2013,62.4207992553711
Spain,ESP,1999,84.0198135375977
Spain,ESP,2000,84.2551422119141
Spain,ESP,2001,83.8187713623047
Spain,ESP,2002,82.5404205322266
Spain,ESP,2003,81.5102615356445
Spain,ESP,2004,79.8472595214844
Spain,ESP,2005,77.5753936767578
Spain,ESP,2006,75.8600387573242
Spain,ESP,2007,74.3538208007813
Spain,ESP,2008,74.552619934082
Spain,ESP,2009,75.2168426513672
Spain,ESP,2010,74.8936614990234
Spain,ESP,2011,74.8936614990234
Spain,ESP,2012,75.7249374389648
Spain,ESP,2013,76.1207275390625
Sri Lanka,LKA,2009,79.1720733642578
Sri Lanka,LKA,2010,82.8847198486328
Sri Lanka,LKA,2011,83.6835784912109
Sri Lanka,LKA,2012,80.0034103393555
Sri Lanka,LKA,2013,78.5463485717773
Sweden,SWE,1998,59.9157104492188
Sweden,SWE,1999,64.9285430908203
Sweden,SWE,2000,64.5665893554688
Sweden,SWE,2001,69.3171768188477
Sweden,SWE,2002,65.4224472045898
Sweden,SWE,2003,67.4331588745117
Sweden,SWE,2004,68.0748672485352
Sweden,SWE,2005,67.029541015625
Sweden,SWE,2006,66.2303314208984
Sweden,SWE,2007,66.1141510009766
Sweden,SWE,2008,65.8532104492188
Sweden,SWE,2009,65.5379180908203
Sweden,SWE,2010,64.8838577270508
Sweden,SWE,2011,65.0095977783203
Sweden,SWE,2012,64.996452331543
Sweden,SWE,2013,64.9291763305664
Switzerland,CHE,1998,73.808708190918
Switzerland,CHE,1999,75.629638671875
Switzerland,CHE,2000,75.8512115478516
Switzerland,CHE,2001,75.1633834838867
Switzerland,CHE,2002,74.8276977539063
Switzerland,CHE,2003,74.5705795288086
Switzerland,CHE,2004,75.9998931884766
Switzerland,CHE,2005,74.9794006347656
Switzerland,CHE,2006,75.3329620361328
Switzerland,CHE,2007,76.2958221435547
Switzerland,CHE,2008,75.3193511962891
Switzerland,CHE,2009,73.8120422363281
Switzerland,CHE,2010,75.2913436889648
Switzerland,CHE,2011,75.2874603271484
Switzerland,CHE,2012,74.8759002685547
Syria,SYR,1999,82.2394027709961
Syria,SYR,2000,80.0261001586914
Syria,SYR,2002,73.8285980224609
Thailand,THA,2010,82.1978378295898
Thailand,THA,2011,68.2641067504883
Thailand,THA,2012,88.6284103393555
Thailand,THA,2013,56.9240493774414
Timor,TLS,2007,53.3293991088867
Timor,TLS,2011,43.1913681030273
Timor,TLS,2012,63.413459777832
Timor,TLS,2013,55.9383506774902
Timor,TLS,2014,50.9794006347656
Togo,TGO,1998,66.7616729736328
Togo,TGO,1999,65.3449478149414
Togo,TGO,2000,70.6218032836914
Togo,TGO,2007,96.1298370361328
Togo,TGO,2008,90.5739593505859
Togo,TGO,2009,91.6064682006836
Togo,TGO,2010,77.8458099365234
Togo,TGO,2011,81.8655471801758
Togo,TGO,2012,73.6691513061523
Togo,TGO,2013,88.4385681152344
Togo,TGO,2014,94.8067398071289
Tunisia,TUN,1999,96.4346313476563
Tunisia,TUN,2000,96.0748977661133
Tunisia,TUN,2012,93.31787109375
Turkey,TUR,2010,86.2904205322266
Turkey,TUR,2011,85.9851913452148
Turks and Caicos Islands,TCA,1998,72.2221908569336
Turks and Caicos Islands,TCA,1999,44.4374618530273
Turks and Caicos Islands,TCA,2000,49.8679809570313
Turks and Caicos Islands,TCA,2001,48.8047714233398
Turks and Caicos Islands,TCA,2002,73.0924682617188
Turks and Caicos Islands,TCA,2005,84.4596099853516
Uganda,UGA,2004,64.8123931884766
Uganda,UGA,2009,77.5832977294922
Uganda,UGA,2010,76.1962509155273
Uganda,UGA,2011,76.4325637817383
Uganda,UGA,2012,76.4311828613281
Uganda,UGA,2013,81.1962280273438
United Arab Emirates,ARE,1998,83.6189193725586
United Arab Emirates,ARE,2006,76.9911727905273
United Arab Emirates,ARE,2009,84.0040512084961
United Arab Emirates,ARE,2011,82.5224075317383
United Arab Emirates,ARE,2012,84.1500625610352
United Arab Emirates,ARE,2013,86.2447128295898
United Kingdom,GBR,1998,68.3838272094727
United Kingdom,GBR,1999,69.2781066894531
United Kingdom,GBR,2000,71.5499801635742
United Kingdom,GBR,2001,69.4158935546875
United Kingdom,GBR,2002,69.9743728637695
United Kingdom,GBR,2003,69.6176910400391
United Kingdom,GBR,2004,63.3557815551758
United Kingdom,GBR,2005,71.2990570068359
United Kingdom,GBR,2006,61.483470916748
United Kingdom,GBR,2007,69.9930191040039
United Kingdom,GBR,2008,69.6092681884766
United Kingdom,GBR,2009,68.6466369628906
United Kingdom,GBR,2010,62.5759201049805
United Kingdom,GBR,2011,78.1023330688477
United Kingdom,GBR,2013,76.1722412109375
United States,USA,1998,73.4673309326172
United States,USA,1999,72.5372314453125
United States,USA,2000,71.7558670043945
United States,USA,2001,71.4026489257813
United States,USA,2002,71.4312591552734
United States,USA,2003,72.0509262084961
United States,USA,2004,72.0060577392578
United States,USA,2005,71.7939071655273
United States,USA,2006,71.2465515136719
United States,USA,2007,71.0880813598633
United States,USA,2008,71.6881484985352
United States,USA,2009,72.165901184082
United States,USA,2010,73.6161727905273
United States,USA,2011,74.1187515258789
United States,USA,2012,74.2036514282227
Uruguay,URY,1999,76.2856292724609
Uruguay,URY,2000,78.3861465454102
Uruguay,URY,2002,55.3030204772949
Uruguay,URY,2003,55.3053016662598
Uruguay,URY,2004,58.0114288330078
Uruguay,URY,2005,75.5275421142578
Uruguay,URY,2006,77.3344421386719
Uruguay,URY,2011,80.1700134277344
Vanuatu,VUT,1998,95.3297424316406
Vanuatu,VUT,1999,87.1073226928711
Vanuatu,VUT,2000,88.8726501464844
Vanuatu,VUT,2001,90.9615097045898
Vanuatu,VUT,2008,89.4593276977539
Vanuatu,VUT,2009,89.0250930786133
Venezuela,VEN,2009,80.5193786621094
Vietnam,VNM,2010,67.7689666748047
Vietnam,VNM,2011,66.1200180053711
Yemen,YEM,2013,84.4181976318359
Zambia,ZMB,2000,91.9018936157227
Zambia,ZMB,2004,93.7272491455078
