Entity,Code,Year,Indicator 2.2.2a: Prevalence of wasting in children under 5 (%) - Past - Unscaled (%)
Saint Lucia,LCA,2016,2.851
Saint Vincent and the Grenadines,VCT,1990,3.621
Saint Vincent and the Grenadines,VCT,1995,3.43
Saint Vincent and the Grenadines,VCT,2000,3.162
Saint Vincent and the Grenadines,VCT,2005,2.823
Saint Vincent and the Grenadines,VCT,2010,2.728
Saint Vincent and the Grenadines,VCT,2016,2.614
Samoa,WSM,1990,2.634
Samoa,WSM,1995,2.545
Samoa,WSM,2000,2.322
Samoa,WSM,2005,2.289
Samoa,WSM,2010,2.336
Samoa,WSM,2016,2.262
Sao Tome and Principe,STP,1990,6.134
Sao Tome and Principe,STP,1995,5.851
Sao Tome and Principe,STP,2000,6.415
Sao Tome and Principe,STP,2005,9.303
Sao Tome and Principe,STP,2010,7.845
Sao Tome and Principe,STP,2016,5.257
Saudi Arabia,SAU,1990,6.186
Saudi Arabia,SAU,1995,5.228
Saudi Arabia,SAU,2000,5.629
Saudi Arabia,SAU,2005,6.036
Saudi Arabia,SAU,2010,5.15
Saudi Arabia,SAU,2016,4.424
Senegal,SEN,1990,6.914
Senegal,SEN,1995,9.594
Senegal,SEN,2000,10.836
Senegal,SEN,2005,8.733
Senegal,SEN,2010,8.667
Senegal,SEN,2016,7.56
Serbia,SRB,1990,7.325
Serbia,SRB,1995,7.396
Serbia,SRB,2000,6.113
Serbia,SRB,2005,4.957
Serbia,SRB,2010,4.358
Serbia,SRB,2016,4.413
Seychelles,SYC,1990,3.64
Seychelles,SYC,1995,3.62
Seychelles,SYC,2000,3.776
Seychelles,SYC,2005,4.525
Seychelles,SYC,2010,4.568
Seychelles,SYC,2016,4.574
Sierra Leone,SLE,1990,10.431
Sierra Leone,SLE,1995,13.159
Sierra Leone,SLE,2000,12.377
Sierra Leone,SLE,2005,10.489
Sierra Leone,SLE,2010,9.112
Sierra Leone,SLE,2016,8.453
Singapore,SGP,1990,4.349
Singapore,SGP,1995,4.348
Singapore,SGP,2000,4.162
Singapore,SGP,2005,4.013
Singapore,SGP,2010,3.769
Singapore,SGP,2016,3.455
Slovakia,SVK,1990,3.993
Slovakia,SVK,1995,4.198
Slovakia,SVK,2000,4.419
Slovakia,SVK,2005,4.124
Slovakia,SVK,2010,3.729
Slovakia,SVK,2016,3.443
Slovenia,SVN,1990,3.984
Slovenia,SVN,1995,4.341
Slovenia,SVN,2000,4.493
Slovenia,SVN,2005,4.137
Slovenia,SVN,2010,3.759
Slovenia,SVN,2016,3.569
Solomon Islands,SLB,1990,8.022
Solomon Islands,SLB,1995,6.891
Solomon Islands,SLB,2000,5.401
Solomon Islands,SLB,2005,4.914
Solomon Islands,SLB,2010,4.841
Solomon Islands,SLB,2016,4.827
Somalia,SOM,1990,19.174
Somalia,SOM,1995,20.508
Somalia,SOM,2000,19.608
Somalia,SOM,2005,15.869
Somalia,SOM,2010,16.164
Somalia,SOM,2016,16.815
South Africa,ZAF,1990,7.09
South Africa,ZAF,1995,6.791
South Africa,ZAF,2000,5.978
South Africa,ZAF,2005,5.781
South Africa,ZAF,2010,5.502
South Africa,ZAF,2016,5.172
South Korea,KOR,1990,1.832
South Korea,KOR,1995,1.739
South Korea,KOR,2000,1.65
South Korea,KOR,2005,1.689
South Korea,KOR,2010,1.807
South Korea,KOR,2016,1.745
South Sudan,SSD,1990,20.557
South Sudan,SSD,1995,19.623
South Sudan,SSD,2000,20.796
South Sudan,SSD,2005,25.611
South Sudan,SSD,2010,22.649
South Sudan,SSD,2016,19.681
Spain,ESP,1990,1.273
Spain,ESP,1995,1.477
Spain,ESP,2000,1.512
Spain,ESP,2005,1.445
Spain,ESP,2010,1.422
Spain,ESP,2016,1.388
Sri Lanka,LKA,1990,17.219
Sri Lanka,LKA,1995,15.603
Sri Lanka,LKA,2000,16.421
Sri Lanka,LKA,2005,14.926
Sri Lanka,LKA,2010,12.735
Sri Lanka,LKA,2016,11.983
Sudan,SDN,1990,20.325
Sudan,SDN,1995,20.59
Sudan,SDN,2000,18.92
Sudan,SDN,2005,17.219
Sudan,SDN,2010,15.676
Sudan,SDN,2016,13.742
Suriname,SUR,1990,5.64
Suriname,SUR,1995,5.933
Suriname,SUR,2000,5.795
Suriname,SUR,2005,4.748
Suriname,SUR,2010,4.343
Suriname,SUR,2016,3.812
Swaziland,SWZ,1990,2.489
Swaziland,SWZ,1995,2.438
Swaziland,SWZ,2000,2.4
Swaziland,SWZ,2005,2.384
Swaziland,SWZ,2010,2.218
Swaziland,SWZ,2016,1.968
Sweden,SWE,1990,1.334
Sweden,SWE,1995,1.261
Sweden,SWE,2000,1.15
Sweden,SWE,2005,0.989
Sweden,SWE,2010,0.987
Sweden,SWE,2016,0.934
Switzerland,CHE,1990,1.25
Switzerland,CHE,1995,1.234
Switzerland,CHE,2000,1.112
Switzerland,CHE,2005,0.961
Switzerland,CHE,2010,0.962
Switzerland,CHE,2016,0.926
Syria,SYR,1990,12.215
Syria,SYR,1995,10.904
Syria,SYR,2000,9.061
Syria,SYR,2005,9.856
Syria,SYR,2010,9.961
Syria,SYR,2016,9.188
Taiwan,TWN,1990,2.561
Taiwan,TWN,1995,2.497
Taiwan,TWN,2000,2.287
Taiwan,TWN,2005,2.016
Taiwan,TWN,2010,1.926
Taiwan,TWN,2016,1.857
Tajikistan,TJK,1990,9.351
Tajikistan,TJK,1995,10.173
Tajikistan,TJK,2000,10.822
Tajikistan,TJK,2005,8.822
Tajikistan,TJK,2010,8.719
Tajikistan,TJK,2016,8.754
Tanzania,TZA,1990,8.283
Tanzania,TZA,1995,8.317
Tanzania,TZA,2000,6.492
Tanzania,TZA,2005,5.539
Tanzania,TZA,2010,5.768
Tanzania,TZA,2016,5.368
Thailand,THA,1990,7.676
Thailand,THA,1995,6.967
Thailand,THA,2000,5.718
Thailand,THA,2005,5.337
Thailand,THA,2010,6.408
Thailand,THA,2016,7.161
Timor,TLS,1990,19.901
Timor,TLS,1995,17.569
Timor,TLS,2000,16.361
Timor,TLS,2005,18.145
Timor,TLS,2010,18.226
Timor,TLS,2016,14.608
Togo,TGO,1990,7.033
Togo,TGO,1995,10.094
Togo,TGO,2000,11.769
Togo,TGO,2005,10.193
Togo,TGO,2010,7.748
Togo,TGO,2016,6.85
Tonga,TON,1990,8.555
Tonga,TON,1995,7.856
Tonga,TON,2000,7.002
Tonga,TON,2005,6.308
Tonga,TON,2010,5.716
Tonga,TON,2016,5.484
Trinidad and Tobago,TTO,1990,3.863
Trinidad and Tobago,TTO,1995,4.544
Trinidad and Tobago,TTO,2000,4.727
Trinidad and Tobago,TTO,2005,4.366
Trinidad and Tobago,TTO,2010,4.1
Trinidad and Tobago,TTO,2016,3.922
Tunisia,TUN,1990,5.824
Tunisia,TUN,1995,6.229
Tunisia,TUN,2000,4.802
Tunisia,TUN,2005,4.009
Tunisia,TUN,2010,3.673
Tunisia,TUN,2016,3.418
Turkey,TUR,1990,3.56
Turkey,TUR,1995,3.316
Turkey,TUR,2000,2.457
Turkey,TUR,2005,1.955
Turkey,TUR,2010,1.812
Turkey,TUR,2016,1.72
Turkmenistan,TKM,1990,8.843
Turkmenistan,TKM,1995,7.766
Turkmenistan,TKM,2000,7.22
Turkmenistan,TKM,2005,7.002
Turkmenistan,TKM,2010,5.803
Turkmenistan,TKM,2016,4.475
Uganda,UGA,1990,4.558
Uganda,UGA,1995,6.132
Uganda,UGA,2000,5.758
Uganda,UGA,2005,6.065
Uganda,UGA,2010,5.266
Uganda,UGA,2016,4.625
Ukraine,UKR,1990,6.623
Ukraine,UKR,1995,6.635
Ukraine,UKR,2000,6.537
Ukraine,UKR,2005,6.075
Ukraine,UKR,2010,5.52
Ukraine,UKR,2016,5.226
United Arab Emirates,ARE,1990,16.878
United Arab Emirates,ARE,1995,15.326
United Arab Emirates,ARE,2000,12.274
United Arab Emirates,ARE,2005,9.818
United Arab Emirates,ARE,2010,8.622
United Arab Emirates,ARE,2016,7.807
United Kingdom,GBR,1990,1.057
United Kingdom,GBR,1995,1.027
United Kingdom,GBR,2000,0.974
United Kingdom,GBR,2005,0.905
United Kingdom,GBR,2010,0.896
United Kingdom,GBR,2016,0.88
United States,USA,1990,0.674
United States,USA,1995,0.658
United States,USA,2000,0.64
United States,USA,2005,0.61
United States,USA,2010,0.594
United States,USA,2016,0.579
Uruguay,URY,1990,2.346
Uruguay,URY,1995,2.567
Uruguay,URY,2000,2.732
Uruguay,URY,2005,2.4
Uruguay,URY,2010,2.116
Uruguay,URY,2016,1.793
Uzbekistan,UZB,1990,12.01
Uzbekistan,UZB,1995,11.805
Uzbekistan,UZB,2000,8.606
Uzbekistan,UZB,2005,6.277
Uzbekistan,UZB,2010,5.42
Uzbekistan,UZB,2016,5.07
Vanuatu,VUT,1990,8.037
Vanuatu,VUT,1995,7.212
Vanuatu,VUT,2000,6.446
Vanuatu,VUT,2005,6.024
Vanuatu,VUT,2010,5.3
Vanuatu,VUT,2016,4.722
Venezuela,VEN,1990,4.576
Venezuela,VEN,1995,3.862
Venezuela,VEN,2000,4.001
Venezuela,VEN,2005,4.706
Venezuela,VEN,2010,4.974
Venezuela,VEN,2016,5.017
Vietnam,VNM,1990,10.825
Vietnam,VNM,1995,11.817
Vietnam,VNM,2000,10.365
Vietnam,VNM,2005,9.346
Vietnam,VNM,2010,6.557
Vietnam,VNM,2016,5.587
Yemen,YEM,1990,15.049
Yemen,YEM,1995,14.803
Yemen,YEM,2000,14.052
Yemen,YEM,2005,13.963
Yemen,YEM,2010,15.313
Yemen,YEM,2016,16.567
Zambia,ZMB,1990,6.099
Zambia,ZMB,1995,5.873
Zambia,ZMB,2000,6.052
Zambia,ZMB,2005,6.225
Zambia,ZMB,2010,5.879
Zambia,ZMB,2016,6.12
Zimbabwe,ZWE,1990,3.755
Zimbabwe,ZWE,1995,6.019
Zimbabwe,ZWE,2000,7.377
Zimbabwe,ZWE,2005,5.4
Zimbabwe,ZWE,2010,4.231
Zimbabwe,ZWE,2016,3.603
