Entity,Code,Year,Genuine saving ($),GSTFP ($),Net investment ($),Green investment ($)
Colombia,COL,1982,590.53,671.32,752.67,486.02
Colombia,COL,1983,609.83,689.31,757.22,498.42
Colombia,COL,1984,599.86,679.48,750.64,488.51
Colombia,COL,1985,689.01,768.67,832.88,579.67
Colombia,COL,1986,749.14,831,835.42,641.58
Colombia,COL,1987,645.46,729.26,792.83,544.34
Colombia,COL,1988,831.6,916.33,932.45,726.68
Colombia,COL,1989,764.85,849.99,885.94,650.05
Colombia,COL,1990,621.2,707.5,796.51,522.32
Colombia,COL,1991,559.03,644.75,705.6,466.29
Colombia,COL,1992,737.33,824.13,816.02,591.84
Colombia,COL,1993,1025.43,1114.7,1107.63,900.66
Colombia,COL,1994,960.69,1051.93,1033.72,819.32
Colombia,COL,1995,825.99,919.28,933.47,679.35
Colombia,COL,1996,843.29,936.14,983.99,688.97
Colombia,COL,1997,910.17,1003.48,1005.68,731.79
Colombia,COL,1998,696.09,787.52,726.99,541.8
Colombia,COL,1999,246.66,331.86,326.59,93.46
Colombia,COL,2000,-32.3,52.84,112.58,-195
France,FRA,1900,174.41,1175.58,165.24,154.34
France,FRA,1901,131.36,1083.92,120.88,110.08
France,FRA,1902,122.59,1136.81,110.78,100.96
France,FRA,1903,134.82,1181.92,123.71,113.7
France,FRA,1904,134.81,1194.05,119.68,112.82
France,FRA,1905,149.74,1252.04,129.26,126.06
France,FRA,1906,132.85,1290.27,107.76,107.85
France,FRA,1907,188.34,1330.74,169.6,163.71
France,FRA,1908,162.83,1195.46,146.34,137.66
France,FRA,1909,163.01,1225.46,145.36,136.87
France,FRA,1910,148,1148.96,133.73,121.75
France,FRA,1911,194.98,1145.55,180.22,169.65
France,FRA,1912,228.54,1194.82,214.55,203.31
France,FRA,1913,213.94,1147.91,199.3,188.29
France,FRA,1914,-161.67,627.14,-125.47,-187.7
France,FRA,1915,-187.86,461.27,-169.44,-211.16
France,FRA,1916,-177.37,563.41,-180.33,-199.99
France,FRA,1917,-280.82,448.85,-267.84,-303.6
France,FRA,1918,-251.37,384.14,-251.74,-276.81
France,FRA,1919,193.67,875.83,-17.46,158.3
France,FRA,1920,434.57,1268.87,416.28,404.39
France,FRA,1921,535.48,1247.53,508.88,499.43
France,FRA,1922,484.95,1237.14,467.25,443.09
France,FRA,1923,540.65,1228.98,524.54,500.31
France,FRA,1924,523.62,1097.77,518.7,486.57
France,FRA,1925,494.21,1020.64,511.05,452.89
France,FRA,1926,578.26,1082,583.68,541.08
France,FRA,1927,427.75,895.24,426.38,386
France,FRA,1928,574.72,1102.33,547.89,530.14
France,FRA,1929,657.5,1203.26,610.3,601.88
France,FRA,1930,508.91,1060.17,475.9,458.07
France,FRA,1931,446.83,993.14,396.4,390.84
France,FRA,1932,395.58,964.82,350.39,344.11
France,FRA,1933,465.18,1045.66,405.22,401.31
France,FRA,1934,318.61,908.51,259.96,252.06
France,FRA,1935,433.26,1034.04,375.58,361.33
France,FRA,1936,365.7,1069.85,321.78,292.23
France,FRA,1937,351.79,1142.18,310.46,285.53
France,FRA,1938,303.53,1100.55,269.68,237.69
France,FRA,1939,406.49,1145.62,485.88,342.85
France,FRA,1940,-695.5,-98.56,-726.47,-752.72
France,FRA,1941,-568.15,-82.23,-612.7,-624.5
France,FRA,1942,-358.87,77.05,-427.4,-418.71
France,FRA,1943,-80.66,329.64,-84.92,-141.17
France,FRA,1944,-231.61,268.9,-325.1,-293.78
France,FRA,1945,112.51,558.69,-50.83,36.99
France,FRA,1946,351.75,897.26,300.15,276.04
France,FRA,1947,624.87,1248.79,525.4,538.17
France,FRA,1948,497.08,1123.19,410.33,409.45
France,FRA,1949,585.45,1398.69,549.41,490.24
France,FRA,1950,679.74,1513.47,594.2,579.59
France,FRA,1951,744.6,1592.61,709.32,631.3
France,FRA,1952,761.48,1588.21,678.19,638.45
France,FRA,1953,648.84,1463.26,619.15,516.13
France,FRA,1954,745.34,1541.72,676.08,602.55
France,FRA,1955,966.54,1735.99,857.66,804
France,FRA,1956,987.84,1720.64,895.47,808
France,FRA,1957,1168.93,1909.22,992.03,963.24
France,FRA,1958,1197.78,1895.73,1066.19,980.08
France,FRA,1959,1126.23,1808.47,1009.59,886.27
France,FRA,1960,1243.03,1917.97,1057.21,973.29
France,FRA,1961,1350.54,2006.21,1161.51,1051.25
France,FRA,1962,1603.09,2256.1,1385.6,1258
France,FRA,1963,1602.46,2273.79,1306.12,1225.16
France,FRA,1964,1968.22,2680.86,1525.24,1548.76
France,FRA,1965,1962.18,2708.42,1582.17,1511.93
France,FRA,1966,2234.28,3034.97,1751,1753.81
France,FRA,1967,2361.82,3222.35,1840.52,1840.14
France,FRA,1968,2533.99,3445.1,1883.85,1978.03
France,FRA,1969,2548.57,3530.07,1991.48,1955.33
France,FRA,1970,2563.44,3588.68,1992.49,1933.3
France,FRA,1971,2604.87,3637.12,1978.1,1953.75
France,FRA,1972,2697.68,3734.08,2046.24,2040.95
France,FRA,1973,2873.97,3943.41,2247.77,2191.96
France,FRA,1974,2948.27,4003.6,2283.38,2196.55
France,FRA,1975,2262.78,3338.71,1612.97,1472.36
France,FRA,1976,2602.7,3764.34,1907.45,1777.79
France,FRA,1977,2497.46,3683.98,1836.83,1706.82
France,FRA,1978,2409.18,3644.57,1719.39,1595.46
France,FRA,1979,2495.59,3776.34,1802.18,1673.77
France,FRA,1980,2461.66,3774.82,1772.1,1639.6
France,FRA,1981,2066.22,3424.25,1367.86,1236.5
France,FRA,1982,2094.61,3515.18,1348.59,1220.66
France,FRA,1983,1825.22,3265.48,1070.25,950.74
France,FRA,1984,1731.18,3217.83,963.01,846.93
France,FRA,1985,1770.58,3328.95,974.9,874.22
France,FRA,1986,1938.96,3648.1,1096.98,1016.86
France,FRA,1987,2020.02,3834.71,1156.79,1095.52
France,FRA,1988,2286.23,4249.57,1392.56,1338.09
France,FRA,1989,2479.92,4589.72,1559.52,1506.73
France,FRA,1990,2662.82,4941.59,1701.37,1651.55
France,FRA,1991,2391.69,,1375.8,1333.01
France,FRA,1992,2128.36,,1035.69,997.47
France,FRA,1993,1788.9,,675.97,635.8
France,FRA,1994,1941,,797.82,759.35
France,FRA,1995,2258.1,,1090.92,1056.65
France,FRA,1996,1878.78,,703.2,674.28
France,FRA,1997,1683.13,,604.92,579.81
France,FRA,1998,2117.98,,992.93,980.74
France,FRA,1999,2053.66,,902.25,887.8
France,FRA,2000,2105.99,,953.53,941.29
Germany,DEU,1900,441.83,1066.72,433.87,390.09
Germany,DEU,1901,373.9,1061.79,362.14,313.13
Germany,DEU,1902,372.59,1088.55,356.13,308.97
Germany,DEU,1903,466.35,1234.35,449.52,400.5
Germany,DEU,1904,520.36,1347.61,501.5,452.44
Germany,DEU,1905,597.21,1445.96,578.56,530.37
Germany,DEU,1906,531.2,1436.73,520.72,466.76
Germany,DEU,1907,562.15,1452.49,550.5,496.13
Germany,DEU,1908,447.82,1409.86,436.58,374.91
Germany,DEU,1909,492.16,1540,476.84,412.88
Germany,DEU,1910,502.96,1595.63,481.5,420.08
Germany,DEU,1911,579.25,1743.3,553.94,491.53
Germany,DEU,1912,595.26,1756.51,580.38,510.63
Germany,DEU,1913,583.14,1788.12,569.58,493.69
Germany,DEU,1914,733.3,1880.67,704.78,651.46
Germany,DEU,1915,552.79,1527.01,537.63,477.32
Germany,DEU,1916,452.86,1557.44,450.36,381.67
Germany,DEU,1917,425.03,1555.89,436.09,365.85
Germany,DEU,1918,253.44,1409.61,264.75,208.85
Germany,DEU,1919,-9.77,1141.83,69.24,-39.91
Germany,DEU,1920,246.1,1575.37,303.67,235.32
Germany,DEU,1921,480,1918.83,519.4,473.47
Germany,DEU,1922,492.53,2053.78,583.28,485.85
Germany,DEU,1923,389.67,1776.24,382.85,382.85
Germany,DEU,1924,303.24,1878.5,368.54,296.27
Germany,DEU,1925,347.69,1552.94,300.66,264.13
Germany,DEU,1926,167.47,1458.18,116.96,76.55
Germany,DEU,1927,400.68,1742.34,342.51,304.83
Germany,DEU,1928,360.16,1766.38,297.42,257
Germany,DEU,1929,226.79,1668.21,165.58,117.61
Germany,DEU,1930,121,1556.55,55.73,13.49
Germany,DEU,1931,-102.21,1234.48,-165.76,-200.09
Germany,DEU,1932,-3.5,1220.47,-62.24,-94.6
Germany,DEU,1933,193.79,1495.4,131.73,101.77
Germany,DEU,1934,262.25,1694.79,209.16,169.09
Germany,DEU,1935,398.8,2036.19,341.16,304.4
Germany,DEU,1936,482.72,2381,426.07,383.48
Germany,DEU,1937,692.85,2829.37,639.91,588.34
Germany,DEU,1938,712.93,3080.66,660.14,604.77
Germany,DEU,1939,715.22,3163.31,664.79,608.2
Germany,DEU,1940,687.34,3528.44,641.26,581.16
Germany,DEU,1941,686.5,3931.08,646.43,580.94
Germany,DEU,1942,663.17,4071.54,611.91,558.49
Germany,DEU,1943,720.34,4371.37,671.23,615.03
Germany,DEU,1944,756.37,4120.13,680.59,650.24
Germany,DEU,1945,-2296.88,-124.8,-2379.8,-2407.55
Germany,DEU,1946,-715.18,477.36,-773.69,-788.41
Germany,DEU,1947,-747.59,626.3,-767.09,-805.63
Germany,DEU,1948,-765.22,825.42,-763.3,-817.96
Germany,DEU,1949,240.68,2109.9,273.43,188.48
Germany,DEU,1950,498,2455.4,536.08,422.47
Germany,DEU,1951,700.53,2794.37,733.66,607.57
Germany,DEU,1952,606.83,2817.29,623.18,505.56
Germany,DEU,1953,542.87,2809.18,559,426.5
Germany,DEU,1954,740.65,3205.12,772.11,607.63
Germany,DEU,1955,957.98,3636.59,993.68,818.19
Germany,DEU,1956,920.84,3701.47,947.45,761.3
Germany,DEU,1957,992.86,3879.4,972.57,819.55
Germany,DEU,1958,954.49,3877.84,919.61,767.94
Germany,DEU,1959,1180.28,4189.58,1146.81,983.63
Germany,DEU,1960,1171.56,4350.59,1121.2,967.82
Germany,DEU,1961,1451.86,4711.79,1375.95,1232.98
Germany,DEU,1962,1444.91,4769.68,1347.55,1212.17
Germany,DEU,1963,1422.44,4701.11,1283.4,1149.02
Germany,DEU,1964,1646.61,4995.37,1456.97,1339.94
Germany,DEU,1965,1657.45,5133.58,1408.48,1308.64
Germany,DEU,1966,1706.4,5213.44,1425.15,1340.63
Germany,DEU,1967,1648.83,4975.56,1350.02,1277.9
Germany,DEU,1968,1508.84,4755.77,1211.55,1139.75
Germany,DEU,1969,1989.2,5494.89,1637.14,1564.72
Germany,DEU,1970,1700.63,5113.85,1310.6,1239.57
Germany,DEU,1971,1820.56,5261.35,1351.64,1278.1
Germany,DEU,1972,1751.29,5155.92,1255.88,1192.76
Germany,DEU,1973,2150.37,6275.07,1487.23,1417.92
Germany,DEU,1974,2329.77,6509.07,1634.35,1541.11
Germany,DEU,1975,1776.96,5899.27,1083.6,958.3
Germany,DEU,1976,1877.86,6115.82,1198.85,1077.59
Germany,DEU,1977,1797.77,6054.96,1143.65,1039.66
Germany,DEU,1978,1824.36,6119.23,1160.89,1062.69
Germany,DEU,1979,2106.33,6482.54,1425.85,1318.92
Germany,DEU,1980,2125.14,6502.65,1428.78,1303.06
Germany,DEU,1981,1599.81,5927.82,916.77,771.32
Germany,DEU,1982,1439.24,5766.63,748.21,610.3
Germany,DEU,1983,1773.26,6173.41,1048.06,950.14
Germany,DEU,1984,1898.92,6324.56,1199.17,1096.6
Germany,DEU,1985,1964.48,6460.39,1250.62,1139.59
Germany,DEU,1986,2338.82,6954.73,1561.19,1496.43
Germany,DEU,1987,1910.06,6554.95,1080.2,1040.29
Germany,DEU,1988,2827.03,7577.12,1982.37,1952.65
Germany,DEU,1989,3043.69,7876.48,2206.17,2171.94
Germany,DEU,1990,2918.66,7969.21,2031.22,2002.6
Germany,DEU,1991,1789.11,6404.84,1058.6,1033.08
Germany,DEU,1992,1882.86,6511.82,1130.36,1119.71
Germany,DEU,1993,1904.16,6418.38,1157.63,1155.56
Germany,DEU,1994,1870.83,6428.36,1134.16,1128.25
Germany,DEU,1995,1813.53,6406.24,1046.87,1045.1
Germany,DEU,1996,1849.65,6459.03,1071.49,1069.45
Germany,DEU,1997,1941.97,6602.81,1167.55,1162.59
Germany,DEU,1998,1910.98,6634.94,1119.55,1117.57
Germany,DEU,1999,1951.69,6762.07,1144.6,1144.6
Germany,DEU,2000,2068.08,7022.93,1245.65,1236.24
Mexico,MEX,1900,-64.5,-17.97,4.5,-66.79
Mexico,MEX,1901,-88.15,-34.64,-5.06,-90.34
Mexico,MEX,1902,-63.18,-18.43,14.69,-65.12
Mexico,MEX,1903,-78.49,-24.45,5.87,-80.59
Mexico,MEX,1904,-76.04,-21.49,8.9,-78.52
Mexico,MEX,1905,-84.02,-19.3,26,-86.83
Mexico,MEX,1906,-36.74,23.74,82.54,-39.6
Mexico,MEX,1907,-41.15,23.93,80.85,-44.08
Mexico,MEX,1908,-73.28,-10.31,45.44,-77.86
Mexico,MEX,1909,-64.61,-0.05,50.34,-68.69
Mexico,MEX,1910,-43.08,20.11,71.41,-46.44
Mexico,MEX,1911,-93.87,-30.02,59.61,-97.93
Mexico,MEX,1912,-140.27,-75.33,20.83,-144.4
Mexico,MEX,1913,-204.61,-138.02,-10.74,-208.54
Mexico,MEX,1914,-229.93,-160.37,-56.69,-236.9
Mexico,MEX,1915,-207.04,-134.03,-81.82,-211.1
Mexico,MEX,1916,-300.88,-224.46,-68.45,-303.07
Mexico,MEX,1917,-374.69,-295.13,-53.97,-375.16
Mexico,MEX,1918,-398.82,-316.15,-53.56,-399.17
Mexico,MEX,1919,-409.74,-324.58,-16.74,-410.19
Mexico,MEX,1920,-725.49,-639.15,38.26,-726.05
Mexico,MEX,1921,-495.94,-409.3,110.54,-499.29
Mexico,MEX,1922,-572.27,-483.18,11.85,-588.09
Mexico,MEX,1923,-375.95,-282.32,5.96,-393.8
Mexico,MEX,1924,-427.67,-339.29,53.25,-436.29
Mexico,MEX,1925,-377.49,-279.96,46.15,-383.83
Mexico,MEX,1926,-325.95,-218.38,35.39,-333.42
Mexico,MEX,1927,-226.01,-129.68,42.15,-233.72
Mexico,MEX,1928,-188.76,-93.25,61.25,-197.19
Mexico,MEX,1929,-148.98,-63.38,115.68,-157.83
Mexico,MEX,1930,-67.44,5.38,96.24,-77.33
Mexico,MEX,1931,-99.06,-22.7,19.09,-109.43
Mexico,MEX,1932,-105.08,-50.99,-0.31,-115.02
Mexico,MEX,1933,-106.62,-40.54,6.69,-117.28
Mexico,MEX,1934,-116.67,-43.54,67.45,-127.66
Mexico,MEX,1935,-85.12,-3.48,83.51,-97.64
Mexico,MEX,1936,-77.01,14.86,74.82,-91.65
Mexico,MEX,1937,-25.17,68.05,166.35,-42.03
Mexico,MEX,1938,-106.74,-12.96,33.48,-120.88
Mexico,MEX,1939,-104.57,-3.64,38.6,-118.4
Mexico,MEX,1940,-95.29,5.01,55.9,-110.68
Mexico,MEX,1941,-55.62,54.2,106.85,-71.43
Mexico,MEX,1942,-95.96,23.11,45.04,-112.02
Mexico,MEX,1943,-74.98,45.39,55.71,-89.97
Mexico,MEX,1944,-11.53,119.63,114.92,-28.49
Mexico,MEX,1945,109.29,236.93,226.49,92.7
Mexico,MEX,1946,233.86,365.55,348.22,216.12
Mexico,MEX,1947,236.9,365.17,370.4,221.27
Mexico,MEX,1948,125.5,254.96,251.85,109.09
Mexico,MEX,1949,71.86,206.67,183.98,55.17
Mexico,MEX,1950,99.64,252.96,227.41,81.39
Mexico,MEX,1951,156.75,320.31,299.02,138.66
Mexico,MEX,1952,185.26,348.01,314.68,167.18
Mexico,MEX,1953,149.1,300.5,268.93,130.95
Mexico,MEX,1954,189.45,360.17,305.5,166.42
Mexico,MEX,1955,193.19,379.83,315.93,171.44
Mexico,MEX,1956,279.2,475.92,389.48,257.38
Mexico,MEX,1957,289.15,499.47,399.96,266.22
Mexico,MEX,1958,261.9,479.09,357.94,236.85
Mexico,MEX,1959,245.02,460.01,338.83,217.35
Mexico,MEX,1960,257.34,495.36,387.59,223.11
Mexico,MEX,1961,248.47,493.89,360.71,214.12
Mexico,MEX,1962,230.73,482.87,340.68,192.18
Mexico,MEX,1963,296.7,572.57,400.61,255.12
Mexico,MEX,1964,388.69,710.29,473.35,339.11
Mexico,MEX,1965,410.91,750.8,493.01,360.15
Mexico,MEX,1966,500.25,862.95,572.77,445.37
Mexico,MEX,1967,585.92,966.9,653.2,527.72
Mexico,MEX,1968,554.56,969.68,621.45,492.38
Mexico,MEX,1969,584.02,1021.4,640.58,512.91
Mexico,MEX,1970,749.99,1216.64,798.3,677.8
Mexico,MEX,1971,592.84,1064.04,738.03,509.75
Mexico,MEX,1972,708.34,1223.63,831.38,613.59
Mexico,MEX,1973,785.37,1343.78,893.67,679.57
Mexico,MEX,1974,730.21,1307.71,952.6,616.42
Mexico,MEX,1975,855.39,1447.73,1061.97,712.5
Mexico,MEX,1976,820.35,1416.27,1050.43,674.88
Mexico,MEX,1977,683.45,1279.48,950.24,509.68
Mexico,MEX,1978,779.53,1430.59,1091.86,601.2
Mexico,MEX,1979,718.53,1437.06,1313.96,525.62
Mexico,MEX,1980,365.68,1143.25,1359.08,184.28
Mexico,MEX,1981,620.48,1463.87,1562.59,403.52
Mexico,MEX,1982,301.26,1076.26,1238.66,93.2
Mexico,MEX,1983,-201.22,475.22,674.16,-347.04
Mexico,MEX,1984,-50.38,645.22,737.29,-187.71
Mexico,MEX,1985,137.96,836.72,803.35,1.95
Mexico,MEX,1986,366.08,984.55,668,268.2
Mexico,MEX,1987,220.36,837.21,636.59,148.94
Mexico,MEX,1988,354.88,960.25,632.03,262.99
Mexico,MEX,1989,330.58,959.8,637.9,223.41
Mexico,MEX,1990,377.62,1038.99,746.11,261.06
Mexico,MEX,1991,522.28,1216.58,838.59,398.8
Mexico,MEX,1992,663.36,1368.45,923.71,519.84
Mexico,MEX,1993,246.84,939.24,451.38,170.81
Mexico,MEX,1994,336.33,1044.45,512.51,256.12
Mexico,MEX,1995,54.86,649.98,244.3,-23.57
Mexico,MEX,1996,139.71,768.99,395.26,67.05
Mexico,MEX,1997,332.58,1009.92,564.92,252.53
Mexico,MEX,1998,533.81,1262.92,676.2,443.58
Mexico,MEX,1999,554.45,1284.41,710.77,448.31
Mexico,MEX,2000,576.65,1383.66,865.18,461.07
Switzerland,CHE,1900,575.42,1825.6,527.07,486.69
Switzerland,CHE,1901,655.09,1988.68,602.97,567.17
Switzerland,CHE,1902,551.3,1865.74,508.37,461.21
Switzerland,CHE,1903,430.42,1837.74,356.24,338.78
Switzerland,CHE,1904,422.62,1907.87,351.3,330.03
Switzerland,CHE,1905,387.37,2038.33,315.65,291.28
Switzerland,CHE,1906,610.97,2244.06,539.59,510.35
Switzerland,CHE,1907,514,2136.47,433.8,413.77
Switzerland,CHE,1908,679.67,2451.06,594.68,574.54
Switzerland,CHE,1909,567.71,2436.87,467.07,456.49
Switzerland,CHE,1910,587.62,2450.93,495.93,474.35
Switzerland,CHE,1911,634.89,2624.47,532.39,523.49
Switzerland,CHE,1912,551.87,2600.5,462.79,438.7
Switzerland,CHE,1913,664.72,2670.04,552.74,549.71
Switzerland,CHE,1914,1021.11,3103.52,895.41,902.48
Switzerland,CHE,1915,1311.01,3872.32,1160.72,1197.74
Switzerland,CHE,1916,1855.18,4412.95,1700.57,1745.45
Switzerland,CHE,1917,2212.63,4372.11,2096.46,2111.4
Switzerland,CHE,1918,2687.51,4879.39,2601.56,2609.29
Switzerland,CHE,1919,2616.6,5182.46,2524.09,2532.31
Switzerland,CHE,1920,1872.41,3928.75,1739.99,1778.92
Switzerland,CHE,1921,1084.7,3462.05,930.5,977.48
Switzerland,CHE,1922,809.36,3324.16,615.3,668.37
Switzerland,CHE,1923,884.44,3640.97,687.29,739.72
Switzerland,CHE,1924,1002.06,3935.2,804.51,858.16
Switzerland,CHE,1925,886.25,3968.44,675.23,737.94
Switzerland,CHE,1926,847.2,4250.56,628.3,691.36
Switzerland,CHE,1927,999.58,4629.91,759.85,835.91
Switzerland,CHE,1928,1007.16,4749.37,761.51,845.98
Switzerland,CHE,1929,1090.96,5018.04,859.17,928.67
Switzerland,CHE,1930,838.95,4720.77,586.03,666.71
Switzerland,CHE,1931,298.54,4053.31,57.6,121.88
Switzerland,CHE,1932,-257.48,3648,-517.2,-447.65
Switzerland,CHE,1933,-26.23,3846.23,-290.63,-227.58
Switzerland,CHE,1934,46.81,3733.34,-227.28,-159.01
Switzerland,CHE,1935,193.73,3874.59,-70.76,-15.25
Switzerland,CHE,1936,142.16,4130.83,-129.24,-69.32
Switzerland,CHE,1937,155.73,4009.63,-100.52,-46.12
Switzerland,CHE,1938,808.4,4739.36,557.49,607.38
Switzerland,CHE,1939,790.68,5078.75,497.51,577.73
Switzerland,CHE,1940,778.88,4891.04,475.06,551.58
Switzerland,CHE,1941,1220.42,5031.7,987.18,1001.36
Switzerland,CHE,1942,1598.04,5309.59,1381.7,1390.87
Switzerland,CHE,1943,2110.21,5916.48,1884.68,1896.4
Switzerland,CHE,1944,2252.84,6062.39,1994.07,2022.35
Switzerland,CHE,1945,2394.15,7015.74,2150.6,2157.35
Switzerland,CHE,1946,1120.28,5570.81,900.19,900.29
Switzerland,CHE,1947,1074.48,5411.35,795.96,855.79
Switzerland,CHE,1948,842.36,4859.92,544.54,608.49
Switzerland,CHE,1949,733.52,4865.98,350.91,485.22
Switzerland,CHE,1950,869.83,5132.41,492.83,584.63
Switzerland,CHE,1951,1304.07,5415.4,922.17,1040.2
Switzerland,CHE,1952,1440.82,5501.78,1085.17,1172.46
Switzerland,CHE,1953,1681.53,5776.29,1336.83,1409.83
Switzerland,CHE,1954,1922.8,6082.08,1562.58,1638.23
Switzerland,CHE,1955,2231.73,6450.36,1858.91,1942.81
Switzerland,CHE,1956,2452.39,6633.85,2044.02,2126.69
Switzerland,CHE,1957,2551.49,6458.11,2115.94,2211.67
Switzerland,CHE,1958,2288.81,6245.17,1861.88,1944.98
Switzerland,CHE,1959,2650.15,6668.08,2200.32,2286.49
Switzerland,CHE,1960,3194.84,7328.19,2747.54,2823.74
Switzerland,CHE,1961,3510.62,7569.41,3050,3121.99
Switzerland,CHE,1962,3468.12,7466.25,3024.61,3070.91
Switzerland,CHE,1963,3617.27,7574.16,3148.89,3210.15
Switzerland,CHE,1964,3902.1,7767.93,3405.21,3458.39
Switzerland,CHE,1965,3559.35,7326.81,3035,3097.29
Switzerland,CHE,1966,3621.05,7302.38,3067.26,3126.77
Switzerland,CHE,1967,3697.91,7311.84,3147.62,3188.82
Switzerland,CHE,1968,3891.21,7506.01,3292.06,3349.43
Switzerland,CHE,1969,4089.64,7730.05,3454.08,3511.63
Switzerland,CHE,1970,5111.7,8726.95,4392.54,4442.89
Switzerland,CHE,1971,5471.63,9027.43,4681.16,4727.46
Switzerland,CHE,1972,5644.32,9132.03,4808.69,4848.56
Switzerland,CHE,1973,5774.23,9149.95,4858.12,4900.08
Switzerland,CHE,1974,5722.75,8761.76,4770.84,4800.27
Switzerland,CHE,1975,4535.19,7470.43,3594.41,3617.57
Switzerland,CHE,1976,4263.67,7195.71,3285.25,3312.52
Switzerland,CHE,1977,4264.03,7133.03,3279.03,3303.17
Switzerland,CHE,1978,4331.39,7190.03,3368.51,3392.1
Switzerland,CHE,1979,4321.94,7223.35,3354.82,3369.39
Switzerland,CHE,1980,4562.42,7434.28,3560.46,3581.57
Switzerland,CHE,1981,4811.81,7579.52,3811.95,3832.31
Switzerland,CHE,1982,4487.12,7216.04,3488.64,3507.7
Switzerland,CHE,1983,4319.91,7089.16,3300.86,3309.58
Switzerland,CHE,1984,4890.92,7723.23,3868.03,3885.25
Switzerland,CHE,1985,5114.2,7967.82,4073.36,4091.63
Switzerland,CHE,1986,4996.78,7868.45,3932.93,3948.21
Switzerland,CHE,1987,4900.02,7842.86,3829.19,3849
Switzerland,CHE,1988,5462.69,8509.23,4347.58,4366.1
Switzerland,CHE,1989,5708.66,8846.65,4573.3,4596.38
Switzerland,CHE,1990,3918.79,6860.54,2796.22,2806.77
Switzerland,CHE,1991,3386.78,,2212.26,2224.63
Switzerland,CHE,1992,2932.71,,1713.43,1724.78
Switzerland,CHE,1993,3171.19,,1959.02,1971.54
Switzerland,CHE,1994,3310.74,,2106.32,2114.46
Switzerland,CHE,1995,3559.32,,2346.38,2356.51
Switzerland,CHE,1996,3416.34,,2201,2212.28
Switzerland,CHE,1997,4071.49,,2854.29,2865.21
Switzerland,CHE,1998,4341.97,,3101.86,3123.78
Switzerland,CHE,1999,4395.27,,3149.6,3168.81
Switzerland,CHE,2000,4935.51,,3689.88,3689.13
United Kingdom,GBR,1900,160.61,778.25,267.37,104.64
United Kingdom,GBR,1901,374.53,1008.13,437.92,316.87
United Kingdom,GBR,1902,316.34,963.9,331.23,256.36
United Kingdom,GBR,1903,335,985.44,326.78,273.78
United Kingdom,GBR,1904,392.08,1055.04,385.75,327.1
United Kingdom,GBR,1905,515.14,1202.18,500.94,443
United Kingdom,GBR,1906,486.66,1196.6,480.12,413.83
United Kingdom,GBR,1907,440.8,1172.05,469.36,366.54
United Kingdom,GBR,1908,405.13,1114.77,417.44,328.15
United Kingdom,GBR,1909,466.29,1204.5,453.98,385.67
United Kingdom,GBR,1910,473.25,1235.7,457.02,389.85
United Kingdom,GBR,1911,583.37,1377.16,560.58,494.08
United Kingdom,GBR,1912,520.16,1337.94,482.43,439.01
United Kingdom,GBR,1913,672.32,1533.37,659.81,588.09
United Kingdom,GBR,1914,238.54,1126.14,323.06,148.95
United Kingdom,GBR,1915,-182.65,766.13,-61.74,-262.83
United Kingdom,GBR,1916,-291.37,677.22,-159.15,-359.84
United Kingdom,GBR,1917,-205.77,777.67,-70.01,-260.63
United Kingdom,GBR,1918,-249.46,775.68,-141.81,-303.37
United Kingdom,GBR,1919,-139.71,823.06,-17.59,-190.42
United Kingdom,GBR,1920,49.8,998.05,223.25,-8.61
United Kingdom,GBR,1921,235.84,1105.39,167.57,150
United Kingdom,GBR,1922,205.56,1134.34,171.86,103.62
United Kingdom,GBR,1923,112.13,1087.33,170.8,9.33
United Kingdom,GBR,1924,138.97,1172.32,171.19,38.63
United Kingdom,GBR,1925,354.65,1440.12,346.15,251.29
United Kingdom,GBR,1926,89.29,1159.5,120.34,-19.28
United Kingdom,GBR,1927,352.22,1526.69,315.42,235.76
United Kingdom,GBR,1928,359.18,1565.63,304.83,238.93
United Kingdom,GBR,1929,340.06,1607.81,315.89,219.01
United Kingdom,GBR,1930,323.61,1599.4,297.91,198.32
United Kingdom,GBR,1931,54.65,1293.73,2.32,-81.38
United Kingdom,GBR,1932,62.7,1327.23,4.72,-77.26
United Kingdom,GBR,1933,46.27,1369.71,0,-85.55
United Kingdom,GBR,1934,208.36,1638.89,170.42,76.96
United Kingdom,GBR,1935,254.63,1757.03,208.19,119.48
United Kingdom,GBR,1936,225.03,1827.51,183.93,82.02
United Kingdom,GBR,1937,278.54,1956.1,247.66,133.81
United Kingdom,GBR,1938,305.7,2025.75,263.81,154.78
United Kingdom,GBR,1939,8.85,1810.44,0,-133.22
United Kingdom,GBR,1940,-507.89,1505.19,-491.93,-636.02
United Kingdom,GBR,1941,-655,1562.4,-632.76,-765.33
United Kingdom,GBR,1942,-693.26,1596.43,-666.73,-794.27
United Kingdom,GBR,1943,-674.55,1669.35,-629.31,-774.13
United Kingdom,GBR,1944,-907.04,1354.91,-854.74,-1005.88
United Kingdom,GBR,1945,-959.73,1221.11,-939.85,-1064.11
United Kingdom,GBR,1946,-128.68,2034.43,-81.73,-258.02
United Kingdom,GBR,1947,139.82,2281.29,150.8,-0.43
United Kingdom,GBR,1948,603,2811.67,508.87,450.61
United Kingdom,GBR,1949,532.05,2820.98,484.88,359.48
United Kingdom,GBR,1950,615.43,2985.4,523.78,423.87
