Entity,Code,Year, (% of children under 5 who received ORS packet)
Swaziland,SWZ,1989,85
Swaziland,SWZ,1996,63
Swaziland,SWZ,2000,66.3
Swaziland,SWZ,2007,85.5
Swaziland,SWZ,2010,57
Swaziland,SWZ,2014,84
Syrian Arab Republic,,1986,9
Syrian Arab Republic,,1987,31
Syrian Arab Republic,,1989,67
Syrian Arab Republic,,1993,29
Syrian Arab Republic,,2006,49.779894
Tajikistan,TJK,2000,35.3
Tajikistan,TJK,2005,48.4
Tajikistan,TJK,2009,72.6
Tajikistan,TJK,2012,60.3
Tanzania,TZA,1986,14
Tanzania,TZA,1987,14
Tanzania,TZA,1989,37
Tanzania,TZA,1992,57.4
Tanzania,TZA,1996,48.3
Tanzania,TZA,1999,54.9
Tanzania,TZA,2005,53.9
Tanzania,TZA,2010,44
Tanzania,TZA,2016,44.8
Thailand,THA,1986,31
Thailand,THA,1987,30
Thailand,THA,1989,40
Thailand,THA,1995,73.3000030517578
Thailand,THA,2006,56.593391
Thailand,THA,2012,57.8
Thailand,THA,2016,72.5
Timor,TLS,2003,59.6
Timor,TLS,2010,71
Togo,TGO,1986,9
Togo,TGO,1987,19
Togo,TGO,1989,33
Togo,TGO,1998,17.1
Togo,TGO,2000,12.9
Togo,TGO,2006,10.171393
Togo,TGO,2010,11.3
Togo,TGO,2014,18.6
Tonga,TON,1986,13
Tonga,TON,1987,13
Tonga,TON,1989,30
Trinidad and Tobago,TTO,1986,56
Trinidad and Tobago,TTO,1987,53.1
Trinidad and Tobago,TTO,1989,60
Trinidad and Tobago,TTO,2011,45.4
Tunisia,TUN,1986,27
Tunisia,TUN,1987,50
Tunisia,TUN,1989,63
Tunisia,TUN,2000,31.5
Tunisia,TUN,2006,54.6
Tunisia,TUN,2012,65.1
Turkey,TUR,1987,26
Turkey,TUR,1993,11.4
Turkey,TUR,1998,14.3
Turkmenistan,TKM,1995,57.7000007629395
Turkmenistan,TKM,2000,46.7
Turkmenistan,TKM,2006,40.1
Turkmenistan,TKM,2016,47.1
Tuvalu,TUV,2007,43.5
Uganda,UGA,1986,5
Uganda,UGA,1987,5
Uganda,UGA,1989,15
Uganda,UGA,1995,48.2
Uganda,UGA,2001,33.5
Uganda,UGA,2006,39.6
Uganda,UGA,2011,43.5
Uganda,UGA,2016,46.7
Ukraine,UKR,2012,59.2
United Arab Emirates,ARE,1986,9
United Arab Emirates,ARE,1987,13
United Arab Emirates,ARE,1989,24
United Arab Emirates,ARE,1995,39.9000015258789
Upper middle income,,1986,15.9239558985542
Upper middle income,,1987,17.5959979240631
Upper middle income,,1989,43.8728208900277
Uruguay,URY,1986,21
Uruguay,URY,1987,56
Uruguay,URY,1989,86
Uzbekistan,UZB,1996,31.3
Uzbekistan,UZB,2000,32
Uzbekistan,UZB,2006,27.8
Vanuatu,VUT,1986,6
Vanuatu,VUT,1987,31
Vanuatu,VUT,1989,42
Vanuatu,VUT,2007,23.2
Vanuatu,VUT,2013,47.6
Venezuela,VEN,1986,18
Venezuela,VEN,1987,28
Venezuela,VEN,1989,49
Venezuela,VEN,2000,37.7
Vietnam,VNM,1986,46
Vietnam,VNM,1987,50
Vietnam,VNM,1989,65
Vietnam,VNM,1997,39.7
Vietnam,VNM,2000,11.1
Vietnam,VNM,2002,40.4
Vietnam,VNM,2006,26.3
Vietnam,VNM,2011,46.5
Vietnam,VNM,2014,50.9
World,OWID_WRL,1986,20.0408328128156
World,OWID_WRL,1987,24.7713160413065
World,OWID_WRL,1989,34.7399287155611
Yemen,YEM,1986,11
Yemen,YEM,1987,7
Yemen,YEM,1989,6
Yemen,YEM,1992,26.4
Yemen,YEM,1997,32.4
Yemen,YEM,2006,32.7
Yemen,YEM,2013,25.3
Zambia,ZMB,1986,51
Zambia,ZMB,1987,59
Zambia,ZMB,1989,87
Zambia,ZMB,1992,52.9
Zambia,ZMB,1996,53.9
Zambia,ZMB,2002,53.2
Zambia,ZMB,2007,59.9
Zambia,ZMB,2014,64.1
Zimbabwe,ZWE,1986,26
Zimbabwe,ZWE,1987,26
Zimbabwe,ZWE,1989,77
Zimbabwe,ZWE,1994,79.2
Zimbabwe,ZWE,2006,5.6
Zimbabwe,ZWE,2009,31.7
Zimbabwe,ZWE,2011,20.9
Zimbabwe,ZWE,2014,43.4
Zimbabwe,ZWE,2015,40.5
