Entity,Code,Year,Cost of closing the poverty gap in int-$ 2011 (PovcalNet (World Bank) (2017)) ($)
Kiribati,KIR,2012,3326026
Kiribati,KIR,2013,3242112.5
Kosovo,OWID_KOS,1981,2902297.5
Kosovo,OWID_KOS,1984,2174122.5
Kosovo,OWID_KOS,1987,1456350
Kosovo,OWID_KOS,1990,1418901
Kosovo,OWID_KOS,1993,4508443.5
Kosovo,OWID_KOS,1996,5000135
Kosovo,OWID_KOS,1999,3295512
Kosovo,OWID_KOS,2002,2711585
Kosovo,OWID_KOS,2005,7589664
Kosovo,OWID_KOS,2008,4490412.5
Kosovo,OWID_KOS,2010,3579847
Kosovo,OWID_KOS,2011,1489638
Kosovo,OWID_KOS,2012,1129711.5
Kosovo,OWID_KOS,2013,2398123
Kyrgyzstan,KGZ,1981,0
Kyrgyzstan,KGZ,1984,0
Kyrgyzstan,KGZ,1987,0
Kyrgyzstan,KGZ,1990,218897033.5
Kyrgyzstan,KGZ,1993,702154880
Kyrgyzstan,KGZ,1996,634795918.5
Kyrgyzstan,KGZ,1999,257782271.99999997
Kyrgyzstan,KGZ,2002,301069155
Kyrgyzstan,KGZ,2005,109500876
Kyrgyzstan,KGZ,2008,27670650
Kyrgyzstan,KGZ,2010,41197367.5
Kyrgyzstan,KGZ,2011,8406607
Kyrgyzstan,KGZ,2012,28789959
Kyrgyzstan,KGZ,2013,19040736
Laos,LAO,1981,393253336
Laos,LAO,1984,324244538
Laos,LAO,1987,256941750
Laos,LAO,1990,192463587.5
Laos,LAO,1993,176218350
Laos,LAO,1996,246783362
Laos,LAO,1999,220692505
Laos,LAO,2002,229236425
Laos,LAO,2005,165885200
Laos,LAO,2008,185029267.5
Laos,LAO,2010,175823055
Laos,LAO,2011,160800458
Laos,LAO,2012,164222187
Laos,LAO,2013,146936006
Latvia,LVA,1981,699048
Latvia,LVA,1984,710144
Latvia,LVA,1987,547171.5
Latvia,LVA,1990,368942
Latvia,LVA,1993,0
Latvia,LVA,1996,3241419
Latvia,LVA,1999,5801127.5
Latvia,LVA,2002,3364168.5
Latvia,LVA,2005,38680656
Latvia,LVA,2008,0
Latvia,LVA,2010,19660725
Latvia,LVA,2011,14286100
Latvia,LVA,2012,13655708.5
Latvia,LVA,2013,13242382.5
Lesotho,LSO,1981,426729968
Lesotho,LSO,1984,450586368
Lesotho,LSO,1987,472245760
Lesotho,LSO,1990,483674640
Lesotho,LSO,1993,518733839
Lesotho,LSO,1996,523274876.99999994
Lesotho,LSO,1999,486554052
Lesotho,LSO,2002,436992381
Lesotho,LSO,2005,432187119.5
Lesotho,LSO,2008,438275356
Lesotho,LSO,2010,443689510.5
Lesotho,LSO,2011,436841891.5
Lesotho,LSO,2012,428725861
Lesotho,LSO,2013,420627168
Liberia,LBR,1981,19845196
Liberia,LBR,1984,29659608
Liberia,LBR,1987,33412830
Liberia,LBR,1990,257191410.00000003
Liberia,LBR,1993,766524856.5
Liberia,LBR,1996,979499400
Liberia,LBR,1999,499559951
Liberia,LBR,2002,400899173.5
Liberia,LBR,2005,725905174.5
Liberia,LBR,2008,688461722.5
Liberia,LBR,2010,703317186
Liberia,LBR,2011,671718552
Liberia,LBR,2012,636071958.5
Liberia,LBR,2013,589370281.5
Lithuania,LTU,1981,2140834.5
Lithuania,LTU,1984,1703929.5
Lithuania,LTU,1987,1255235
Lithuania,LTU,1990,28225450
Lithuania,LTU,1993,23223928
Lithuania,LTU,1996,0
Lithuania,LTU,1999,1220560
Lithuania,LTU,2002,1669948
Lithuania,LTU,2005,20031054
Lithuania,LTU,2008,665760
Lithuania,LTU,2010,28593005
Lithuania,LTU,2011,17230701
Lithuania,LTU,2012,15551737.5
Lithuania,LTU,2013,15190424
Macedonia,MKD,1981,0
Macedonia,MKD,1984,0
Macedonia,MKD,1987,0
Macedonia,MKD,1990,1109600
Macedonia,MKD,1993,2854446
Macedonia,MKD,1996,1087408
Macedonia,MKD,1999,10263800
Macedonia,MKD,2002,4364195.5
Macedonia,MKD,2005,5376012
Macedonia,MKD,2008,5142996
Macedonia,MKD,2010,5142996
Macedonia,MKD,2011,6459952.5
Macedonia,MKD,2012,6172843.5
Macedonia,MKD,2013,5598625.5
Madagascar,MDG,1981,1369455837
Madagascar,MDG,1984,1637680832
Madagascar,MDG,1987,1874780160
Madagascar,MDG,1990,1952819715
Madagascar,MDG,1993,2620986160
Madagascar,MDG,1996,2825166430
Madagascar,MDG,1999,2932496651
Madagascar,MDG,2002,4540354209
Madagascar,MDG,2005,4020864455
Madagascar,MDG,2008,4555551568
Madagascar,MDG,2010,5894372736
Madagascar,MDG,2011,6027563572
Madagascar,MDG,2012,6064218515
Madagascar,MDG,2013,6270585390
Malawi,MWI,1981,1181309981
Malawi,MWI,1984,1233735113
Malawi,MWI,1987,1683910929
Malawi,MWI,1990,2081741364.9999998
Malawi,MWI,1993,1957542450
Malawi,MWI,1996,1783383102
Malawi,MWI,1999,1941400544
Malawi,MWI,2002,2618889710
Malawi,MWI,2005,2851585313
Malawi,MWI,2008,3176264675
Malawi,MWI,2010,3395552843
Malawi,MWI,2011,3479124447
Malawi,MWI,2012,3635486505
Malawi,MWI,2013,3664742496
Malaysia,MYS,1981,69820193
Malaysia,MYS,1984,61661859
Malaysia,MYS,1987,35902495
Malaysia,MYS,1990,22731543
Malaysia,MYS,1993,20492925
Malaysia,MYS,1996,8846286
Malaysia,MYS,1999,23821725
Malaysia,MYS,2002,18613540
Malaysia,MYS,2005,19681530
Malaysia,MYS,2008,13204240
Malaysia,MYS,2010,5850366
Malaysia,MYS,2011,3962659
Malaysia,MYS,2012,4025074
Malaysia,MYS,2013,2043744.4999999998
Maldives,MDV,1981,25520800
Maldives,MDV,1984,23143482
Maldives,MDV,1987,20222460
Maldives,MDV,1990,16996298
Maldives,MDV,1993,13631436
Maldives,MDV,1996,10674352
Maldives,MDV,1999,8349740.000000001
Maldives,MDV,2002,6324720
Maldives,MDV,2005,5681152
Maldives,MDV,2008,3020886
Maldives,MDV,2010,3566670.5
Maldives,MDV,2011,2925183
Maldives,MDV,2012,2975115
Maldives,MDV,2013,2704650
Mali,MLI,1981,2798817591
Mali,MLI,1984,3179010242
Mali,MLI,1987,3055153916
Mali,MLI,1990,3139213744
Mali,MLI,1993,3305757076
Mali,MLI,1996,3140348310
Mali,MLI,1999,2093686209
Mali,MLI,2002,1799499348
Mali,MLI,2005,1657831168
Mali,MLI,2008,1627159050
Mali,MLI,2010,1587527606
Mali,MLI,2011,1650812948
Mali,MLI,2012,1814379084
Mali,MLI,2013,1917911006
Mauritania,MRT,1981,170276442
Mauritania,MRT,1984,212918370
Mauritania,MRT,1987,225002607.5
Mauritania,MRT,1990,224699548
Mauritania,MRT,1993,208410620
Mauritania,MRT,1996,96701640
Mauritania,MRT,1999,93748717
Mauritania,MRT,2002,99664272
Mauritania,MRT,2005,72526230
Mauritania,MRT,2008,64559995.5
Mauritania,MRT,2010,63984390.5
Mauritania,MRT,2011,58187424
Mauritania,MRT,2012,51380028
Mauritania,MRT,2013,45088596
Mauritius,MUS,1981,29699831
Mauritius,MUS,1984,24305094.5
Mauritius,MUS,1987,11251344
Mauritius,MUS,1990,6542479
Mauritius,MUS,1993,4271960
Mauritius,MUS,1996,2899523.5
Mauritius,MUS,1999,1882159
Mauritius,MUS,2002,1165080
Mauritius,MUS,2005,767704.5
Mauritius,MUS,2008,687952
Mauritius,MUS,2010,780187.5
Mauritius,MUS,2011,866875
Mauritius,MUS,2012,961191
Mauritius,MUS,2013,786429
Mexico,MEX,1981,831544642.5
Mexico,MEX,1984,1186767132
Mexico,MEX,1987,1748896734
Mexico,MEX,1990,1757367836
Mexico,MEX,1993,1575805375
Mexico,MEX,1996,2888145939
Mexico,MEX,1999,2935645141
Mexico,MEX,2002,1830493250
Mexico,MEX,2005,2519294788
Mexico,MEX,2008,693665746.5
Mexico,MEX,2010,789724512
Mexico,MEX,2011,676160419.5
Mexico,MEX,2012,567192151.5
Mexico,MEX,2013,635021306
Micronesia (country),FSM,1981,2246940
Micronesia (country),FSM,1984,2479956
Micronesia (country),FSM,1987,3052093.5
Micronesia (country),FSM,1990,3141555
Micronesia (country),FSM,1993,2253875
Micronesia (country),FSM,1996,2555547.5
Micronesia (country),FSM,1999,2669975
Micronesia (country),FSM,2002,2113094.5
Micronesia (country),FSM,2005,2021552.4999999998
Micronesia (country),FSM,2008,3016725
Micronesia (country),FSM,2010,3363475
Micronesia (country),FSM,2011,3536850
Micronesia (country),FSM,2012,3814250
Micronesia (country),FSM,2013,4403725
Moldova,MDA,1981,0
Moldova,MDA,1984,0
Moldova,MDA,1987,0
Moldova,MDA,1990,8980825
Moldova,MDA,1993,17191865
Moldova,MDA,1996,214555723.5
Moldova,MDA,1999,320965670
Moldova,MDA,2002,99916706
Moldova,MDA,2005,82887120
Moldova,MDA,2008,6189487.5
Moldova,MDA,2010,2715746
Moldova,MDA,2011,987544
Moldova,MDA,2012,987544
Moldova,MDA,2013,246886
Mongolia,MNG,1981,38152209
Mongolia,MNG,1984,26455638
Mongolia,MNG,1987,19146148
Mongolia,MNG,1990,21770352
Mongolia,MNG,1993,60027973
Mongolia,MNG,1996,79963324
Mongolia,MNG,1999,96721058
Mongolia,MNG,2002,40949788
Mongolia,MNG,2005,13685529
Mongolia,MNG,2008,3647810
Mongolia,MNG,2010,1879385
Mongolia,MNG,2011,1148436
Mongolia,MNG,2012,1169241
Mongolia,MNG,2013,793364
Montenegro,MNE,1981,4102746
Montenegro,MNE,1984,2496600
Montenegro,MNE,1987,1311408.5
Montenegro,MNE,1990,761463
Montenegro,MNE,1993,549945.5
Montenegro,MNE,1996,338428
Montenegro,MNE,1999,338428
Montenegro,MNE,2002,253821.00000000003
Montenegro,MNE,2005,296124.5
Montenegro,MNE,2008,171988
Montenegro,MNE,2010,0
Montenegro,MNE,2011,343976
Montenegro,MNE,2012,2235844
Montenegro,MNE,2013,988931
Morocco,MAR,1981,469100044
Morocco,MAR,1984,366134018.5
Morocco,MAR,1987,227110154
Morocco,MAR,1990,115928927.5
Morocco,MAR,1993,191582842.5
Morocco,MAR,1996,173927026
Morocco,MAR,1999,272012198.5
Morocco,MAR,2002,243783281
Morocco,MAR,2005,170711266.5
Morocco,MAR,2008,100009635
Morocco,MAR,2010,82392654.5
Morocco,MAR,2011,67678665
Morocco,MAR,2012,66327726.99999999
Morocco,MAR,2013,55674180
Mozambique,MOZ,1981,4297578584
Mozambique,MOZ,1984,5681049362
Mozambique,MOZ,1987,5436571194
Mozambique,MOZ,1990,5109851555
Mozambique,MOZ,1993,5726635891
Mozambique,MOZ,1996,5470527035
Mozambique,MOZ,1999,5422337800
Mozambique,MOZ,2002,5605210283
Mozambique,MOZ,2005,5481932336
Mozambique,MOZ,2008,5140205356
Mozambique,MOZ,2010,5000745280
Mozambique,MOZ,2011,4887880929
Mozambique,MOZ,2012,4760713834
Mozambique,MOZ,2013,4635128613
Namibia,NAM,1981,166575926
Namibia,NAM,1984,197911723.5
Namibia,NAM,1987,228941687.5
Namibia,NAM,1990,279773157
Namibia,NAM,1993,297836058
Namibia,NAM,1996,327304260
Namibia,NAM,1999,173492895
Namibia,NAM,2002,169499722
Namibia,NAM,2005,129658840.5
Namibia,NAM,2008,103797532
Namibia,NAM,2010,96593454
Namibia,NAM,2011,92274336
Namibia,NAM,2012,88299194
Namibia,NAM,2013,83767865
Nepal,NPL,1981,3312305796
Nepal,NPL,1984,3261289162
Nepal,NPL,1987,3181515857
Nepal,NPL,1990,3302331879
Nepal,NPL,1993,3252223037
Nepal,NPL,1996,3111949485
Nepal,NPL,1999,2754163126
Nepal,NPL,2002,2480974058
Nepal,NPL,2005,2039793631
Nepal,NPL,2008,1234366198
Nepal,NPL,2010,594656832
Nepal,NPL,2011,588099096
Nepal,NPL,2012,339468250
Nepal,NPL,2013,312661701
Nicaragua,NIC,1981,247611401
Nicaragua,NIC,1984,242762449
Nicaragua,NIC,1987,234097860
Nicaragua,NIC,1990,223945020
Nicaragua,NIC,1993,213518247.5
Nicaragua,NIC,1996,182203255
Nicaragua,NIC,1999,160999492.5
Nicaragua,NIC,2002,157757380
Nicaragua,NIC,2005,134690183
Nicaragua,NIC,2008,148088603
Nicaragua,NIC,2010,125391735
Nicaragua,NIC,2011,114027350.5
Nicaragua,NIC,2012,96643386
Nicaragua,NIC,2013,80875970
Niger,NER,1981,761381860.5
Niger,NER,1984,1377076015
Niger,NER,1987,1383363980
Niger,NER,1990,1575460012
Niger,NER,1993,2127465207.0000002
Niger,NER,1996,2828682475
Niger,NER,1999,2930183135
Niger,NER,2002,3141555000
Niger,NER,2005,3321136825
Niger,NER,2008,2568090141
Niger,NER,2010,1931806665
Niger,NER,2011,1635096158
Niger,NER,2012,1560974184
Niger,NER,2013,1720182366
Nigeria,NGA,1981,7058520672
Nigeria,NGA,1984,10061139880
Nigeria,NGA,1987,15892157230
Nigeria,NGA,1990,15444174260
Nigeria,NGA,1993,20194196410
Nigeria,NGA,1996,23959404170
Nigeria,NGA,1999,26667465490
Nigeria,NGA,2002,27392417800
Nigeria,NGA,2005,21077612770
Nigeria,NGA,2008,22867735300
Nigeria,NGA,2010,23780976330
Nigeria,NGA,2011,23680282210
Nigeria,NGA,2012,23789918320
Nigeria,NGA,2013,23490731320
Pakistan,PAK,1981,11913567840
Pakistan,PAK,1984,12962990770
Pakistan,PAK,1987,14063687620
Pakistan,PAK,1990,14216545420
Pakistan,PAK,1993,8796287424
Pakistan,PAK,1996,2737230630
Pakistan,PAK,1999,4161765623.9999995
Pakistan,PAK,2002,5772956837
Pakistan,PAK,2005,2956673448
Pakistan,PAK,2008,2126465180.0000002
Pakistan,PAK,2010,1698087456
Pakistan,PAK,2011,1385061668
Pakistan,PAK,2012,1156387671
Pakistan,PAK,2013,1281683703
Palestine,PSE,1981,0
Palestine,PSE,1984,0
Palestine,PSE,1987,0
Palestine,PSE,1990,10023849
Palestine,PSE,1993,8306743.000000001
Palestine,PSE,1996,7903126
Palestine,PSE,1999,1778827.5
Palestine,PSE,2002,3203970
Palestine,PSE,2005,690726
Palestine,PSE,2008,5242860
Palestine,PSE,2010,792670.5
Palestine,PSE,2011,545091
Palestine,PSE,2012,280867.5
Palestine,PSE,2013,578379
Panama,PAN,1981,60957956.5
Panama,PAN,1984,128217053.99999999
Panama,PAN,1987,200793216
Panama,PAN,1990,275784145
Panama,PAN,1993,213944056.5
Panama,PAN,1996,196001824.5
Panama,PAN,1999,174456166.5
Panama,PAN,2002,106701910
Panama,PAN,2005,93017768
Panama,PAN,2008,37136925
Panama,PAN,2010,33138204
Panama,PAN,2011,32921832.000000004
Panama,PAN,2012,37349136
Panama,PAN,2013,21137880
Papua New Guinea,PNG,1981,784286085
Papua New Guinea,PNG,1984,883851880
Papua New Guinea,PNG,1987,928878754.5
Papua New Guinea,PNG,1990,1068589183.9999999
Papua New Guinea,PNG,1993,890121120
Papua New Guinea,PNG,1996,943523394
Papua New Guinea,PNG,1999,1044757750
Papua New Guinea,PNG,2002,1120234823
Papua New Guinea,PNG,2005,1039382432.0000001
Papua New Guinea,PNG,2008,877163766
Papua New Guinea,PNG,2010,738223815
Papua New Guinea,PNG,2011,668464650
Papua New Guinea,PNG,2012,623782445
Papua New Guinea,PNG,2013,604282612
Paraguay,PRY,1981,11565499.5
Paraguay,PRY,1984,10645918.5
Paraguay,PRY,1987,9711774
Paraguay,PRY,1990,8758905
Paraguay,PRY,1993,105474415
Paraguay,PRY,1996,168191781
Paraguay,PRY,1999,146772340
Paraguay,PRY,2002,202904923.5
Paraguay,PRY,2005,102568650
Paraguay,PRY,2008,67969935
Paraguay,PRY,2010,90439335
Paraguay,PRY,2011,84188819.5
Paraguay,PRY,2012,50882095
Paraguay,PRY,2013,39036421.5
Peru,PER,1981,540376587
Peru,PER,1984,768259300
Peru,PER,1987,493536210
Peru,PER,1990,994639198.5
Peru,PER,1993,908256145
Peru,PER,1996,1261016016
Peru,PER,1999,1281579678
Peru,PER,2002,1058863540
Peru,PER,2005,884616117
Peru,PER,2008,472711792
Peru,PER,2010,264785235
Peru,PER,2011,235279584
Peru,PER,2012,236350348
Peru,PER,2013,199282773
Philippines,PHL,1981,1983315684
Philippines,PHL,1984,2423579305
Philippines,PHL,1987,2742369465
Philippines,PHL,1990,2706626475
Philippines,PHL,1993,3018281908
Philippines,PHL,1996,2462318908
Philippines,PHL,1999,2370238752
Philippines,PHL,2002,2356458907
Philippines,PHL,2005,2264073611
Philippines,PHL,2008,1709609265
Philippines,PHL,2010,1780841424
Philippines,PHL,2011,1854661725
Philippines,PHL,2012,1824562438
Philippines,PHL,2013,1596889162
Poland,POL,1981,34855310
Poland,POL,1984,33267195
Poland,POL,1987,23511730.5
Poland,POL,1990,60787355.5
Poland,POL,1993,8001602.999999999
Poland,POL,1996,131236552.99999999
Poland,POL,1999,2681071
Poland,POL,2002,2651250.5
Poland,POL,2005,5294179
Poland,POL,2008,0
Poland,POL,2010,0
Poland,POL,2011,0
Poland,POL,2012,0
Poland,POL,2013,0
Romania,ROU,1981,23322405
Romania,ROU,1984,28286478
Romania,ROU,1987,36606397.5
Romania,ROU,1990,45049760
Romania,ROU,1993,243074524
Romania,ROU,1996,379624674
Romania,ROU,1999,205694874
Romania,ROU,2002,182344035.5
Romania,ROU,2005,39920634
Romania,ROU,2008,0
Romania,ROU,2010,0
Romania,ROU,2011,0
Romania,ROU,2012,0
Romania,ROU,2013,0
Russia,RUS,1981,116458068
Russia,RUS,1984,168295112.5
Russia,RUS,1987,263090321.00000003
Russia,RUS,1990,452492106
Russia,RUS,1993,247196688
Russia,RUS,1996,626768656
Russia,RUS,1999,837139107
Russia,RUS,2002,141081479
Russia,RUS,2005,149296680
Russia,RUS,2008,19798038
Russia,RUS,2010,29719942.5
Russia,RUS,2011,9914276
Russia,RUS,2012,9930920
Russia,RUS,2013,9952418.5
Rwanda,RWA,1981,604664037
Rwanda,RWA,1984,786195984
Rwanda,RWA,1987,1068987253
Rwanda,RWA,1990,1374503130
Rwanda,RWA,1993,1196245890
Rwanda,RWA,1996,1655335955
Rwanda,RWA,1999,2027037392
Rwanda,RWA,2002,2017792343
Rwanda,RWA,2005,2024492940
Rwanda,RWA,2008,1845247463
Rwanda,RWA,2010,1781174304
Rwanda,RWA,2011,1732706976
Rwanda,RWA,2012,1729595935
Rwanda,RWA,2013,1826482046
Saint Lucia,LCA,1981,26255910
Saint Lucia,LCA,1984,23343210
Saint Lucia,LCA,1987,23836982
Saint Lucia,LCA,1990,15272257
Saint Lucia,LCA,1993,13359584
Saint Lucia,LCA,1996,12857490
Saint Lucia,LCA,1999,12582864
Saint Lucia,LCA,2002,13082184
Saint Lucia,LCA,2005,11883816
Saint Lucia,LCA,2008,10398339
Saint Lucia,LCA,2010,12096027
Saint Lucia,LCA,2011,12170925
Saint Lucia,LCA,2012,12632796
Saint Lucia,LCA,2013,12782592
Samoa,WSM,1981,1952896
Samoa,WSM,1984,1930704
Samoa,WSM,1987,1331520
Samoa,WSM,1990,1553440
Samoa,WSM,1993,1733056.5
Samoa,WSM,1996,1190739.5
Samoa,WSM,1999,990318
Samoa,WSM,2002,436905
Samoa,WSM,2005,212211
Samoa,WSM,2008,137313
Samoa,WSM,2010,210824
Samoa,WSM,2011,158118
Samoa,WSM,2012,158118
Samoa,WSM,2013,184471
Sao Tome and Principe,STP,1981,9285965
Sao Tome and Principe,STP,1984,8613270
Sao Tome and Principe,STP,1987,8765146.5
Sao Tome and Principe,STP,1990,8078581.5
Sao Tome and Principe,STP,1993,8105627.999999999
Sao Tome and Principe,STP,1996,8059856.999999999
Sao Tome and Principe,STP,1999,7374679
Sao Tome and Principe,STP,2002,8854608
Sao Tome and Principe,STP,2005,9715935
Sao Tome and Principe,STP,2008,9242968
Sao Tome and Principe,STP,2010,10150759.5
Sao Tome and Principe,STP,2011,9443389.5
Sao Tome and Principe,STP,2012,9349767
Sao Tome and Principe,STP,2013,8825481
Senegal,SEN,1981,1351495574
Senegal,SEN,1984,1517898125
Senegal,SEN,1987,1618011785
Senegal,SEN,1990,1883800515
Senegal,SEN,1993,1594676897
Senegal,SEN,1996,1300736922
Senegal,SEN,1999,1170842985
Senegal,SEN,2002,1207635934
Senegal,SEN,2005,1010575829
Senegal,SEN,2008,1044073266.0000001
Senegal,SEN,2010,1112684688
Senegal,SEN,2011,1189646544
Senegal,SEN,2012,1203154537
Senegal,SEN,2013,1230723936
Serbia,SRB,1981,43166214
Serbia,SRB,1984,28049301
Serbia,SRB,1987,18874296
Serbia,SRB,1990,12632796
Serbia,SRB,1993,8009925.000000001
Serbia,SRB,1996,4756023
Serbia,SRB,1999,4183192
Serbia,SRB,2002,1560375
Serbia,SRB,2005,13931028
Serbia,SRB,2008,1529167.5
Serbia,SRB,2010,505561.5
Serbia,SRB,2011,1002801
Serbia,SRB,2012,1497960
Serbia,SRB,2013,1986184
Seychelles,SYC,1981,402923.5
Seychelles,SYC,1984,417487
Seychelles,SYC,1987,296124.5
Seychelles,SYC,1990,165053
Seychelles,SYC,1993,101944.5
Seychelles,SYC,1996,127604
Seychelles,SYC,1999,61028
Seychelles,SYC,2002,61028
Seychelles,SYC,2005,55480
Seychelles,SYC,2008,31207.5
Seychelles,SYC,2010,362007
Seychelles,SYC,2011,312075
Seychelles,SYC,2012,287109
Seychelles,SYC,2013,268384.5
Sierra Leone,SLE,1981,959859480
Sierra Leone,SLE,1984,1027388349.0000001
Sierra Leone,SLE,1987,1145628712
Sierra Leone,SLE,1990,1256979846
Sierra Leone,SLE,1993,1160287222
Sierra Leone,SLE,1996,1026318972
Sierra Leone,SLE,1999,975747565
Sierra Leone,SLE,2002,793598403
Sierra Leone,SLE,2005,725360083.5
Sierra Leone,SLE,2008,713561568
Sierra Leone,SLE,2010,695462605
Sierra Leone,SLE,2011,684463695
Sierra Leone,SLE,2012,530713358
Sierra Leone,SLE,2013,345437898
Slovakia,SVK,1981,0
Slovakia,SVK,1984,0
Slovakia,SVK,1987,0
Slovakia,SVK,1990,0
Slovakia,SVK,1993,1478542
Slovakia,SVK,1996,2606866.5
Slovakia,SVK,1999,20971440
Slovakia,SVK,2002,40295124
Slovakia,SVK,2005,372409.5
Slovakia,SVK,2008,0
Slovakia,SVK,2010,7475930
Slovakia,SVK,2011,7864290
Slovakia,SVK,2012,4502202
Slovakia,SVK,2013,4502202
Slovenia,SVN,1981,397375.5
Slovenia,SVN,1984,401536.5
Slovenia,SVN,1987,276013
Slovenia,SVN,1990,416100
Slovenia,SVN,1993,552026
Slovenia,SVN,1996,1104052
Slovenia,SVN,1999,274626
Slovenia,SVN,2002,0
Slovenia,SVN,2005,693500
Slovenia,SVN,2008,420261
Slovenia,SVN,2010,710837.5
Slovenia,SVN,2011,0
Slovenia,SVN,2012,0
Slovenia,SVN,2013,142861
Solomon Islands,SLB,1981,0
Solomon Islands,SLB,1984,0
Solomon Islands,SLB,1987,0
Solomon Islands,SLB,1990,30828849
Solomon Islands,SLB,1993,26455638
Solomon Islands,SLB,1996,23760697
Solomon Islands,SLB,1999,30319820
Solomon Islands,SLB,2002,59521718
Solomon Islands,SLB,2005,56649241
Solomon Islands,SLB,2008,47643450
Solomon Islands,SLB,2010,52927920
Solomon Islands,SLB,2011,44901351
Solomon Islands,SLB,2012,43635020
Solomon Islands,SLB,2013,43651664
South Africa,ZAF,1981,1142177163
South Africa,ZAF,1984,1409168421
South Africa,ZAF,1987,1794984663
South Africa,ZAF,1990,1940690400
South Africa,ZAF,1993,2473814364
South Africa,ZAF,1996,3570138000
South Africa,ZAF,1999,3732533508
South Africa,ZAF,2002,3580623720
South Africa,ZAF,2005,3015920540
South Africa,ZAF,2008,1788113465
South Africa,ZAF,2010,1778054248
South Africa,ZAF,2011,1751746325
South Africa,ZAF,2012,1750222012
South Africa,ZAF,2013,1752145088
South Sudan,SSD,1981,847932047.5
South Sudan,SSD,1984,900367582.5
South Sudan,SSD,1987,929882249
South Sudan,SSD,1990,916751520
South Sudan,SSD,1993,844444436
South Sudan,SSD,1996,831991950
South Sudan,SSD,1999,922743360
South Sudan,SSD,2002,1007815005
South Sudan,SSD,2005,1089765900
South Sudan,SSD,2008,1196310386
South Sudan,SSD,2010,1303928409
South Sudan,SSD,2011,1524792902
South Sudan,SSD,2012,3087732465
South Sudan,SSD,2013,3007095753
Sri Lanka,LKA,1981,424297170
Sri Lanka,LKA,1984,316578589
Sri Lanka,LKA,1987,248166201
Sri Lanka,LKA,1990,188335182
Sri Lanka,LKA,1993,193043353.5
Sri Lanka,LKA,1996,207109614
Sri Lanka,LKA,1999,197898547
Sri Lanka,LKA,2002,185201949
Sri Lanka,LKA,2005,110151379
Sri Lanka,LKA,2008,61853265
Sri Lanka,LKA,2010,55812880
Sri Lanka,LKA,2011,50606082
Sri Lanka,LKA,2012,41067683
Sri Lanka,LKA,2013,38535021
Sudan,SDN,1981,1401828417
Sudan,SDN,1984,1791560160
Sudan,SDN,1987,1826879422
Sudan,SDN,1990,2235574229
Sudan,SDN,1993,2157984062
Sudan,SDN,1996,2250322893
Sudan,SDN,1999,2014936510
Sudan,SDN,2002,1732824178
Sudan,SDN,2005,1477525329
Sudan,SDN,2008,960978789
Sudan,SDN,2010,976649115
Sudan,SDN,2011,824449444
Sudan,SDN,2012,656412313.5
Sudan,SDN,2013,649140966
Suriname,SUR,1981,37199340
Suriname,SUR,1984,39515630
Suriname,SUR,1987,44431158
Suriname,SUR,1990,45749501.5
Suriname,SUR,1993,49770414.5
Suriname,SUR,1996,51991695
Suriname,SUR,1999,55124928
Suriname,SUR,2002,55050030
Suriname,SUR,2005,51753824.5
Suriname,SUR,2008,52274643
Suriname,SUR,2010,52398086
Suriname,SUR,2011,51821094
Suriname,SUR,2012,52523609.5
Suriname,SUR,2013,52303076.5
Swaziland,SWZ,1981,276900680
Swaziland,SWZ,1984,304593522
Swaziland,SWZ,1987,320236801.5
Swaziland,SWZ,1990,310908533
Swaziland,SWZ,1993,334473663
Swaziland,SWZ,1996,241880317
Swaziland,SWZ,1999,156047902.5
Swaziland,SWZ,2002,130397417.99999999
Swaziland,SWZ,2005,128387655
Swaziland,SWZ,2008,128959792.49999999
Swaziland,SWZ,2010,137324096
Swaziland,SWZ,2011,140219458.5
Swaziland,SWZ,2012,139551618
Swaziland,SWZ,2013,138786687.5
Tajikistan,TJK,1981,17327791
Tajikistan,TJK,1984,18918680
Tajikistan,TJK,1987,22871630
Tajikistan,TJK,1990,26831515
Tajikistan,TJK,1993,180063114
Tajikistan,TJK,1996,813188391
Tajikistan,TJK,1999,738675283.5
Tajikistan,TJK,2002,455646837.5
Tajikistan,TJK,2005,168601639.5
Tajikistan,TJK,2008,103574225
Tajikistan,TJK,2010,155599208
Tajikistan,TJK,2011,234333650
Tajikistan,TJK,2012,286521605.5
Tajikistan,TJK,2013,274465108
Tanzania,TZA,1981,4139562528.0000005
Tanzania,TZA,1984,4434406827
Tanzania,TZA,1987,4733442640
Tanzania,TZA,1990,4836118089
Tanzania,TZA,1993,6285243206
Tanzania,TZA,1996,8174997418
Tanzania,TZA,1999,9887110218
Tanzania,TZA,2002,9161706444
Tanzania,TZA,2005,6416106656
Tanzania,TZA,2008,5371484832
Tanzania,TZA,2010,5141303860
Tanzania,TZA,2011,4895122456
Tanzania,TZA,2012,4797653805
Tanzania,TZA,2013,4526682550
Thailand,THA,1981,1679541879
Thailand,THA,1984,1410702443
Thailand,THA,1987,1115566874
Thailand,THA,1990,698440494
Thailand,THA,1993,323115520
Thailand,THA,1996,141191052
Thailand,THA,1999,154714302
Thailand,THA,2002,97858398
Thailand,THA,2005,50241301
Thailand,THA,2008,9216615
Thailand,THA,2010,4624951.5
Thailand,THA,2011,4639515
Thailand,THA,2012,4657546
Thailand,THA,2013,0
