Entity,Code,Year,Percentage of graduates from Science and Technology programmes in tertiary education who are female (%) (%)
Netherlands,NLD,2003,18.4129199981689
Netherlands,NLD,2004,19.5039100646973
Netherlands,NLD,2005,20.321460723877
Netherlands,NLD,2006,18.4177703857422
Netherlands,NLD,2007,18.8804397583008
Netherlands,NLD,2008,18.8924694061279
Netherlands,NLD,2009,19.792839050293
Netherlands,NLD,2010,20.8184108734131
Netherlands,NLD,2011,22.2344703674316
Netherlands,NLD,2012,22.9999103546143
New Zealand,NZL,1998,40.2186508178711
New Zealand,NZL,1999,41.2544288635254
New Zealand,NZL,2000,39.8127212524414
New Zealand,NZL,2001,38.4505882263184
New Zealand,NZL,2002,36.7529487609863
New Zealand,NZL,2003,35.7024002075195
New Zealand,NZL,2004,35.9531593322754
New Zealand,NZL,2005,35.447338104248
New Zealand,NZL,2006,35.7985801696777
New Zealand,NZL,2007,36.2017517089844
New Zealand,NZL,2008,37.7064094543457
New Zealand,NZL,2009,35.1347007751465
New Zealand,NZL,2010,35.4401817321777
New Zealand,NZL,2011,35.8851318359375
New Zealand,NZL,2012,35.0102386474609
Niger,NER,2001,7.69230985641479
Norway,NOR,1999,25.4740104675293
Norway,NOR,2000,26.8368606567383
Norway,NOR,2001,25.3051700592041
Norway,NOR,2002,27.0988998413086
Norway,NOR,2003,27.113920211792
Norway,NOR,2004,24.4670391082764
Norway,NOR,2005,26.0482597351074
Norway,NOR,2007,28.6119499206543
Norway,NOR,2008,29.6206302642822
Norway,NOR,2009,30.1487007141113
Norway,NOR,2010,30.8670501708984
Norway,NOR,2011,29.7778396606445
Norway,NOR,2012,30.5583896636963
Norway,NOR,2013,25.7021408081055
Norway,NOR,2014,24.6137294769287
Oman,OMN,2007,44.0617599487305
Oman,OMN,2009,45.8633117675781
Oman,OMN,2010,49.5886306762695
Palau,PLW,2013,14.2857103347778
Palestine,PSE,1999,43.2698593139648
Palestine,PSE,2000,44.6725311279297
Palestine,PSE,2001,43.7889518737793
Palestine,PSE,2003,45.2652816772461
Palestine,PSE,2004,47.8178405761719
Palestine,PSE,2007,41.6484718322754
Palestine,PSE,2008,42.6275291442871
Palestine,PSE,2009,43.129451751709
Palestine,PSE,2010,43.7023696899414
Palestine,PSE,2011,44.3887405395508
Palestine,PSE,2012,45.0162582397461
Palestine,PSE,2013,45.5353813171387
Palestine,PSE,2014,44.8202285766602
Panama,PAN,2002,40.2119903564453
Panama,PAN,2003,18.7736396789551
Panama,PAN,2004,44.7900505065918
Panama,PAN,2005,44.5541496276855
Panama,PAN,2006,41.8293914794922
Panama,PAN,2007,40.2710609436035
Panama,PAN,2008,40.7554702758789
Panama,PAN,2009,40.7088088989258
Panama,PAN,2010,39.006420135498
Panama,PAN,2011,56.4790191650391
Panama,PAN,2012,41.7141189575195
Panama,PAN,2013,41.7419013977051
Philippines,PHL,2003,46.8920288085938
Philippines,PHL,2004,40.4142303466797
Philippines,PHL,2010,39.0065498352051
Philippines,PHL,2011,41.6862182617188
Philippines,PHL,2012,39.6892509460449
Philippines,PHL,2013,42.4214897155762
Philippines,PHL,2014,42.0530281066895
Poland,POL,2005,36.6047897338867
Poland,POL,2006,39.1565589904785
Poland,POL,2007,39.1590805053711
Poland,POL,2008,40.3202590942383
Poland,POL,2009,38.151481628418
Poland,POL,2010,38.5582389831543
Poland,POL,2011,38.120979309082
Poland,POL,2012,39.9247817993164
Poland,POL,2013,41.1455917358398
Poland,POL,2014,41.818229675293
Portugal,PRT,2000,38.0389518737793
Portugal,PRT,2002,41.0046081542969
Portugal,PRT,2003,41.5462608337402
Portugal,PRT,2004,41.0454216003418
Portugal,PRT,2005,39.9390182495117
Portugal,PRT,2006,39.6685104370117
Portugal,PRT,2007,34.7860412597656
Portugal,PRT,2008,34.0920600891113
Portugal,PRT,2009,34.4503288269043
Portugal,PRT,2010,37.0211181640625
Portugal,PRT,2011,37.931999206543
Portugal,PRT,2012,38.5163497924805
Portugal,PRT,2013,39.552360534668
Portugal,PRT,2014,39.8508110046387
Puerto Rico,PRI,2008,28.1660709381104
Puerto Rico,PRI,2009,37.6316795349121
Puerto Rico,PRI,2011,37.411491394043
Puerto Rico,PRI,2012,37.4448509216309
Puerto Rico,PRI,2013,43.8140182495117
Qatar,QAT,2000,73.8675994873047
Qatar,QAT,2001,51.8656692504883
Qatar,QAT,2002,45.6730804443359
Qatar,QAT,2003,47.3684196472168
Qatar,QAT,2007,57.7464790344238
Qatar,QAT,2008,53.8647308349609
Qatar,QAT,2009,48.5119018554688
Qatar,QAT,2010,43.7340202331543
Qatar,QAT,2011,25.079870223999
Qatar,QAT,2012,31.0136203765869
Qatar,QAT,2013,33.9791412353516
Qatar,QAT,2014,38.1355895996094
Romania,ROU,1999,32.0949592590332
Romania,ROU,2000,35.0942993164063
Romania,ROU,2001,35.6112213134766
Romania,ROU,2002,36.5545616149902
Romania,ROU,2004,38.5340309143066
Romania,ROU,2005,39.9688110351563
Romania,ROU,2006,38.6224899291992
Romania,ROU,2007,40.0415916442871
Romania,ROU,2008,43.1006698608398
Romania,ROU,2009,36.3365211486816
Romania,ROU,2010,39.7164306640625
Romania,ROU,2011,42.4786682128906
Romania,ROU,2012,40.8415298461914
Romania,ROU,2013,40.3854484558105
Romania,ROU,2014,40.7666511535645
Rwanda,RWA,2012,30.0027809143066
Samoa,WSM,1998,36.363639831543
Samoa,WSM,1999,36.7088584899902
Samoa,WSM,2000,24
Saudi Arabia,SAU,1998,21.0772399902344
Saudi Arabia,SAU,1999,35.7341003417969
Saudi Arabia,SAU,2000,21.1526393890381
Saudi Arabia,SAU,2002,17.805980682373
Saudi Arabia,SAU,2003,16.0965404510498
Saudi Arabia,SAU,2004,39.2315711975098
Saudi Arabia,SAU,2005,40.276668548584
Saudi Arabia,SAU,2006,49.3720207214355
Saudi Arabia,SAU,2007,57.8823394775391
Saudi Arabia,SAU,2008,57.4728698730469
Saudi Arabia,SAU,2009,57.4960517883301
Saudi Arabia,SAU,2010,38.0092697143555
Saudi Arabia,SAU,2011,36.8749389648438
Saudi Arabia,SAU,2012,39.7597007751465
Saudi Arabia,SAU,2013,38.925350189209
Saudi Arabia,SAU,2014,38.8266181945801
Serbia,SRB,2007,42.4024085998535
Serbia,SRB,2008,42.3563995361328
Serbia,SRB,2009,42.0581207275391
Serbia,SRB,2010,41.2718391418457
Serbia,SRB,2011,39.1582412719727
Serbia,SRB,2012,37.2793617248535
Serbia,SRB,2013,39.4109115600586
Serbia,SRB,2014,39.1651000976563
Seychelles,SYC,2011,26.6666698455811
Seychelles,SYC,2014,34.2857093811035
Sierra Leone,SLE,2000,61.1111106872559
Slovakia,SVK,1999,28.269100189209
Slovakia,SVK,2000,30.0529098510742
Slovakia,SVK,2001,32.4372482299805
Slovakia,SVK,2002,33.5491981506348
Slovakia,SVK,2003,34.4055213928223
Slovakia,SVK,2004,35.2755012512207
Slovakia,SVK,2005,35.3116683959961
Slovakia,SVK,2006,34.7702102661133
Slovakia,SVK,2007,35.4164695739746
Slovakia,SVK,2008,36.8483390808105
Slovakia,SVK,2009,35.0559883117676
Slovakia,SVK,2010,35.7666091918945
Slovakia,SVK,2011,35.0584983825684
Slovakia,SVK,2012,35.6285591125488
Slovakia,SVK,2013,36.2016181945801
Slovenia,SVN,1999,22.7031402587891
Slovenia,SVN,2001,24.21875
Slovenia,SVN,2002,24.578649520874
Slovenia,SVN,2003,25.5007705688477
Slovenia,SVN,2004,24.9909992218018
Slovenia,SVN,2005,26.1650009155273
Slovenia,SVN,2006,25.713249206543
Slovenia,SVN,2007,25.0352592468262
Slovenia,SVN,2008,26.506420135498
Slovenia,SVN,2009,25.2703094482422
Slovenia,SVN,2010,27.9874992370605
Slovenia,SVN,2011,27.3167591094971
Slovenia,SVN,2012,29.4798793792725
South Africa,ZAF,2012,40.4559783935547
South Africa,ZAF,2013,41.1071891784668
South Korea,KOR,1998,30.9681606292725
South Korea,KOR,1999,30.3251094818115
South Korea,KOR,2000,31.7770595550537
South Korea,KOR,2001,31.8944301605225
South Korea,KOR,2002,33.1710586547852
South Korea,KOR,2003,31.3180198669434
South Korea,KOR,2004,29.0681991577148
South Korea,KOR,2005,29.0103607177734
South Korea,KOR,2006,27.4051895141602
South Korea,KOR,2007,26.0624904632568
South Korea,KOR,2008,26.003870010376
South Korea,KOR,2009,27.5412006378174
South Korea,KOR,2011,27.0277805328369
South Korea,KOR,2012,27.4189395904541
South Korea,KOR,2015,27.7701797485352
Spain,ESP,1999,32.2235984802246
Spain,ESP,2000,31.5058403015137
Spain,ESP,2001,31.304500579834
Spain,ESP,2002,30.8330001831055
Spain,ESP,2003,30.4255790710449
Spain,ESP,2004,30.2882804870605
Spain,ESP,2005,29.5792407989502
Spain,ESP,2006,29.9770698547363
Spain,ESP,2007,29.9128894805908
Spain,ESP,2008,30.1780891418457
Spain,ESP,2009,30.420280456543
Spain,ESP,2010,30.297779083252
Spain,ESP,2011,30.2938404083252
Spain,ESP,2012,30.88916015625
Spain,ESP,2014,28.8876991271973
Sri Lanka,LKA,2010,38.676441192627
Sri Lanka,LKA,2011,38.2493591308594
Sri Lanka,LKA,2012,40.9030494689941
Sri Lanka,LKA,2013,40.1874809265137
Sri Lanka,LKA,2014,40.5575408935547
Sudan,SDN,2012,42.4131889343262
Sudan,SDN,2013,37.9272918701172
Swaziland,SWZ,1999,51.0204086303711
Swaziland,SWZ,2000,53.0612182617188
Swaziland,SWZ,2001,48.9795913696289
Swaziland,SWZ,2002,37.7777786254883
Swaziland,SWZ,2004,43.3333282470703
Swaziland,SWZ,2005,50.7936515808105
Swaziland,SWZ,2006,30
Swaziland,SWZ,2013,26.4775390625
Sweden,SWE,1999,28.6435394287109
Sweden,SWE,2000,32.081729888916
Sweden,SWE,2001,33.4987602233887
Sweden,SWE,2002,34.601619720459
Sweden,SWE,2003,34.2072105407715
Sweden,SWE,2004,33.8478584289551
Sweden,SWE,2005,33.7509002685547
Sweden,SWE,2006,34.3933715820313
Sweden,SWE,2007,33.1470108032227
Sweden,SWE,2008,33.4240608215332
Sweden,SWE,2009,32.6056213378906
Sweden,SWE,2010,34.1140098571777
Sweden,SWE,2011,32.721019744873
Sweden,SWE,2012,32.2980117797852
Sweden,SWE,2013,32.1539306640625
Switzerland,CHE,1999,13.1377000808716
Switzerland,CHE,2000,14.1909599304199
Switzerland,CHE,2001,14.5802001953125
Switzerland,CHE,2002,15.3691902160645
Switzerland,CHE,2003,14.64381980896
Switzerland,CHE,2004,16.1280498504639
Switzerland,CHE,2005,16.7970409393311
Switzerland,CHE,2006,18.2613792419434
Switzerland,CHE,2007,17.8840999603271
Switzerland,CHE,2008,19.3676891326904
Switzerland,CHE,2009,19.592960357666
Switzerland,CHE,2010,19.484769821167
Switzerland,CHE,2011,19.7459602355957
Switzerland,CHE,2013,20.5835094451904
Switzerland,CHE,2014,20.9355602264404
Syria,SYR,2013,42.3098907470703
Trinidad and Tobago,TTO,1999,42.5619812011719
Trinidad and Tobago,TTO,2000,38.8475799560547
Trinidad and Tobago,TTO,2001,43.2748489379883
Trinidad and Tobago,TTO,2002,42.3480110168457
Trinidad and Tobago,TTO,2004,37.8238296508789
Tunisia,TUN,2012,42.866870880127
Tunisia,TUN,2013,54.9249114990234
Tunisia,TUN,2014,54.9024391174316
Turkey,TUR,1999,29.8500194549561
Turkey,TUR,2000,31.084680557251
Turkey,TUR,2001,31.1793308258057
Turkey,TUR,2002,30.4104309082031
Turkey,TUR,2003,31.3804893493652
Turkey,TUR,2004,30.4082794189453
Turkey,TUR,2005,28.5430297851563
Turkey,TUR,2006,29.7682209014893
Turkey,TUR,2007,31.1152191162109
Turkey,TUR,2008,30.6449794769287
Turkey,TUR,2009,30.1588096618652
Turkey,TUR,2010,31.1604595184326
Turkey,TUR,2011,32.9157791137695
Turkey,TUR,2012,34.3894004821777
Turkey,TUR,2014,34.6164283752441
Uganda,UGA,1999,26.2950496673584
Uganda,UGA,2000,16.8179607391357
Uganda,UGA,2004,21.7649993896484
Ukraine,UKR,2012,30.0863990783691
Ukraine,UKR,2013,31.7893600463867
Ukraine,UKR,2014,29.3549709320068
United Arab Emirates,ARE,2011,41.6077613830566
United Arab Emirates,ARE,2012,45.8016586303711
United Arab Emirates,ARE,2013,41.4822387695313
United Arab Emirates,ARE,2014,39.5747604370117
United Kingdom,GBR,1999,29.5712394714355
United Kingdom,GBR,2000,32.3127899169922
United Kingdom,GBR,2001,32.6872901916504
United Kingdom,GBR,2002,32.9570083618164
United Kingdom,GBR,2003,34.3793296813965
United Kingdom,GBR,2004,31.2237091064453
United Kingdom,GBR,2005,30.7670803070068
United Kingdom,GBR,2006,30.770170211792
United Kingdom,GBR,2007,31.1008396148682
United Kingdom,GBR,2008,31.2053394317627
United Kingdom,GBR,2009,30.8596591949463
United Kingdom,GBR,2010,30.0978107452393
United Kingdom,GBR,2011,30.2472591400146
United Kingdom,GBR,2012,30.5577507019043
United Kingdom,GBR,2013,37.3073692321777
United Kingdom,GBR,2014,37.9036712646484
United States,USA,1999,30.4813499450684
United States,USA,2000,31.8148002624512
United States,USA,2001,31.885929107666
United States,USA,2002,32.0844306945801
United States,USA,2003,31.8929195404053
United States,USA,2004,30.800910949707
United States,USA,2005,31.0957508087158
United States,USA,2006,31.3272304534912
United States,USA,2007,31.008430480957
United States,USA,2008,30.9457397460938
United States,USA,2009,30.8981494903564
United States,USA,2010,30.9068908691406
United States,USA,2011,30.387580871582
United States,USA,2012,30.3907203674316
United States,USA,2013,31.0015296936035
United States,USA,2014,31.2564506530762
Uruguay,URY,2006,41.266788482666
Uruguay,URY,2007,49.4736785888672
Uruguay,URY,2008,47.8031616210938
Uruguay,URY,2009,44.5661315917969
Uruguay,URY,2010,44.3123893737793
Uzbekistan,UZB,2006,25.3075408935547
Uzbekistan,UZB,2007,24.8568592071533
Uzbekistan,UZB,2008,23.6022796630859
Uzbekistan,UZB,2009,23.9030704498291
Uzbekistan,UZB,2010,25.6234302520752
Uzbekistan,UZB,2011,28.1188697814941
Venezuela,VEN,2000,42.8057098388672
Vietnam,VNM,2005,19.9917507171631
Vietnam,VNM,2007,24.2565002441406
Vietnam,VNM,2008,22.4293003082275
Vietnam,VNM,2009,24.3362503051758
Vietnam,VNM,2010,23.4851093292236
Vietnam,VNM,2012,25.2475299835205
Vietnam,VNM,2013,31.0492095947266
Vietnam,VNM,2014,35.0687789916992
Zimbabwe,ZWE,2010,19.3612194061279
Zimbabwe,ZWE,2011,26.8386402130127
Zimbabwe,ZWE,2012,26.9708404541016
Zimbabwe,ZWE,2013,30.0399208068848
