Entity,Code,Year,"Literacy rate, adult total (% of people ages 15 and above) (% of people ages 15 and above)"
Heavily indebted poor countries (HIPC),,1986,43.45291
Heavily indebted poor countries (HIPC),,1987,44.06938
Heavily indebted poor countries (HIPC),,1988,44.46545
Heavily indebted poor countries (HIPC),,1989,45.07521
Heavily indebted poor countries (HIPC),,1990,45.66152
Heavily indebted poor countries (HIPC),,1991,45.88881
Heavily indebted poor countries (HIPC),,1992,46.14428
Heavily indebted poor countries (HIPC),,1993,46.52509
Heavily indebted poor countries (HIPC),,1994,47.12167
Heavily indebted poor countries (HIPC),,1995,47.0962
Heavily indebted poor countries (HIPC),,1996,47.58332
Heavily indebted poor countries (HIPC),,1997,48.4216
Heavily indebted poor countries (HIPC),,1998,49.10092
Heavily indebted poor countries (HIPC),,1999,49.92181
Heavily indebted poor countries (HIPC),,2000,50.65659
Heavily indebted poor countries (HIPC),,2001,51.51085
Heavily indebted poor countries (HIPC),,2002,51.99348
Heavily indebted poor countries (HIPC),,2003,52.79801
Heavily indebted poor countries (HIPC),,2004,54.62963
Heavily indebted poor countries (HIPC),,2005,53.84913
Heavily indebted poor countries (HIPC),,2006,52.73906
Heavily indebted poor countries (HIPC),,2007,54.09223
Heavily indebted poor countries (HIPC),,2008,53.55455
Heavily indebted poor countries (HIPC),,2009,54.30983
Heavily indebted poor countries (HIPC),,2010,54.82559
Heavily indebted poor countries (HIPC),,2011,56.89923
Heavily indebted poor countries (HIPC),,2012,58.00544
Heavily indebted poor countries (HIPC),,2013,58.50274
Heavily indebted poor countries (HIPC),,2014,59.41668
Heavily indebted poor countries (HIPC),,2015,59.90456
Heavily indebted poor countries (HIPC),,2016,60.77073
Honduras,HND,2001,80.0110321044922
Honduras,HND,2007,83.5889892578125
Honduras,HND,2010,84.7553634643555
Honduras,HND,2011,85.1232986450195
Honduras,HND,2012,85.3555526733398
Honduras,HND,2013,85.4644165039063
Honduras,HND,2014,87.1975326538086
Honduras,HND,2015,87.9068298339844
Honduras,HND,2016,88.9874801635742
Hungary,HUN,1980,98.8582916259766
IBRD only,,1975,62.58759
IBRD only,,1976,62.67184
IBRD only,,1977,62.93236
IBRD only,,1978,63.64889
IBRD only,,1979,64.34355
IBRD only,,1980,64.76492
IBRD only,,1981,65.58957
IBRD only,,1982,66.24716
IBRD only,,1983,67.1473
IBRD only,,1984,67.93354
IBRD only,,1985,68.63753
IBRD only,,1986,69.33167
IBRD only,,1987,70.13682
IBRD only,,1988,72.44585
IBRD only,,1989,73.02908
IBRD only,,1990,73.29665
IBRD only,,1991,74.16203
IBRD only,,1992,74.75261
IBRD only,,1993,75.2453
IBRD only,,1994,75.73376
IBRD only,,1995,76.24943
IBRD only,,1996,76.77279
IBRD only,,1997,79.72833
IBRD only,,1998,81.3297
IBRD only,,1999,81.70546
IBRD only,,2000,82.16627
IBRD only,,2001,82.47651
IBRD only,,2002,82.90266
IBRD only,,2003,83.56735
IBRD only,,2004,84.04603
IBRD only,,2005,84.14213
IBRD only,,2006,84.12843
IBRD only,,2007,85.19038
IBRD only,,2008,85.56507
IBRD only,,2009,85.96254
IBRD only,,2010,86.58421
IBRD only,,2011,86.95782
IBRD only,,2012,87.28245
IBRD only,,2013,87.49162
IBRD only,,2014,87.88014
IBRD only,,2015,88.19513
IBRD only,,2016,88.47576
IDA & IBRD total,,1975,59.75185
IDA & IBRD total,,1976,59.85188
IDA & IBRD total,,1977,60.12443
IDA & IBRD total,,1978,60.76529
IDA & IBRD total,,1979,61.39835
IDA & IBRD total,,1980,61.7862
IDA & IBRD total,,1981,62.51981
IDA & IBRD total,,1982,63.12207
IDA & IBRD total,,1983,63.91819
IDA & IBRD total,,1984,64.62472
IDA & IBRD total,,1985,65.26356
IDA & IBRD total,,1986,65.87361
IDA & IBRD total,,1987,66.61387
IDA & IBRD total,,1988,68.62101
IDA & IBRD total,,1989,69.17736
IDA & IBRD total,,1990,69.48651
IDA & IBRD total,,1991,70.2316
IDA & IBRD total,,1992,70.82899
IDA & IBRD total,,1993,71.34101
IDA & IBRD total,,1994,71.84471
IDA & IBRD total,,1995,72.32678
IDA & IBRD total,,1996,72.84234
IDA & IBRD total,,1997,75.32289
IDA & IBRD total,,1998,76.82315
IDA & IBRD total,,1999,77.23007
IDA & IBRD total,,2000,77.46237
IDA & IBRD total,,2001,77.80802
IDA & IBRD total,,2002,78.24086
IDA & IBRD total,,2003,78.87583
IDA & IBRD total,,2004,79.47708
IDA & IBRD total,,2005,79.46507
IDA & IBRD total,,2006,79.48224
IDA & IBRD total,,2007,80.13727
IDA & IBRD total,,2008,80.5512
IDA & IBRD total,,2009,80.96079
IDA & IBRD total,,2010,81.48666
IDA & IBRD total,,2011,81.50876
IDA & IBRD total,,2012,82.45983
IDA & IBRD total,,2013,82.62784
IDA & IBRD total,,2014,83.03593
IDA & IBRD total,,2015,83.30718
IDA & IBRD total,,2016,83.6039
IDA blend,,1976,55.66839
IDA blend,,1977,56.07061
IDA blend,,1978,56.42982
IDA blend,,1979,56.92451
IDA blend,,1980,57.06833
IDA blend,,1981,57.27525
IDA blend,,1982,57.69427
IDA blend,,1983,57.99995
IDA blend,,1984,58.30537
IDA blend,,1985,58.61733
IDA blend,,1986,58.74707
IDA blend,,1987,59.3379
IDA blend,,1988,59.91316
IDA blend,,1989,60.45726
IDA blend,,1990,61.01534
IDA blend,,1991,61.70856
IDA blend,,1992,63.03046
IDA blend,,1993,64.34891
IDA blend,,1994,64.99142
IDA blend,,1995,65.63143
IDA blend,,1996,66.35282
IDA blend,,1997,66.96472
IDA blend,,1998,67.89556
IDA blend,,1999,68.39514
IDA blend,,2000,66.00853
IDA blend,,2001,66.48758
IDA blend,,2002,67.0112
IDA blend,,2003,67.4354
IDA blend,,2004,68.39317
IDA blend,,2005,68.77011
IDA blend,,2006,70.32901
IDA blend,,2007,69.14341
IDA blend,,2008,69.00952
IDA blend,,2009,69.78101
IDA blend,,2010,70.08472
IDA blend,,2011,70.09351
IDA blend,,2012,71.02047
IDA blend,,2013,70.8738
IDA blend,,2014,71.57446
IDA blend,,2015,71.60799
IDA blend,,2016,72.10039
IDA only,,1982,43.57164
IDA only,,1983,43.94958
IDA only,,1984,44.37802
IDA only,,1985,44.81611
IDA only,,1986,45.19316
IDA only,,1987,45.65169
IDA only,,1988,46.52985
IDA only,,1989,47.07552
IDA only,,1990,47.62294
IDA only,,1991,47.80018
IDA only,,1992,48.24513
IDA only,,1993,48.65451
IDA only,,1994,49.47699
IDA only,,1995,49.94622
IDA only,,1996,50.48992
IDA only,,1997,51.24717
IDA only,,1998,52.74607
IDA only,,1999,53.59361
IDA only,,2000,54.27248
IDA only,,2001,55.01
IDA only,,2002,55.66175
IDA only,,2003,56.46831
IDA only,,2004,57.85124
IDA only,,2005,57.17919
IDA only,,2006,56.68516
IDA only,,2007,56.28747
IDA only,,2008,57.59355
IDA only,,2009,58.1898
IDA only,,2010,58.65433
IDA only,,2011,57.04047
IDA only,,2012,62.00721
IDA only,,2013,62.53668
IDA only,,2014,63.28254
IDA only,,2015,63.85725
IDA only,,2016,64.51302
IDA total,,1979,48.21119
IDA total,,1980,48.47281
IDA total,,1981,48.79185
IDA total,,1982,49.15676
IDA total,,1983,49.51111
IDA total,,1984,49.89397
IDA total,,1985,50.28397
IDA total,,1986,50.56473
IDA total,,1987,51.07519
IDA total,,1988,51.83059
IDA total,,1989,52.37024
IDA total,,1990,52.92686
IDA total,,1991,53.29509
IDA total,,1992,54.07009
IDA total,,1993,54.819
IDA total,,1994,55.55259
IDA total,,1995,56.07144
IDA total,,1996,56.67399
IDA total,,1997,57.36525
IDA total,,1998,58.63468
IDA total,,1999,59.33866
IDA total,,2000,58.82061
IDA total,,2001,59.45254
IDA total,,2002,60.04789
IDA total,,2003,60.6996
IDA total,,2004,61.91181
IDA total,,2005,61.6365
IDA total,,2006,61.92368
IDA total,,2007,61.21482
IDA total,,2008,61.9603
IDA total,,2009,62.61343
IDA total,,2010,63.00501
IDA total,,2011,61.98995
IDA total,,2012,65.41167
IDA total,,2013,65.67304
IDA total,,2014,66.38857
IDA total,,2015,66.74759
IDA total,,2016,67.32945
India,IND,1981,40.7635917663574
India,IND,1991,48.2220687866211
India,IND,2001,61.0145606994629
India,IND,2006,62.7544708251953
India,IND,2011,69.3025588989258
Indonesia,IDN,1980,67.3126678466797
Indonesia,IDN,1990,81.5198516845703
Indonesia,IDN,2004,90.3847885131836
Indonesia,IDN,2006,91.9822692871094
Indonesia,IDN,2008,92.1922988891602
Indonesia,IDN,2009,92.5817031860352
Indonesia,IDN,2011,92.8119125366211
Indonesia,IDN,2014,95.1162185668945
Indonesia,IDN,2015,95.2179336547852
Indonesia,IDN,2016,95.3769683837891
Iran,IRN,1976,36.5183982849121
Iran,IRN,1986,52.3197593688965
Iran,IRN,1991,65.5314025878906
Iran,IRN,1996,73.0602493286133
Iran,IRN,2002,77
Iran,IRN,2005,82.4412002563477
Iran,IRN,2006,82.3313217163086
Iran,IRN,2008,82.9623031616211
Iran,IRN,2012,83.6259918212891
Iran,IRN,2013,84.6268005371094
Iran,IRN,2014,84.7052383422852
Iraq,IRQ,2000,74.0522003173828
Iraq,IRQ,2013,43.6832809448242
Israel,ISR,1983,91.7514114379883
Italy,ITA,1981,96.4605407714844
Italy,ITA,2001,98.416618347168
Italy,ITA,2011,98.8482818603516
Jamaica,JAM,1999,79.9201202392578
Jordan,JOR,1979,66.7968063354492
Jordan,JOR,2003,89.8923187255859
Jordan,JOR,2005,91.1307525634766
Jordan,JOR,2007,92.199577331543
Jordan,JOR,2010,92.5510406494141
Jordan,JOR,2011,95.9044494628906
Jordan,JOR,2012,97.8903198242188
Kazakhstan,KAZ,1989,97.5293807983398
Kazakhstan,KAZ,1999,99.5126571655273
Kazakhstan,KAZ,2009,99.7324066162109
Kazakhstan,KAZ,2010,99.7816314697266
Kenya,KEN,2000,82.2290802001953
Kenya,KEN,2007,72.1570281982422
Kenya,KEN,2014,78.733039855957
Kuwait,KWT,1975,59.5643882751465
Kuwait,KWT,1980,67.5176620483398
Kuwait,KWT,1985,74.4908676147461
Kuwait,KWT,1995,78.3955001831055
Kuwait,KWT,2005,93.2744598388672
Kuwait,KWT,2006,93.2821197509766
Kuwait,KWT,2007,93.664192199707
Kuwait,KWT,2008,93.8983001708984
Kuwait,KWT,2010,94.4690093994141
Kuwait,KWT,2012,95.5131683349609
Kuwait,KWT,2013,95.585823059082
Kuwait,KWT,2015,95.6854476928711
Kyrgyzstan,KGZ,1999,98.7016067504883
Kyrgyzstan,KGZ,2009,99.2434310913086
Laos,LAO,1995,60.2513313293457
Laos,LAO,2000,69.583122253418
Laos,LAO,2001,68.7343902587891
Laos,LAO,2005,72.702262878418
Laos,LAO,2011,58.2879409790039
Late-demographic dividend,,1976,70.73661
Late-demographic dividend,,1977,70.74385
Late-demographic dividend,,1978,71.53153
Late-demographic dividend,,1979,72.33994
Late-demographic dividend,,1980,73.10039
Late-demographic dividend,,1981,73.87106
Late-demographic dividend,,1982,74.28142
Late-demographic dividend,,1983,75.39086
Late-demographic dividend,,1984,76.13861
Late-demographic dividend,,1985,76.87122
Late-demographic dividend,,1986,77.55823
Late-demographic dividend,,1987,78.24977
Late-demographic dividend,,1988,81.79756
Late-demographic dividend,,1989,82.33385
Late-demographic dividend,,1990,82.11533
Late-demographic dividend,,1991,83.31725
Late-demographic dividend,,1992,83.75127
Late-demographic dividend,,1993,84.17458
Late-demographic dividend,,1994,84.57621
Late-demographic dividend,,1995,84.99269
Late-demographic dividend,,1996,85.42614
Late-demographic dividend,,1997,90.25434
Late-demographic dividend,,1998,90.59605
Late-demographic dividend,,1999,90.89775
Late-demographic dividend,,2000,91.23161
Late-demographic dividend,,2001,91.49249
Late-demographic dividend,,2002,91.80114
Late-demographic dividend,,2003,92.18957
Late-demographic dividend,,2004,92.59892
Late-demographic dividend,,2005,92.92669
Late-demographic dividend,,2006,93.14288
Late-demographic dividend,,2007,94.13619
Late-demographic dividend,,2008,94.35744
Late-demographic dividend,,2009,94.6394
Late-demographic dividend,,2010,94.64499
Late-demographic dividend,,2011,95.16747
Late-demographic dividend,,2012,95.33672
Late-demographic dividend,,2013,95.39803
Late-demographic dividend,,2014,95.55239
Late-demographic dividend,,2015,95.73705
Late-demographic dividend,,2016,95.89059
Latin America & Caribbean,,1974,78.85941
Latin America & Caribbean,,1975,78.85387
Latin America & Caribbean,,1976,79.17918
Latin America & Caribbean,,1977,79.58256
Latin America & Caribbean,,1978,80.00656
Latin America & Caribbean,,1979,80.38887
Latin America & Caribbean,,1980,80.70915
Latin America & Caribbean,,1981,81.11073
Latin America & Caribbean,,1982,81.48251
Latin America & Caribbean,,1983,81.86233
Latin America & Caribbean,,1984,82.2288
Latin America & Caribbean,,1985,82.5858
Latin America & Caribbean,,1986,82.93958
Latin America & Caribbean,,1987,83.22897
Latin America & Caribbean,,1988,83.71908
Latin America & Caribbean,,1989,84.16259
Latin America & Caribbean,,1990,84.51249
Latin America & Caribbean,,1991,85.11954
Latin America & Caribbean,,1992,85.73411
Latin America & Caribbean,,1993,86.36115
Latin America & Caribbean,,1994,86.95404
Latin America & Caribbean,,1995,87.55793
Latin America & Caribbean,,1996,87.86614
Latin America & Caribbean,,1997,88.16563
Latin America & Caribbean,,1998,88.6274
Latin America & Caribbean,,1999,88.91745
Latin America & Caribbean,,2000,89.06632
Latin America & Caribbean,,2001,89.24804
Latin America & Caribbean,,2002,89.32667
Latin America & Caribbean,,2003,90.12549
Latin America & Caribbean,,2004,90.00452
Latin America & Caribbean,,2005,90.50969
Latin America & Caribbean,,2006,90.40762
Latin America & Caribbean,,2007,90.87187
Latin America & Caribbean,,2008,91.22701
Latin America & Caribbean,,2009,91.42324
Latin America & Caribbean,,2010,91.60362
Latin America & Caribbean,,2011,92.15993
Latin America & Caribbean,,2012,92.4093
Latin America & Caribbean,,2013,92.45332
Latin America & Caribbean,,2014,92.87993
Latin America & Caribbean,,2015,93.23081
Latin America & Caribbean,,2016,93.52506
Latin America & Caribbean (IDA & IBRD),,1974,78.11856
Latin America & Caribbean (IDA & IBRD),,1975,78.11896
Latin America & Caribbean (IDA & IBRD),,1976,78.46225
Latin America & Caribbean (IDA & IBRD),,1977,78.88394
Latin America & Caribbean (IDA & IBRD),,1978,79.32554
Latin America & Caribbean (IDA & IBRD),,1979,79.72453
Latin America & Caribbean (IDA & IBRD),,1980,80.06468
Latin America & Caribbean (IDA & IBRD),,1981,80.47937
Latin America & Caribbean (IDA & IBRD),,1982,80.86625
Latin America & Caribbean (IDA & IBRD),,1983,81.26291
Latin America & Caribbean (IDA & IBRD),,1984,81.64482
Latin America & Caribbean (IDA & IBRD),,1985,82.0153
Latin America & Caribbean (IDA & IBRD),,1986,82.38318
Latin America & Caribbean (IDA & IBRD),,1987,82.67917
Latin America & Caribbean (IDA & IBRD),,1988,83.1881
Latin America & Caribbean (IDA & IBRD),,1989,83.64951
Latin America & Caribbean (IDA & IBRD),,1990,84.00739
Latin America & Caribbean (IDA & IBRD),,1991,84.6413
Latin America & Caribbean (IDA & IBRD),,1992,85.2831
Latin America & Caribbean (IDA & IBRD),,1993,85.93795
Latin America & Caribbean (IDA & IBRD),,1994,86.55704
Latin America & Caribbean (IDA & IBRD),,1995,87.18694
Latin America & Caribbean (IDA & IBRD),,1996,87.50844
Latin America & Caribbean (IDA & IBRD),,1997,87.82117
Latin America & Caribbean (IDA & IBRD),,1998,88.30486
Latin America & Caribbean (IDA & IBRD),,1999,88.60978
Latin America & Caribbean (IDA & IBRD),,2000,88.76769
Latin America & Caribbean (IDA & IBRD),,2001,88.9582
Latin America & Caribbean (IDA & IBRD),,2002,89.04144
Latin America & Caribbean (IDA & IBRD),,2003,89.8689
Latin America & Caribbean (IDA & IBRD),,2004,89.74513
Latin America & Caribbean (IDA & IBRD),,2005,90.26876
Latin America & Caribbean (IDA & IBRD),,2006,90.16415
Latin America & Caribbean (IDA & IBRD),,2007,90.64489
Latin America & Caribbean (IDA & IBRD),,2008,91.01254
Latin America & Caribbean (IDA & IBRD),,2009,91.21955
Latin America & Caribbean (IDA & IBRD),,2010,91.40869
Latin America & Caribbean (IDA & IBRD),,2011,91.98063
Latin America & Caribbean (IDA & IBRD),,2012,92.23696
Latin America & Caribbean (IDA & IBRD),,2013,92.2839
Latin America & Caribbean (IDA & IBRD),,2014,92.72364
Latin America & Caribbean (IDA & IBRD),,2015,93.08523
Latin America & Caribbean (IDA & IBRD),,2016,93.38841
Latin America & Caribbean (excluding high income),,1974,78.10916
Latin America & Caribbean (excluding high income),,1975,78.10858
Latin America & Caribbean (excluding high income),,1976,78.45616
Latin America & Caribbean (excluding high income),,1977,78.88669
Latin America & Caribbean (excluding high income),,1978,79.32665
Latin America & Caribbean (excluding high income),,1979,79.7227
Latin America & Caribbean (excluding high income),,1980,80.05716
Latin America & Caribbean (excluding high income),,1981,80.46989
Latin America & Caribbean (excluding high income),,1982,80.85273
Latin America & Caribbean (excluding high income),,1983,81.25224
Latin America & Caribbean (excluding high income),,1984,81.63251
Latin America & Caribbean (excluding high income),,1985,82.0032
Latin America & Caribbean (excluding high income),,1986,82.37083
Latin America & Caribbean (excluding high income),,1987,82.66758
Latin America & Caribbean (excluding high income),,1988,83.18156
Latin America & Caribbean (excluding high income),,1989,83.61067
Latin America & Caribbean (excluding high income),,1990,83.96974
Latin America & Caribbean (excluding high income),,1991,84.60831
Latin America & Caribbean (excluding high income),,1992,85.2531
Latin America & Caribbean (excluding high income),,1993,85.91204
Latin America & Caribbean (excluding high income),,1994,86.53378
Latin America & Caribbean (excluding high income),,1995,87.16686
Latin America & Caribbean (excluding high income),,1996,87.48774
Latin America & Caribbean (excluding high income),,1997,87.79909
Latin America & Caribbean (excluding high income),,1998,88.28174
Latin America & Caribbean (excluding high income),,1999,88.58914
Latin America & Caribbean (excluding high income),,2000,88.74151
Latin America & Caribbean (excluding high income),,2001,88.92826
Latin America & Caribbean (excluding high income),,2002,89.00611
Latin America & Caribbean (excluding high income),,2003,89.84925
Latin America & Caribbean (excluding high income),,2004,89.71658
Latin America & Caribbean (excluding high income),,2005,90.24293
Latin America & Caribbean (excluding high income),,2006,90.1238
Latin America & Caribbean (excluding high income),,2007,90.53706
Latin America & Caribbean (excluding high income),,2008,90.9038
Latin America & Caribbean (excluding high income),,2009,91.11197
Latin America & Caribbean (excluding high income),,2010,91.33446
Latin America & Caribbean (excluding high income),,2011,91.94427
Latin America & Caribbean (excluding high income),,2012,92.1972
Latin America & Caribbean (excluding high income),,2013,92.26499
Latin America & Caribbean (excluding high income),,2014,92.70338
Latin America & Caribbean (excluding high income),,2015,93.06719
Latin America & Caribbean (excluding high income),,2016,93.37249
Latvia,LVA,1989,99.4523010253906
Latvia,LVA,2000,99.7465667724609
Latvia,LVA,2011,99.8958969116211
Least developed countries: UN classification,,1981,40.54463
Least developed countries: UN classification,,1982,40.88102
Least developed countries: UN classification,,1983,41.28745
Least developed countries: UN classification,,1984,41.73126
Least developed countries: UN classification,,1985,42.18135
Least developed countries: UN classification,,1986,42.55835
Least developed countries: UN classification,,1987,43.02458
Least developed countries: UN classification,,1988,43.93047
Least developed countries: UN classification,,1989,44.52779
Least developed countries: UN classification,,1990,45.09105
Least developed countries: UN classification,,1991,45.26102
Least developed countries: UN classification,,1992,45.73092
Least developed countries: UN classification,,1993,46.16239
Least developed countries: UN classification,,1994,47.05483
Least developed countries: UN classification,,1995,47.77504
Least developed countries: UN classification,,1996,48.30358
Least developed countries: UN classification,,1997,49.06913
Least developed countries: UN classification,,1998,50.63688
Least developed countries: UN classification,,1999,51.54112
Least developed countries: UN classification,,2000,51.99469
Least developed countries: UN classification,,2001,52.67646
Least developed countries: UN classification,,2002,53.33059
Least developed countries: UN classification,,2003,54.16402
Least developed countries: UN classification,,2004,55.65092
Least developed countries: UN classification,,2005,55.41898
Least developed countries: UN classification,,2006,54.80268
Least developed countries: UN classification,,2007,54.21679
Least developed countries: UN classification,,2008,55.51192
Least developed countries: UN classification,,2009,56.46687
Least developed countries: UN classification,,2010,56.8266
Least developed countries: UN classification,,2011,54.96615
Least developed countries: UN classification,,2012,60.3688
Least developed countries: UN classification,,2013,60.90744
Least developed countries: UN classification,,2014,61.68538
Least developed countries: UN classification,,2015,62.25665
Least developed countries: UN classification,,2016,62.94581
Lebanon,LBN,2007,89.6124420166016
Lebanon,LBN,2009,91.1841888427734
Lesotho,LSO,2000,86.2544326782227
Lesotho,LSO,2009,75.8002014160156
Lesotho,LSO,2014,76.6352005004883
Liberia,LBR,1984,32.1067695617676
Liberia,LBR,2007,42.9410781860352
Libya,LBY,1984,60.1643905639648
Lithuania,LTU,1989,98.4412689208984
Lithuania,LTU,2001,99.645751953125
Lithuania,LTU,2011,99.8155975341797
Low & middle income,,1975,59.33816
Low & middle income,,1976,59.44776
Low & middle income,,1977,59.73222
Low & middle income,,1978,60.38849
Low & middle income,,1979,61.03692
Low & middle income,,1980,61.43789
Low & middle income,,1981,62.18995
Low & middle income,,1982,62.80778
Low & middle income,,1983,63.62126
Low & middle income,,1984,64.34374
Low & middle income,,1985,64.99809
Low & middle income,,1986,65.62143
Low & middle income,,1987,66.37659
Low & middle income,,1988,68.40808
Low & middle income,,1989,68.97242
Low & middle income,,1990,69.28267
Low & middle income,,1991,70.03745
Low & middle income,,1992,70.64224
Low & middle income,,1993,71.16054
Low & middle income,,1994,71.66999
Low & middle income,,1995,72.15757
Low & middle income,,1996,72.67889
Low & middle income,,1997,75.17753
Low & middle income,,1998,76.6895
Low & middle income,,1999,77.10099
Low & middle income,,2000,77.33614
Low & middle income,,2001,77.68525
Low & middle income,,2002,78.12303
Low & middle income,,2003,78.76401
Low & middle income,,2004,79.37
Low & middle income,,2005,79.35941
Low & middle income,,2006,79.37729
Low & middle income,,2007,80.03067
Low & middle income,,2008,80.44711
Low & middle income,,2009,80.86176
Low & middle income,,2010,81.3955
Low & middle income,,2011,81.42259
Low & middle income,,2012,82.38006
Low & middle income,,2013,82.55274
Low & middle income,,2014,82.96363
Low & middle income,,2015,83.23758
Low & middle income,,2016,83.53696
Low income,,1985,43.41036
Low income,,1986,43.88183
Low income,,1987,44.52141
Low income,,1988,45.2049
Low income,,1989,45.78975
Low income,,1990,46.36885
Low income,,1991,46.62825
Low income,,1992,46.96216
Low income,,1993,47.25052
Low income,,1994,47.84493
Low income,,1995,48.13387
Low income,,1996,48.50648
Low income,,1997,49.25546
Low income,,1998,49.79527
Low income,,1999,50.34502
Low income,,2000,50.67088
Low income,,2001,51.36116
Low income,,2002,51.64633
Low income,,2003,52.2903
Low income,,2004,54.1117
Low income,,2005,53.26303
Low income,,2006,53.08421
Low income,,2007,54.23258
Low income,,2008,53.40461
Low income,,2009,54.6644
Low income,,2010,54.75829
Low income,,2011,56.81752
Low income,,2012,57.95468
Low income,,2013,58.38585
Low income,,2014,59.2793
Low income,,2015,59.75239
Low income,,2016,60.58161
Lower middle income,,1975,49.8533
Lower middle income,,1976,50.00655
Lower middle income,,1977,50.51745
Lower middle income,,1978,51.04162
Lower middle income,,1979,51.58586
Lower middle income,,1980,51.48585
Lower middle income,,1981,52.22207
Lower middle income,,1982,53.05178
Lower middle income,,1983,53.50155
Lower middle income,,1984,54.01775
Lower middle income,,1985,54.53955
Lower middle income,,1986,55.05527
Lower middle income,,1987,55.91705
Lower middle income,,1988,56.51964
Lower middle income,,1989,57.16152
Lower middle income,,1990,57.80083
Lower middle income,,1991,58.3053
Lower middle income,,1992,59.2215
Lower middle income,,1993,59.95408
Lower middle income,,1994,60.65868
Lower middle income,,1995,61.33435
Lower middle income,,1996,62.07624
Lower middle income,,1997,62.7121
Lower middle income,,1998,65.84399
Lower middle income,,1999,66.48792
Lower middle income,,2000,66.67575
Lower middle income,,2001,67.18486
Lower middle income,,2002,68.01937
Lower middle income,,2003,68.84452
Lower middle income,,2004,69.55523
Lower middle income,,2005,69.40597
Lower middle income,,2006,69.41222
Lower middle income,,2007,69.83738
Lower middle income,,2008,70.7936
Lower middle income,,2009,71.43398
Lower middle income,,2010,72.71435
Lower middle income,,2011,72.24664
Lower middle income,,2012,74.21019
Lower middle income,,2013,74.65994
Lower middle income,,2014,75.36975
Lower middle income,,2015,75.83826
Lower middle income,,2016,76.35028
Macao,MAC,1981,90.3781814575195
Macao,MAC,2001,91.2953720092773
Macao,MAC,2006,93.4997482299805
Macao,MAC,2011,95.6400375366211
Macao,MAC,2016,96.5384902954102
Macedonia,MKD,1994,94.0587463378906
Macedonia,MKD,2002,96.1289291381836
Madagascar,MDG,2000,70.6861724853516
Madagascar,MDG,2009,64.4809112548828
Madagascar,MDG,2012,71.5726165771484
Malawi,MWI,1987,48.5366516113281
Malawi,MWI,1998,64.1342468261719
Malawi,MWI,2010,61.3097190856934
Malawi,MWI,2014,65.1453704833984
Malawi,MWI,2015,62.1435394287109
Malaysia,MYS,1980,69.5163269042969
Malaysia,MYS,1991,82.9153671264648
Malaysia,MYS,2000,88.6877593994141
Malaysia,MYS,2010,93.1178894042969
Maldives,MDV,1977,82.2999572753906
Maldives,MDV,1985,92.2300491333008
Maldives,MDV,1990,96.0182571411133
Maldives,MDV,1995,96.3264999389648
Maldives,MDV,2006,98.3979034423828
Maldives,MDV,2014,98.6101226806641
Mali,MLI,1976,9.43381023406982
Mali,MLI,1998,19.0449695587158
Mali,MLI,2003,24
Mali,MLI,2006,26.176549911499
Mali,MLI,2010,31.0997505187988
Mali,MLI,2011,33.5609397888184
Mali,MLI,2015,33.0688896179199
Malta,MLT,1985,86.9298400878906
Malta,MLT,1995,87.8686981201172
Malta,MLT,2005,92.3630905151367
Malta,MLT,2011,93.3073577880859
Marshall Islands,MHL,2011,98.2650833129883
Mauritania,MRT,2000,51.2076797485352
Mauritania,MRT,2007,45.5037803649902
Mauritius,MUS,1990,79.8686599731445
Mauritius,MUS,2000,84.303092956543
Mauritius,MUS,2011,89.2498397827148
Mauritius,MUS,2012,91.7660064697266
Mauritius,MUS,2013,91.4900283813477
Mauritius,MUS,2014,92.4747619628906
Mauritius,MUS,2015,92.7076034545898
Mexico,MEX,1980,82.9892425537109
Mexico,MEX,1990,87.55615234375
Mexico,MEX,2000,90.5356216430664
Mexico,MEX,2002,90.2746505737305
Mexico,MEX,2004,90.953742980957
Mexico,MEX,2005,91.6302719116211
Mexico,MEX,2006,91.7345199584961
Mexico,MEX,2007,92.7951736450195
Mexico,MEX,2008,92.9255981445313
Mexico,MEX,2009,93.4418792724609
Mexico,MEX,2010,93.0689392089844
Mexico,MEX,2011,93.5199813842773
Mexico,MEX,2012,94.228401184082
Mexico,MEX,2013,93.9628524780273
Mexico,MEX,2014,94.5558776855469
Mexico,MEX,2015,94.472282409668
Middle East & North Africa,,1973,42.82216
Middle East & North Africa,,1974,43.31976
Middle East & North Africa,,1975,43.85004
Middle East & North Africa,,1976,44.41685
Middle East & North Africa,,1977,44.98234
Middle East & North Africa,,1978,45.66755
Middle East & North Africa,,1979,46.37866
Middle East & North Africa,,1980,47.14337
Middle East & North Africa,,1981,47.89356
Middle East & North Africa,,1982,48.69104
Middle East & North Africa,,1983,49.42488
Middle East & North Africa,,1984,50.3887
Middle East & North Africa,,1985,51.36992
Middle East & North Africa,,1986,52.51943
Middle East & North Africa,,1987,53.21982
Middle East & North Africa,,1988,54.34073
Middle East & North Africa,,1989,55.39388
Middle East & North Africa,,1990,57.83767
Middle East & North Africa,,1991,59.07494
Middle East & North Africa,,1992,60.04862
Middle East & North Africa,,1993,60.90978
Middle East & North Africa,,1994,61.86669
Middle East & North Africa,,1995,63.33888
Middle East & North Africa,,1996,64.77112
Middle East & North Africa,,1997,65.62785
Middle East & North Africa,,1998,66.84308
Middle East & North Africa,,1999,67.91677
Middle East & North Africa,,2000,68.91087
