Entity,Code,Year,"Age-standardised death rates from air pollution (per 100,000)- IHME GBD SDG indicators (Percent)"
Saudi Arabia,SAU,1995,78.7
Saudi Arabia,SAU,2000,75.2
Saudi Arabia,SAU,2005,70.5
Saudi Arabia,SAU,2010,72.8
Saudi Arabia,SAU,2015,67.3
Senegal,SEN,1990,213.5
Senegal,SEN,1995,207.3
Senegal,SEN,2000,198.5
Senegal,SEN,2005,181.6
Senegal,SEN,2010,191.2
Senegal,SEN,2015,196.3
Serbia,SRB,1990,142.4
Serbia,SRB,1995,149.3
Serbia,SRB,2000,143.6
Serbia,SRB,2005,113.1
Serbia,SRB,2010,94.6
Serbia,SRB,2015,81.9
Seychelles,SYC,1990,78
Seychelles,SYC,1995,68.1
Seychelles,SYC,2000,58.3
Seychelles,SYC,2005,53.8
Seychelles,SYC,2010,42.4
Seychelles,SYC,2015,35.9
Sierra Leone,SLE,1990,264.5
Sierra Leone,SLE,1995,259.4
Sierra Leone,SLE,2000,271.6
Sierra Leone,SLE,2005,285.7
Sierra Leone,SLE,2010,281.4
Sierra Leone,SLE,2015,253.2
Singapore,SGP,1990,65.3
Singapore,SGP,1995,60.2
Singapore,SGP,2000,48.9
Singapore,SGP,2005,48.6
Singapore,SGP,2010,35.3
Singapore,SGP,2015,33
Slovakia,SVK,1990,128.8
Slovakia,SVK,1995,99.2
Slovakia,SVK,2000,83.7
Slovakia,SVK,2005,69.8
Slovakia,SVK,2010,60.6
Slovakia,SVK,2015,49.7
Slovenia,SVN,1990,82.8
Slovenia,SVN,1995,68.4
Slovenia,SVN,2000,54.3
Slovenia,SVN,2005,41.2
Slovenia,SVN,2010,32.3
Slovenia,SVN,2015,31.2
Solomon Islands,SLB,1990,245
Solomon Islands,SLB,1995,229.2
Solomon Islands,SLB,2000,219.4
Solomon Islands,SLB,2005,221.3
Solomon Islands,SLB,2010,195.7
Solomon Islands,SLB,2015,179.1
Somalia,SOM,1990,310.7
Somalia,SOM,1995,305.2
Somalia,SOM,2000,293.3
Somalia,SOM,2005,271.5
Somalia,SOM,2010,274.3
Somalia,SOM,2015,264.5
South Africa,ZAF,1990,197.6
South Africa,ZAF,1995,180.5
South Africa,ZAF,2000,202.6
South Africa,ZAF,2005,164.1
South Africa,ZAF,2010,124.4
South Africa,ZAF,2015,106.7
South Korea,KOR,1990,69.3
South Korea,KOR,1995,52.5
South Korea,KOR,2000,42
South Korea,KOR,2005,32.8
South Korea,KOR,2010,27.6
South Korea,KOR,2015,28.3
South Sudan,SSD,1990,276.5
South Sudan,SSD,1995,265.8
South Sudan,SSD,2000,241
South Sudan,SSD,2005,227.1
South Sudan,SSD,2010,230.4
South Sudan,SSD,2015,232.6
Spain,ESP,1990,29.7
Spain,ESP,1995,27
Spain,ESP,2000,24.8
Spain,ESP,2005,21.2
Spain,ESP,2010,16.8
Spain,ESP,2015,15.4
Sri Lanka,LKA,1990,120.2
Sri Lanka,LKA,1995,108.6
Sri Lanka,LKA,2000,110.3
Sri Lanka,LKA,2005,110.9
Sri Lanka,LKA,2010,94
Sri Lanka,LKA,2015,79.4
Sudan,SDN,1990,281.4
Sudan,SDN,1995,271.5
Sudan,SDN,2000,253.9
Sudan,SDN,2005,240.2
Sudan,SDN,2010,211.7
Sudan,SDN,2015,191.6
Suriname,SUR,1990,116.8
Suriname,SUR,1995,104
Suriname,SUR,2000,94.9
Suriname,SUR,2005,71.5
Suriname,SUR,2010,54.5
Suriname,SUR,2015,50.5
Swaziland,SWZ,1990,273.4
Swaziland,SWZ,1995,227.7
Swaziland,SWZ,2000,279.2
Swaziland,SWZ,2005,337.6
Swaziland,SWZ,2010,297
Swaziland,SWZ,2015,251.8
Sweden,SWE,1990,21.4
Sweden,SWE,1995,17.2
Sweden,SWE,2000,14.5
Sweden,SWE,2005,10.7
Sweden,SWE,2010,9.6
Sweden,SWE,2015,11.4
Switzerland,CHE,1990,31.2
Switzerland,CHE,1995,27.6
Switzerland,CHE,2000,23.4
Switzerland,CHE,2005,18.8
Switzerland,CHE,2010,16.2
Switzerland,CHE,2015,16.4
Syria,SYR,1990,105
Syria,SYR,1995,89.4
Syria,SYR,2000,80.3
Syria,SYR,2005,73.7
Syria,SYR,2010,73.9
Syria,SYR,2015,74.6
Taiwan,TWN,1990,53.5
Taiwan,TWN,1995,47.3
Taiwan,TWN,2000,42.1
Taiwan,TWN,2005,39.7
Taiwan,TWN,2010,37.6
Taiwan,TWN,2015,35.8
Tajikistan,TJK,1990,292.5
Tajikistan,TJK,1995,304.3
Tajikistan,TJK,2000,292.6
Tajikistan,TJK,2005,222.4
Tajikistan,TJK,2010,183.7
Tajikistan,TJK,2015,153.9
Tanzania,TZA,1990,233.2
Tanzania,TZA,1995,230.9
Tanzania,TZA,2000,210.3
Tanzania,TZA,2005,187.6
Tanzania,TZA,2010,175.5
Tanzania,TZA,2015,176.3
Thailand,THA,1990,118.7
Thailand,THA,1995,109.2
Thailand,THA,2000,99.9
Thailand,THA,2005,83.8
Thailand,THA,2010,73.7
Thailand,THA,2015,71.7
Timor-Leste,,1990,212.4
Timor-Leste,,1995,190
Timor-Leste,,2000,172.4
Timor-Leste,,2005,157.6
Timor-Leste,,2010,129.9
Timor-Leste,,2015,121.8
Togo,TGO,1990,260.7
Togo,TGO,1995,265.3
Togo,TGO,2000,277.4
Togo,TGO,2005,260.2
Togo,TGO,2010,249.6
Togo,TGO,2015,234.1
Tonga,TON,1990,108.8
Tonga,TON,1995,101.8
Tonga,TON,2000,93.1
Tonga,TON,2005,77.5
Tonga,TON,2010,58.8
Tonga,TON,2015,51
Trinidad and Tobago,TTO,1990,73.2
Trinidad and Tobago,TTO,1995,68.2
Trinidad and Tobago,TTO,2000,60.2
Trinidad and Tobago,TTO,2005,43.2
Trinidad and Tobago,TTO,2010,36.3
Trinidad and Tobago,TTO,2015,38.5
Tunisia,TUN,1990,79.2
Tunisia,TUN,1995,74.8
Tunisia,TUN,2000,59.7
Tunisia,TUN,2005,46
Tunisia,TUN,2010,45.7
Tunisia,TUN,2015,49.4
Turkey,TUR,1990,119.8
Turkey,TUR,1995,101.4
Turkey,TUR,2000,77.9
Turkey,TUR,2005,58.9
Turkey,TUR,2010,46.4
Turkey,TUR,2015,45.5
Turkmenistan,TKM,1990,158.1
Turkmenistan,TKM,1995,163.2
Turkmenistan,TKM,2000,160.1
Turkmenistan,TKM,2005,115.6
Turkmenistan,TKM,2010,113.3
Turkmenistan,TKM,2015,102
Uganda,UGA,1990,270.3
Uganda,UGA,1995,276.5
Uganda,UGA,2000,276.1
Uganda,UGA,2005,255.2
Uganda,UGA,2010,223.9
Uganda,UGA,2015,217.1
Ukraine,UKR,1990,144.3
Ukraine,UKR,1995,153.2
Ukraine,UKR,2000,128.1
Ukraine,UKR,2005,115.9
Ukraine,UKR,2010,93.2
Ukraine,UKR,2015,82.9
United Arab Emirates,ARE,1990,117
United Arab Emirates,ARE,1995,112
United Arab Emirates,ARE,2000,106.1
United Arab Emirates,ARE,2005,85.6
United Arab Emirates,ARE,2010,89.1
United Arab Emirates,ARE,2015,87.5
United Kingdom,GBR,1990,50.6
United Kingdom,GBR,1995,44.5
United Kingdom,GBR,2000,37.5
United Kingdom,GBR,2005,29.7
United Kingdom,GBR,2010,24.7
United Kingdom,GBR,2015,23.7
United States,USA,1990,38.4
United States,USA,1995,35.6
United States,USA,2000,32.6
United States,USA,2005,28.2
United States,USA,2010,21.6
United States,USA,2015,20.7
Uruguay,URY,1990,48.4
Uruguay,URY,1995,44.3
Uruguay,URY,2000,38.4
Uruguay,URY,2005,33.4
Uruguay,URY,2010,30
Uruguay,URY,2015,27.5
Uzbekistan,UZB,1990,197
Uzbekistan,UZB,1995,197.7
Uzbekistan,UZB,2000,176.5
Uzbekistan,UZB,2005,151.9
Uzbekistan,UZB,2010,134.6
Uzbekistan,UZB,2015,122.3
Vanuatu,VUT,1990,243
Vanuatu,VUT,1995,235.5
Vanuatu,VUT,2000,223.1
Vanuatu,VUT,2005,216.3
Vanuatu,VUT,2010,185.9
Vanuatu,VUT,2015,167.9
Venezuela,VEN,1990,70.7
Venezuela,VEN,1995,63.3
Venezuela,VEN,2000,58.4
Venezuela,VEN,2005,51
Venezuela,VEN,2010,44.2
Venezuela,VEN,2015,45.9
Vietnam,VNM,1990,138.3
Vietnam,VNM,1995,136.1
Vietnam,VNM,2000,128.7
Vietnam,VNM,2005,116.3
Vietnam,VNM,2010,96.4
Vietnam,VNM,2015,86.7
Yemen,YEM,1990,302.4
Yemen,YEM,1995,265.5
Yemen,YEM,2000,235.4
Yemen,YEM,2005,204.8
Yemen,YEM,2010,193.5
Yemen,YEM,2015,183.4
Zambia,ZMB,1990,239.6
Zambia,ZMB,1995,275.1
Zambia,ZMB,2000,292
Zambia,ZMB,2005,295.1
Zambia,ZMB,2010,271
Zambia,ZMB,2015,243.1
Zimbabwe,ZWE,1990,171.3
Zimbabwe,ZWE,1995,166.1
Zimbabwe,ZWE,2000,203.7
Zimbabwe,ZWE,2005,246.4
Zimbabwe,ZWE,2010,236.6
Zimbabwe,ZWE,2015,181.2
