Entity,Code,Year,15.2.1 - Above-ground biomass in forest per hectare (tonnes per hectare) - AG_LND_FRSTBIOPHA (tonnes per hectare)
United Arab Emirates,ARE,2005,74.2
United Arab Emirates,ARE,2010,74.31
United Arab Emirates,ARE,2015,74.43
United Kingdom,GBR,2000,87
United Kingdom,GBR,2005,95.33
United Kingdom,GBR,2010,103.96
United Kingdom,GBR,2015,111.01
United States,USA,2000,86.41
United States,USA,2005,89.8
United States,USA,2010,92.3
United States,USA,2015,93.3
United States Virgin Islands,VIR,2000,17.59
United States Virgin Islands,VIR,2005,29.36
United States Virgin Islands,VIR,2010,40.2
United States Virgin Islands,VIR,2015,52.27
Uzbekistan,UZB,2000,6.46
Uzbekistan,UZB,2005,7.83
Uzbekistan,UZB,2010,8.72
Uzbekistan,UZB,2015,19.17
Vietnam,VNM,2000,131.83
Vietnam,VNM,2005,122.96
Vietnam,VNM,2010,116.44
Vietnam,VNM,2015,115.75
Wallis and Futuna,WLF,2000,196.21
Wallis and Futuna,WLF,2005,196.21
Wallis and Futuna,WLF,2010,194.16
Wallis and Futuna,WLF,2015,193.83
Western Africa,,2000,126.31068
Western Africa,,2005,123.81784
Western Africa,,2010,122.39333
Western Africa,,2015,120.0393
Western Asia,,2000,87.6205
Western Asia,,2005,89.41418
Western Asia,,2010,93.93913
Western Asia,,2015,99.46511
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,2000,82.62204
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,2005,84.58345
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,2010,90.20755
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,2015,97.28719
Western Sahara,ESH,2000,71.06
Western Sahara,ESH,2005,71.06
Western Sahara,ESH,2010,71.06
Western Sahara,ESH,2015,71.06
World,OWID_WRL,2000,127.72533
World,OWID_WRL,2005,127.18985
World,OWID_WRL,2010,126.91864
World,OWID_WRL,2015,127.34836
Yemen,YEM,2000,13.99
Yemen,YEM,2005,13.99
Yemen,YEM,2010,13.99
Yemen,YEM,2015,13.99
Zambia,ZMB,2000,83.8
Zambia,ZMB,2005,83.8
Zambia,ZMB,2010,83.8
Zambia,ZMB,2015,85.24
Zimbabwe,ZWE,2000,52.72
Zimbabwe,ZWE,2005,52.67
Zimbabwe,ZWE,2010,52.68
Zimbabwe,ZWE,2015,52.7
