Entity,Code,Year,15.2.1 - Forest area net change rate (%) - AG_LND_FRSTCHG (%)
Uzbekistan,UZB,2010,-0.11864
Uzbekistan,UZB,2015,-0.34182
Vanuatu,VUT,2005,0
Vanuatu,VUT,2010,0
Vanuatu,VUT,2015,0
Venezuela,VEN,2005,-0.59211
Venezuela,VEN,2010,-0.08734
Venezuela,VEN,2015,-0.34849
Vietnam,VNM,2005,2.20314
Vietnam,VNM,2010,1.55809
Vietnam,VNM,2015,0.89685
Wallis and Futuna,WLF,2005,0
Wallis and Futuna,WLF,2010,0.0344
Wallis and Futuna,WLF,2015,0.03434
Western Africa,,2005,-1.21945
Western Africa,,2010,-1.28476
Western Africa,,2015,-1.23224
Western Asia,,2005,0.60257
Western Asia,,2010,0.81136
Western Asia,,2015,0.68238
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,2005,0.76284
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,2010,0.80957
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,2015,0.69874
Western Sahara,ESH,2005,0
Western Sahara,ESH,2010,0
Western Sahara,ESH,2015,0
World,OWID_WRL,2005,-0.11631
World,OWID_WRL,2010,-0.08773
World,OWID_WRL,2015,-0.08546
Yemen,YEM,2005,0
Yemen,YEM,2010,0
Yemen,YEM,2015,0
Zambia,ZMB,2005,-0.32795
Zambia,ZMB,2010,-0.33342
Zambia,ZMB,2015,-0.33908
Zimbabwe,ZWE,2005,-1.79393
Zimbabwe,ZWE,2010,-1.97083
Zimbabwe,ZWE,2015,-2.08461
