Entity,Code,Year,Number of people without access to safe sanitation (people)
Israel,ISR,2014,886113.3425
Israel,ISR,2015,857933.5119
Italy,ITA,2000,56942108
Italy,ITA,2001,56974100
Italy,ITA,2002,57059007
Italy,ITA,2003,57313203
Italy,ITA,2004,57685327
Italy,ITA,2005,57969484
Italy,ITA,2006,1740521.591
Italy,ITA,2007,1846962.652
Italy,ITA,2008,2085443.578
Italy,ITA,2009,2235535.681
Italy,ITA,2010,2325098.325
Italy,ITA,2011,2363246.804
Italy,ITA,2012,2490529.884
Italy,ITA,2013,3175870.451
Italy,ITA,2014,3737146.265
Italy,ITA,2015,3667831.715
Japan,JPN,2000,3373186.273
Japan,JPN,2001,3195319.437
Japan,JPN,2002,2999360.835
Japan,JPN,2003,2804028.767
Japan,JPN,2004,2418853.513
Japan,JPN,2005,2053419.888
Japan,JPN,2006,1812230.621
Japan,JPN,2007,1689055.131
Japan,JPN,2008,1534237.9
Japan,JPN,2009,1354296.366
Japan,JPN,2010,1265546.03
Japan,JPN,2011,970862.5082
Japan,JPN,2012,763716.5065
Japan,JPN,2013,676735.8312
Japan,JPN,2014,705805.8799
Japan,JPN,2015,822825.921
Jordan,JOR,2000,1447851.194
Jordan,JOR,2001,1470030.406
Jordan,JOR,2002,1490090.233
Jordan,JOR,2003,1515424.832
Jordan,JOR,2004,1553128.004
Jordan,JOR,2005,1605763.231
Jordan,JOR,2006,1672325.854
Jordan,JOR,2007,1753045.141
Jordan,JOR,2008,1854866.108
Jordan,JOR,2009,1986525.898
Jordan,JOR,2010,2152590.368
Jordan,JOR,2011,2356516.225
Jordan,JOR,2012,2592019.889
Jordan,JOR,2013,2841412.373
Jordan,JOR,2014,3080598.844
Jordan,JOR,2015,3291604.352
Kuwait,KWT,2000,121271
Kuwait,KWT,2001,119333
Kuwait,KWT,2002,101618
Kuwait,KWT,2003,73125
Kuwait,KWT,2004,41595
Kuwait,KWT,2005,13019
Kuwait,KWT,2013,4696
Kuwait,KWT,2014,29329
Kuwait,KWT,2015,43679
Kyrgyzstan,KGZ,2000,4898400
Kyrgyzstan,KGZ,2001,4945100
Kyrgyzstan,KGZ,2002,4990700
Kyrgyzstan,KGZ,2003,5043300
Kyrgyzstan,KGZ,2004,5104700
Kyrgyzstan,KGZ,2005,5162600
Kyrgyzstan,KGZ,2006,5218400
Kyrgyzstan,KGZ,2007,5268400
Kyrgyzstan,KGZ,2008,5318700
Kyrgyzstan,KGZ,2009,5383300
Kyrgyzstan,KGZ,2010,5447900
Kyrgyzstan,KGZ,2011,5514600
Kyrgyzstan,KGZ,2012,5607200
Kyrgyzstan,KGZ,2013,5719600
Kyrgyzstan,KGZ,2014,5835500
Kyrgyzstan,KGZ,2015,5956900
Latvia,LVA,2000,667954.4718
Latvia,LVA,2001,657027.8566
Latvia,LVA,2002,645524.1687
Latvia,LVA,2003,639659.6311
Latvia,LVA,2004,630781.374
Latvia,LVA,2005,622114.8508
Latvia,LVA,2006,609459.2637
Latvia,LVA,2007,599154.827
Latvia,LVA,2008,583773.0926
Latvia,LVA,2009,555877.7887
Latvia,LVA,2010,519746.4502
Latvia,LVA,2011,490242.2023
Latvia,LVA,2012,473280.8345
Latvia,LVA,2013,459308.0451
Latvia,LVA,2014,446242.8878
Latvia,LVA,2015,433125.331
Lebanon,LBN,2000,2709961.727
Lebanon,LBN,2001,2814237.564
Lebanon,LBN,2002,2950750.803
Lebanon,LBN,2003,3089464.151
Lebanon,LBN,2004,3213130.593
Lebanon,LBN,2005,3304168.813
Lebanon,LBN,2006,3350696.005
Lebanon,LBN,2007,3362829.922
Lebanon,LBN,2008,3371057.844
Lebanon,LBN,2009,3417816.243
Lebanon,LBN,2010,3530577.738
Lebanon,LBN,2011,3720938.838
Lebanon,LBN,2012,3971640.618
Lebanon,LBN,2013,4246166.515
Lebanon,LBN,2014,4493474.598
Lebanon,LBN,2015,4677242.003
Libya,LBY,2000,3831081.351
Libya,LBY,2001,3889889.693
Libya,LBY,2002,3951117.986
Libya,LBY,2003,4013609.46
Libya,LBY,2004,4075547.379
Libya,LBY,2005,4135390.08
Libya,LBY,2006,4207638.038
Libya,LBY,2007,4279138.587
Libya,LBY,2008,4346450.035
Libya,LBY,2009,4404916.797
Libya,LBY,2010,4451742.339
Libya,LBY,2011,4484363.165
Libya,LBY,2012,4505086.28
Libya,LBY,2013,4521990.559
Libya,LBY,2014,4546482.465
Libya,LBY,2015,4586705.326
Liechtenstein,LIE,2000,228.6535
Liechtenstein,LIE,2001,235.22525
Liechtenstein,LIE,2002,252.46625
Liechtenstein,LIE,2003,262.4575
Liechtenstein,LIE,2004,260.34075
Liechtenstein,LIE,2005,235.251
Liechtenstein,LIE,2006,191.20175
Liechtenstein,LIE,2007,130.15925
Liechtenstein,LIE,2008,61.11675
Liechtenstein,LIE,2009,5.027
Liechtenstein,LIE,2012,2.33925
Liechtenstein,LIE,2013,44.02
Liechtenstein,LIE,2014,92.6805
Liechtenstein,LIE,2015,125.33425
Lithuania,LTU,2000,1610056.144
Lithuania,LTU,2001,1579428.113
Lithuania,LTU,2002,1549488.276
Lithuania,LTU,2003,1519861.969
Lithuania,LTU,2004,1481644.895
Lithuania,LTU,2005,1429240.574
Lithuania,LTU,2006,1381122.486
Lithuania,LTU,2007,1349436.668
Lithuania,LTU,2008,1325661.569
Lithuania,LTU,2009,1302104.037
Lithuania,LTU,2010,1250308.419
Lithuania,LTU,2011,1197002.071
Lithuania,LTU,2012,1174790.816
Lithuania,LTU,2013,1162995.165
Lithuania,LTU,2014,1156710.328
Lithuania,LTU,2015,1143267.177
Luxembourg,LUX,2000,29614.41326
Luxembourg,LUX,2001,30820.2094
Luxembourg,LUX,2002,32026.49495
Luxembourg,LUX,2003,33982.37373
Luxembourg,LUX,2004,36098.16426
Luxembourg,LUX,2005,37397.78335
Luxembourg,LUX,2006,37544.89682
Luxembourg,LUX,2007,36203.33222
Luxembourg,LUX,2008,35024.4314
Luxembourg,LUX,2009,33568.31536
Luxembourg,LUX,2010,31721.6225
Luxembourg,LUX,2011,31665.99398
Luxembourg,LUX,2012,32436.08061
Luxembourg,LUX,2013,33109.24756
Luxembourg,LUX,2014,35001.21221
Luxembourg,LUX,2015,38299.12987
Macao,MAC,2001,438081
Macao,MAC,2002,448896
Macao,MAC,2003,460147
Macao,MAC,2004,471453
Macao,MAC,2005,482559
Macao,MAC,2006,493320
Macao,MAC,2007,503823
Macao,MAC,2008,514348
Macao,MAC,2009,525313
Macao,MAC,2010,536969
Macao,MAC,2011,549439
Macao,MAC,2012,562531
Macao,MAC,2013,575841
Macao,MAC,2014,588781
Macao,MAC,2015,600942
Macedonia,MKD,2000,2034819
Macedonia,MKD,2001,2042842
Macedonia,MKD,2002,2048928
Macedonia,MKD,2003,2053426
Macedonia,MKD,2004,2057047
Macedonia,MKD,2005,2060272
Macedonia,MKD,2006,2063145
Macedonia,MKD,2007,2065458
Macedonia,MKD,2008,2067378
Macedonia,MKD,2009,2069093
Macedonia,MKD,2010,2070739
Macedonia,MKD,2011,2072383
Macedonia,MKD,2012,2074036
Macedonia,MKD,2013,2075739
Macedonia,MKD,2014,2077495
Macedonia,MKD,2015,2079308
Malaysia,MYS,2000,4904506.872
Malaysia,MYS,2001,4956151.801
Malaysia,MYS,2002,5007583.165
Malaysia,MYS,2003,5057910.434
Malaysia,MYS,2004,5105914.73
Malaysia,MYS,2005,5151225.992
Malaysia,MYS,2006,5191673.422
Malaysia,MYS,2007,5228309.099
Malaysia,MYS,2008,5267127.716
Malaysia,MYS,2009,5316487.717
Malaysia,MYS,2010,5381393.632
Malaysia,MYS,2011,5465250.478
Malaysia,MYS,2012,5565335.03
Malaysia,MYS,2013,5671117.155
Malaysia,MYS,2014,5771863.721
Malaysia,MYS,2015,5874087.073
Malta,MLT,2000,29751.48
Malta,MLT,2001,30698.06133
Malta,MLT,2002,31944.73093
Malta,MLT,2003,32965.44472
Malta,MLT,2004,33878.7662
Malta,MLT,2005,34307.45422
Malta,MLT,2006,33188.34435
Malta,MLT,2007,31652.24544
Malta,MLT,2008,31232.53049
Malta,MLT,2009,31472.82948
Malta,MLT,2010,31105.96584
Malta,MLT,2011,31006.05202
Malta,MLT,2012,33362.16468
Malta,MLT,2013,38241.61732
Malta,MLT,2014,45935.96127
Malta,MLT,2015,55561.35715
Mexico,MEX,2000,81736658.39
Mexico,MEX,2001,81267701.46
Mexico,MEX,2002,80681614.15
Mexico,MEX,2003,80021237.48
Mexico,MEX,2004,79338192.99
Mexico,MEX,2005,78662982.43
Mexico,MEX,2006,78003359.88
Mexico,MEX,2007,77338065.77
Mexico,MEX,2008,76631333.88
Mexico,MEX,2009,75836963.01
Mexico,MEX,2010,74922944.62
Mexico,MEX,2011,73882011.03
Mexico,MEX,2012,72720535.66
Mexico,MEX,2013,71439256.7
Mexico,MEX,2014,70041606.9
Mexico,MEX,2015,68529172.69
Moldova,MDA,2000,3639592
Moldova,MDA,2001,3631462
Moldova,MDA,2002,3623062
Moldova,MDA,2003,3612874
Moldova,MDA,2004,3603945
Moldova,MDA,2005,3595187
Moldova,MDA,2006,3585209
Moldova,MDA,2007,3576910
Moldova,MDA,2008,3570108
Moldova,MDA,2009,3565604
Moldova,MDA,2010,3562045
Moldova,MDA,2011,3559986
Moldova,MDA,2012,3559519
Moldova,MDA,2013,3558566
Moldova,MDA,2014,3556397
Moldova,MDA,2015,3554108
Monaco,MCO,2000,1
Monaco,MCO,2006,24
Monaco,MCO,2007,65
Monaco,MCO,2008,122
Monaco,MCO,2009,183
Monaco,MCO,2010,249
Monaco,MCO,2011,308
Monaco,MCO,2012,379
Monaco,MCO,2013,443
Monaco,MCO,2014,509
Monaco,MCO,2015,576
Montenegro,MNE,2006,615025
Montenegro,MNE,2007,615875
Montenegro,MNE,2008,616969
Montenegro,MNE,2009,618294
Montenegro,MNE,2010,619428
Montenegro,MNE,2011,620079
Montenegro,MNE,2012,620601
Montenegro,MNE,2013,621207
Montenegro,MNE,2014,621810
Montenegro,MNE,2015,622159
Morocco,MAR,2000,19809559.69
Morocco,MAR,2001,19891564.2
Morocco,MAR,2002,19973901.64
Morocco,MAR,2003,20056892.95
Morocco,MAR,2004,20139939.32
Morocco,MAR,2005,20242108.28
Morocco,MAR,2006,20344875.79
Morocco,MAR,2007,20450837.15
Morocco,MAR,2008,20564154.94
Morocco,MAR,2009,20690211.33
Morocco,MAR,2010,20832220.57
Morocco,MAR,2011,20991543.69
Morocco,MAR,2012,21165470.13
Morocco,MAR,2013,21348387.49
Morocco,MAR,2014,21532642.87
Morocco,MAR,2015,21712563.48
Nepal,NPL,2000,23740911
Nepal,NPL,2001,24161777
Nepal,NPL,2002,24566342
Nepal,NPL,2003,24950623
Nepal,NPL,2004,25309449
Nepal,NPL,2005,25640287
Nepal,NPL,2006,25940618
Nepal,NPL,2007,26214847
Nepal,NPL,2008,26475859
Nepal,NPL,2009,26741103
Nepal,NPL,2010,27023137
Nepal,NPL,2011,27327147
Nepal,NPL,2012,27649925
Nepal,NPL,2013,27985310
Nepal,NPL,2014,28323241
Nepal,NPL,2015,28656282
Netherlands,NLD,2000,445967.0448
Netherlands,NLD,2001,477860.4267
Netherlands,NLD,2002,489970.3055
Netherlands,NLD,2003,476777.8149
Netherlands,NLD,2004,448611.4081
Netherlands,NLD,2005,409620.9314
Netherlands,NLD,2006,367416.6832
Netherlands,NLD,2007,341988.3346
Netherlands,NLD,2008,349852.8277
Netherlands,NLD,2009,380110.3233
Netherlands,NLD,2010,409532.2619
Netherlands,NLD,2011,429812.4725
Netherlands,NLD,2012,433193.3747
Netherlands,NLD,2013,423811.3376
Netherlands,NLD,2014,426527.7592
Netherlands,NLD,2015,445526.0146
New Caledonia,NCL,2000,213230
New Caledonia,NCL,2001,217324
New Caledonia,NCL,2002,221490
New Caledonia,NCL,2003,225296
New Caledonia,NCL,2004,228750
New Caledonia,NCL,2005,232250
New Caledonia,NCL,2006,235750
New Caledonia,NCL,2007,239250
New Caledonia,NCL,2008,242750
New Caledonia,NCL,2009,245950
New Caledonia,NCL,2010,249750
New Caledonia,NCL,2011,254350
New Caledonia,NCL,2012,259000
New Caledonia,NCL,2013,263650
New Caledonia,NCL,2014,268050
New Caledonia,NCL,2015,272400
New Zealand,NZL,2000,945644.3019
New Zealand,NZL,2001,930518.6335
New Zealand,NZL,2002,955950.3604
New Zealand,NZL,2003,989240.7387
New Zealand,NZL,2004,1004032.097
New Zealand,NZL,2005,1006902.621
New Zealand,NZL,2006,1016335.43
New Zealand,NZL,2007,1016088.994
New Zealand,NZL,2008,1014942.574
New Zealand,NZL,2009,1023305.749
New Zealand,NZL,2010,1039853.073
New Zealand,NZL,2011,1044947.455
New Zealand,NZL,2012,1043896.408
New Zealand,NZL,2013,1054249.028
New Zealand,NZL,2014,1097566.725
New Zealand,NZL,2015,1157111.139
Nicaragua,NIC,2000,5026796
Nicaragua,NIC,2001,5100750
Nicaragua,NIC,2002,5171734
Nicaragua,NIC,2003,5240879
Nicaragua,NIC,2004,5309703
Nicaragua,NIC,2005,5379328
Nicaragua,NIC,2006,5450211
Nicaragua,NIC,2007,5522106
Nicaragua,NIC,2008,5594506
Nicaragua,NIC,2009,5666581
Nicaragua,NIC,2010,5737723
Nicaragua,NIC,2011,5807820
Nicaragua,NIC,2012,5877108
Nicaragua,NIC,2013,5945747
Nicaragua,NIC,2014,6013997
Nicaragua,NIC,2015,6082035
Niger,NER,2000,10897623.79
Niger,NER,2001,11264264.18
Niger,NER,2002,11642267.04
Niger,NER,2003,12033178.74
Niger,NER,2004,12444937.81
Niger,NER,2005,12873923.98
Niger,NER,2006,13320701.09
Niger,NER,2007,13785442.38
Niger,NER,2008,14268916.05
Niger,NER,2009,14771759.26
Niger,NER,2010,15294530.75
Niger,NER,2011,15837734.79
Niger,NER,2012,16401509.94
Niger,NER,2013,16985244.87
Niger,NER,2014,17587963.99
Niger,NER,2015,18199140.27
Nigeria,NGA,2000,122352009
Nigeria,NGA,2001,125463434
Nigeria,NGA,2002,128666710
Nigeria,NGA,2003,131972533
Nigeria,NGA,2004,135393616
Nigeria,NGA,2005,138939478
Nigeria,NGA,2006,142614094
Nigeria,NGA,2007,146417024
Nigeria,NGA,2008,150347390
Nigeria,NGA,2009,154402181
Nigeria,NGA,2010,158578261
Nigeria,NGA,2011,162877076
Nigeria,NGA,2012,167297284
Nigeria,NGA,2013,171829303
Nigeria,NGA,2014,176460502
Nigeria,NGA,2015,181181744
Northern Mariana Islands,MNP,2000,69094
Northern Mariana Islands,MNP,2001,69388
Northern Mariana Islands,MNP,2002,68763
Northern Mariana Islands,MNP,2003,67422
Northern Mariana Islands,MNP,2004,65663
Northern Mariana Islands,MNP,2005,63744
Northern Mariana Islands,MNP,2006,61688
Northern Mariana Islands,MNP,2007,59513
Northern Mariana Islands,MNP,2008,57431
Northern Mariana Islands,MNP,2009,55674
Northern Mariana Islands,MNP,2010,54424
Northern Mariana Islands,MNP,2011,53786
Northern Mariana Islands,MNP,2012,53718
Northern Mariana Islands,MNP,2013,54036
Northern Mariana Islands,MNP,2014,54468
Northern Mariana Islands,MNP,2015,54816
Norway,NOR,2000,1095220.67
Norway,NOR,2001,1092324.577
Norway,NOR,2002,1091654.55
Norway,NOR,2003,1092052.186
Norway,NOR,2004,1089129.265
Norway,NOR,2005,1085130.421
Norway,NOR,2006,1081147.13
Norway,NOR,2007,1082815.63
Norway,NOR,2008,1090507.086
Norway,NOR,2009,1096518.05
Norway,NOR,2010,1100579.972
Norway,NOR,2011,1106230.043
Norway,NOR,2012,1111860.773
Norway,NOR,2013,1112207.328
Norway,NOR,2014,1109214.518
Norway,NOR,2015,1102474.826
Oman,OMN,2001,2294787
Oman,OMN,2002,2334285
Oman,OMN,2003,2385255
Oman,OMN,2004,2444751
Oman,OMN,2005,2511269
Oman,OMN,2006,2582991
Oman,OMN,2007,2662762
Oman,OMN,2008,2759014
Oman,OMN,2009,2882942
Oman,OMN,2010,3041460
Oman,OMN,2011,3237268
Oman,OMN,2012,3464644
Oman,OMN,2013,3711481
Oman,OMN,2014,3960925
Oman,OMN,2015,4199810
Pakistan,PAK,2000,138523285
Pakistan,PAK,2001,141601437
Pakistan,PAK,2002,144654143
Pakistan,PAK,2003,147703401
Pakistan,PAK,2004,150780300
Pakistan,PAK,2005,153909667
Pakistan,PAK,2006,157093993
Pakistan,PAK,2007,160332974
Pakistan,PAK,2008,163644603
Pakistan,PAK,2009,167049580
Pakistan,PAK,2010,170560182
Pakistan,PAK,2011,174184265
Pakistan,PAK,2012,177911533
Pakistan,PAK,2013,181712595
Pakistan,PAK,2014,185546257
Pakistan,PAK,2015,189380513
Palau,PLW,2000,15963.3474
Palau,PLW,2001,16063.7236
Palau,PLW,2002,16119.47805
Palau,PLW,2003,16143.57471
Palau,PLW,2004,16153.52987
Palau,PLW,2005,16165.69355
Palau,PLW,2006,16182.80542
Palau,PLW,2007,16198.63552
Palau,PLW,2008,16222.40991
Palau,PLW,2009,16246.67901
Palau,PLW,2010,16282.84436
Palau,PLW,2011,16392.39225
Palau,PLW,2012,16567.55456
Palau,PLW,2013,16739.8148
Palau,PLW,2014,16918.17796
Palau,PLW,2015,17110.68025
Peru,PER,2000,22010889.55
Peru,PER,2001,22065955.5
Peru,PER,2002,22105560.28
Peru,PER,2003,22131802.65
Peru,PER,2004,22147106.12
Peru,PER,2005,22153418.57
Peru,PER,2006,22150946.46
Peru,PER,2007,22140220.47
Peru,PER,2008,22123457.06
Peru,PER,2009,22103278.9
Peru,PER,2010,22080938.03
Peru,PER,2011,22057071.95
Peru,PER,2012,22029869.13
Peru,PER,2013,21995251.37
Peru,PER,2014,21947851.22
Peru,PER,2015,21883796.65
Poland,POL,2000,11033848.47
Poland,POL,2001,10887357.39
Poland,POL,2002,10731297.08
Poland,POL,2003,10582684.81
Poland,POL,2004,10382441.21
Poland,POL,2005,10183215.18
Poland,POL,2006,9971401.14
Poland,POL,2007,9758019.667
Poland,POL,2008,9567296.49
Poland,POL,2009,9396205.415
Poland,POL,2010,9091756.119
Poland,POL,2011,8918747.442
Poland,POL,2012,8725071.977
Poland,POL,2013,8531457.34
Poland,POL,2014,8362842.298
Poland,POL,2015,8201759.972
Portugal,PRT,2000,4149951.389
Portugal,PRT,2001,4183197.158
Portugal,PRT,2002,4200996.577
Portugal,PRT,2003,4201543.932
Portugal,PRT,2004,4188678.369
Portugal,PRT,2005,4171495.595
Portugal,PRT,2006,4154521.574
Portugal,PRT,2007,4140735.319
Portugal,PRT,2008,4126016.63
Portugal,PRT,2009,4114761.193
Portugal,PRT,2010,4109519.862
Portugal,PRT,2011,4096590.649
Portugal,PRT,2012,4067770.127
Portugal,PRT,2013,4031454.115
Portugal,PRT,2014,3998071.137
Portugal,PRT,2015,3975294.459
Puerto Rico,PRI,2000,2592915.034
Puerto Rico,PRI,2001,2600193.015
Puerto Rico,PRI,2002,2606472.596
Puerto Rico,PRI,2003,2611837.914
Puerto Rico,PRI,2004,2616318.916
Puerto Rico,PRI,2005,2614540.856
Puerto Rico,PRI,2006,2601955.101
Puerto Rico,PRI,2007,2583175.229
Puerto Rico,PRI,2008,2564267.517
Puerto Rico,PRI,2009,2546786.329
Puerto Rico,PRI,2010,2530603.584
Puerto Rico,PRI,2011,2490151.263
Puerto Rico,PRI,2012,2447814.647
Puerto Rico,PRI,2013,2407913.249
Puerto Rico,PRI,2014,2350896.134
Puerto Rico,PRI,2015,2290129.937
Qatar,QAT,2002,86393.11233
Qatar,QAT,2003,99542.87208
Qatar,QAT,2004,113451.368
Qatar,QAT,2005,127044.7503
Qatar,QAT,2006,138982.7173
Qatar,QAT,2007,149903.8525
Qatar,QAT,2008,163955.997
Qatar,QAT,2009,186500.8452
Qatar,QAT,2010,220940.5365
Qatar,QAT,2011,269164.9844
Qatar,QAT,2012,328708.2064
Qatar,QAT,2013,393245.7099
Qatar,QAT,2014,453931.4175
Qatar,QAT,2015,504367.5025
Romania,ROU,2000,22442971
Romania,ROU,2001,22131970
Romania,ROU,2002,21730496
Romania,ROU,2003,21574326
Romania,ROU,2004,21451748
Romania,ROU,2005,21319685
Romania,ROU,2006,11676772.53
Romania,ROU,2007,11263010.83
Romania,ROU,2008,10805131.68
Romania,ROU,2009,10504389.47
Romania,ROU,2010,10229677.73
Romania,ROU,2011,9950179.589
Romania,ROU,2012,9655994.614
Romania,ROU,2013,9354125.36
Romania,ROU,2014,9033003.804
Romania,ROU,2015,8677564.881
Russia,RUS,2000,146596557
Russia,RUS,2001,145976083
Russia,RUS,2002,145306046
Russia,RUS,2003,144648257
Russia,RUS,2004,144067054
Russia,RUS,2005,143518523
Russia,RUS,2006,143049528
Russia,RUS,2007,142805088
Russia,RUS,2008,142742350
Russia,RUS,2009,142785342
Russia,RUS,2010,142849449
Russia,RUS,2011,142960868
Russia,RUS,2012,143201676
Russia,RUS,2013,143506911
Russia,RUS,2014,143819666
Russia,RUS,2015,144096870
San Marino,SMR,2000,6065.6347
San Marino,SMR,2001,6136.305735
San Marino,SMR,2002,6206.40247
San Marino,SMR,2003,6285.0482
San Marino,SMR,2004,6368.144935
San Marino,SMR,2005,6468.81597
San Marino,SMR,2006,6588.95488
San Marino,SMR,2007,6713.66809
San Marino,SMR,2008,6864.9556
San Marino,SMR,2009,7025.923835
San Marino,SMR,2010,7211.23665
San Marino,SMR,2011,7412.11533
San Marino,SMR,2012,7639.89602
San Marino,SMR,2013,7858.357435
San Marino,SMR,2014,8053.499575
San Marino,SMR,2015,8211.658585
Saudi Arabia,SAU,2000,7123177.695
Saudi Arabia,SAU,2001,7269869.431
Saudi Arabia,SAU,2002,7451620.374
Saudi Arabia,SAU,2003,7172327.083
Saudi Arabia,SAU,2004,6881098.011
Saudi Arabia,SAU,2005,6570547.025
Saudi Arabia,SAU,2006,6237715.354
Saudi Arabia,SAU,2007,5886562.245
Saudi Arabia,SAU,2008,5524740.864
Saudi Arabia,SAU,2009,5162054.415
Saudi Arabia,SAU,2010,4803202.353
Saudi Arabia,SAU,2011,4483000.319
Saudi Arabia,SAU,2012,4162834.785
Saudi Arabia,SAU,2013,4425240.643
Saudi Arabia,SAU,2014,4678259.028
Saudi Arabia,SAU,2015,4906211.345
Senegal,SEN,2000,8145714.029
Senegal,SEN,2001,8308473.329
Senegal,SEN,2002,8478377.123
Senegal,SEN,2003,8655368.748
Senegal,SEN,2004,8838661.224
Senegal,SEN,2005,9027953.763
Senegal,SEN,2006,9223073.236
Senegal,SEN,2007,9424639.292
Senegal,SEN,2008,9633905.769
Senegal,SEN,2009,9852380.308
Senegal,SEN,2010,10080721.15
Senegal,SEN,2011,10319236.41
Senegal,SEN,2012,10566549.11
Senegal,SEN,2013,10819824.11
Senegal,SEN,2014,11075237.44
Senegal,SEN,2015,11330045.56
Serbia,SRB,2000,4736199.448
Serbia,SRB,2001,4762497.197
Serbia,SRB,2002,4790350.045
Serbia,SRB,2003,4805230.671
Serbia,SRB,2004,4815880.339
Serbia,SRB,2005,4827526.514
Serbia,SRB,2006,4850961.924
Serbia,SRB,2007,4871347.079
Serbia,SRB,2008,4884446.595
Serbia,SRB,2009,4899898.914
Serbia,SRB,2010,4916790.239
Serbia,SRB,2011,4907507.318
Serbia,SRB,2012,4921925.207
Serbia,SRB,2013,4937490.047
Serbia,SRB,2014,4954486.26
Serbia,SRB,2015,4969210.434
Singapore,SGP,2000,109704
Singapore,SGP,2001,114775
Singapore,SGP,2002,39848
Singapore,SGP,2009,22468
Singapore,SGP,2012,12913
Slovakia,SVK,2000,972779.3491
Slovakia,SVK,2001,963094.1436
Slovakia,SVK,2002,962615.3241
Slovakia,SVK,2003,960718.7758
Slovakia,SVK,2004,960731.6806
Slovakia,SVK,2005,961339.8413
Slovakia,SVK,2006,960374.7644
Slovakia,SVK,2007,959541.6654
Slovakia,SVK,2008,960936.0191
Slovakia,SVK,2009,964688.2189
Slovakia,SVK,2010,967414.2291
Slovakia,SVK,2011,972455.3322
Slovakia,SVK,2012,979833.4393
Slovakia,SVK,2013,983892.3155
Slovakia,SVK,2014,987359.1753
Slovakia,SVK,2015,990659.7187
Slovenia,SVN,2000,517053.3614
Slovenia,SVN,2001,523654.5391
Slovenia,SVN,2002,529639.146
Slovenia,SVN,2003,533708.2064
Slovenia,SVN,2004,536261.835
Slovenia,SVN,2005,528212.571
Slovenia,SVN,2006,520644.7992
Slovenia,SVN,2007,515900.6355
Slovenia,SVN,2008,502215.0316
Slovenia,SVN,2009,504452.2131
Slovenia,SVN,2010,499224.5006
Slovenia,SVN,2011,491802.2834
Slovenia,SVN,2012,486586.6838
Slovenia,SVN,2013,488503.2433
Slovenia,SVN,2014,493522.4637
Slovenia,SVN,2015,497911.9961
Somalia,SOM,2000,7568536.879
Somalia,SOM,2001,7827526.925
Somalia,SOM,2002,8083950.366
Somalia,SOM,2003,8342136.726
Somalia,SOM,2004,8609848.257
Somalia,SOM,2005,8892747.653
Somalia,SOM,2006,9191691.783
Somalia,SOM,2007,9504367.455
Somalia,SOM,2008,9829509.798
Somalia,SOM,2009,10164937.76
Somalia,SOM,2010,10509277.09
Somalia,SOM,2011,10862460.77
Somalia,SOM,2012,11225538.16
Somalia,SOM,2013,11599767.62
Somalia,SOM,2014,11986976.95
Somalia,SOM,2015,12388740.06
South Korea,KOR,2000,7435604.289
South Korea,KOR,2001,7156835.694
South Korea,KOR,2002,6791054.907
South Korea,KOR,2003,6394348.992
South Korea,KOR,2004,5930005.311
South Korea,KOR,2005,5362943.208
South Korea,KOR,2006,4930774.818
South Korea,KOR,2007,4475614.424
South Korea,KOR,2008,4137136.477
South Korea,KOR,2009,3679956.153
South Korea,KOR,2010,3221556.736
South Korea,KOR,2011,2907439.189
South Korea,KOR,2012,2481559.409
South Korea,KOR,2013,2084599.212
South Korea,KOR,2014,1811827.062
South Korea,KOR,2015,1494689.684
Spain,ESP,2000,2452814.049
Spain,ESP,2001,2285183.025
Spain,ESP,2002,2273843.137
Spain,ESP,2003,2365939.025
Spain,ESP,2004,2404733.909
Spain,ESP,2005,2334946.391
Spain,ESP,2006,2276957.651
Spain,ESP,2007,2310079.587
Spain,ESP,2008,2297028.337
Spain,ESP,2009,2084527.84
Spain,ESP,2010,1838400.869
Spain,ESP,2011,1733778.126
Spain,ESP,2012,1664947.642
Spain,ESP,2013,1520356.734
Spain,ESP,2014,1410678.733
Spain,ESP,2015,1498942.264
Sweden,SWE,2000,778995.4565
Sweden,SWE,2001,781792.1585
Sweden,SWE,2002,783384.2731
Sweden,SWE,2003,782077.4642
Sweden,SWE,2004,775142.3408
Sweden,SWE,2005,761090.1064
Sweden,SWE,2006,753165.9346
Sweden,SWE,2007,753332.9305
Sweden,SWE,2008,750976.1668
Sweden,SWE,2009,752102.0763
Sweden,SWE,2010,752231.0065
Sweden,SWE,2011,742621.3715
Sweden,SWE,2012,731002.8697
Sweden,SWE,2013,730448.2232
Sweden,SWE,2014,746164.161
Sweden,SWE,2015,771716.1284
Switzerland,CHE,2000,172566.059
Switzerland,CHE,2001,177367.8847
Switzerland,CHE,2002,185804.4794
Switzerland,CHE,2003,186854.1108
Switzerland,CHE,2004,176786.5442
Switzerland,CHE,2005,155698.4486
Switzerland,CHE,2006,125550.8554
Switzerland,CHE,2007,107637.0509
Switzerland,CHE,2008,112461.9649
Switzerland,CHE,2009,112406.279
Switzerland,CHE,2010,94683.29228
Switzerland,CHE,2011,81154.78078
Switzerland,CHE,2012,62896.90684
Switzerland,CHE,2013,53164.22408
Switzerland,CHE,2014,58068.93575
Switzerland,CHE,2015,67778.40047
Tajikistan,TJK,2000,6216205
Tajikistan,TJK,2001,6327125
Tajikistan,TJK,2002,6447688
Tajikistan,TJK,2003,6576877
Tajikistan,TJK,2004,6712841
Tajikistan,TJK,2005,6854176
