Entity,Code,Year,Crops - Avocados - 572 - Production - 5510 - tonnes (tonnes)
Congo,COG,1968,6500
Congo,COG,1969,6500
Congo,COG,1970,6500
Congo,COG,1971,6500
Congo,COG,1972,6500
Congo,COG,1973,6500
Congo,COG,1974,6200
Congo,COG,1975,6200
Congo,COG,1976,6500
Congo,COG,1977,6500
Congo,COG,1978,6500
Congo,COG,1979,6000
Congo,COG,1980,6000
Congo,COG,1981,5500
Congo,COG,1982,5500
Congo,COG,1983,5500
Congo,COG,1984,5300
Congo,COG,1985,5300
Congo,COG,1986,5400
Congo,COG,1987,5500
Congo,COG,1988,5500
Congo,COG,1989,5500
Congo,COG,1990,5300
Congo,COG,1991,5500
Congo,COG,1992,5487
Congo,COG,1993,5466
Congo,COG,1994,5400
Congo,COG,1995,5448
Congo,COG,1996,5500
Congo,COG,1997,5732
Congo,COG,1998,5675
Congo,COG,1999,5574
Congo,COG,2000,5361
Congo,COG,2001,5400
Congo,COG,2002,6196
Congo,COG,2003,6297
Congo,COG,2004,6570
Congo,COG,2005,6800
Congo,COG,2006,7000
Congo,COG,2007,7200
Congo,COG,2008,7500
Congo,COG,2009,7800
Congo,COG,2010,8054
Congo,COG,2011,8294
Congo,COG,2012,8550
Congo,COG,2013,8790
Congo,COG,2014,9004
Congo,COG,2015,9268
Congo,COG,2016,9533
Congo,COG,2017,9782
Congo,COG,2018,10031
Cook Islands,COK,1961,450
Cook Islands,COK,1962,450
Cook Islands,COK,1963,500
Cook Islands,COK,1964,530
Cook Islands,COK,1965,550
Cook Islands,COK,1966,550
Cook Islands,COK,1967,600
Cook Islands,COK,1968,600
Cook Islands,COK,1969,600
Cook Islands,COK,1970,650
Cook Islands,COK,1971,660
Cook Islands,COK,1972,660
Cook Islands,COK,1973,671
Cook Islands,COK,1974,671
Cook Islands,COK,1975,850
Cook Islands,COK,1976,600
Cook Islands,COK,1977,600
Cook Islands,COK,1978,600
Cook Islands,COK,1979,600
Cook Islands,COK,1980,500
Cook Islands,COK,1981,500
Cook Islands,COK,1982,500
Cook Islands,COK,1983,500
Cook Islands,COK,1984,500
Cook Islands,COK,1985,500
Cook Islands,COK,1986,670
Cook Islands,COK,1987,670
Cook Islands,COK,1988,670
Cook Islands,COK,1989,670
Cook Islands,COK,1990,507
Cook Islands,COK,1991,500
Cook Islands,COK,1992,400
Cook Islands,COK,1993,292
Cook Islands,COK,1994,200
Cook Islands,COK,1995,159
Cook Islands,COK,1996,149
Cook Islands,COK,1997,150
Cook Islands,COK,1998,150
Cook Islands,COK,1999,140
Cook Islands,COK,2000,124
Cook Islands,COK,2001,101
Cook Islands,COK,2002,70
Cook Islands,COK,2003,35
Cook Islands,COK,2004,15
Cook Islands,COK,2005,17
Cook Islands,COK,2006,16
Cook Islands,COK,2007,25
Cook Islands,COK,2008,31
Cook Islands,COK,2009,33
Cook Islands,COK,2010,31
Cook Islands,COK,2011,29
Cook Islands,COK,2012,26
Cook Islands,COK,2013,24
Cook Islands,COK,2014,22
Cook Islands,COK,2015,21
Cook Islands,COK,2016,25
Cook Islands,COK,2017,33
Cook Islands,COK,2018,35
Costa Rica,CRI,1961,10600
Costa Rica,CRI,1962,11000
Costa Rica,CRI,1963,11700
Costa Rica,CRI,1964,12200
Costa Rica,CRI,1965,12800
Costa Rica,CRI,1966,13300
Costa Rica,CRI,1967,14100
Costa Rica,CRI,1968,14800
Costa Rica,CRI,1969,15600
Costa Rica,CRI,1970,16300
Costa Rica,CRI,1971,18000
Costa Rica,CRI,1972,21000
Costa Rica,CRI,1973,23800
Costa Rica,CRI,1974,24000
Costa Rica,CRI,1975,25000
Costa Rica,CRI,1976,25500
Costa Rica,CRI,1977,26000
Costa Rica,CRI,1978,26000
Costa Rica,CRI,1979,27000
Costa Rica,CRI,1980,27500
Costa Rica,CRI,1981,28000
Costa Rica,CRI,1982,21275
Costa Rica,CRI,1983,21563
Costa Rica,CRI,1984,21850
Costa Rica,CRI,1985,21850
Costa Rica,CRI,1986,21850
Costa Rica,CRI,1987,21850
Costa Rica,CRI,1988,21850
Costa Rica,CRI,1989,22000
Costa Rica,CRI,1990,23000
Costa Rica,CRI,1991,23144
Costa Rica,CRI,1992,23200
Costa Rica,CRI,1993,23300
Costa Rica,CRI,1994,23400
Costa Rica,CRI,1995,23500
Costa Rica,CRI,1996,24000
Costa Rica,CRI,1997,24000
Costa Rica,CRI,1998,23000
Costa Rica,CRI,1999,23000
Costa Rica,CRI,2000,22023
Costa Rica,CRI,2001,20926
Costa Rica,CRI,2002,19716
Costa Rica,CRI,2003,18417
Costa Rica,CRI,2004,17051
Costa Rica,CRI,2005,13525
Costa Rica,CRI,2006,11784
Costa Rica,CRI,2007,8434
Costa Rica,CRI,2008,7006
Costa Rica,CRI,2009,5642
Costa Rica,CRI,2010,4370
Costa Rica,CRI,2011,3217
Costa Rica,CRI,2012,1672
Costa Rica,CRI,2013,1115
Costa Rica,CRI,2014,1185
Costa Rica,CRI,2015,12158
Costa Rica,CRI,2016,12368
Costa Rica,CRI,2017,12368
Costa Rica,CRI,2018,15000
Cote d'Ivoire,CIV,1961,5000
Cote d'Ivoire,CIV,1962,5000
Cote d'Ivoire,CIV,1963,5000
Cote d'Ivoire,CIV,1964,5000
Cote d'Ivoire,CIV,1965,5000
Cote d'Ivoire,CIV,1966,6000
Cote d'Ivoire,CIV,1967,6000
Cote d'Ivoire,CIV,1968,6000
Cote d'Ivoire,CIV,1969,6000
Cote d'Ivoire,CIV,1970,6000
Cote d'Ivoire,CIV,1971,6000
Cote d'Ivoire,CIV,1972,6000
Cote d'Ivoire,CIV,1973,6300
Cote d'Ivoire,CIV,1974,6300
Cote d'Ivoire,CIV,1975,6300
Cote d'Ivoire,CIV,1976,6600
Cote d'Ivoire,CIV,1977,6600
Cote d'Ivoire,CIV,1978,6600
Cote d'Ivoire,CIV,1979,7000
Cote d'Ivoire,CIV,1980,7300
Cote d'Ivoire,CIV,1981,7300
Cote d'Ivoire,CIV,1982,7300
Cote d'Ivoire,CIV,1983,7500
Cote d'Ivoire,CIV,1984,7500
Cote d'Ivoire,CIV,1985,8500
Cote d'Ivoire,CIV,1986,8500
Cote d'Ivoire,CIV,1987,10000
Cote d'Ivoire,CIV,1988,12000
Cote d'Ivoire,CIV,1989,15000
Cote d'Ivoire,CIV,1990,15618
Cote d'Ivoire,CIV,1991,16539
Cote d'Ivoire,CIV,1992,17431
Cote d'Ivoire,CIV,1993,18000
Cote d'Ivoire,CIV,1994,18299
Cote d'Ivoire,CIV,1995,19000
Cote d'Ivoire,CIV,1996,19460
Cote d'Ivoire,CIV,1997,19968
Cote d'Ivoire,CIV,1998,20319
Cote d'Ivoire,CIV,1999,19056
Cote d'Ivoire,CIV,2000,20032
Cote d'Ivoire,CIV,2001,22819
Cote d'Ivoire,CIV,2002,22802
Cote d'Ivoire,CIV,2003,21732
Cote d'Ivoire,CIV,2004,22826
Cote d'Ivoire,CIV,2005,25129
Cote d'Ivoire,CIV,2006,25958
Cote d'Ivoire,CIV,2007,26815
Cote d'Ivoire,CIV,2008,27700
Cote d'Ivoire,CIV,2009,28614
Cote d'Ivoire,CIV,2010,30077
Cote d'Ivoire,CIV,2011,31713
Cote d'Ivoire,CIV,2012,33000
Cote d'Ivoire,CIV,2013,33945
Cote d'Ivoire,CIV,2014,34646
Cote d'Ivoire,CIV,2015,35210
Cote d'Ivoire,CIV,2016,36255
Cote d'Ivoire,CIV,2017,37119
Cote d'Ivoire,CIV,2018,37983
Cuba,CUB,1961,35000
Cuba,CUB,1962,35000
Cuba,CUB,1963,35983
Cuba,CUB,1964,37779
Cuba,CUB,1965,31818
Cuba,CUB,1966,12997
Cuba,CUB,1967,27541
Cuba,CUB,1968,16150
Cuba,CUB,1969,16492
Cuba,CUB,1970,16080
Cuba,CUB,1971,11839
Cuba,CUB,1972,18368
Cuba,CUB,1973,18428
Cuba,CUB,1974,20853
Cuba,CUB,1975,23359
Cuba,CUB,1976,21181
Cuba,CUB,1977,19593
Cuba,CUB,1978,24389
Cuba,CUB,1979,14100
Cuba,CUB,1980,15030
Cuba,CUB,1981,9985
Cuba,CUB,1982,16171
Cuba,CUB,1983,16966
Cuba,CUB,1984,15012
Cuba,CUB,1985,8643
Cuba,CUB,1986,11184
Cuba,CUB,1987,10631
Cuba,CUB,1988,6181
Cuba,CUB,1989,8753
Cuba,CUB,1990,9000
Cuba,CUB,1991,8525
Cuba,CUB,1992,8500
Cuba,CUB,1993,8160
Cuba,CUB,1994,8500
Cuba,CUB,1995,7500
Cuba,CUB,1996,7500
Cuba,CUB,1997,7500
Cuba,CUB,1998,7500
Cuba,CUB,1999,6991
Cuba,CUB,2000,6804
Cuba,CUB,2001,7500
Cuba,CUB,2002,3500
Cuba,CUB,2003,5313
Cuba,CUB,2004,5207
Cuba,CUB,2005,4851
Cuba,CUB,2006,4946
Cuba,CUB,2007,4639
Cuba,CUB,2008,4547
Cuba,CUB,2009,4319
Cuba,CUB,2010,4241
Cuba,CUB,2011,4052
Cuba,CUB,2012,3750
Cuba,CUB,2013,3750
Cuba,CUB,2014,3700
Cuba,CUB,2015,3361
Cuba,CUB,2016,3183
Cuba,CUB,2017,2986
Cuba,CUB,2018,2819
Cyprus,CYP,1961,40
Cyprus,CYP,1962,45
Cyprus,CYP,1963,45
Cyprus,CYP,1964,45
Cyprus,CYP,1965,50
Cyprus,CYP,1966,50
Cyprus,CYP,1967,50
Cyprus,CYP,1968,50
Cyprus,CYP,1969,55
Cyprus,CYP,1970,55
Cyprus,CYP,1971,55
Cyprus,CYP,1972,55
Cyprus,CYP,1973,50
Cyprus,CYP,1974,50
Cyprus,CYP,1975,50
Cyprus,CYP,1976,55
Cyprus,CYP,1977,55
Cyprus,CYP,1978,55
Cyprus,CYP,1979,55
Cyprus,CYP,1980,58
Cyprus,CYP,1981,61
Cyprus,CYP,1982,91
Cyprus,CYP,1983,220
Cyprus,CYP,1984,250
Cyprus,CYP,1985,300
Cyprus,CYP,1986,500
Cyprus,CYP,1987,500
Cyprus,CYP,1988,550
Cyprus,CYP,1989,750
Cyprus,CYP,1990,250
Cyprus,CYP,1991,830
Cyprus,CYP,1992,950
Cyprus,CYP,1993,800
Cyprus,CYP,1994,750
Cyprus,CYP,1995,1200
Cyprus,CYP,1996,1400
Cyprus,CYP,1997,1100
Cyprus,CYP,1998,1100
Cyprus,CYP,1999,1000
Cyprus,CYP,2000,1030
Cyprus,CYP,2001,1030
Cyprus,CYP,2002,1030
Cyprus,CYP,2003,1030
Cyprus,CYP,2004,1093
Cyprus,CYP,2005,1160
Cyprus,CYP,2006,1050
Cyprus,CYP,2007,1114
Cyprus,CYP,2008,960
Cyprus,CYP,2009,910
Cyprus,CYP,2010,967
Cyprus,CYP,2011,1059
Cyprus,CYP,2012,869
Cyprus,CYP,2013,980
Cyprus,CYP,2014,867
Cyprus,CYP,2015,829
Cyprus,CYP,2016,810
Cyprus,CYP,2017,717
Cyprus,CYP,2018,714
Democratic Republic of Congo,COD,1961,14000
Democratic Republic of Congo,COD,1962,14000
Democratic Republic of Congo,COD,1963,12000
Democratic Republic of Congo,COD,1964,12000
Democratic Republic of Congo,COD,1965,16000
Democratic Republic of Congo,COD,1966,16000
Democratic Republic of Congo,COD,1967,17000
Democratic Republic of Congo,COD,1968,18000
Democratic Republic of Congo,COD,1969,18000
Democratic Republic of Congo,COD,1970,19500
Democratic Republic of Congo,COD,1971,18800
Democratic Republic of Congo,COD,1972,19600
Democratic Republic of Congo,COD,1973,21100
Democratic Republic of Congo,COD,1974,21700
Democratic Republic of Congo,COD,1975,22300
Democratic Republic of Congo,COD,1976,22800
Democratic Republic of Congo,COD,1977,21800
Democratic Republic of Congo,COD,1978,21700
Democratic Republic of Congo,COD,1979,35000
Democratic Republic of Congo,COD,1980,35700
Democratic Republic of Congo,COD,1981,37100
Democratic Republic of Congo,COD,1982,37800
Democratic Republic of Congo,COD,1983,39200
Democratic Republic of Congo,COD,1984,39900
Democratic Republic of Congo,COD,1985,40700
Democratic Republic of Congo,COD,1986,41900
Democratic Republic of Congo,COD,1987,43200
Democratic Republic of Congo,COD,1988,44000
Democratic Republic of Congo,COD,1989,44900
Democratic Republic of Congo,COD,1990,40000
Democratic Republic of Congo,COD,1991,70962
Democratic Republic of Congo,COD,1992,76911
Democratic Republic of Congo,COD,1993,83353
Democratic Republic of Congo,COD,1994,90334
Democratic Republic of Congo,COD,1995,60743
Democratic Republic of Congo,COD,1996,58520
Democratic Republic of Congo,COD,1997,60356
Democratic Republic of Congo,COD,1998,62012
Democratic Republic of Congo,COD,1999,63713
Democratic Republic of Congo,COD,2000,62500
Democratic Republic of Congo,COD,2001,61310
Democratic Republic of Congo,COD,2002,60143
Democratic Republic of Congo,COD,2003,60960
Democratic Republic of Congo,COD,2004,61790
Democratic Republic of Congo,COD,2005,62630
Democratic Republic of Congo,COD,2006,63480
Democratic Republic of Congo,COD,2007,64340
Democratic Republic of Congo,COD,2008,65220
Democratic Republic of Congo,COD,2009,66112
Democratic Republic of Congo,COD,2010,67016
Democratic Republic of Congo,COD,2011,67933
Democratic Republic of Congo,COD,2012,66509
Democratic Republic of Congo,COD,2013,65303
Democratic Republic of Congo,COD,2014,64826
Democratic Republic of Congo,COD,2015,65573
Democratic Republic of Congo,COD,2016,65715
Democratic Republic of Congo,COD,2017,65744
Democratic Republic of Congo,COD,2018,65773
Dominica,DMA,1961,100
Dominica,DMA,1962,100
Dominica,DMA,1963,100
Dominica,DMA,1964,100
Dominica,DMA,1965,100
Dominica,DMA,1966,100
Dominica,DMA,1967,100
Dominica,DMA,1968,100
Dominica,DMA,1969,100
Dominica,DMA,1970,100
Dominica,DMA,1971,100
Dominica,DMA,1972,100
Dominica,DMA,1973,100
Dominica,DMA,1974,100
Dominica,DMA,1975,100
Dominica,DMA,1976,100
Dominica,DMA,1977,100
Dominica,DMA,1978,100
Dominica,DMA,1979,101
Dominica,DMA,1980,152
Dominica,DMA,1981,157
Dominica,DMA,1982,160
Dominica,DMA,1983,193
Dominica,DMA,1984,231
Dominica,DMA,1985,209
Dominica,DMA,1986,280
Dominica,DMA,1987,263
Dominica,DMA,1988,358
Dominica,DMA,1989,803
Dominica,DMA,1990,695
Dominica,DMA,1991,718
Dominica,DMA,1992,861
Dominica,DMA,1993,1071
Dominica,DMA,1994,600
Dominica,DMA,1995,323
Dominica,DMA,1996,400
Dominica,DMA,1997,471
Dominica,DMA,1998,480
Dominica,DMA,1999,600
Dominica,DMA,2000,642
Dominica,DMA,2001,644
Dominica,DMA,2002,637
Dominica,DMA,2003,650
Dominica,DMA,2004,584
Dominica,DMA,2005,536
Dominica,DMA,2006,495
Dominica,DMA,2007,457
Dominica,DMA,2008,422
Dominica,DMA,2009,393
Dominica,DMA,2010,350
Dominica,DMA,2011,366
Dominica,DMA,2012,360
Dominica,DMA,2013,367
Dominica,DMA,2014,374
Dominica,DMA,2015,361
Dominica,DMA,2016,354
Dominica,DMA,2017,346
Dominica,DMA,2018,337
Dominican Republic,DOM,1961,106215
Dominican Republic,DOM,1962,107850
Dominican Republic,DOM,1963,109511
Dominican Republic,DOM,1964,115674
Dominican Republic,DOM,1965,116520
Dominican Republic,DOM,1966,115162
Dominican Republic,DOM,1967,116798
Dominican Republic,DOM,1968,118433
Dominican Republic,DOM,1969,120067
Dominican Republic,DOM,1970,121702
Dominican Republic,DOM,1971,123337
Dominican Republic,DOM,1972,124972
Dominican Republic,DOM,1973,126607
Dominican Republic,DOM,1974,128242
Dominican Republic,DOM,1975,129877
Dominican Republic,DOM,1976,131512
Dominican Republic,DOM,1977,133146
Dominican Republic,DOM,1978,134782
Dominican Republic,DOM,1979,138700
Dominican Republic,DOM,1980,124800
Dominican Republic,DOM,1981,134000
Dominican Republic,DOM,1982,136000
Dominican Republic,DOM,1983,138000
Dominican Republic,DOM,1984,130996
Dominican Republic,DOM,1985,129031
Dominican Republic,DOM,1986,132680
Dominican Republic,DOM,1987,129490
Dominican Republic,DOM,1988,124890
Dominican Republic,DOM,1989,137150
Dominican Republic,DOM,1990,7376
Dominican Republic,DOM,1991,20803
Dominican Republic,DOM,1992,11369
Dominican Republic,DOM,1993,12082
Dominican Republic,DOM,1994,27197
Dominican Republic,DOM,1995,48030
Dominican Republic,DOM,1996,11989
Dominican Republic,DOM,1997,30972
Dominican Republic,DOM,1998,60019
Dominican Republic,DOM,1999,71158
Dominican Republic,DOM,2000,81736
Dominican Republic,DOM,2001,111058
Dominican Republic,DOM,2002,147534
Dominican Republic,DOM,2003,273606
Dominican Republic,DOM,2004,220146
Dominican Republic,DOM,2005,112706
Dominican Republic,DOM,2006,216378
Dominican Republic,DOM,2007,183468
Dominican Republic,DOM,2008,188139
Dominican Republic,DOM,2009,184357
Dominican Republic,DOM,2010,285590
Dominican Republic,DOM,2011,295081
Dominican Republic,DOM,2012,290011
Dominican Republic,DOM,2013,387546
Dominican Republic,DOM,2014,513961
Dominican Republic,DOM,2015,526438
Dominican Republic,DOM,2016,601349
Dominican Republic,DOM,2017,637688
Dominican Republic,DOM,2018,644306
Eastern Africa,,1961,16006
Eastern Africa,,1962,16006
Eastern Africa,,1963,16006
Eastern Africa,,1964,16006
Eastern Africa,,1965,16006
Eastern Africa,,1966,16006
Eastern Africa,,1967,16006
Eastern Africa,,1968,16006
Eastern Africa,,1969,16157
Eastern Africa,,1970,16407
Eastern Africa,,1971,16802
Eastern Africa,,1972,19015
Eastern Africa,,1973,20678
Eastern Africa,,1974,29063
Eastern Africa,,1975,42224
Eastern Africa,,1976,33634
Eastern Africa,,1977,36049
Eastern Africa,,1978,39314
Eastern Africa,,1979,34430
Eastern Africa,,1980,38060
Eastern Africa,,1981,35110
Eastern Africa,,1982,35522
Eastern Africa,,1983,38892
Eastern Africa,,1984,40083
Eastern Africa,,1985,40112
Eastern Africa,,1986,40812
Eastern Africa,,1987,42214
Eastern Africa,,1988,42214
Eastern Africa,,1989,43214
Eastern Africa,,1990,44697
Eastern Africa,,1991,118666
Eastern Africa,,1992,121265
Eastern Africa,,1993,140874
Eastern Africa,,1994,114694
Eastern Africa,,1995,129309
Eastern Africa,,1996,135030
Eastern Africa,,1997,142627
Eastern Africa,,1998,157498
Eastern Africa,,1999,164829
Eastern Africa,,2000,240947
Eastern Africa,,2001,180020
Eastern Africa,,2002,180384
Eastern Africa,,2003,202302
Eastern Africa,,2004,211873
Eastern Africa,,2005,245063
Eastern Africa,,2006,255926
Eastern Africa,,2007,255820
Eastern Africa,,2008,259292
Eastern Africa,,2009,308612
Eastern Africa,,2010,381713
Eastern Africa,,2011,348524
Eastern Africa,,2012,316205
Eastern Africa,,2013,323410
Eastern Africa,,2014,400363
Eastern Africa,,2015,328976
Eastern Africa,,2016,366048
Eastern Africa,,2017,408308
Eastern Africa,,2018,416086
Eastern Asia,,1992,18000
Eastern Asia,,1993,20000
Eastern Asia,,1994,30000
Eastern Asia,,1995,35000
Eastern Asia,,1996,45000
Eastern Asia,,1997,48000
Eastern Asia,,1998,51000
Eastern Asia,,1999,70000
Eastern Asia,,2000,70000
Eastern Asia,,2001,74500
Eastern Asia,,2002,75000
Eastern Asia,,2003,81000
Eastern Asia,,2004,100000
Eastern Asia,,2005,125000
Eastern Asia,,2006,90000
Eastern Asia,,2007,92000
Eastern Asia,,2008,95000
Eastern Asia,,2009,100000
Eastern Asia,,2010,103000
Eastern Asia,,2011,105000
Eastern Asia,,2012,108000
Eastern Asia,,2013,112000
Eastern Asia,,2014,116000
Eastern Asia,,2015,118238
Eastern Asia,,2016,124863
Eastern Asia,,2017,126103
Eastern Asia,,2018,128743
Ecuador,ECU,1961,16000
Ecuador,ECU,1962,25920
Ecuador,ECU,1963,29174
Ecuador,ECU,1964,28782
Ecuador,ECU,1965,23984
Ecuador,ECU,1966,22998
Ecuador,ECU,1967,27395
Ecuador,ECU,1968,30788
Ecuador,ECU,1969,23768
Ecuador,ECU,1970,23358
Ecuador,ECU,1971,21670
Ecuador,ECU,1972,27200
Ecuador,ECU,1973,24317
Ecuador,ECU,1974,29332
Ecuador,ECU,1975,31936
Ecuador,ECU,1976,43495
Ecuador,ECU,1977,40466
Ecuador,ECU,1978,31346
Ecuador,ECU,1979,28994
Ecuador,ECU,1980,29055
Ecuador,ECU,1981,30617
Ecuador,ECU,1982,31076
Ecuador,ECU,1983,29561
Ecuador,ECU,1984,32577
Ecuador,ECU,1985,28382
Ecuador,ECU,1986,20290
Ecuador,ECU,1987,20026
Ecuador,ECU,1988,16376
Ecuador,ECU,1989,13432
Ecuador,ECU,1990,18655
Ecuador,ECU,1991,18083
Ecuador,ECU,1992,16083
Ecuador,ECU,1993,17668
Ecuador,ECU,1994,24063
Ecuador,ECU,1995,12568
Ecuador,ECU,1996,31694
Ecuador,ECU,1997,43998
Ecuador,ECU,1998,23577
Ecuador,ECU,1999,21203
Ecuador,ECU,2000,16104
Ecuador,ECU,2001,16296
Ecuador,ECU,2002,15303
Ecuador,ECU,2003,11850
Ecuador,ECU,2004,21928
Ecuador,ECU,2005,27580
Ecuador,ECU,2006,28000
Ecuador,ECU,2007,28500
Ecuador,ECU,2008,27687
Ecuador,ECU,2009,28000
Ecuador,ECU,2010,29000
Ecuador,ECU,2011,27000
Ecuador,ECU,2012,28600
Ecuador,ECU,2013,27000
Ecuador,ECU,2014,30000
Ecuador,ECU,2015,23904
Ecuador,ECU,2016,16118
Ecuador,ECU,2017,20995
Ecuador,ECU,2018,18232
El Salvador,SLV,1961,16400
El Salvador,SLV,1962,17600
El Salvador,SLV,1963,17900
El Salvador,SLV,1964,18800
El Salvador,SLV,1965,19800
El Salvador,SLV,1966,20800
El Salvador,SLV,1967,21900
El Salvador,SLV,1968,23600
El Salvador,SLV,1969,24000
El Salvador,SLV,1970,24100
El Salvador,SLV,1971,24500
El Salvador,SLV,1972,25000
El Salvador,SLV,1973,26000
El Salvador,SLV,1974,27000
El Salvador,SLV,1975,28000
El Salvador,SLV,1976,29000
El Salvador,SLV,1977,30000
El Salvador,SLV,1978,31000
El Salvador,SLV,1979,31000
El Salvador,SLV,1980,31000
El Salvador,SLV,1981,32000
El Salvador,SLV,1982,33000
El Salvador,SLV,1983,33500
El Salvador,SLV,1984,34000
El Salvador,SLV,1985,34000
El Salvador,SLV,1986,35000
El Salvador,SLV,1987,35000
El Salvador,SLV,1988,36000
El Salvador,SLV,1989,37000
El Salvador,SLV,1990,38000
El Salvador,SLV,1991,39000
El Salvador,SLV,1992,40000
El Salvador,SLV,1993,40000
El Salvador,SLV,1994,41000
El Salvador,SLV,1995,41000
El Salvador,SLV,1996,41500
El Salvador,SLV,1997,42000
El Salvador,SLV,1998,42500
El Salvador,SLV,1999,42500
El Salvador,SLV,2000,40000
El Salvador,SLV,2001,23000
El Salvador,SLV,2002,7000
El Salvador,SLV,2003,6822
El Salvador,SLV,2004,8442
El Salvador,SLV,2005,8976
El Salvador,SLV,2006,1920
El Salvador,SLV,2007,1958
El Salvador,SLV,2008,2135
El Salvador,SLV,2009,2182
El Salvador,SLV,2010,1880
El Salvador,SLV,2011,2887
El Salvador,SLV,2012,5250
El Salvador,SLV,2013,8256
El Salvador,SLV,2014,10245
El Salvador,SLV,2015,9190
El Salvador,SLV,2016,10537
El Salvador,SLV,2017,36088
El Salvador,SLV,2018,18605
Ethiopia,ETH,2000,78032
Ethiopia,ETH,2001,13888
Ethiopia,ETH,2002,15000
Ethiopia,ETH,2003,17201
Ethiopia,ETH,2004,16740
Ethiopia,ETH,2005,28348
Ethiopia,ETH,2006,34845
Ethiopia,ETH,2007,42849
Ethiopia,ETH,2008,32452
Ethiopia,ETH,2009,37651
Ethiopia,ETH,2010,57299
Ethiopia,ETH,2011,73097
Ethiopia,ETH,2012,25633
Ethiopia,ETH,2013,18206
Ethiopia,ETH,2014,53698
Ethiopia,ETH,2015,59331
Ethiopia,ETH,2016,64982
Ethiopia,ETH,2017,57351
Ethiopia,ETH,2018,52389
Europe,,1961,340
Europe,,1962,373
Europe,,1963,377
Europe,,1964,347
Europe,,1965,400
Europe,,1966,469
Europe,,1967,599
Europe,,1968,555
Europe,,1969,674
Europe,,1970,600
Europe,,1971,887
Europe,,1972,1526
Europe,,1973,1800
Europe,,1974,2200
Europe,,1975,2730
Europe,,1976,3220
Europe,,1977,4095
Europe,,1978,5013
Europe,,1979,6000
Europe,,1980,7596
Europe,,1981,10500
Europe,,1982,15500
Europe,,1983,20500
Europe,,1984,25049
Europe,,1985,28702
Europe,,1986,30847
Europe,,1987,33022
Europe,,1988,44233
Europe,,1989,47349
Europe,,1990,67342
Europe,,1991,74126
Europe,,1992,74350
Europe,,1993,70064
Europe,,1994,49185
Europe,,1995,29483
Europe,,1996,53660
Europe,,1997,54041
Europe,,1998,75338
Europe,,1999,67649
Europe,,2000,67266
Europe,,2001,78063
Europe,,2002,77241
Europe,,2003,79145
Europe,,2004,79108
Europe,,2005,78612
Europe,,2006,83454
Europe,,2007,85611
Europe,,2008,77454
Europe,,2009,76736
Europe,,2010,101792
Europe,,2011,87143
Europe,,2012,79895
Europe,,2013,72895
Europe,,2014,80832
Europe,,2015,90143
Europe,,2016,96215
Europe,,2017,98311
Europe,,2018,94801
"Europe, Western",,1974,200
"Europe, Western",,1975,230
"Europe, Western",,1976,220
"Europe, Western",,1977,95
"Europe, Western",,1978,65
"Europe, Western",,1988,300
"Europe, Western",,1989,400
"Europe, Western",,1990,350
"Europe, Western",,1991,74
"Europe, Western",,1992,75
"Europe, Western",,1993,75
"Europe, Western",,1994,75
"Europe, Western",,1995,75
"Europe, Western",,1996,64
"Europe, Western",,1997,70
"Europe, Western",,1998,70
"Europe, Western",,1999,77
"Europe, Western",,2000,1498
"Europe, Western",,2001,1611
"Europe, Western",,2002,1459
"Europe, Western",,2003,940
"Europe, Western",,2004,1176
"Europe, Western",,2005,980
"Europe, Western",,2006,996
"Europe, Western",,2007,957
"Europe, Western",,2008,1411
"Europe, Western",,2009,2347
"Europe, Western",,2010,1983
"Europe, Western",,2011,1256
"Europe, Western",,2012,980
"Europe, Western",,2013,980
"Europe, Western",,2014,957
"Europe, Western",,2015,941
"Europe, Western",,2016,1926
"Europe, Western",,2017,2568
"Europe, Western",,2018,2518
European Union,,1961,380
European Union,,1962,418
European Union,,1963,422
European Union,,1964,392
European Union,,1965,450
European Union,,1966,519
European Union,,1967,649
European Union,,1968,605
European Union,,1969,729
European Union,,1970,655
European Union,,1971,942
European Union,,1972,1581
European Union,,1973,1850
European Union,,1974,2250
European Union,,1975,2780
European Union,,1976,3275
European Union,,1977,4150
European Union,,1978,5068
European Union,,1979,6055
European Union,,1980,7654
European Union,,1981,10561
European Union,,1982,15591
European Union,,1983,20720
European Union,,1984,25299
European Union,,1985,29002
European Union,,1986,31347
European Union,,1987,33522
European Union,,1988,44783
European Union,,1989,48099
European Union,,1990,67592
European Union,,1991,74956
European Union,,1992,75300
European Union,,1993,70864
European Union,,1994,49935
European Union,,1995,30683
European Union,,1996,55060
European Union,,1997,55141
European Union,,1998,76438
European Union,,1999,68649
European Union,,2000,68296
European Union,,2001,79093
European Union,,2002,78271
European Union,,2003,80175
European Union,,2004,80201
European Union,,2005,78672
European Union,,2006,83404
European Union,,2007,85725
European Union,,2008,77382
European Union,,2009,76615
European Union,,2010,101759
European Union,,2011,87168
European Union,,2012,79664
European Union,,2013,72775
European Union,,2014,80699
European Union,,2015,89948
European Union,,2016,95976
European Union,,2017,97977
European Union,,2018,94464
France,FRA,1974,200
France,FRA,1975,230
France,FRA,1976,220
France,FRA,1977,95
France,FRA,1978,65
France,FRA,1988,300
France,FRA,1989,400
France,FRA,1990,350
France,FRA,1991,74
France,FRA,1992,75
France,FRA,1993,75
France,FRA,1994,75
France,FRA,1995,75
France,FRA,1996,64
France,FRA,1997,70
