Entity,Code,Year,Urban population (% of urban population),Rural population (% of rural population),Total population (% of population)
Thailand,THA,2010,8.7,22.4,16.4
Thailand,THA,2011,9,16.7,13.2
Thailand,THA,2012,8.8,16,12.6
Thailand,THA,2013,7.7,13.9,10.9
Thailand,THA,2014,,,10.5
Timor,TLS,2001,25.2,39.7,36.3
Timor,TLS,2007,45.2,51.5,49.9
Timor,TLS,2014,,,41.8
Togo,TGO,2006,37.2,75.1,61.7
Togo,TGO,2011,34.6,73.4,58.7
Togo,TGO,2015,35.9,68.7,55.1
Tonga,TON,2001,,,16.2
Tonga,TON,2009,,,22.5
Tunisia,TUN,2000,,,25.4
Tunisia,TUN,2005,,,23.1
Tunisia,TUN,2010,,,20.5
Tunisia,TUN,2015,,,15.2
Turkey,TUR,2002,24.6,38.8,30.3
Turkey,TUR,2003,18.3,32.2,23.8
Turkey,TUR,2004,13.5,32.6,20.9
Turkey,TUR,2005,10.1,26.6,16.4
Turkey,TUR,2006,6.1,25.4,13.3
Turkey,TUR,2007,4.4,17.6,8.4
Turkey,TUR,2008,3.1,15.3,6.8
Turkey,TUR,2009,1,11.9,4.4
Turkey,TUR,2010,1,9.6,3.7
Turkey,TUR,2011,0.9,6.8,2.8
Turkey,TUR,2012,0.6,5.9,2.3
Turkey,TUR,2013,0.6,5.1,2.1
Turkey,TUR,2014,,,1.6
Tuvalu,TUV,2010,24.8,27.5,26.3
Uganda,UGA,1992,28.8,60.3,56.4
Uganda,UGA,1996,16.7,48.7,44.4
Uganda,UGA,1999,9.6,37.4,33.8
Uganda,UGA,2002,14.4,42.7,38.8
Uganda,UGA,2005,13.7,34.2,31.1
Uganda,UGA,2009,9.1,27.2,24.5
Uganda,UGA,2012,9.6,22.4,19.5
Ukraine,UKR,2002,,,83.3
Ukraine,UKR,2003,,,76.2
Ukraine,UKR,2004,,,65.6
Ukraine,UKR,2005,,,55.3
Ukraine,UKR,2006,,,49.7
Ukraine,UKR,2007,,,12.7
Ukraine,UKR,2008,,,7.1
Ukraine,UKR,2009,,,5.8
Ukraine,UKR,2010,,,8.6
Ukraine,UKR,2011,,,7.8
Ukraine,UKR,2012,,,9
Ukraine,UKR,2013,,,8.3
Ukraine,UKR,2014,,,8.6
Ukraine,UKR,2015,,,6.4
Ukraine,UKR,2016,,,3.8
Uruguay,URY,2002,35.2,,
Uruguay,URY,2003,39.4,,
Uruguay,URY,2004,39.9,,
Uruguay,URY,2005,36.6,,
Uruguay,URY,2006,32.6,20.7,32.5
Uruguay,URY,2007,30,16.4,29.6
Uruguay,URY,2008,24.4,11.5,24.2
Uruguay,URY,2009,21.5,9.1,21
Uruguay,URY,2010,18.7,6.1,18.5
Uruguay,URY,2011,14.3,6,13.7
Uruguay,URY,2012,13.1,4.1,12.4
Uruguay,URY,2013,12,3,11.5
Uruguay,URY,2014,10.1,3,9.7
Uruguay,URY,2015,,,9.7
Uruguay,URY,2016,,,9.4
Uzbekistan,UZB,2012,,,15
Uzbekistan,UZB,2013,,,14.1
Vanuatu,VUT,2010,,,12.7
Venezuela,VEN,1997,,,55.6
Venezuela,VEN,1998,,,49
Venezuela,VEN,1999,,,42.8
Venezuela,VEN,2000,,,41.6
Venezuela,VEN,2001,,,31.1
Venezuela,VEN,2002,,,41.1
Venezuela,VEN,2003,,,54
Venezuela,VEN,2004,,,53.1
Venezuela,VEN,2005,,,42.4
Venezuela,VEN,2006,,,33.1
Venezuela,VEN,2007,,,27.5
Venezuela,VEN,2008,,,27.7
Venezuela,VEN,2009,,,26.4
Venezuela,VEN,2010,,,26.8
Venezuela,VEN,2011,,,27.4
Venezuela,VEN,2012,,,27.2
Venezuela,VEN,2013,,,29.4
Venezuela,VEN,2014,,,29.5
Venezuela,VEN,2015,,,33.1
Vietnam,VNM,2010,6,26.9,20.7
Vietnam,VNM,2012,5.4,22.1,17.2
Vietnam,VNM,2014,3.8,18.6,13.5
Yemen,YEM,2005,20.7,40.1,34.8
Yemen,YEM,2014,,,48.6
Zambia,ZMB,2015,,,54.4
Zimbabwe,ZWE,2011,46.5,84.3,72.3
