Entity,Code,Year,Absolute deaths from ambient PM2.5 air pollution- State of Global Air (Percent)
Taiwan,TWN,2005,8400
Taiwan,TWN,2010,9600
Taiwan,TWN,2015,10900
Tajikistan,TJK,1990,6000
Tajikistan,TJK,1995,5700
Tajikistan,TJK,2000,4900
Tajikistan,TJK,2005,4000
Tajikistan,TJK,2010,4100
Tajikistan,TJK,2015,4000
Tanzania,TZA,1990,10400
Tanzania,TZA,1995,11400
Tanzania,TZA,2000,11400
Tanzania,TZA,2005,11000
Tanzania,TZA,2010,11600
Tanzania,TZA,2015,13700
Thailand,THA,1990,17700
Thailand,THA,1995,21700
Thailand,THA,2000,25300
Thailand,THA,2005,26100
Thailand,THA,2010,28500
Thailand,THA,2015,37600
Timor-Leste,,1990,300
Timor-Leste,,1995,300
Timor-Leste,,2000,300
Timor-Leste,,2005,300
Timor-Leste,,2010,300
Timor-Leste,,2015,300
Togo,TGO,1990,2300
Togo,TGO,1995,2500
Togo,TGO,2000,2700
Togo,TGO,2005,2500
Togo,TGO,2010,2500
Togo,TGO,2015,2500
Trinidad and Tobago,TTO,1990,500
Trinidad and Tobago,TTO,1995,500
Trinidad and Tobago,TTO,2000,500
Trinidad and Tobago,TTO,2005,400
Trinidad and Tobago,TTO,2010,400
Trinidad and Tobago,TTO,2015,500
Tunisia,TUN,1990,2600
Tunisia,TUN,1995,3000
Tunisia,TUN,2000,3100
Tunisia,TUN,2005,3000
Tunisia,TUN,2010,3600
Tunisia,TUN,2015,4500
Turkey,TUR,1990,31900
Turkey,TUR,1995,30500
Turkey,TUR,2000,27700
Turkey,TUR,2005,23600
Turkey,TUR,2010,21900
Turkey,TUR,2015,26700
Turkmenistan,TKM,1990,3500
Turkmenistan,TKM,1995,3700
Turkmenistan,TKM,2000,3800
Turkmenistan,TKM,2005,2900
Turkmenistan,TKM,2010,3100
Turkmenistan,TKM,2015,3100
Uganda,UGA,1990,10800
Uganda,UGA,1995,12300
Uganda,UGA,2000,13200
Uganda,UGA,2005,13200
Uganda,UGA,2010,13000
Uganda,UGA,2015,15100
Ukraine,UKR,1990,65000
Ukraine,UKR,1995,74000
Ukraine,UKR,2000,66000
Ukraine,UKR,2005,64800
Ukraine,UKR,2010,57700
Ukraine,UKR,2015,59000
United Arab Emirates,ARE,1990,500
United Arab Emirates,ARE,1995,600
United Arab Emirates,ARE,2000,700
United Arab Emirates,ARE,2005,900
United Arab Emirates,ARE,2010,1700
United Arab Emirates,ARE,2015,2600
United Kingdom,GBR,1990,42800
United Kingdom,GBR,1995,39600
United Kingdom,GBR,2000,34500
United Kingdom,GBR,2005,29100
United Kingdom,GBR,2010,26000
United Kingdom,GBR,2015,27200
United States,USA,1990,106000
United States,USA,1995,107200
United States,USA,2000,106200
United States,USA,2005,100000
United States,USA,2010,83400
United States,USA,2015,88400
Uruguay,URY,1990,1500
Uruguay,URY,1995,1600
Uruguay,URY,2000,1500
Uruguay,URY,2005,1400
Uruguay,URY,2010,1400
Uruguay,URY,2015,1400
Uzbekistan,UZB,1990,15900
Uzbekistan,UZB,1995,17400
Uzbekistan,UZB,2000,16900
Uzbekistan,UZB,2005,16100
Uzbekistan,UZB,2010,16900
Uzbekistan,UZB,2015,17500
Vanuatu,VUT,1995,100
Vanuatu,VUT,2000,100
Vanuatu,VUT,2005,100
Vanuatu,VUT,2010,100
Vanuatu,VUT,2015,100
Venezuela,VEN,1990,5600
Venezuela,VEN,1995,6100
Venezuela,VEN,2000,6800
Venezuela,VEN,2005,7100
Venezuela,VEN,2010,7500
Venezuela,VEN,2015,9300
Vietnam,VNM,1990,26300
Vietnam,VNM,1995,29000
Vietnam,VNM,2000,31900
Vietnam,VNM,2005,35800
Vietnam,VNM,2010,37000
Vietnam,VNM,2015,42200
Yemen,YEM,1990,10000
Yemen,YEM,1995,12000
Yemen,YEM,2000,11200
Yemen,YEM,2005,10000
Yemen,YEM,2010,11000
Yemen,YEM,2015,12500
Zambia,ZMB,1990,4300
Zambia,ZMB,1995,5000
Zambia,ZMB,2000,5500
Zambia,ZMB,2005,5600
Zambia,ZMB,2010,5600
Zambia,ZMB,2015,5600
Zimbabwe,ZWE,1990,2500
Zimbabwe,ZWE,1995,2600
Zimbabwe,ZWE,2000,3600
Zimbabwe,ZWE,2005,4500
Zimbabwe,ZWE,2010,4500
Zimbabwe,ZWE,2015,3800
