Entity,Code,Year,2.5.1 - Plant breeds for which sufficient genetic resources are stored (number) - ER_GRF_PLNTSTOR (breeds)
Philippines,PHL,2012,1009
Philippines,PHL,2014,1209
Philippines,PHL,2016,1367
Philippines,PHL,2017,1413
Philippines,PHL,2018,1450
Poland,POL,1995,62727
Poland,POL,2000,70712
Poland,POL,2005,76099
Poland,POL,2010,81348
Poland,POL,2012,83336
Poland,POL,2014,84586
Poland,POL,2016,85641
Poland,POL,2017,85790
Poland,POL,2018,85855
Portugal,PRT,1995,10842
Portugal,PRT,2000,11424
Portugal,PRT,2005,11892
Portugal,PRT,2010,12193
Portugal,PRT,2012,12193
Portugal,PRT,2014,12193
Portugal,PRT,2016,12193
Portugal,PRT,2017,26151
Portugal,PRT,2018,30484
Regional Centres (FAO),,1995,35244
Regional Centres (FAO),,2000,47664
Regional Centres (FAO),,2005,53536
Regional Centres (FAO),,2010,59927
Regional Centres (FAO),,2012,65505
Regional Centres (FAO),,2014,69583
Regional Centres (FAO),,2016,63624
Regional Centres (FAO),,2017,63883
Regional Centres (FAO),,2018,71165
Romania,ROU,1995,33312
Romania,ROU,2000,41250
Romania,ROU,2005,42353
Romania,ROU,2010,42624
Romania,ROU,2012,42837
Romania,ROU,2014,42837
Romania,ROU,2016,46064
Romania,ROU,2017,38071
Romania,ROU,2018,38034
Russia,RUS,1995,199981
Russia,RUS,2000,200235
Russia,RUS,2005,200451
Russia,RUS,2010,200614
Russia,RUS,2012,200717
Russia,RUS,2014,200717
Russia,RUS,2016,200717
Russia,RUS,2017,200717
Russia,RUS,2018,200717
Senegal,SEN,1995,958
Senegal,SEN,2000,958
Senegal,SEN,2005,1299
Senegal,SEN,2010,1330
Senegal,SEN,2012,1330
Senegal,SEN,2014,1890
Senegal,SEN,2016,1890
Senegal,SEN,2017,1890
Senegal,SEN,2018,1890
Serbia,SRB,1995,5475
Serbia,SRB,2000,5475
Serbia,SRB,2005,5475
Serbia,SRB,2010,5475
Serbia,SRB,2012,5475
Serbia,SRB,2014,5475
Serbia,SRB,2016,5475
Serbia,SRB,2017,5475
Serbia,SRB,2018,5520
Slovakia,SVK,1995,10040
Slovakia,SVK,2000,13948
Slovakia,SVK,2005,16681
Slovakia,SVK,2010,17016
Slovakia,SVK,2012,17016
Slovakia,SVK,2014,17016
Slovakia,SVK,2016,17043
Slovakia,SVK,2017,17043
Slovakia,SVK,2018,17043
Slovenia,SVN,1995,1619
Slovenia,SVN,2000,1776
Slovenia,SVN,2005,1776
Slovenia,SVN,2010,1776
Slovenia,SVN,2012,1776
Slovenia,SVN,2014,1776
Slovenia,SVN,2016,1776
Slovenia,SVN,2017,1776
Slovenia,SVN,2018,1776
Small Island Developing States (SIDS),,1995,13155
Small Island Developing States (SIDS),,2000,15582
Small Island Developing States (SIDS),,2005,18287
Small Island Developing States (SIDS),,2010,20915
Small Island Developing States (SIDS),,2012,22962
Small Island Developing States (SIDS),,2014,23816
Small Island Developing States (SIDS),,2016,24562
Small Island Developing States (SIDS),,2017,24727
Small Island Developing States (SIDS),,2018,25096
South Africa,ZAF,1995,1159
South Africa,ZAF,2000,1765
South Africa,ZAF,2005,5491
South Africa,ZAF,2010,6006
South Africa,ZAF,2012,6067
South Africa,ZAF,2014,6124
South Africa,ZAF,2016,6124
South Africa,ZAF,2017,6190
South Africa,ZAF,2018,6202
South America,,1995,157638
South America,,2000,182194
South America,,2005,204252
South America,,2010,230045
South America,,2012,252264
South America,,2014,263945
South America,,2016,273785
South America,,2017,277427
South America,,2018,278302
South Eastern Asia,,1995,16345
South Eastern Asia,,2000,20351
South Eastern Asia,,2005,44872
South Eastern Asia,,2010,55065
South Eastern Asia,,2012,56396
South Eastern Asia,,2014,57196
South Eastern Asia,,2016,58192
South Eastern Asia,,2017,58386
South Eastern Asia,,2018,58423
Southern Africa,,1995,4819
Southern Africa,,2000,6513
Southern Africa,,2005,12187
Southern Africa,,2010,14626
Southern Africa,,2012,14888
Southern Africa,,2014,14976
Southern Africa,,2016,15196
Southern Africa,,2017,15477
Southern Africa,,2018,15632
Southern Asia,,1995,227997
Southern Asia,,2000,288025
Southern Asia,,2005,393118
Southern Asia,,2010,433828
Southern Asia,,2012,449067
Southern Asia,,2014,458651
Southern Asia,,2016,475740
Southern Asia,,2017,478316
Southern Asia,,2018,484382
Southern Europe,,1995,136887
Southern Europe,,2000,143405
Southern Europe,,2005,151737
Southern Europe,,2010,159689
Southern Europe,,2012,161605
Southern Europe,,2014,163299
Southern Europe,,2016,164328
Southern Europe,,2017,180873
Southern Europe,,2018,182903
Spain,ESP,1995,66751
Spain,ESP,2000,69465
Spain,ESP,2005,71980
Spain,ESP,2010,75319
Spain,ESP,2012,76174
Spain,ESP,2014,76970
Spain,ESP,2016,77000
Spain,ESP,2017,79323
Spain,ESP,2018,76581
Sri Lanka,LKA,1995,5593
Sri Lanka,LKA,2000,6435
Sri Lanka,LKA,2005,7375
Sri Lanka,LKA,2010,8469
Sri Lanka,LKA,2012,8589
Sri Lanka,LKA,2014,8809
Sri Lanka,LKA,2016,9944
Sri Lanka,LKA,2017,10418
Sri Lanka,LKA,2018,11722
Sub-Saharan Africa,,1995,125139
Sub-Saharan Africa,,2000,138034
Sub-Saharan Africa,,2005,167269
Sub-Saharan Africa,,2010,181563
Sub-Saharan Africa,,2012,184206
Sub-Saharan Africa,,2014,187608
Sub-Saharan Africa,,2016,190695
Sub-Saharan Africa,,2017,191022
Sub-Saharan Africa,,2018,193476
Sub-Saharan Africa (inc. Sudan),,1995,129843
Sub-Saharan Africa (inc. Sudan),,2000,143915
Sub-Saharan Africa (inc. Sudan),,2005,176256
Sub-Saharan Africa (inc. Sudan),,2010,192783
Sub-Saharan Africa (inc. Sudan),,2012,195432
Sub-Saharan Africa (inc. Sudan),,2014,199387
Sub-Saharan Africa (inc. Sudan),,2016,203978
Sub-Saharan Africa (inc. Sudan),,2017,204315
Sub-Saharan Africa (inc. Sudan),,2018,206769
Sudan,SDN,1995,4704
Sudan,SDN,2000,5881
Sudan,SDN,2005,8987
Sudan,SDN,2010,11220
Sudan,SDN,2012,11226
Sudan,SDN,2014,11779
Sudan,SDN,2016,13283
Sudan,SDN,2017,13293
Sudan,SDN,2018,13293
Suriname,SUR,1995,0
Suriname,SUR,2000,0
Suriname,SUR,2005,0
Suriname,SUR,2010,79
Suriname,SUR,2012,83
Suriname,SUR,2014,83
Suriname,SUR,2016,83
Suriname,SUR,2017,83
Suriname,SUR,2018,83
Swaziland,SWZ,1995,177
Swaziland,SWZ,2000,577
Swaziland,SWZ,2005,694
Swaziland,SWZ,2010,737
Swaziland,SWZ,2012,740
Swaziland,SWZ,2014,742
Swaziland,SWZ,2016,746
Swaziland,SWZ,2017,746
Swaziland,SWZ,2018,746
Sweden,SWE,1995,247
Sweden,SWE,2000,247
Sweden,SWE,2005,250
Sweden,SWE,2010,276
Sweden,SWE,2012,307
Sweden,SWE,2014,308
Sweden,SWE,2016,312
Sweden,SWE,2017,312
Sweden,SWE,2018,448
Switzerland,CHE,1995,24270
Switzerland,CHE,2000,24780
Switzerland,CHE,2005,29213
Switzerland,CHE,2010,37967
Switzerland,CHE,2012,39684
Switzerland,CHE,2014,39908
Switzerland,CHE,2016,39942
Switzerland,CHE,2017,39949
Switzerland,CHE,2018,39953
Tanzania,TZA,1995,1363
Tanzania,TZA,2000,2521
Tanzania,TZA,2005,4373
Tanzania,TZA,2010,5269
Tanzania,TZA,2012,5592
Tanzania,TZA,2014,5825
Tanzania,TZA,2016,5825
Tanzania,TZA,2017,5825
Tanzania,TZA,2018,5825
Thailand,THA,1995,61
Thailand,THA,2000,61
Thailand,THA,2005,22830
Thailand,THA,2010,30843
Thailand,THA,2012,31231
Thailand,THA,2014,31387
Thailand,THA,2016,31887
Thailand,THA,2017,31887
Thailand,THA,2018,31887
Togo,TGO,1995,218
Togo,TGO,2000,218
Togo,TGO,2005,218
Togo,TGO,2010,218
Togo,TGO,2012,218
Togo,TGO,2014,220
Togo,TGO,2016,220
Togo,TGO,2017,220
Togo,TGO,2018,220
Trinidad and Tobago,TTO,1995,354
Trinidad and Tobago,TTO,2000,413
Trinidad and Tobago,TTO,2005,436
Trinidad and Tobago,TTO,2010,490
Trinidad and Tobago,TTO,2012,514
Trinidad and Tobago,TTO,2014,573
Trinidad and Tobago,TTO,2016,580
Trinidad and Tobago,TTO,2017,582
Trinidad and Tobago,TTO,2018,598
Tunisia,TUN,1995,0
Tunisia,TUN,2000,0
Tunisia,TUN,2005,0
Tunisia,TUN,2010,5292
Tunisia,TUN,2012,5292
Tunisia,TUN,2014,5923
Tunisia,TUN,2016,19784
Tunisia,TUN,2017,19999
Tunisia,TUN,2018,19999
Turkey,TUR,1995,10240
Turkey,TUR,2000,11486
Turkey,TUR,2005,12792
Turkey,TUR,2010,13026
Turkey,TUR,2012,13026
Turkey,TUR,2014,14129
Turkey,TUR,2016,14129
Turkey,TUR,2017,14129
Turkey,TUR,2018,14129
Uganda,UGA,1995,6
Uganda,UGA,2000,6
Uganda,UGA,2005,42
Uganda,UGA,2010,3456
Uganda,UGA,2012,3767
Uganda,UGA,2014,4228
Uganda,UGA,2016,5027
Uganda,UGA,2017,5027
Uganda,UGA,2018,5027
Ukraine,UKR,1995,53480
Ukraine,UKR,2000,68650
Ukraine,UKR,2005,80274
Ukraine,UKR,2010,91075
Ukraine,UKR,2012,94025
Ukraine,UKR,2014,94025
Ukraine,UKR,2016,94025
Ukraine,UKR,2017,94025
Ukraine,UKR,2018,94025
United Kingdom,GBR,1995,76986
United Kingdom,GBR,2000,114892
United Kingdom,GBR,2005,451682
United Kingdom,GBR,2010,686400
United Kingdom,GBR,2012,745542
United Kingdom,GBR,2014,781940
United Kingdom,GBR,2016,801759
United Kingdom,GBR,2017,821524
United Kingdom,GBR,2018,834451
United States,USA,1995,409471
United States,USA,2000,449203
United States,USA,2005,473439
United States,USA,2010,543966
United States,USA,2012,557936
United States,USA,2014,565844
United States,USA,2016,582149
United States,USA,2017,582149
United States,USA,2018,582149
Uruguay,URY,1995,2015
Uruguay,URY,2000,7708
Uruguay,URY,2005,10689
Uruguay,URY,2010,13905
Uruguay,URY,2012,14281
Uruguay,URY,2014,14580
Uruguay,URY,2016,16653
Uruguay,URY,2017,17420
Uruguay,URY,2018,17468
Western Africa,,1995,1206
Western Africa,,2000,1206
Western Africa,,2005,4786
Western Africa,,2010,4818
Western Africa,,2012,5500
Western Africa,,2014,6577
Western Africa,,2016,6578
Western Africa,,2017,6624
Western Africa,,2018,7892
Western Asia,,1995,45738
Western Asia,,2000,49247
Western Asia,,2005,57075
Western Asia,,2010,62079
Western Asia,,2012,63103
Western Asia,,2014,65758
Western Asia,,2016,67308
Western Asia,,2017,67900
Western Asia,,2018,68744
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,1995,10284
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,2000,12744
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,2005,15881
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,2010,16735
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,2012,17023
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,2014,19657
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,2016,19899
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,2017,20073
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,2018,20917
World,OWID_WRL,1995,2968201
World,OWID_WRL,2000,3386229
World,OWID_WRL,2005,4175111
World,OWID_WRL,2010,4742990
World,OWID_WRL,2012,4935779
World,OWID_WRL,2014,5047817
World,OWID_WRL,2016,5159482
World,OWID_WRL,2017,5214135
World,OWID_WRL,2018,5309861
Zambia,ZMB,1995,3850
Zambia,ZMB,2000,4523
Zambia,ZMB,2005,5918
Zambia,ZMB,2010,6482
Zambia,ZMB,2012,7058
Zambia,ZMB,2014,7252
Zambia,ZMB,2016,7252
Zambia,ZMB,2017,7252
Zambia,ZMB,2018,7583
