Entity,Code,Year,Income share held by highest 10% (%)
Nicaragua,NIC,2005,39.9
Nicaragua,NIC,2009,34.4
Nicaragua,NIC,2014,37.5
Niger,NER,1992,29.4
Niger,NER,1994,32.5
Niger,NER,2005,36.2
Niger,NER,2007,31.4
Niger,NER,2011,26.4
Niger,NER,2014,26.8
Nigeria,NGA,1985,28.2
Nigeria,NGA,1992,31.4
Nigeria,NGA,1996,40.7
Nigeria,NGA,2003,29.8
Nigeria,NGA,2009,32.7
Norway,NOR,2004,27.1
Norway,NOR,2005,26.3
Norway,NOR,2006,21.2
Norway,NOR,2007,22.2
Norway,NOR,2008,21.8
Norway,NOR,2009,21.3
Norway,NOR,2010,21
Norway,NOR,2011,20.5
Norway,NOR,2012,20.9
Norway,NOR,2013,21.3
Norway,NOR,2014,21.6
Pakistan,PAK,1987,27.6
Pakistan,PAK,1990,27.1
Pakistan,PAK,1996,25.2
Pakistan,PAK,1998,28.5
Pakistan,PAK,2001,26.2
Pakistan,PAK,2004,27.5
Pakistan,PAK,2005,28.4
Pakistan,PAK,2007,27.3
Pakistan,PAK,2010,25.8
Pakistan,PAK,2011,26.8
Pakistan,PAK,2013,26
Palestine,PSE,2004,26.4
Palestine,PSE,2005,26.7
Palestine,PSE,2006,27.1
Palestine,PSE,2007,27.6
Palestine,PSE,2009,27.4
Palestine,PSE,2010,28.5
Palestine,PSE,2011,27.2
Panama,PAN,1979,36
Panama,PAN,1989,42.9
Panama,PAN,1991,42.5
Panama,PAN,1995,43.2
Panama,PAN,1997,44.1
Panama,PAN,1998,43.4
Panama,PAN,1999,42.5
Panama,PAN,2000,43.7
Panama,PAN,2001,43.3
Panama,PAN,2002,43.6
Panama,PAN,2003,43.2
Panama,PAN,2004,41.7
Panama,PAN,2005,40.5
Panama,PAN,2006,41.8
Panama,PAN,2007,40.2
Panama,PAN,2008,40.6
Panama,PAN,2009,40.5
Panama,PAN,2010,40.1
Panama,PAN,2011,40
Panama,PAN,2012,39.9
Panama,PAN,2013,40
Panama,PAN,2014,38.9
Panama,PAN,2015,39.3
Papua New Guinea,PNG,1996,40.7
Papua New Guinea,PNG,2009,31
Paraguay,PRY,1990,30.8
Paraguay,PRY,1995,46.1
Paraguay,PRY,1997,41.4
Paraguay,PRY,1999,42.1
Paraguay,PRY,2001,43.3
Paraguay,PRY,2002,46.1
Paraguay,PRY,2003,44.6
Paraguay,PRY,2004,42.1
Paraguay,PRY,2005,40.1
Paraguay,PRY,2006,42.9
Paraguay,PRY,2007,41.2
Paraguay,PRY,2008,40.4
Paraguay,PRY,2009,38.2
Paraguay,PRY,2010,41.1
Paraguay,PRY,2011,41.4
Paraguay,PRY,2012,37.4
Paraguay,PRY,2013,37.6
Paraguay,PRY,2014,41.6
Paraguay,PRY,2015,36.8
Peru,PER,1997,41.2
Peru,PER,1998,44.5
Peru,PER,1999,44.9
Peru,PER,2000,38.5
Peru,PER,2001,39.6
Peru,PER,2002,42.5
Peru,PER,2003,42.8
Peru,PER,2004,39.3
Peru,PER,2005,40
Peru,PER,2006,39.4
Peru,PER,2007,39.1
Peru,PER,2008,36.4
Peru,PER,2009,36.1
Peru,PER,2010,34.8
Peru,PER,2011,34.2
Peru,PER,2012,33.7
Peru,PER,2013,33.4
Peru,PER,2014,33
Peru,PER,2015,33.4
Philippines,PHL,1985,32.7
Philippines,PHL,1988,32
Philippines,PHL,1991,34.7
Philippines,PHL,1994,33.6
Philippines,PHL,1997,36.3
Philippines,PHL,2000,34.1
Philippines,PHL,2003,32.5
Philippines,PHL,2006,33.2
Philippines,PHL,2009,32.7
Philippines,PHL,2012,32.9
Philippines,PHL,2015,31.3
Poland,POL,1993,21
Poland,POL,1996,26.5
Poland,POL,1998,25.9
Poland,POL,1999,25.8
Poland,POL,2000,26.1
Poland,POL,2001,25.8
Poland,POL,2002,26.7
Poland,POL,2003,27
Poland,POL,2004,27
Poland,POL,2005,27
Poland,POL,2006,26.4
Poland,POL,2007,26.5
Poland,POL,2008,26.7
Poland,POL,2009,26.6
Poland,POL,2010,26.2
Poland,POL,2011,25.9
Poland,POL,2012,25.6
Poland,POL,2013,25.6
Poland,POL,2014,25.2
Portugal,PRT,2004,30.8
Portugal,PRT,2005,30.6
Portugal,PRT,2006,29.7
Portugal,PRT,2007,28.9
Portugal,PRT,2008,28.9
Portugal,PRT,2009,27.5
Portugal,PRT,2010,28.3
Portugal,PRT,2011,28.7
Portugal,PRT,2012,27.8
Portugal,PRT,2013,27.5
Portugal,PRT,2014,27.4
Romania,ROU,1998,24.2
Romania,ROU,1999,23.4
Romania,ROU,2000,23.3
Romania,ROU,2001,23.2
Romania,ROU,2002,23.8
Romania,ROU,2003,23.7
Romania,ROU,2004,23.5
Romania,ROU,2005,23.5
Romania,ROU,2006,23.9
Romania,ROU,2007,23.8
Romania,ROU,2008,23.2
Romania,ROU,2009,22.1
Romania,ROU,2010,21.9
Romania,ROU,2011,21.4
Romania,ROU,2012,21.5
Romania,ROU,2013,21.6
Russia,RUS,1993,38.3
Russia,RUS,1996,35.5
Russia,RUS,1997,29.4
Russia,RUS,1998,28.6
Russia,RUS,1999,27.7
Russia,RUS,2000,27.6
Russia,RUS,2001,30.4
Russia,RUS,2002,28.1
Russia,RUS,2003,30.3
Russia,RUS,2004,30.5
Russia,RUS,2005,31.4
Russia,RUS,2006,31.3
Russia,RUS,2007,32.8
Russia,RUS,2008,32.5
Russia,RUS,2009,31.1
Russia,RUS,2010,30.6
Russia,RUS,2011,31.1
Russia,RUS,2012,32.2
Russia,RUS,2013,32.5
Russia,RUS,2014,31.9
Russia,RUS,2015,29.7
Rwanda,RWA,1984,24.6
Rwanda,RWA,2000,40.8
Rwanda,RWA,2005,43.9
Rwanda,RWA,2010,44.3
Rwanda,RWA,2013,43.2
Saint Lucia,LCA,1995,32.5
Samoa,WSM,2008,34.1
Sao Tome and Principe,STP,2000,24.5
Sao Tome and Principe,STP,2010,24.2
Senegal,SEN,1991,42.8
Senegal,SEN,1994,33.9
Senegal,SEN,2001,33.4
Senegal,SEN,2005,30
Senegal,SEN,2011,31
Serbia,SRB,2002,25.5
Serbia,SRB,2003,26
Serbia,SRB,2004,25.8
Serbia,SRB,2005,26.2
Serbia,SRB,2006,23.5
Serbia,SRB,2007,23.5
Serbia,SRB,2008,22.7
Serbia,SRB,2009,22.8
Serbia,SRB,2010,23.2
Serbia,SRB,2013,22.9
Seychelles,SYC,2013,39.9
Sierra Leone,SLE,2003,32
Sierra Leone,SLE,2011,26.9
Slovakia,SVK,1988,18.1
Slovakia,SVK,1992,18.2
Slovakia,SVK,1996,20.8
Slovakia,SVK,2004,22.1
Slovakia,SVK,2005,24.9
Slovakia,SVK,2006,21.8
Slovakia,SVK,2007,20.8
Slovakia,SVK,2008,21.4
Slovakia,SVK,2009,21.8
Slovakia,SVK,2010,21.9
Slovakia,SVK,2011,21
Slovakia,SVK,2012,20.5
Slovakia,SVK,2013,22.1
Slovakia,SVK,2014,20.3
Slovenia,SVN,1987,20.4
Slovenia,SVN,1993,24.5
Slovenia,SVN,2004,20.6
Slovenia,SVN,2005,20.6
Slovenia,SVN,2006,20.4
Slovenia,SVN,2007,20.4
Slovenia,SVN,2008,20.1
Slovenia,SVN,2009,20.6
Slovenia,SVN,2010,20.7
Slovenia,SVN,2011,20.8
Slovenia,SVN,2012,21.1
Slovenia,SVN,2013,21.4
Slovenia,SVN,2014,21.1
Solomon Islands,SLB,2005,35.8
Solomon Islands,SLB,2013,29.3
South Africa,ZAF,1993,46.7
South Africa,ZAF,1996,47.5
South Africa,ZAF,2000,44.9
South Africa,ZAF,2006,54.3
South Africa,ZAF,2008,51.3
South Africa,ZAF,2011,51.3
South Korea,KOR,2006,24
South Korea,KOR,2008,24.5
South Korea,KOR,2010,24.2
South Korea,KOR,2012,23.8
South Sudan,SSD,2009,33.2
Spain,ESP,2004,24.9
Spain,ESP,2005,24.3
Spain,ESP,2006,24.4
Spain,ESP,2007,24.6
Spain,ESP,2008,25.6
Spain,ESP,2009,25.9
Spain,ESP,2010,26
Spain,ESP,2011,25.9
Spain,ESP,2012,25.8
Spain,ESP,2013,25.9
Spain,ESP,2014,26
Sri Lanka,LKA,1985,26.4
Sri Lanka,LKA,1990,27.5
Sri Lanka,LKA,1995,29
Sri Lanka,LKA,2002,33.2
Sri Lanka,LKA,2006,32.8
Sri Lanka,LKA,2009,29.9
Sri Lanka,LKA,2012,32.2
Sudan,SDN,2009,26.7
Suriname,SUR,1999,42.7
Swaziland,SWZ,1994,49.5
Swaziland,SWZ,2000,44.1
Swaziland,SWZ,2009,40
Sweden,SWE,2004,21.1
Sweden,SWE,2005,21.1
Sweden,SWE,2006,21.1
Sweden,SWE,2007,21.2
Sweden,SWE,2008,21.5
Sweden,SWE,2009,21.1
Sweden,SWE,2010,21.2
Sweden,SWE,2011,21.4
Sweden,SWE,2012,21.5
Sweden,SWE,2013,21.6
Sweden,SWE,2014,21.5
Switzerland,CHE,2007,26.7
Switzerland,CHE,2008,26.3
Switzerland,CHE,2009,25.7
Switzerland,CHE,2010,25.4
Switzerland,CHE,2011,24.6
Switzerland,CHE,2012,25
Switzerland,CHE,2013,25.5
Syria,SYR,2004,28.7
Tajikistan,TJK,1999,23.4
Tajikistan,TJK,2003,25.6
Tajikistan,TJK,2004,26.6
Tajikistan,TJK,2007,25.1
Tajikistan,TJK,2009,24.1
Tajikistan,TJK,2012,25.7
Tajikistan,TJK,2013,25.3
Tajikistan,TJK,2014,25.4
Tajikistan,TJK,2015,26.4
Tanzania,TZA,1991,27.1
Tanzania,TZA,2000,28.9
Tanzania,TZA,2007,31.9
Tanzania,TZA,2011,31
Thailand,THA,1981,35.5
Thailand,THA,1988,35.3
Thailand,THA,1990,36.4
Thailand,THA,1992,38.7
Thailand,THA,1994,34.9
Thailand,THA,1996,34.3
Thailand,THA,1998,32.3
Thailand,THA,1999,34.1
Thailand,THA,2000,33.7
Thailand,THA,2002,33.2
Thailand,THA,2004,33.8
Thailand,THA,2006,32.5
Thailand,THA,2007,30.8
Thailand,THA,2008,31.1
Thailand,THA,2009,30.8
Thailand,THA,2010,30.7
Thailand,THA,2011,29.9
Thailand,THA,2012,30.4
Thailand,THA,2013,29.2
Timor,TLS,2001,28.2
Timor,TLS,2007,25
Togo,TGO,2006,32.6
Togo,TGO,2011,34.5
Togo,TGO,2015,31.6
Tonga,TON,2001,28.3
Tonga,TON,2009,28.9
Trinidad and Tobago,TTO,1988,31.1
Trinidad and Tobago,TTO,1992,29.9
Tunisia,TUN,1985,34.1
Tunisia,TUN,1990,30.7
Tunisia,TUN,1995,31.8
Tunisia,TUN,2000,31.6
Tunisia,TUN,2005,29.1
Tunisia,TUN,2010,27
Turkey,TUR,1987,35.1
Turkey,TUR,1994,32
Turkey,TUR,2002,31.9
Turkey,TUR,2003,32.4
Turkey,TUR,2004,30.8
Turkey,TUR,2005,32.8
Turkey,TUR,2006,29.6
Turkey,TUR,2007,28.2
Turkey,TUR,2008,29.4
Turkey,TUR,2009,29.2
Turkey,TUR,2010,29.3
Turkey,TUR,2011,30.5
Turkey,TUR,2012,30.5
Turkey,TUR,2013,30.6
Turkey,TUR,2014,31.6
Turkmenistan,TKM,1998,31.7
Tuvalu,TUV,2010,30.7
Uganda,UGA,1989,33.7
Uganda,UGA,1992,33.5
Uganda,UGA,1996,31.3
Uganda,UGA,1999,34.9
Uganda,UGA,2002,37.5
Uganda,UGA,2005,34.5
Uganda,UGA,2009,36.4
Uganda,UGA,2012,32.9
Ukraine,UKR,1995,30.4
Ukraine,UKR,1996,27.6
Ukraine,UKR,2002,23.2
Ukraine,UKR,2003,23.4
Ukraine,UKR,2004,23.1
Ukraine,UKR,2005,23.2
Ukraine,UKR,2006,24.1
Ukraine,UKR,2007,22
Ukraine,UKR,2008,21.9
Ukraine,UKR,2009,21.1
Ukraine,UKR,2010,21
Ukraine,UKR,2011,20.8
Ukraine,UKR,2012,20.8
Ukraine,UKR,2013,21.1
Ukraine,UKR,2014,20.6
Ukraine,UKR,2015,21.6
United Kingdom,GBR,2004,27.8
United Kingdom,GBR,2005,26.1
United Kingdom,GBR,2006,26.7
United Kingdom,GBR,2007,28
United Kingdom,GBR,2008,26.4
United Kingdom,GBR,2009,26.5
United Kingdom,GBR,2010,26.8
United Kingdom,GBR,2011,25.3
United Kingdom,GBR,2012,24.6
United Kingdom,GBR,2013,25.3
United Kingdom,GBR,2014,26.2
United States,USA,1979,25.3
United States,USA,1986,26.8
United States,USA,1991,27.6
United States,USA,1994,29.7
United States,USA,1997,30.5
United States,USA,2000,30.4
United States,USA,2004,30.3
United States,USA,2007,30.5
United States,USA,2010,29.4
United States,USA,2013,30.2
Uruguay,URY,1981,33.3
Uruguay,URY,1989,32.2
Uruguay,URY,2006,35.9
Uruguay,URY,2007,36.3
Uruguay,URY,2008,35.1
Uruguay,URY,2009,35.2
Uruguay,URY,2010,34.4
Uruguay,URY,2011,32.4
Uruguay,URY,2012,30.2
Uruguay,URY,2013,31
Uruguay,URY,2014,30.8
Uruguay,URY,2015,30.8
Uzbekistan,UZB,1998,32.7
Uzbekistan,UZB,2000,28.6
Uzbekistan,UZB,2002,27.4
Uzbekistan,UZB,2003,28.3
Vanuatu,VUT,2010,29.1
Venezuela,VEN,1981,43.5
Venezuela,VEN,1987,40.8
Venezuela,VEN,1989,33
Venezuela,VEN,1992,31.7
Venezuela,VEN,1995,35.8
Venezuela,VEN,1998,36.5
Venezuela,VEN,1999,36.2
Venezuela,VEN,2001,35.7
Venezuela,VEN,2002,36.9
Venezuela,VEN,2003,36.1
Venezuela,VEN,2004,35.7
Venezuela,VEN,2005,37.8
Venezuela,VEN,2006,34.1
Vietnam,VNM,1992,28.6
Vietnam,VNM,1998,29
Vietnam,VNM,2002,29.9
Vietnam,VNM,2004,28.8
Vietnam,VNM,2006,27.7
Vietnam,VNM,2008,28
Vietnam,VNM,2010,30.9
Vietnam,VNM,2012,27.7
Vietnam,VNM,2014,26.8
Yemen,YEM,1998,26.8
Yemen,YEM,2005,28.6
Yemen,YEM,2014,29.4
Zambia,ZMB,1991,42.9
Zambia,ZMB,1993,39.3
Zambia,ZMB,1996,37.3
Zambia,ZMB,1998,38.2
Zambia,ZMB,2002,33.7
Zambia,ZMB,2004,42.7
Zambia,ZMB,2006,43.2
Zambia,ZMB,2010,45.2
Zambia,ZMB,2015,44.4
Zimbabwe,ZWE,2011,33.8
