Entity,Code,Year,Indicator 3.a.1: Age-standardised prevalence of daily smoking in populations aged 10 and older (%) - Past - Unscaled (%)
Saint Lucia,LCA,2010,9.804
Saint Lucia,LCA,2016,9.473
Saint Vincent and the Grenadines,VCT,1990,9.546
Saint Vincent and the Grenadines,VCT,1995,9.603
Saint Vincent and the Grenadines,VCT,2000,9.334
Saint Vincent and the Grenadines,VCT,2005,8.66
Saint Vincent and the Grenadines,VCT,2010,8.417
Saint Vincent and the Grenadines,VCT,2016,8.265
Samoa,WSM,1990,29.095
Samoa,WSM,1995,28.415
Samoa,WSM,2000,27.482
Samoa,WSM,2005,26.213
Samoa,WSM,2010,25.038
Samoa,WSM,2016,24.422
Sao Tome and Principe,STP,1990,4.013
Sao Tome and Principe,STP,1995,3.909
Sao Tome and Principe,STP,2000,3.794
Sao Tome and Principe,STP,2005,3.647
Sao Tome and Principe,STP,2010,3.523
Sao Tome and Principe,STP,2016,3.565
Saudi Arabia,SAU,1990,8.397
Saudi Arabia,SAU,1995,10.087
Saudi Arabia,SAU,2000,10.733
Saudi Arabia,SAU,2005,11.131
Saudi Arabia,SAU,2010,11.964
Saudi Arabia,SAU,2016,11.911
Senegal,SEN,1990,9.129
Senegal,SEN,1995,8.412
Senegal,SEN,2000,7.949
Senegal,SEN,2005,7.057
Senegal,SEN,2010,6.162
Senegal,SEN,2016,5.623
Serbia,SRB,1990,27.187
Serbia,SRB,1995,28.724
Serbia,SRB,2000,30.272
Serbia,SRB,2005,28.535
Serbia,SRB,2010,28.763
Serbia,SRB,2016,28.87
Seychelles,SYC,1990,16.531
Seychelles,SYC,1995,16.023
Seychelles,SYC,2000,15.006
Seychelles,SYC,2005,14.201
Seychelles,SYC,2010,14.303
Seychelles,SYC,2016,14.138
Sierra Leone,SLE,1990,15.726
Sierra Leone,SLE,1995,15.455
Sierra Leone,SLE,2000,15.546
Sierra Leone,SLE,2005,15.933
Sierra Leone,SLE,2010,15.711
Sierra Leone,SLE,2016,14.117
Singapore,SGP,1990,10.291
Singapore,SGP,1995,9.17
Singapore,SGP,2000,8.74
Singapore,SGP,2005,8.682
Singapore,SGP,2010,8.205
Singapore,SGP,2016,7.473
Slovakia,SVK,1990,27.143
Slovakia,SVK,1995,23.652
Slovakia,SVK,2000,22.002
Slovakia,SVK,2005,21.408
Slovakia,SVK,2010,20.222
Slovakia,SVK,2016,19.331
Slovenia,SVN,1990,28.94
Slovenia,SVN,1995,24.086
Slovenia,SVN,2000,21.849
Slovenia,SVN,2005,22.037
Slovenia,SVN,2010,22.326
Slovenia,SVN,2016,21.671
Solomon Islands,SLB,1990,24.162
Solomon Islands,SLB,1995,23.456
Solomon Islands,SLB,2000,23.242
Solomon Islands,SLB,2005,23.166
Solomon Islands,SLB,2010,22.128
Solomon Islands,SLB,2016,21.505
Somalia,SOM,1990,10.117
Somalia,SOM,1995,10.049
Somalia,SOM,2000,9.513
Somalia,SOM,2005,9.019
Somalia,SOM,2010,8.471
Somalia,SOM,2016,8.193
South Africa,ZAF,1990,25.462
South Africa,ZAF,1995,23.606
South Africa,ZAF,2000,19.899
South Africa,ZAF,2005,16.91
South Africa,ZAF,2010,14.594
South Africa,ZAF,2016,13.018
South Korea,KOR,1990,29.149
South Korea,KOR,1995,28.42
South Korea,KOR,2000,25.843
South Korea,KOR,2005,22.301
South Korea,KOR,2010,20.202
South Korea,KOR,2016,18.634
South Sudan,SSD,1990,8.609
South Sudan,SSD,1995,8.892
South Sudan,SSD,2000,8.56
South Sudan,SSD,2005,8.186
South Sudan,SSD,2010,7.774
South Sudan,SSD,2016,7.565
Spain,ESP,1990,30.494
Spain,ESP,1995,28.198
Spain,ESP,2000,27.451
Spain,ESP,2005,28.199
Spain,ESP,2010,27.745
Spain,ESP,2016,24.596
Sri Lanka,LKA,1990,13.52
Sri Lanka,LKA,1995,12.315
Sri Lanka,LKA,2000,11.293
Sri Lanka,LKA,2005,10.51
Sri Lanka,LKA,2010,9.931
Sri Lanka,LKA,2016,9.741
Sudan,SDN,1990,10.092
Sudan,SDN,1995,10.266
Sudan,SDN,2000,10.347
Sudan,SDN,2005,10.308
Sudan,SDN,2010,10.149
Sudan,SDN,2016,10.146
Suriname,SUR,1990,13.682
Suriname,SUR,1995,13.463
Suriname,SUR,2000,13.693
Suriname,SUR,2005,14.425
Suriname,SUR,2010,15.803
Suriname,SUR,2016,15.839
Swaziland,SWZ,1990,8.507
Swaziland,SWZ,1995,7.235
Swaziland,SWZ,2000,6.208
Swaziland,SWZ,2005,6.47
Swaziland,SWZ,2010,6.277
Swaziland,SWZ,2016,6.009
Sweden,SWE,1990,20.115
Sweden,SWE,1995,17.852
Sweden,SWE,2000,16.045
Sweden,SWE,2005,13.013
Sweden,SWE,2010,10.663
Sweden,SWE,2016,10.021
Switzerland,CHE,1990,27.065
Switzerland,CHE,1995,28.322
Switzerland,CHE,2000,26.953
Switzerland,CHE,2005,20.925
Switzerland,CHE,2010,19.511
Switzerland,CHE,2016,19.135
Syria,SYR,1990,22.135
Syria,SYR,1995,22.379
Syria,SYR,2000,21.924
Syria,SYR,2005,21.22
Syria,SYR,2010,19.741
Syria,SYR,2016,18.599
Taiwan,TWN,1990,25.49
Taiwan,TWN,1995,24.109
Taiwan,TWN,2000,21.51
Taiwan,TWN,2005,17.916
Taiwan,TWN,2010,14.095
Taiwan,TWN,2016,12.618
Tajikistan,TJK,1990,8.384
Tajikistan,TJK,1995,6.004
Tajikistan,TJK,2000,4.283
Tajikistan,TJK,2005,3.542
Tajikistan,TJK,2010,3.281
Tajikistan,TJK,2016,3.28
Tanzania,TZA,1990,10.918
Tanzania,TZA,1995,11.081
Tanzania,TZA,2000,11.059
Tanzania,TZA,2005,10.852
Tanzania,TZA,2010,9.937
Tanzania,TZA,2016,9.339
Thailand,THA,1990,26.237
Thailand,THA,1995,24.364
Thailand,THA,2000,22.108
Thailand,THA,2005,17.398
Thailand,THA,2010,17.476
Thailand,THA,2016,17.145
Timor,TLS,1990,32.801
Timor,TLS,1995,32.186
Timor,TLS,2000,31.144
Timor,TLS,2005,29.927
Timor,TLS,2010,28.869
Timor,TLS,2016,26.644
Togo,TGO,1990,6.2
Togo,TGO,1995,5.953
Togo,TGO,2000,5.748
Togo,TGO,2005,5.584
Togo,TGO,2010,5.406
Togo,TGO,2016,5.237
Tonga,TON,1990,25.34
Tonga,TON,1995,25.178
Tonga,TON,2000,24.478
Tonga,TON,2005,24.334
Tonga,TON,2010,23.127
Tonga,TON,2016,21.576
Trinidad and Tobago,TTO,1990,12.829
Trinidad and Tobago,TTO,1995,11.903
Trinidad and Tobago,TTO,2000,11.673
Trinidad and Tobago,TTO,2005,12.94
Trinidad and Tobago,TTO,2010,14.446
Trinidad and Tobago,TTO,2016,14.041
Tunisia,TUN,1990,23.713
Tunisia,TUN,1995,21.532
Tunisia,TUN,2000,22.045
Tunisia,TUN,2005,22.043
Tunisia,TUN,2010,21.717
Tunisia,TUN,2016,20.822
Turkey,TUR,1990,32.314
Turkey,TUR,1995,30.071
Turkey,TUR,2000,28.869
Turkey,TUR,2005,26.437
Turkey,TUR,2010,23.396
Turkey,TUR,2016,20.321
Turkmenistan,TKM,1990,9.42
Turkmenistan,TKM,1995,9.103
Turkmenistan,TKM,2000,8.723
Turkmenistan,TKM,2005,8.354
Turkmenistan,TKM,2010,8.042
Turkmenistan,TKM,2016,7.65
Uganda,UGA,1990,9.576
Uganda,UGA,1995,9.672
Uganda,UGA,2000,9.951
Uganda,UGA,2005,9.971
Uganda,UGA,2010,9.146
Uganda,UGA,2016,8.854
Ukraine,UKR,1990,31.527
Ukraine,UKR,1995,28.243
Ukraine,UKR,2000,28.476
Ukraine,UKR,2005,29.874
Ukraine,UKR,2010,27.219
Ukraine,UKR,2016,27.763
United Arab Emirates,ARE,1990,11.833
United Arab Emirates,ARE,1995,11.426
United Arab Emirates,ARE,2000,11.486
United Arab Emirates,ARE,2005,11.587
United Arab Emirates,ARE,2010,12.057
United Arab Emirates,ARE,2016,11.645
United Kingdom,GBR,1990,26.073
United Kingdom,GBR,1995,24.035
United Kingdom,GBR,2000,22.104
United Kingdom,GBR,2005,20.479
United Kingdom,GBR,2010,20.093
United Kingdom,GBR,2016,19.364
United States,USA,1990,20.471
United States,USA,1995,19.707
United States,USA,2000,19.048
United States,USA,2005,16.099
United States,USA,2010,13.637
United States,USA,2016,12.574
Uruguay,URY,1990,27.754
Uruguay,URY,1995,27.958
Uruguay,URY,2000,27.489
Uruguay,URY,2005,25.541
Uruguay,URY,2010,21.346
Uruguay,URY,2016,21.005
Uzbekistan,UZB,1990,11.594
Uzbekistan,UZB,1995,11.925
Uzbekistan,UZB,2000,11.612
Uzbekistan,UZB,2005,10.669
Uzbekistan,UZB,2010,9.259
Uzbekistan,UZB,2016,8.251
Vanuatu,VUT,1990,19.326
Vanuatu,VUT,1995,19.459
Vanuatu,VUT,2000,17.133
Vanuatu,VUT,2005,13.935
Vanuatu,VUT,2010,14.186
Vanuatu,VUT,2016,14.487
Venezuela,VEN,1990,15.993
Venezuela,VEN,1995,15.333
Venezuela,VEN,2000,15.116
Venezuela,VEN,2005,14.663
Venezuela,VEN,2010,12.104
Venezuela,VEN,2016,10.54
Vietnam,VNM,1990,28.44
Vietnam,VNM,1995,25.893
Vietnam,VNM,2000,23.315
Vietnam,VNM,2005,20.525
Vietnam,VNM,2010,17.622
Vietnam,VNM,2016,17.038
Yemen,YEM,1990,18.295
Yemen,YEM,1995,18.872
Yemen,YEM,2000,18.059
Yemen,YEM,2005,15.697
Yemen,YEM,2010,15.829
Yemen,YEM,2016,15.995
Zambia,ZMB,1990,10.648
Zambia,ZMB,1995,10.429
Zambia,ZMB,2000,10.448
Zambia,ZMB,2005,12.125
Zambia,ZMB,2010,13.204
Zambia,ZMB,2016,12.174
Zimbabwe,ZWE,1990,12.543
Zimbabwe,ZWE,1995,12.025
Zimbabwe,ZWE,2000,12.025
Zimbabwe,ZWE,2005,12.408
Zimbabwe,ZWE,2010,12.115
Zimbabwe,ZWE,2016,11.931
