Entity,Code,Year,Gender Inequality Index (Human Development Report (2015)) ((index score))
Mozambique,MOZ,2012,0.59600002
Mozambique,MOZ,2013,0.58700001
Mozambique,MOZ,2015,0.574
Myanmar,MMR,2010,0.45899999
Myanmar,MMR,2011,0.47600001
Myanmar,MMR,2012,0.44600001
Myanmar,MMR,2013,0.44299999
Myanmar,MMR,2014,0.44299999
Myanmar,MMR,2015,0.37400001
Namibia,NAM,1995,0.55500001
Namibia,NAM,2000,0.546
Namibia,NAM,2005,0.52499998
Namibia,NAM,2010,0.51200002
Namibia,NAM,2011,0.50999999
Namibia,NAM,2012,0.50599998
Namibia,NAM,2013,0.50099999
Namibia,NAM,2015,0.47400001
Nepal,NPL,1995,0.70999998
Nepal,NPL,2000,0.67000002
Nepal,NPL,2005,0.653
Nepal,NPL,2010,0.537
Nepal,NPL,2011,0.528
Nepal,NPL,2012,0.51800001
Nepal,NPL,2014,0.50599998
Nepal,NPL,2015,0.49700001
Netherlands,NLD,1995,0.113
Netherlands,NLD,2000,0.096000001
Netherlands,NLD,2005,0.082000002
Netherlands,NLD,2010,0.054000001
Netherlands,NLD,2011,0.050000001
Netherlands,NLD,2012,0.048999999
Netherlands,NLD,2013,0.046999998
Netherlands,NLD,2014,0.044
Netherlands,NLD,2015,0.044
New Zealand,NZL,1995,0.222
New Zealand,NZL,2000,0.19
New Zealand,NZL,2005,0.18799999
New Zealand,NZL,2010,0.186
New Zealand,NZL,2011,0.17900001
New Zealand,NZL,2012,0.175
New Zealand,NZL,2013,0.171
New Zealand,NZL,2014,0.16500001
New Zealand,NZL,2015,0.15800001
Nicaragua,NIC,1995,0.62900001
Nicaragua,NIC,2000,0.602
Nicaragua,NIC,2005,0.54100001
Nicaragua,NIC,2010,0.51999998
Nicaragua,NIC,2011,0.477
Nicaragua,NIC,2012,0.479
Nicaragua,NIC,2013,0.47400001
Nicaragua,NIC,2014,0.46599999
Nicaragua,NIC,2015,0.46200001
Niger,NER,1995,0.83099997
Niger,NER,2000,0.81800002
Niger,NER,2005,0.73000002
Niger,NER,2011,0.71200001
Niger,NER,2012,0.70700002
Niger,NER,2013,0.70200002
Niger,NER,2014,0.69800001
Niger,NER,2015,0.69499999
Norway,NOR,1995,0.122
Norway,NOR,2000,0.109
Norway,NOR,2005,0.085000001
Norway,NOR,2010,0.075000003
Norway,NOR,2011,0.071000002
Norway,NOR,2012,0.067000002
Norway,NOR,2013,0.061999999
Norway,NOR,2014,0.057
Norway,NOR,2015,0.052999999
Oman,OMN,2005,0.38699999
Oman,OMN,2010,0.32300001
Oman,OMN,2011,0.31099999
Oman,OMN,2012,0.30199999
Oman,OMN,2013,0.294
Oman,OMN,2014,0.28400001
Oman,OMN,2015,0.28099999
Pakistan,PAK,1995,0.76599997
Pakistan,PAK,2005,0.59500003
Pakistan,PAK,2010,0.56999999
Pakistan,PAK,2011,0.56900001
Pakistan,PAK,2012,0.55599999
Pakistan,PAK,2013,0.55500001
Pakistan,PAK,2014,0.55000001
Pakistan,PAK,2015,0.546
Panama,PAN,1995,0.51700002
Panama,PAN,2000,0.50700003
Panama,PAN,2005,0.472
Panama,PAN,2010,0.51499999
Panama,PAN,2011,0.51700002
Panama,PAN,2012,0.51200002
Panama,PAN,2013,0.50700003
Panama,PAN,2014,0.458
Panama,PAN,2015,0.45699999
Papua New Guinea,PNG,1995,0.66799998
Papua New Guinea,PNG,2000,0.66299999
Papua New Guinea,PNG,2005,0.68199998
Papua New Guinea,PNG,2010,0.667
Papua New Guinea,PNG,2011,0.662
Papua New Guinea,PNG,2012,0.60500002
Papua New Guinea,PNG,2013,0.602
Papua New Guinea,PNG,2014,0.597
Papua New Guinea,PNG,2015,0.59500003
Paraguay,PRY,1995,0.57499999
Paraguay,PRY,2000,0.55699998
Paraguay,PRY,2005,0.537
Paraguay,PRY,2010,0.50099999
Paraguay,PRY,2011,0.49900001
Paraguay,PRY,2012,0.491
Paraguay,PRY,2013,0.46900001
Paraguay,PRY,2014,0.46799999
Paraguay,PRY,2015,0.46399999
Peru,PER,1995,0.54699999
Peru,PER,2005,0.456
Peru,PER,2010,0.40599999
Peru,PER,2011,0.412
Peru,PER,2012,0.40000001
Peru,PER,2013,0.39399999
Peru,PER,2014,0.389
Peru,PER,2015,0.38499999
Philippines,PHL,1995,0.48300001
Philippines,PHL,2000,0.479
Philippines,PHL,2005,0.46700001
Philippines,PHL,2010,0.449
Philippines,PHL,2013,0.43700001
Philippines,PHL,2014,0.43599999
Philippines,PHL,2015,0.43599999
Poland,POL,1995,0.25799999
Poland,POL,2000,0.205
Poland,POL,2005,0.164
Poland,POL,2010,0.17
Poland,POL,2011,0.155
Poland,POL,2012,0.152
Poland,POL,2013,0.15000001
Poland,POL,2014,0.146
Poland,POL,2015,0.13699999
Portugal,PRT,1995,0.243
Portugal,PRT,2000,0.208
Portugal,PRT,2005,0.182
Portugal,PRT,2010,0.141
Portugal,PRT,2011,0.12800001
Portugal,PRT,2012,0.127
Portugal,PRT,2013,0.11
Portugal,PRT,2014,0.103
Portugal,PRT,2015,0.090999998
Qatar,QAT,2010,0.579
Qatar,QAT,2011,0.55400002
Qatar,QAT,2012,0.55599999
Qatar,QAT,2013,0.55199999
Qatar,QAT,2014,0.546
Qatar,QAT,2015,0.542
Romania,ROU,1995,0.47400001
Romania,ROU,2005,0.35499999
Romania,ROU,2010,0.35800001
Romania,ROU,2011,0.35499999
Romania,ROU,2012,0.34299999
Romania,ROU,2013,0.34400001
Romania,ROU,2014,0.34200001
Romania,ROU,2015,0.33899999
Russia,RUS,1995,0.46700001
Russia,RUS,2000,0.42300001
Russia,RUS,2005,0.359
Russia,RUS,2010,0.315
Russia,RUS,2011,0.308
Russia,RUS,2012,0.296
Russia,RUS,2013,0.28999999
Russia,RUS,2014,0.28600001
Russia,RUS,2015,0.271
Rwanda,RWA,1995,0.583
Rwanda,RWA,2000,0.55199999
Rwanda,RWA,2005,0.484
Rwanda,RWA,2010,0.44400001
Rwanda,RWA,2011,0.433
Rwanda,RWA,2012,0.42199999
Rwanda,RWA,2013,0.405
Rwanda,RWA,2014,0.39399999
Rwanda,RWA,2015,0.38299999
Saint Lucia,LCA,2013,0.37
Saint Lucia,LCA,2014,0.36700001
Saint Lucia,LCA,2015,0.354
Samoa,WSM,2000,0.49599999
Samoa,WSM,2005,0.493
Samoa,WSM,2010,0.456
Samoa,WSM,2011,0.491
Samoa,WSM,2012,0.48500001
Samoa,WSM,2013,0.47799999
Samoa,WSM,2014,0.44499999
Samoa,WSM,2015,0.43900001
Sao Tome and Principe,STP,2010,0.53299999
Sao Tome and Principe,STP,2011,0.53100002
Sao Tome and Principe,STP,2012,0.52999997
Sao Tome and Principe,STP,2013,0.52899998
Sao Tome and Principe,STP,2014,0.52700001
Sao Tome and Principe,STP,2015,0.52399999
Saudi Arabia,SAU,2005,0.67199999
Saudi Arabia,SAU,2010,0.63300002
Saudi Arabia,SAU,2011,0.62300003
Saudi Arabia,SAU,2012,0.61900002
Saudi Arabia,SAU,2013,0.26699999
Saudi Arabia,SAU,2014,0.26199999
Saudi Arabia,SAU,2015,0.257
Senegal,SEN,1995,0.62800002
Senegal,SEN,2000,0.63200003
Senegal,SEN,2005,0.62900001
Senegal,SEN,2010,0.57499999
Senegal,SEN,2011,0.56699997
Senegal,SEN,2012,0.53899997
Senegal,SEN,2013,0.53200001
Senegal,SEN,2014,0.52499998
Senegal,SEN,2015,0.52100003
Serbia,SRB,2010,0.22
Serbia,SRB,2011,0.21699999
Serbia,SRB,2012,0.189
Serbia,SRB,2013,0.19
Serbia,SRB,2014,0.18700001
Serbia,SRB,2015,0.185
Sierra Leone,SLE,2000,0.69499999
Sierra Leone,SLE,2005,0.66900003
Sierra Leone,SLE,2010,0.66500002
Sierra Leone,SLE,2011,0.662
Sierra Leone,SLE,2012,0.66000003
Sierra Leone,SLE,2013,0.65600002
Sierra Leone,SLE,2014,0.653
Sierra Leone,SLE,2015,0.64999998
Singapore,SGP,1995,0.252
Singapore,SGP,2000,0.27200001
Singapore,SGP,2005,0.167
Singapore,SGP,2010,0.098999999
Singapore,SGP,2011,0.102
Singapore,SGP,2012,0.090999998
Singapore,SGP,2013,0.082000002
Singapore,SGP,2014,0.068999998
Singapore,SGP,2015,0.068000004
Slovakia,SVK,1995,0.248
Slovakia,SVK,2000,0.219
Slovakia,SVK,2005,0.189
Slovakia,SVK,2010,0.19400001
Slovakia,SVK,2011,0.192
Slovakia,SVK,2012,0.182
Slovakia,SVK,2013,0.18000001
Slovakia,SVK,2014,0.18000001
Slovakia,SVK,2015,0.18000001
Slovenia,SVN,1995,0.24699999
Slovenia,SVN,2005,0.139
Slovenia,SVN,2010,0.124
Slovenia,SVN,2011,0.072999999
Slovenia,SVN,2012,0.067000002
Slovenia,SVN,2013,0.064000003
Slovenia,SVN,2014,0.057
Slovenia,SVN,2015,0.052999999
South Africa,ZAF,1995,0.42399999
South Africa,ZAF,2000,0.419
South Africa,ZAF,2005,0.426
South Africa,ZAF,2010,0.42300001
South Africa,ZAF,2011,0.419
South Africa,ZAF,2012,0.41499999
South Africa,ZAF,2013,0.40599999
South Africa,ZAF,2014,0.40000001
South Africa,ZAF,2015,0.39399999
South Korea,KOR,1995,0.27700001
South Korea,KOR,2000,0.191
South Korea,KOR,2005,0.107
South Korea,KOR,2010,0.098999999
South Korea,KOR,2011,0.093000002
South Korea,KOR,2012,0.082999997
South Korea,KOR,2013,0.075999998
South Korea,KOR,2014,0.071000002
South Korea,KOR,2015,0.067000002
Spain,ESP,1995,0.15700001
Spain,ESP,2000,0.119
Spain,ESP,2005,0.118
Spain,ESP,2010,0.113
Spain,ESP,2011,0.106
Spain,ESP,2012,0.1
Spain,ESP,2013,0.094999999
Spain,ESP,2014,0.086999997
Spain,ESP,2015,0.081
Sri Lanka,LKA,1995,0.47099999
Sri Lanka,LKA,2005,0.44499999
Sri Lanka,LKA,2010,0.40900001
Sri Lanka,LKA,2011,0.39399999
Sri Lanka,LKA,2012,0.391
Sri Lanka,LKA,2013,0.382
Sri Lanka,LKA,2014,0.38499999
Sri Lanka,LKA,2015,0.38600001
Sudan,SDN,1995,0.72000003
Sudan,SDN,2005,0.66500002
Sudan,SDN,2010,0.62199998
Sudan,SDN,2011,0.616
Sudan,SDN,2012,0.60900003
Sudan,SDN,2013,0.602
Sudan,SDN,2014,0.59500003
Sudan,SDN,2015,0.57499999
Suriname,SUR,2005,0.49200001
Suriname,SUR,2010,0.514
Suriname,SUR,2011,0.498
Suriname,SUR,2012,0.495
Suriname,SUR,2013,0.49599999
Suriname,SUR,2014,0.493
Suriname,SUR,2015,0.44800001
Swaziland,SWZ,1995,0.65200001
Swaziland,SWZ,2000,0.66100001
Swaziland,SWZ,2005,0.61900002
Swaziland,SWZ,2010,0.57200003
Swaziland,SWZ,2011,0.565
Swaziland,SWZ,2012,0.55900002
Swaziland,SWZ,2013,0.57599998
Swaziland,SWZ,2014,0.56999999
Swaziland,SWZ,2015,0.56599998
Sweden,SWE,1995,0.090000004
Sweden,SWE,2000,0.061999999
Sweden,SWE,2005,0.052999999
Sweden,SWE,2010,0.050999999
Sweden,SWE,2011,0.048999999
Sweden,SWE,2012,0.048999999
Sweden,SWE,2013,0.048
Sweden,SWE,2014,0.046999998
Sweden,SWE,2015,0.048
Switzerland,CHE,1995,0.117
Switzerland,CHE,2000,0.093999997
Switzerland,CHE,2005,0.072999999
Switzerland,CHE,2010,0.061999999
Switzerland,CHE,2011,0.059999999
Switzerland,CHE,2012,0.056000002
Switzerland,CHE,2013,0.048999999
Switzerland,CHE,2014,0.045000002
Switzerland,CHE,2015,0.039999999
Syria,SYR,1995,0.56900001
Syria,SYR,2000,0.55000001
Syria,SYR,2005,0.54000002
Syria,SYR,2010,0.53899997
Syria,SYR,2011,0.542
Syria,SYR,2012,0.54699999
Syria,SYR,2013,0.551
Syria,SYR,2014,0.55299997
Syria,SYR,2015,0.55400002
Tajikistan,TJK,1995,0.55800003
Tajikistan,TJK,2000,0.41
Tajikistan,TJK,2005,0.345
Tajikistan,TJK,2010,0.33000001
Tajikistan,TJK,2011,0.32800001
Tajikistan,TJK,2012,0.32300001
Tajikistan,TJK,2013,0.32100001
Tajikistan,TJK,2014,0.324
Tajikistan,TJK,2015,0.322
Tanzania,TZA,1995,0.65200001
Tanzania,TZA,2005,0.59200001
Tanzania,TZA,2011,0.55800003
Tanzania,TZA,2012,0.55599999
Tanzania,TZA,2013,0.55299997
Tanzania,TZA,2014,0.54799998
Tanzania,TZA,2015,0.54400003
Thailand,THA,1995,0.40000001
Thailand,THA,2000,0.39700001
Thailand,THA,2005,0.34799999
Thailand,THA,2010,0.31900001
Thailand,THA,2011,0.30700001
Thailand,THA,2012,0.30899999
Thailand,THA,2013,0.30700001
Thailand,THA,2014,0.36899999
Thailand,THA,2015,0.366
Togo,TGO,1995,0.741
Togo,TGO,2000,0.66500002
Togo,TGO,2005,0.63300002
Togo,TGO,2010,0.59799999
Togo,TGO,2011,0.58899999
Togo,TGO,2012,0.58600003
Togo,TGO,2013,0.56699997
Togo,TGO,2014,0.55699998
Togo,TGO,2015,0.55599999
Tonga,TON,1995,0.68400002
Tonga,TON,2000,0.671
Tonga,TON,2005,0.47600001
Tonga,TON,2010,0.67299998
Tonga,TON,2011,0.472
Tonga,TON,2012,0.47
Tonga,TON,2013,0.465
Tonga,TON,2014,0.662
Tonga,TON,2015,0.65899998
Trinidad and Tobago,TTO,1995,0.426
Trinidad and Tobago,TTO,2005,0.35299999
Trinidad and Tobago,TTO,2010,0.35299999
Trinidad and Tobago,TTO,2011,0.34900001
Trinidad and Tobago,TTO,2012,0.34599999
Trinidad and Tobago,TTO,2013,0.34299999
Trinidad and Tobago,TTO,2014,0.34099999
Trinidad and Tobago,TTO,2015,0.324
Tunisia,TUN,1995,0.53200001
Tunisia,TUN,2000,0.42699999
Tunisia,TUN,2005,0.336
Tunisia,TUN,2010,0.30899999
Tunisia,TUN,2011,0.301
Tunisia,TUN,2012,0.29699999
Tunisia,TUN,2013,0.29899999
Tunisia,TUN,2014,0.28799999
Tunisia,TUN,2015,0.289
Turkey,TUR,1995,0.63099998
Turkey,TUR,2000,0.58899999
Turkey,TUR,2005,0.56400001
Turkey,TUR,2010,0.426
Turkey,TUR,2011,0.38100001
Turkey,TUR,2012,0.36500001
Turkey,TUR,2013,0.35100001
Turkey,TUR,2014,0.34
Turkey,TUR,2015,0.32800001
Turkmenistan,TKM,1995,0.36899999
Uganda,UGA,1995,0.64999998
Uganda,UGA,2000,0.64300001
Uganda,UGA,2005,0.59200001
Uganda,UGA,2010,0.56400001
Uganda,UGA,2011,0.55199999
Uganda,UGA,2012,0.54500002
Uganda,UGA,2013,0.537
Uganda,UGA,2014,0.52899998
Uganda,UGA,2015,0.52200001
Ukraine,UKR,1995,0.48199999
Ukraine,UKR,2000,0.384
Ukraine,UKR,2005,0.37
Ukraine,UKR,2010,0.33399999
Ukraine,UKR,2011,0.329
Ukraine,UKR,2012,0.31600001
Ukraine,UKR,2013,0.308
Ukraine,UKR,2014,0.28999999
Ukraine,UKR,2015,0.28400001
United Arab Emirates,ARE,1995,0.64300001
United Arab Emirates,ARE,2000,0.60900003
United Arab Emirates,ARE,2005,0.59100002
United Arab Emirates,ARE,2010,0.23100001
United Arab Emirates,ARE,2011,0.24600001
United Arab Emirates,ARE,2012,0.24699999
United Arab Emirates,ARE,2013,0.24699999
United Arab Emirates,ARE,2014,0.24699999
United Arab Emirates,ARE,2015,0.23199999
United Kingdom,GBR,1995,0.237
United Kingdom,GBR,2000,0.215
United Kingdom,GBR,2005,0.206
United Kingdom,GBR,2010,0.184
United Kingdom,GBR,2011,0.17399999
United Kingdom,GBR,2012,0.168
United Kingdom,GBR,2013,0.15899999
United Kingdom,GBR,2014,0.149
United Kingdom,GBR,2015,0.131
United States,USA,1995,0.30500001
United States,USA,2005,0.264
United States,USA,2010,0.25400001
United States,USA,2011,0.248
United States,USA,2012,0.235
United States,USA,2013,0.227
United States,USA,2014,0.214
United States,USA,2015,0.20299999
Uruguay,URY,1995,0.44
Uruguay,URY,2000,0.389
Uruguay,URY,2005,0.373
Uruguay,URY,2010,0.32699999
Uruguay,URY,2011,0.32600001
Uruguay,URY,2012,0.31999999
Uruguay,URY,2013,0.31999999
Uruguay,URY,2014,0.317
Uruguay,URY,2015,0.28400001
Uzbekistan,UZB,2013,0.27900001
Uzbekistan,UZB,2014,0.27900001
Uzbekistan,UZB,2015,0.287
Venezuela,VEN,1995,0.54699999
Venezuela,VEN,2005,0.47
Venezuela,VEN,2010,0.46900001
Venezuela,VEN,2011,0.46799999
Venezuela,VEN,2012,0.46599999
Venezuela,VEN,2013,0.46599999
Venezuela,VEN,2014,0.463
Venezuela,VEN,2015,0.461
Vietnam,VNM,1995,0.38299999
Vietnam,VNM,2000,0.347
Vietnam,VNM,2005,0.317
Vietnam,VNM,2010,0.324
Vietnam,VNM,2011,0.32800001
Vietnam,VNM,2012,0.331
Vietnam,VNM,2013,0.333
Vietnam,VNM,2014,0.33399999
Vietnam,VNM,2015,0.33700001
Yemen,YEM,2000,0.81400001
Yemen,YEM,2005,0.79100001
Yemen,YEM,2010,0.77899998
Yemen,YEM,2011,0.77200001
Yemen,YEM,2012,0.76700002
Yemen,YEM,2013,0.76200002
Yemen,YEM,2014,0.75700003
Yemen,YEM,2015,0.76700002
Zambia,ZMB,1995,0.625
Zambia,ZMB,2000,0.62599999
Zambia,ZMB,2005,0.59299999
Zambia,ZMB,2010,0.55299997
Zambia,ZMB,2011,0.55599999
Zambia,ZMB,2012,0.55000001
Zambia,ZMB,2013,0.54400003
Zambia,ZMB,2014,0.54100001
Zambia,ZMB,2015,0.52600002
Zimbabwe,ZWE,1995,0.59799999
Zimbabwe,ZWE,2000,0.63099998
Zimbabwe,ZWE,2005,0.58899999
Zimbabwe,ZWE,2010,0.58099997
Zimbabwe,ZWE,2011,0.57499999
Zimbabwe,ZWE,2012,0.56900001
Zimbabwe,ZWE,2013,0.53200001
Zimbabwe,ZWE,2014,0.53500003
Zimbabwe,ZWE,2015,0.54000002
