Entity,Code,Year,"3.c.1 - Health worker density, by type of occupation (per 10,000 population) - SH_MED_HEAWOR - Pharmacists (per 1,000)"
Seychelles,SYC,2016,3.31
Sierra Leone,SLE,2004,1.54
Sierra Leone,SLE,2008,0.28
Sierra Leone,SLE,2010,0.51
Sierra Leone,SLE,2011,2.98
Singapore,SGP,2001,28.39
Singapore,SGP,2003,30.12
Singapore,SGP,2004,29.47
Singapore,SGP,2005,29.61
Singapore,SGP,2006,30.81
Singapore,SGP,2007,31.34
Singapore,SGP,2008,31.869999999999997
Singapore,SGP,2009,33.39
Singapore,SGP,2010,35.75
Singapore,SGP,2011,38.89
Singapore,SGP,2012,37.599999999999994
Singapore,SGP,2013,40.78
Singapore,SGP,2016,51.13
Slovakia,SVK,2009,54.01
Slovakia,SVK,2013,61.44
Slovakia,SVK,2015,70.34
Slovenia,SVN,2010,53.879999999999995
Slovenia,SVN,2011,55.08
Slovenia,SVN,2012,56.25
Slovenia,SVN,2013,57.55
Slovenia,SVN,2014,60.06999999999999
Slovenia,SVN,2015,62.42
Slovenia,SVN,2016,65.25999999999999
Solomon Islands,SLB,2005,11.28
Solomon Islands,SLB,2011,8.149999999999999
Solomon Islands,SLB,2012,11.06
Solomon Islands,SLB,2013,13.309999999999999
Solomon Islands,SLB,2016,12.36
South Africa,ZAF,2004,23
South Africa,ZAF,2011,24.52
South Africa,ZAF,2012,25.74
South Africa,ZAF,2014,27.490000000000002
South Africa,ZAF,2015,28.55
South Africa,ZAF,2016,27.25
South Africa,ZAF,2017,15.209999999999999
South Korea,KOR,2004,110.3
South Korea,KOR,2005,112.57
South Korea,KOR,2006,114.21
South Korea,KOR,2007,116.53999999999999
South Korea,KOR,2008,118.58000000000001
South Korea,KOR,2009,120.94
South Korea,KOR,2010,64.88000000000001
South Korea,KOR,2011,67.63
South Korea,KOR,2012,65.17999999999999
South Korea,KOR,2013,64.85000000000001
South Korea,KOR,2014,64.79
South Korea,KOR,2015,65.63
South Korea,KOR,2016,66.83
South Korea,KOR,2017,72.53999999999999
Spain,ESP,2000,124.09
Spain,ESP,2001,127.18
Spain,ESP,2002,130.31
Spain,ESP,2003,132.47
Spain,ESP,2004,133.9
Spain,ESP,2005,135.09
Spain,ESP,2006,136.3
Spain,ESP,2007,136.05
Spain,ESP,2008,135.89000000000001
Spain,ESP,2009,136.35999999999999
Spain,ESP,2010,91.89999999999999
Spain,ESP,2011,93.3
Spain,ESP,2012,105
Spain,ESP,2013,111.57
Spain,ESP,2014,117.28999999999999
Spain,ESP,2015,119.39999999999999
Spain,ESP,2016,121.19
Sri Lanka,LKA,2004,4.680000000000001
Sri Lanka,LKA,2007,4.47
Sri Lanka,LKA,2013,17.11
Sri Lanka,LKA,2015,7.26
Sri Lanka,LKA,2016,7.69
Sudan,SDN,2004,4.43
Sudan,SDN,2006,4.84
Sudan,SDN,2007,1.1700000000000002
Sudan,SDN,2008,1.1700000000000002
Sudan,SDN,2015,44
Suriname,SUR,2009,5.949999999999999
Suriname,SUR,2017,4.44
Swaziland,SWZ,2000,4.33
Swaziland,SWZ,2004,4.2
Swaziland,SWZ,2009,1.6900000000000002
Swaziland,SWZ,2011,2.45
Sweden,SWE,2010,75.98
Sweden,SWE,2011,76.88
Sweden,SWE,2012,76.10000000000001
Sweden,SWE,2013,75.58
Sweden,SWE,2014,76.03
Sweden,SWE,2015,76.07000000000001
Switzerland,CHE,2010,54.01
Switzerland,CHE,2011,53.07000000000001
Switzerland,CHE,2012,54.160000000000004
Switzerland,CHE,2013,53.83
Switzerland,CHE,2014,54.3
Switzerland,CHE,2015,54.059999999999995
Syria,SYR,2000,54.04
Syria,SYR,2002,58.84
Syria,SYR,2003,62.07
Syria,SYR,2004,71.46
Syria,SYR,2005,72.25
Syria,SYR,2007,66.17
Syria,SYR,2008,81.57
Syria,SYR,2009,82.41
Syria,SYR,2010,78.76
Syria,SYR,2014,144.32999999999998
Syria,SYR,2016,101
Tajikistan,TJK,2003,10.34
Tanzania,TZA,2002,0.31
Tanzania,TZA,2012,0.6900000000000001
Tanzania,TZA,2014,1.35
Thailand,THA,2001,10.79
Thailand,THA,2002,11.47
Thailand,THA,2004,11.399999999999999
Thailand,THA,2006,12.059999999999999
Thailand,THA,2007,11.99
Thailand,THA,2008,12.87
Thailand,THA,2009,12.54
Thailand,THA,2010,12.940000000000001
Thailand,THA,2015,17.81
Thailand,THA,2016,51.94
Thailand,THA,2017,41.86
Timor,TLS,2004,0.1
Timor,TLS,2007,0.38
Timor,TLS,2008,0.37
Timor,TLS,2009,0.73
Timor,TLS,2010,1.35
Timor,TLS,2011,1.33
Timor,TLS,2014,0.66
Timor,TLS,2015,0.81
Togo,TGO,2004,0.8899999999999999
Togo,TGO,2007,0.18
Togo,TGO,2008,0.18
Togo,TGO,2015,0.22999999999999998
Tonga,TON,2001,17.24
Tonga,TON,2009,3.8600000000000003
Tonga,TON,2010,3.84
Tonga,TON,2012,8.57
Tonga,TON,2013,3.8
Trinidad and Tobago,TTO,2000,43.38
Trinidad and Tobago,TTO,2001,39.769999999999996
Trinidad and Tobago,TTO,2002,39.21
Trinidad and Tobago,TTO,2003,40.89
Trinidad and Tobago,TTO,2006,43.36
Trinidad and Tobago,TTO,2007,48.96
Trinidad and Tobago,TTO,2009,48.120000000000005
Trinidad and Tobago,TTO,2010,48.26
Trinidad and Tobago,TTO,2011,48.7
Trinidad and Tobago,TTO,2016,50.56
Tunisia,TUN,2000,20.12
Tunisia,TUN,2001,20.419999999999998
Tunisia,TUN,2002,20.779999999999998
Tunisia,TUN,2004,27.740000000000002
Tunisia,TUN,2005,20.93
Tunisia,TUN,2006,22.12
Tunisia,TUN,2010,30.41
Tunisia,TUN,2015,22.99
Tunisia,TUN,2016,22.740000000000002
Turkey,TUR,2000,34.67
Turkey,TUR,2001,34.46
Turkey,TUR,2002,34.22
Turkey,TUR,2003,33.849999999999994
Turkey,TUR,2004,33.74
Turkey,TUR,2005,33.51
Turkey,TUR,2006,33.650000000000006
Turkey,TUR,2007,34.449999999999996
Turkey,TUR,2008,35.18
Turkey,TUR,2009,35.33
Turkey,TUR,2010,36.65
Turkey,TUR,2011,35.54
Turkey,TUR,2012,35.63
Turkey,TUR,2013,35.64
Turkey,TUR,2014,35.31
Turkey,TUR,2015,35.17
Turkmenistan,TKM,2002,35.27
Turkmenistan,TKM,2010,18.240000000000002
Turkmenistan,TKM,2011,17.14
Turkmenistan,TKM,2012,16.88
Turkmenistan,TKM,2013,16.88
Turkmenistan,TKM,2014,16.939999999999998
Tuvalu,TUV,2002,10.42
Tuvalu,TUV,2003,20.41
Tuvalu,TUV,2008,9.709999999999999
Tuvalu,TUV,2014,27.519999999999996
Uganda,UGA,2004,0.78
Uganda,UGA,2005,0.5700000000000001
Uganda,UGA,2012,1.51
Uganda,UGA,2015,0.10999999999999999
Ukraine,UKR,2010,3.97
Ukraine,UKR,2011,3.85
Ukraine,UKR,2012,3.95
Ukraine,UKR,2013,4.14
Ukraine,UKR,2014,3.39
United Arab Emirates,ARE,2000,43.39
United Arab Emirates,ARE,2001,45.49
United Arab Emirates,ARE,2002,45.99
United Arab Emirates,ARE,2003,48.83
United Arab Emirates,ARE,2004,49.07
United Arab Emirates,ARE,2005,60.919999999999995
United Arab Emirates,ARE,2006,69.48
United Arab Emirates,ARE,2007,55.79
United Arab Emirates,ARE,2008,44.980000000000004
United Arab Emirates,ARE,2009,67.59
United Arab Emirates,ARE,2010,18.47
United Arab Emirates,ARE,2012,19.82
United Arab Emirates,ARE,2013,41.980000000000004
United Arab Emirates,ARE,2014,61.82000000000001
United Arab Emirates,ARE,2015,57.32
United Arab Emirates,ARE,2016,74.12
United Kingdom,GBR,2010,64.2
United Kingdom,GBR,2011,75.28999999999999
United Kingdom,GBR,2012,77.4
United Kingdom,GBR,2013,79.38
United Kingdom,GBR,2014,81.92
United Kingdom,GBR,2015,83.14999999999999
United Kingdom,GBR,2016,85.94
United Kingdom,GBR,2017,88.03
United States,USA,2000,88.53
United States,USA,2005,87.85
United States,USA,2010,92.6
United States,USA,2015,105.15
Uzbekistan,UZB,2010,3.75
Uzbekistan,UZB,2011,3.7199999999999998
Uzbekistan,UZB,2012,3.7800000000000002
Uzbekistan,UZB,2013,3.75
Uzbekistan,UZB,2014,4.08
Vanuatu,VUT,2008,0.8899999999999999
Vanuatu,VUT,2012,11.719999999999999
Vietnam,VNM,2001,7.37
Vietnam,VNM,2002,29.380000000000003
Vietnam,VNM,2005,17.9
Vietnam,VNM,2006,19.11
Vietnam,VNM,2007,21.03
Vietnam,VNM,2008,22.78
Vietnam,VNM,2009,24.65
Vietnam,VNM,2010,26.560000000000002
Vietnam,VNM,2012,44.980000000000004
Vietnam,VNM,2014,33.64
Vietnam,VNM,2015,33.7
Vietnam,VNM,2016,33.54
Yemen,YEM,2004,4.62
Yemen,YEM,2010,4.28
Yemen,YEM,2014,10.35
Zambia,ZMB,2009,2.27
Zambia,ZMB,2010,2.29
Zambia,ZMB,2011,2.52
Zambia,ZMB,2012,2.7800000000000002
Zambia,ZMB,2016,6.989999999999999
Zimbabwe,ZWE,2004,4.7299999999999995
Zimbabwe,ZWE,2009,4.91
Zimbabwe,ZWE,2012,2.5700000000000003
Zimbabwe,ZWE,2013,2.62
Zimbabwe,ZWE,2014,2.54
