Entity,Code,Year,"Genuine saving (Blum, Ducoing, McLaughlin (2017)) ($)"
Switzerland,CHE,1979,4321.94
Switzerland,CHE,1980,4562.42
Switzerland,CHE,1981,4811.81
Switzerland,CHE,1982,4487.12
Switzerland,CHE,1983,4319.91
Switzerland,CHE,1984,4890.92
Switzerland,CHE,1985,5114.2
Switzerland,CHE,1986,4996.78
Switzerland,CHE,1987,4900.02
Switzerland,CHE,1988,5462.69
Switzerland,CHE,1989,5708.66
Switzerland,CHE,1990,3918.79
Switzerland,CHE,1991,3386.78
Switzerland,CHE,1992,2932.71
Switzerland,CHE,1993,3171.19
Switzerland,CHE,1994,3310.74
Switzerland,CHE,1995,3559.32
Switzerland,CHE,1996,3416.34
Switzerland,CHE,1997,4071.49
Switzerland,CHE,1998,4341.97
Switzerland,CHE,1999,4395.27
Switzerland,CHE,2000,4935.51
United Kingdom,GBR,1900,160.61
United Kingdom,GBR,1901,374.53
United Kingdom,GBR,1902,316.34
United Kingdom,GBR,1903,335
United Kingdom,GBR,1904,392.08
United Kingdom,GBR,1905,515.14
United Kingdom,GBR,1906,486.66
United Kingdom,GBR,1907,440.8
United Kingdom,GBR,1908,405.13
United Kingdom,GBR,1909,466.29
United Kingdom,GBR,1910,473.25
United Kingdom,GBR,1911,583.37
United Kingdom,GBR,1912,520.16
United Kingdom,GBR,1913,672.32
United Kingdom,GBR,1914,238.54
United Kingdom,GBR,1915,-182.65
United Kingdom,GBR,1916,-291.37
United Kingdom,GBR,1917,-205.77
United Kingdom,GBR,1918,-249.46
United Kingdom,GBR,1919,-139.71
United Kingdom,GBR,1920,49.8
United Kingdom,GBR,1921,235.84
United Kingdom,GBR,1922,205.56
United Kingdom,GBR,1923,112.13
United Kingdom,GBR,1924,138.97
United Kingdom,GBR,1925,354.65
United Kingdom,GBR,1926,89.29
United Kingdom,GBR,1927,352.22
United Kingdom,GBR,1928,359.18
United Kingdom,GBR,1929,340.06
United Kingdom,GBR,1930,323.61
United Kingdom,GBR,1931,54.65
United Kingdom,GBR,1932,62.7
United Kingdom,GBR,1933,46.27
United Kingdom,GBR,1934,208.36
United Kingdom,GBR,1935,254.63
United Kingdom,GBR,1936,225.03
United Kingdom,GBR,1937,278.54
United Kingdom,GBR,1938,305.7
United Kingdom,GBR,1939,8.85
United Kingdom,GBR,1940,-507.89
United Kingdom,GBR,1941,-655
United Kingdom,GBR,1942,-693.26
United Kingdom,GBR,1943,-674.55
United Kingdom,GBR,1944,-907.04
United Kingdom,GBR,1945,-959.73
United Kingdom,GBR,1946,-128.68
United Kingdom,GBR,1947,139.82
United Kingdom,GBR,1948,603
United Kingdom,GBR,1949,532.05
United Kingdom,GBR,1950,615.43
United Kingdom,GBR,1951,614.77
United Kingdom,GBR,1952,596.21
United Kingdom,GBR,1953,697.67
United Kingdom,GBR,1954,703.31
United Kingdom,GBR,1955,748.84
United Kingdom,GBR,1956,883.36
United Kingdom,GBR,1957,945.65
United Kingdom,GBR,1958,930.73
United Kingdom,GBR,1959,960.97
United Kingdom,GBR,1960,1071.53
United Kingdom,GBR,1961,1157.59
United Kingdom,GBR,1962,1086.17
United Kingdom,GBR,1963,1143.66
United Kingdom,GBR,1964,1379.98
United Kingdom,GBR,1965,1445.48
United Kingdom,GBR,1966,1439.09
United Kingdom,GBR,1967,1515.28
United Kingdom,GBR,1968,1514.95
United Kingdom,GBR,1969,1830.87
United Kingdom,GBR,1970,1773.67
United Kingdom,GBR,1971,1819.88
United Kingdom,GBR,1972,1514.25
United Kingdom,GBR,1973,1901.7
United Kingdom,GBR,1974,1493.06
United Kingdom,GBR,1975,1263.84
United Kingdom,GBR,1976,1582.26
United Kingdom,GBR,1977,1730.76
United Kingdom,GBR,1978,1585.57
United Kingdom,GBR,1979,941.54
United Kingdom,GBR,1980,687.29
United Kingdom,GBR,1981,596.9
United Kingdom,GBR,1982,425.29
United Kingdom,GBR,1983,604.67
United Kingdom,GBR,1984,822.35
United Kingdom,GBR,1985,582.77
United Kingdom,GBR,1986,1009.09
United Kingdom,GBR,1987,855.19
United Kingdom,GBR,1988,1287.57
United Kingdom,GBR,1989,1476.34
United Kingdom,GBR,1990,1241.18
United Kingdom,GBR,1991,1093.6
United Kingdom,GBR,1992,1099.96
United Kingdom,GBR,1993,922.19
United Kingdom,GBR,1994,1238.93
United Kingdom,GBR,1995,1379.64
United Kingdom,GBR,1996,1307.64
United Kingdom,GBR,1997,1781.77
United Kingdom,GBR,1998,1744.69
United Kingdom,GBR,1999,1447.97
United Kingdom,GBR,2000,1466.78
United States,USA,1900,705.22
United States,USA,1901,963.54
United States,USA,1902,804.6
United States,USA,1903,891.4
United States,USA,1904,515.79
United States,USA,1905,872.13
United States,USA,1906,1181.46
United States,USA,1907,721.18
United States,USA,1908,97.84
United States,USA,1909,861.07
United States,USA,1910,397.86
United States,USA,1911,321.03
United States,USA,1912,438.56
United States,USA,1913,499.21
United States,USA,1914,57.11
United States,USA,1915,394.01
United States,USA,1916,882.7
United States,USA,1917,614.61
United States,USA,1918,414.48
United States,USA,1919,1014.91
United States,USA,1920,987.41
United States,USA,1921,237.86
United States,USA,1922,297.07
United States,USA,1923,679.54
United States,USA,1924,313.9
United States,USA,1925,663.29
United States,USA,1926,630.23
United States,USA,1927,543.94
United States,USA,1928,472.14
United States,USA,1929,412.27
United States,USA,1930,147.71
United States,USA,1931,-105.19
United States,USA,1932,-382.15
United States,USA,1933,-364.22
United States,USA,1934,-205.68
United States,USA,1935,-39.55
United States,USA,1936,37.22
United States,USA,1937,227.73
United States,USA,1938,16.53
United States,USA,1939,126.19
United States,USA,1940,397.28
United States,USA,1941,529.88
United States,USA,1942,-50.21
United States,USA,1943,-380.31
United States,USA,1944,-331.06
United States,USA,1945,-151.03
United States,USA,1946,1004.38
United States,USA,1947,1075.72
United States,USA,1948,1082.96
United States,USA,1949,680.97
United States,USA,1950,1050.85
United States,USA,1951,1108.35
United States,USA,1952,837.36
United States,USA,1953,775.77
United States,USA,1954,682.19
United States,USA,1955,1029.69
United States,USA,1956,1077.84
United States,USA,1957,1029.16
United States,USA,1958,746.89
United States,USA,1959,960.55
United States,USA,1960,934.28
United States,USA,1961,938.47
United States,USA,1962,1095.17
United States,USA,1963,972.53
United States,USA,1964,1124.38
United States,USA,1965,1370.91
United States,USA,1966,1441.72
United States,USA,1967,1342.02
United States,USA,1968,1368.14
United States,USA,1969,1501.2
United States,USA,1970,1389.08
United States,USA,1971,1515.89
United States,USA,1972,1763.75
United States,USA,1973,2183.9
United States,USA,1974,1725.77
United States,USA,1975,1161.01
United States,USA,1976,1403.66
United States,USA,1977,1589.21
United States,USA,1978,1841.64
United States,USA,1979,1584.19
United States,USA,1980,912.29
United States,USA,1981,1209.21
United States,USA,1982,664.24
United States,USA,1983,745.5
United States,USA,1984,1227.9
United States,USA,1985,1055
United States,USA,1986,1104.46
United States,USA,1987,1099.06
United States,USA,1988,1362.95
United States,USA,1989,1537.26
United States,USA,1990,1400.24
United States,USA,1991,1438.3
United States,USA,1992,1413.88
United States,USA,1993,1521.07
United States,USA,1994,1785.73
United States,USA,1995,1662.45
United States,USA,1996,1755.7
United States,USA,1997,2025.02
United States,USA,1998,2078.31
United States,USA,1999,1994.52
United States,USA,2000,1683.64
World,OWID_WRL,1900,329.11
World,OWID_WRL,1901,415.01
World,OWID_WRL,1902,361.95
World,OWID_WRL,1903,406.67
World,OWID_WRL,1904,323.81
World,OWID_WRL,1905,468.96
World,OWID_WRL,1906,551.92
World,OWID_WRL,1907,423.04
World,OWID_WRL,1908,196.42
World,OWID_WRL,1909,448.79
World,OWID_WRL,1910,314.52
World,OWID_WRL,1911,321.61
World,OWID_WRL,1912,350.9
World,OWID_WRL,1913,388.84
World,OWID_WRL,1914,155.04
World,OWID_WRL,1915,147.53
World,OWID_WRL,1916,272.24
World,OWID_WRL,1917,181.92
World,OWID_WRL,1918,86.41
World,OWID_WRL,1919,310.24
World,OWID_WRL,1920,379.38
World,OWID_WRL,1921,227.72
World,OWID_WRL,1922,232.15
World,OWID_WRL,1923,328.78
World,OWID_WRL,1924,194.72
World,OWID_WRL,1925,355.39
World,OWID_WRL,1926,286.53
World,OWID_WRL,1927,319.68
World,OWID_WRL,1928,307.99
World,OWID_WRL,1929,274.12
World,OWID_WRL,1930,135.58
World,OWID_WRL,1931,-39.64
World,OWID_WRL,1932,-124.8
World,OWID_WRL,1933,-77.07
World,OWID_WRL,1934,-3.12
World,OWID_WRL,1935,102.18
World,OWID_WRL,1936,126.65
World,OWID_WRL,1937,240.34
World,OWID_WRL,1938,179.03
World,OWID_WRL,1939,167.99
World,OWID_WRL,1940,76.16
World,OWID_WRL,1941,114.3
World,OWID_WRL,1942,-69.31
World,OWID_WRL,1943,-132.95
World,OWID_WRL,1944,-135.64
World,OWID_WRL,1945,-532.17
World,OWID_WRL,1946,289.63
World,OWID_WRL,1947,372.62
World,OWID_WRL,1948,392.41
World,OWID_WRL,1949,369.21
World,OWID_WRL,1950,540.96
World,OWID_WRL,1951,596.08
World,OWID_WRL,1952,472.79
World,OWID_WRL,1953,455.42
World,OWID_WRL,1954,458.88
World,OWID_WRL,1955,619.85
World,OWID_WRL,1956,654.81
World,OWID_WRL,1957,679.86
World,OWID_WRL,1958,575.73
World,OWID_WRL,1959,670.54
World,OWID_WRL,1960,650.49
World,OWID_WRL,1961,702.68
World,OWID_WRL,1962,766.53
World,OWID_WRL,1963,721
World,OWID_WRL,1964,851.9
World,OWID_WRL,1965,939.17
World,OWID_WRL,1966,997.5
World,OWID_WRL,1967,981.58
World,OWID_WRL,1968,991.02
World,OWID_WRL,1969,1124.78
World,OWID_WRL,1970,1091.37
World,OWID_WRL,1971,1085.64
World,OWID_WRL,1972,1149.62
World,OWID_WRL,1973,1390.72
World,OWID_WRL,1974,1220.62
World,OWID_WRL,1975,930.17
World,OWID_WRL,1976,1061.16
World,OWID_WRL,1977,1097.4
World,OWID_WRL,1978,1175.01
World,OWID_WRL,1979,1072.63
World,OWID_WRL,1980,844.46
World,OWID_WRL,1981,894.71
World,OWID_WRL,1982,632.93
World,OWID_WRL,1983,567.7
World,OWID_WRL,1984,755.98
World,OWID_WRL,1985,706.99
World,OWID_WRL,1986,869.96
World,OWID_WRL,1987,839.07
World,OWID_WRL,1988,1089.92
World,OWID_WRL,1989,1205.39
World,OWID_WRL,1990,1049.87
World,OWID_WRL,1991,914.35
World,OWID_WRL,1992,921.89
World,OWID_WRL,1993,913.3
World,OWID_WRL,1994,1016.45
World,OWID_WRL,1995,951.41
World,OWID_WRL,1996,942.8
World,OWID_WRL,1997,1110.82
World,OWID_WRL,1998,1174.11
World,OWID_WRL,1999,1108.51
World,OWID_WRL,2000,1005.7
