Entity,Code,Year,"Natural capital, renewable (excluding sub-soil assets) ($)","Fossil energy resources (oil, natural gas, coal) ($)",Human capital ($),Net foreign assets ($),Produced capital ($),Metals and minerals ($)
Lebanon,LBN,2000,6763.62,0,41792.68,-5246.73,36486.9,0
Lebanon,LBN,2005,4383.32,0,37490.65,-9351.83,33273.11,0
Lebanon,LBN,2010,5503.19,0,49109.81,-8984.29,33278.77,0
Lebanon,LBN,2014,4130.82,0,42153.19,-12150.89,31015.22,0
Liberia,LBR,1995,7974.27,0,1184.44,-4657.37,3462.52,419.98
Liberia,LBR,2000,5731.09,0,3933.18,-4856.36,2290.81,1.96
Liberia,LBR,2005,6903.28,0,2879.17,-4301.74,1461.9,1.65
Liberia,LBR,2010,5292.54,0,3136.52,-1295.78,914.2,37.84
Liberia,LBR,2014,4609.97,0,3635.55,-1664.9,1219.31,2426.78
Lithuania,LTU,1995,6706.79,22.91,45174.59,-437.21,30462.41,0
Lithuania,LTU,2000,9485.81,48.78,61346.37,-2706.5,37256.14,0
Lithuania,LTU,2005,8709.7,163.59,90000.2,-4720.92,46849.13,0
Lithuania,LTU,2010,10226.76,191.11,88070.56,-7613.29,54293.61,0
Lithuania,LTU,2014,12583.38,174.31,100081.42,-7047.28,63254.15,0
Luxembourg,LUX,1995,29446.94,0,727729.85,98779.12,265989.58,0
Luxembourg,LUX,2000,15791.32,0,887446.8,74622.74,302286.45,0
Luxembourg,LUX,2005,8915.94,0,911264.56,20846.75,359118.95,0
Luxembourg,LUX,2010,8159.7,0,830483.29,-24215.98,357039.87,2158.01
Luxembourg,LUX,2014,6949.81,0,881628.92,38653.84,359385.77,1988.65
Macedonia,MKD,1995,10417.64,107.79,24666.04,-827.97,11919.27,216.49
Macedonia,MKD,2000,7259.5,49.81,22566.85,-1230.87,12929.18,142.22
Macedonia,MKD,2005,7062.59,452.33,21095.28,-1908.71,14266.66,600.02
Macedonia,MKD,2010,8457.34,1026.86,25033.88,-2949.82,17480.83,3829.82
Macedonia,MKD,2014,8310.36,758.78,24770.28,-2945.21,18968.53,2347.2
Madagascar,MDG,1995,6370.12,0,4382.73,-563.03,1417.32,0.1
Madagascar,MDG,2000,4720.03,0,4082.98,-410.43,1399.97,0.02
Madagascar,MDG,2005,3619.43,0,3909.37,-240.06,1468.07,0.19
Madagascar,MDG,2010,4628.23,0,3824.58,-312.79,1181.39,40.04
Madagascar,MDG,2014,4826.7,0,3784.29,-430.38,919.01,137.62
Malawi,MWI,1995,2364.04,0,2295.63,-434.01,1302.65,0
Malawi,MWI,2000,3050.32,1.66,2337.34,-446.55,1273.94,0
Malawi,MWI,2005,2685.03,1.78,2349.54,-252.39,711.82,0
Malawi,MWI,2010,4274.01,2.88,3204.93,-192.34,845.69,0
Malawi,MWI,2014,5637.89,2.31,4003.47,-141.97,939.05,1.73
Malaysia,MYS,1995,25713.56,3612.24,81112.91,-3093.85,22154.86,106.11
Malaysia,MYS,2000,17415.54,3697.32,88778.3,-2488.3,23830.55,15.9
Malaysia,MYS,2005,16706.75,6493.41,96977.61,-1128.88,22225.4,50.85
Malaysia,MYS,2010,22467.13,7314.89,159716.21,95.51,24638.12,182.73
Malaysia,MYS,2014,20763.12,7064.1,180729.23,-172.5,29988.82,830.08
Maldives,MDV,1995,551.1,0,10827.54,-877.78,6825.7,0
Maldives,MDV,2000,446.8,0,16572.53,-813.09,7979.77,0
Maldives,MDV,2005,497.8,0,25141.15,-1788.41,11250.52,0
Maldives,MDV,2010,445.91,0,34315.85,-4682.04,18893.98,0
Maldives,MDV,2014,400.84,0,33905.47,-6177.05,16861.78,0
Mali,MLI,1995,7308.82,0,3122.64,-551.41,1765.36,35.05
Mali,MLI,2000,6821.06,0,3435.03,-542.72,1783.55,20.14
Mali,MLI,2005,7404.07,0,4103.91,-396.42,1399.95,411.13
Mali,MLI,2010,10320.32,0,4344.08,-195.28,1722.53,780.83
Mali,MLI,2014,10084.68,0,4333.71,-207.85,1998.56,956.21
Malta,MLT,1995,2004.22,0,140669.84,5076.32,44250.08,0
Malta,MLT,2000,2145.09,0,170066.7,1003.93,48809.27,0
Malta,MLT,2005,1867.36,0,173608.49,6903.84,57300.91,0
Malta,MLT,2010,1762.63,0,170422.41,2485.73,68107.03,0
Malta,MLT,2014,1654.78,0,218865.27,8130.68,75153.48,0
Mauritania,MRT,1995,6640.18,0,6442.76,-1785.15,5313.09,1232.03
Mauritania,MRT,2000,7765.88,0,6263.01,-2115.96,3777.78,1989.84
Mauritania,MRT,2005,7807.69,0,9409.79,-1914.92,4215.6,3158.58
Mauritania,MRT,2010,8019.87,1721.61,8703.11,-1503.92,4395.92,10007.08
Mauritania,MRT,2014,7280.87,319.29,9368.39,-2454.09,4891.28,9973.9
Mauritius,MUS,1995,3690.68,0,42384.41,-465.94,17602.79,0
Mauritius,MUS,2000,4922.78,0,51272.18,-663.67,19015.48,0
Mauritius,MUS,2005,3610.34,0,45926.72,52717.41,21311.32,0
Mauritius,MUS,2010,3051.11,0,46170.42,115216.29,28097.61,0
Mauritius,MUS,2014,2979.52,0,51520.15,10345.7,32172.83,0
Mexico,MEX,1995,10844.85,4030.22,75278.67,-3875.65,29775.07,193.88
Mexico,MEX,2000,9475.39,2643.02,80314.76,-2879.9,30576.15,140.25
Mexico,MEX,2005,8359.03,2767.09,80902.47,-3188.11,33906.7,195.05
Mexico,MEX,2010,8470.36,4367.43,69673.53,-3551.97,37693.64,901.47
Mexico,MEX,2014,8832.43,4420.93,63308.15,-3409.77,39917.98,1375.85
Moldova,MDA,1995,8676.08,3.52,9390.87,-371.31,13621.91,0
Moldova,MDA,2000,5688.1,0.79,7896.27,-1232.62,12022.21,0
Moldova,MDA,2005,5991.53,0.66,13025.14,-878.38,14608.8,0
Moldova,MDA,2010,4973.64,0.61,14791.36,-1328.16,13358.74,0
Moldova,MDA,2014,4897.23,0.29,17852.41,-1582.31,14212.8,0
Mongolia,MNG,1995,31978.6,335.11,7471.06,-420.99,15996.34,2322.2
Mongolia,MNG,2000,32494.47,312.99,7404.68,-1260.06,12630.7,1916.98
Mongolia,MNG,2005,29945.42,1592.49,10502.41,-1399.64,18190.16,3851.82
Mongolia,MNG,2010,26027.74,6955.34,11282.76,-1770.63,15736.09,11325.35
Mongolia,MNG,2014,27726.91,10084.65,20634.68,-8164.55,16486.87,12235.01
Morocco,MAR,1995,4940.98,4.01,10801.74,-797.14,6638.79,73.99
Morocco,MAR,2000,4511.98,2.09,11469.58,-783.04,7728.65,172.09
Morocco,MAR,2005,5266.16,1.73,13526.53,-472.47,9469.38,164.97
Morocco,MAR,2010,7226.8,3.07,15238.82,-1325.43,11634.1,1978.8
Morocco,MAR,2014,10036.68,3.38,16490.4,-1990.18,13616.46,2331.55
Mozambique,MOZ,1995,2190,1.24,2060.57,-451.46,621.48,0.91
Mozambique,MOZ,2000,2510.07,0.31,2772.56,-562.09,640.72,0.14
Mozambique,MOZ,2005,2507.4,20.14,2308.19,-541.61,723.22,0.34
Mozambique,MOZ,2010,3612.84,114.29,2979.39,-576.16,832.22,2.53
Mozambique,MOZ,2014,3803.47,330.48,3486.34,-1116.67,1211.67,2.44
Namibia,NAM,1995,20057.75,0,31700.6,106.01,9590.72,543.04
Namibia,NAM,2000,14295.22,0,26963.6,-523.73,8363.5,204.65
Namibia,NAM,2005,14453.01,0,27432.72,329.46,9897.84,345.12
Namibia,NAM,2010,17302.93,0,45369.7,1257.26,11619.33,2206.42
Namibia,NAM,2014,16968.49,0,52457.65,743.6,12695.76,1532.19
Nepal,NPL,1995,4767.98,0,3797.51,-151.07,1110.67,0
Nepal,NPL,2000,5144.95,0.08,4598.12,-129.72,1408.25,0
Nepal,NPL,2005,5880.52,0.41,4536.06,-83.56,1682.47,0
Nepal,NPL,2010,7280.54,0.97,5758.1,0.87,2025.76,0
Nepal,NPL,2014,5543.74,0.78,6401.63,88.59,2333.62,0
Netherlands,NLD,1995,7293.88,2869.81,414645.87,4503.71,166197.11,0
Netherlands,NLD,2000,6039.32,2388.38,442057.32,-7842.17,196048.03,0
Netherlands,NLD,2005,4997.68,3875.91,415996.47,-3355.67,220271.83,0
Netherlands,NLD,2010,4754.53,4293.04,480668.3,3836.65,247330.24,0
Netherlands,NLD,2014,5304.42,4223.86,516543.47,31910.1,234414.6,0
Nicaragua,NIC,1995,8582.66,0,10419.53,-3158.99,5990.27,9.91
Nicaragua,NIC,2000,6818.35,0,10986.84,-2048.67,6909.01,1.78
Nicaragua,NIC,2005,8049.76,0,14782.96,-1920.79,7835.14,47.48
Nicaragua,NIC,2010,10802.34,0,14720.88,-1467.53,8010.21,156.34
Nicaragua,NIC,2014,13022.53,0,16697.56,-2193.48,9075.3,482.03
Niger,NER,1995,5921.1,12.75,2496.57,-264.06,2179.55,0.52
Niger,NER,2000,6228.18,7.93,2432.67,-282.64,2269.73,0.82
Niger,NER,2005,6992.4,13.18,2445.63,-163.9,2043.66,14.28
Niger,NER,2010,9138.41,16.94,994.47,-167.76,2224.26,37.8
Niger,NER,2014,8255.02,201.75,1041.38,-277.9,2369.37,33.12
Nigeria,NGA,1995,26233.76,9564.75,10047.09,-2006.62,4320.22,3.01
Nigeria,NGA,2000,16764.11,7560.06,8835.65,-1077.21,3820.18,0.29
Nigeria,NGA,2005,13296.43,9185.79,9682.29,-451.45,10062.68,0.8
Nigeria,NGA,2010,9907.7,10788.31,19565.38,-71.09,5045.16,7.33
Nigeria,NGA,2014,5093.22,7857.21,20934.44,-340.66,3851.4,12.42
Norway,NOR,1995,25930.82,31984.16,903365.98,2681.48,323180.49,101.85
Norway,NOR,2000,24535.77,45667.38,889540.23,24274.01,323740.22,10.69
Norway,NOR,2005,21307.49,78665.67,857340.08,51686.73,354610.37,36.07
Norway,NOR,2010,20907.11,89307.42,903333.32,85039.16,400287.06,781.33
Norway,NOR,2014,19932.82,81692.46,1004649.45,140017.68,423905.36,1558.31
Oman,OMN,1995,6268.95,59609.49,131500.02,-1286.23,78529.2,11.55
Oman,OMN,2000,10139.35,81230.42,149214.23,-2666.9,67036.47,8.23
Oman,OMN,2005,6668.13,109218.08,138588.03,4132.4,52016.25,13.08
Oman,OMN,2010,6606.93,104541.32,154451.69,8432.43,59445.09,107.16
Oman,OMN,2014,6137.46,89037.36,125277.67,8013.14,49044.66,63.4
Pakistan,PAK,1995,5723,86.36,6931.18,-463.11,2718.88,1.77
Pakistan,PAK,2000,5715.25,100.83,11032.18,-426.5,2282.04,0.04
Pakistan,PAK,2005,4942.11,246.13,11722.83,-322.03,2887.91,5.23
Pakistan,PAK,2010,5158.02,338.73,12504.86,-437.47,2777.9,21.49
Pakistan,PAK,2014,5688.77,274.06,13586.83,-416.13,3028.67,19.46
Palestine,PSE,1995,3131.39,0,9947.57,0,8423.4,0
Palestine,PSE,2000,5533.52,0,14689.02,0,12058.77,0
Palestine,PSE,2005,7139.87,0,15197.46,0,13360.24,0
Palestine,PSE,2010,6267.23,0,13866.96,0,11048.84,0
Palestine,PSE,2014,4256.41,0,14778.22,0,11532.8,0
Panama,PAN,1995,15269.24,0,51300.98,-3688.22,12863.31,0
Panama,PAN,2000,13565.7,0,68635.29,-5359.41,16314.91,1.48
Panama,PAN,2005,11815.23,0,67799.3,-6060.86,16687.17,0
Panama,PAN,2010,12750.44,0,82595.02,-7493.22,28732.25,92.42
Panama,PAN,2014,12968.83,0,102886.36,-10274.57,30378.14,166.68
Papua New Guinea,PNG,1995,30304.82,615.31,9810.17,-1164.19,4781.53,4105.02
Papua New Guinea,PNG,2000,25419.14,1544.63,7681.66,-1153.08,4629.23,3119.4
Papua New Guinea,PNG,2005,23887.31,1839.38,7245.17,-464.71,4357.43,4738.15
Papua New Guinea,PNG,2010,27383.33,956,8512.87,-832.16,4334.2,8542.12
Papua New Guinea,PNG,2014,28599.93,1160.41,11070.8,-2674.13,4626.08,7706.24
Paraguay,PRY,1995,16031.77,0,30969.38,-5065.42,11338.36,0
Paraguay,PRY,2000,15616.1,0,36952.46,-6042.77,12019.41,0
Paraguay,PRY,2005,16635.99,0,38265.27,-5220.08,13103.86,0
Paraguay,PRY,2010,18666.85,0,43909.02,-1999.54,11018.07,0
Paraguay,PRY,2014,21357.98,0,54026.38,-1677.55,11868.06,0
Peru,PER,1995,10261.76,371.79,20621.4,-1814.51,9436.27,268.34
Peru,PER,2000,9917.23,471.03,19196.09,-1943,11563.12,241.26
Peru,PER,2005,10257.63,803.69,25010.8,-1511.69,12790.42,990.5
Peru,PER,2010,11912.6,1386.18,33488.76,-1717.05,15666.26,8918.51
Peru,PER,2014,13177.32,1805.8,39501.59,-2006.86,19522.12,9931.37
Philippines,PHL,1995,4556.87,18.19,13614.58,-814.16,6625.88,164.65
Philippines,PHL,2000,3737.22,3.15,12771.45,-964.71,5803.1,62.21
Philippines,PHL,2005,3171.77,57.22,14102.35,-836.63,6574.83,160.87
Philippines,PHL,2010,4266.89,109.92,15641.37,-426.57,7326.28,371.78
Philippines,PHL,2014,5051.61,122.41,17790.26,-471.18,7860.12,470.01
Poland,POL,1995,5058.94,1124.22,56394.95,-1379.89,20510.48,478.5
Poland,POL,2000,4837.31,492.91,72678.82,-2830.89,27741.05,247.96
Poland,POL,2005,4835.13,1397.63,77225.12,-4253.53,29788.16,446.13
Poland,POL,2010,5389.09,2654.43,107580.62,-8615.68,37987.69,1593.64
Poland,POL,2014,6458.31,2128.06,113405.85,-8911.53,40084.76,1766.38
Portugal,PRT,1995,9547.42,1.48,189390.83,-2997.45,79643.81,87.61
Portugal,PRT,2000,9663.03,0,224238.25,-10255.88,94810.68,3.81
Portugal,PRT,2005,8417.8,0,236624.89,-15756.62,106689.48,85.63
Portugal,PRT,2010,7838.19,0,218552.37,-26005.28,119244.24,750.79
Portugal,PRT,2014,8355.97,0,172162.53,-24308.45,117409.35,833.39
Qatar,QAT,1995,3315.23,117562.12,191777.69,288685.34,131997.84,0
Qatar,QAT,2000,2883.8,146622.1,470951.53,379184.59,185449.42,0
Qatar,QAT,2005,1613.16,490514.37,490921.34,202744.92,153717.48,0
Qatar,QAT,2010,676.54,496479.92,543007.69,109551.65,181084.84,0
Qatar,QAT,2014,978.66,659326.64,562649.81,156323.14,217846.37,0
Romania,ROU,1995,16329.32,2378.66,35484.59,25.72,21692.82,83.04
Romania,ROU,2000,13516.99,1808.62,33240.12,-1347.67,19358.82,36.18
Romania,ROU,2005,14554.85,1865.07,52499.05,-2189.26,29757.56,40.5
Romania,ROU,2010,13370.46,1487.18,54010.58,-6070.36,38580.5,39.03
Romania,ROU,2014,15366.8,1845.13,54014.01,-5420.49,41162.84,53.5
Russia,RUS,1995,10555.39,14387.21,36789.11,-255.1,75182.18,383.77
Russia,RUS,2000,10705.24,17418.73,43239.58,1878.84,48781,285.35
Russia,RUS,2005,11171.29,33113.66,66099.3,-536.11,47441.57,874.83
Russia,RUS,2010,9696.84,37037.92,93430.08,-86.28,53124.46,3940.46
Russia,RUS,2014,8673.69,34429.68,90812.37,2174.83,48806.75,3817.28
Rwanda,RWA,1995,5275.06,0,2641.86,-167.24,872.22,1.66
Rwanda,RWA,2000,3704.83,0,3827.05,-161.23,672.78,0
Rwanda,RWA,2005,3676.4,0,5186.78,-165.55,853.98,0.08
Rwanda,RWA,2010,4970.74,0,6107.65,-20.05,1177.98,14.3
Rwanda,RWA,2014,6590.29,0,13648.73,-217.03,1537.67,59.67
Saudi Arabia,SAU,1995,4267.57,112751.25,115614.55,18961.97,90082.52,2.38
Saudi Arabia,SAU,2000,3196.84,110759.85,115597.25,21056.35,65897.06,4.46
Saudi Arabia,SAU,2005,2728.16,155227.23,126149.27,24227.06,52445.79,34.86
Saudi Arabia,SAU,2010,2926.89,222683.86,142129.7,27613.74,61087.54,93.01
Saudi Arabia,SAU,2014,3080.97,248854.44,156868.69,37467.12,66346.8,250.73
Senegal,SEN,1995,3505.55,0.66,4731.89,-589.85,3634.43,3.42
Senegal,SEN,2000,3667.32,0.67,5575.04,-727.98,3526.73,12.67
Senegal,SEN,2005,3154.37,0.54,6224.45,-422.68,3688.34,12.2
Senegal,SEN,2010,3281.95,1.26,6568.31,-454.98,3593.68,191.1
Senegal,SEN,2014,3444.24,3.6,6260.09,-694.87,3736.09,335.94
Sierra Leone,SLE,1995,3443.74,0,2342.52,-539.59,1520.07,0
Sierra Leone,SLE,2000,2637.87,0,2473.62,-725.5,1962.5,0
Sierra Leone,SLE,2005,2367.79,0,2800.05,-519.76,1176.53,1.36
Sierra Leone,SLE,2010,4181.05,0,3205.68,-162.08,1197.3,79.07
Sierra Leone,SLE,2014,6370.77,0,4528.82,-303.94,1165.88,2980.11
Singapore,SGP,1995,40.9,0,298579.26,19934.74,99567.29,0
Singapore,SGP,2000,43.91,0,338090.84,55160.81,115264.2,0
Singapore,SGP,2005,53.27,0,370387.97,115214.18,131439.59,0
Singapore,SGP,2010,52.35,0,432820.93,108909.75,153627.65,0
Singapore,SGP,2014,55.84,0,466119.1,123003.82,186017.26,0
Slovakia,SVK,1995,7878.47,111.54,69564.81,818.77,32783.2,0
Slovakia,SVK,2000,6487.28,72.99,87172.21,-1698.05,36431.47,0.75
Slovakia,SVK,2005,5924.38,164.58,106528.95,-4444.03,44298.79,18.18
Slovakia,SVK,2010,6610.38,228.44,143864.88,-11011.64,65792.17,10.99
Slovakia,SVK,2014,7156.9,185.24,147385.59,-11919.33,70364.37,38.65
Slovenia,SVN,1995,9183.41,100.07,172035.37,310.19,65906.81,0
Slovenia,SVN,2000,10181.25,35.73,195119.84,-2263.53,81466.59,0
Slovenia,SVN,2005,11322.55,340.41,220311.08,-2392.67,100017.28,0
Slovenia,SVN,2010,12411.16,840.76,247878.6,-11588.97,115733.69,0
Slovenia,SVN,2014,14105.47,580.21,225045.78,-9633.87,121678.55,0
Solomon Islands,SLB,1995,9754.95,0,17867.46,-1031.74,4763.89,1.99
Solomon Islands,SLB,2000,9285.73,0,13215.56,-938.39,3506.96,0.36
Solomon Islands,SLB,2005,10811.16,0,11921.6,-714.39,2731.98,7.08
Solomon Islands,SLB,2010,16000,0,13215.87,-1095.74,2150.41,72.81
Solomon Islands,SLB,2014,13300.03,0,15327.49,-355.82,1835.23,1138.24
South Africa,ZAF,1995,6228.49,1885.44,40353.92,-803.68,14599.96,952.92
South Africa,ZAF,2000,5700.16,1425.09,37433.86,-451.55,15390.7,445.5
South Africa,ZAF,2005,5740.59,2765.84,33668.47,-1269.71,14953.48,814.29
South Africa,ZAF,2010,6436.96,4810.85,40330.42,-1747.13,18152.71,3118.59
South Africa,ZAF,2014,6593.76,3606.12,44921.22,-578.92,19263.24,3542.78
South Korea,KOR,1995,2937.91,12.02,178718.83,-1070.89,41353.56,1.63
South Korea,KOR,2000,3344.51,1.31,190424.6,-1304.09,59509.55,1.84
South Korea,KOR,2005,3161.42,22.33,234378.34,-3406.68,81920.9,16.83
South Korea,KOR,2010,3955.12,49.65,258909.37,-3035.68,109220.85,20.81
South Korea,KOR,2014,3933.56,44.61,291747.89,1641.4,126649.94,34.73
Spain,ESP,1995,9819.45,61.53,250026.75,-4374.93,92851.17,7.24
Spain,ESP,2000,11079.95,22.14,285225.66,-8623.47,115039.41,3.21
Spain,ESP,2005,10043.73,124.24,323617.27,-16303.36,142154.64,12.47
Spain,ESP,2010,9388.71,151.13,271025.84,-27186.18,151185.15,52.85
Spain,ESP,2014,9971.68,108.67,215592.75,-26241.09,142820.5,217.82
Sri Lanka,LKA,1995,4158.42,0,11393.32,-692.33,5984.86,0
Sri Lanka,LKA,2000,3599.16,0,14112.47,-1057.47,8078.16,0
Sri Lanka,LKA,2005,2846.4,0,18880.5,-931.63,8122.16,0
Sri Lanka,LKA,2010,3125.63,0,26469.57,-1178.37,10106.89,6.07
Sri Lanka,LKA,2014,3241.37,0,32410.08,-2039.79,11352.21,5.81
Suriname,SUR,1995,65739.9,3581.88,24200.49,1144.03,33709.8,18068.23
Suriname,SUR,2000,60077.03,3273.64,22984.69,192.44,39652.01,5837.97
Suriname,SUR,2005,55694.82,7535.57,26936.91,-402.31,45455.89,5368.97
Suriname,SUR,2010,55180.67,5982.52,29232.57,-76.36,41922.07,10206.51
Suriname,SUR,2014,55177,7342.29,30781.51,-2065.5,46402.18,24052.7
Swaziland,SWZ,1995,7462.49,82.67,21662.26,169.78,7202.18,0
Swaziland,SWZ,2000,6569.55,112.83,19259.52,927.35,14049.6,0
Swaziland,SWZ,2005,5742.19,293.43,20293.61,732.39,14229.18,0
Swaziland,SWZ,2010,5934.82,521.99,24538.06,17.79,13959.01,0
Swaziland,SWZ,2014,6744.44,380.36,26810.72,846.03,17888.55,0
Sweden,SWE,1995,19421.81,0.35,369350.03,-15591.51,186721.84,240.09
Sweden,SWE,2000,19262.7,0,428477.1,-16382.77,216752.21,143.97
Sweden,SWE,2005,19087.63,0,467764.13,-10649.95,245903.5,765.81
Sweden,SWE,2010,18927.69,0,526309.29,-6259.7,274649.16,7400.97
Sweden,SWE,2014,18879.96,0,576520.6,-4073.14,285791.55,9010.21
Switzerland,CHE,1995,8693.16,0.14,876492.75,51967.21,281978.2,0
Switzerland,CHE,2000,10180.8,0,897833.73,80311.96,300296.2,0
Switzerland,CHE,2005,9423.72,0,918676.47,83836.2,314420.03,0
Switzerland,CHE,2010,8728.61,0,936021.25,115608.54,337717.85,0
Switzerland,CHE,2014,8530.61,0,1022950.27,79200.36,356075.21,0.25
Tajikistan,TJK,1995,4713.88,212.49,4351.97,-512.12,11841.97,8.64
Tajikistan,TJK,2000,3493.95,24.77,3577.79,-704.54,14469.64,7.84
Tajikistan,TJK,2005,5709.9,38.97,3758.28,-421.54,14206.39,62.45
Tajikistan,TJK,2010,5773.24,49.12,4363.98,-587.5,28656.65,78.21
Tajikistan,TJK,2014,7202.18,43.4,5014.71,-557.18,30396.74,185.77
Tanzania,TZA,1995,11880.28,1.09,7018.53,-833.1,2829.13,4.47
Tanzania,TZA,2000,6888.46,0.87,6593.92,-412.43,3307.06,0.13
Tanzania,TZA,2005,6094.02,6.58,6787.94,-351.75,2774.02,109.55
Tanzania,TZA,2010,6947.61,5.48,6588.64,-306.96,2680.72,248.39
Tanzania,TZA,2014,7678.44,7.87,6706.05,-493.77,3199.06,352.94
Thailand,THA,1995,5140.6,107.22,23149.59,-2017.28,12025.41,10.52
Thailand,THA,2000,5570.9,160.38,26170.53,-1735.8,14679.63,4.45
Thailand,THA,2005,7271.26,381.94,32468.75,-1330.97,15679.69,13.94
Thailand,THA,2010,7978.82,611.6,31612.81,-738.02,17508.2,84.23
Thailand,THA,2014,9482.21,607.41,33572.67,-1497.72,20379.81,54.57
Togo,TGO,1995,3265.88,0,7550.87,-635.95,2639.78,10.3
Togo,TGO,2000,3424.64,0,9338.82,-814.39,2655.34,23.46
Togo,TGO,2005,2886.97,0,8329.5,-672.38,2326.08,9.41
Togo,TGO,2010,3618.55,0,11268.85,-308.77,1921.71,1032.77
Togo,TGO,2014,4000.82,0,11869.44,-203.91,1963.45,1293.95
Tunisia,TUN,1995,5007.16,628.49,15715.25,-2784.34,10343.78,8.06
Tunisia,TUN,2000,4911.29,694.85,18638.32,-2882.25,11017.64,10.23
Tunisia,TUN,2005,4802.67,1324.86,20776.32,-3125.09,11989.03,15.14
Tunisia,TUN,2010,6011.19,2167.6,23351.75,-4038.1,13969,617.64
Tunisia,TUN,2014,6640.84,3003.24,24795.71,-4661.89,14838.14,534.34
Turkey,TUR,1995,15406.04,165.56,9550.8,-2178.49,22298.82,40.02
Turkey,TUR,2000,13731.21,89.87,12164.48,-2657.82,18257.67,22.72
Turkey,TUR,2005,10971.25,203.04,9504.94,-3054.41,19319.16,53.27
Turkey,TUR,2010,10866.07,425.19,10952.86,-4631.75,22293.47,333.05
Turkey,TUR,2014,11921.58,377.65,12081.09,-5921.36,26984.01,555.03
Turkmenistan,TKM,1995,16755.83,36744.34,18342.13,815.01,14304,0
Turkmenistan,TKM,2000,24780.93,17026.61,20145.99,-820.18,31131.65,0
Turkmenistan,TKM,2005,21146.6,32247.99,22104.5,834.2,33192.92,0
Turkmenistan,TKM,2010,20616.97,38159.84,32285.08,3120.2,24064.53,0
Turkmenistan,TKM,2014,21219.16,37843.01,47509.72,519.41,39739.66,0
Uganda,UGA,1995,5176.51,0,3026.36,-196.27,1003.86,0
Uganda,UGA,2000,4181.53,0,3521.82,-200.29,1404.24,0
Uganda,UGA,2005,5926.68,0,5028.67,-284.75,1777.27,5.28
Uganda,UGA,2010,6403.14,0,6346.48,-183.89,1404.04,9.02
Uganda,UGA,2014,5268.57,0,6889.44,-298.53,1871.8,0.79
Ukraine,UKR,1995,8735.02,1361.08,11191.62,-321.85,33890.68,97.02
Ukraine,UKR,2000,5934.11,750.13,10829.81,-763.68,27137.35,55.84
Ukraine,UKR,2005,6786.94,1747.28,17364.03,-461.3,26327.15,710.12
Ukraine,UKR,2010,6742.19,2369.17,19316.33,-867.39,30611.78,3191.89
Ukraine,UKR,2014,8134.87,1984.49,18952.09,-1414.44,25170.54,3225.88
United Arab Emirates,ARE,1995,8635.85,296242.17,452489.16,126548.37,412112.55,0
United Arab Emirates,ARE,2000,8204.76,254700.13,454621.19,178688.23,300069.85,0
United Arab Emirates,ARE,2005,7753.28,272306.13,404187.69,120952.98,187779.92,0
United Arab Emirates,ARE,2010,3819.89,230395.16,252052.39,59115.67,127420.46,0
United Arab Emirates,ARE,2014,3171.24,256257.05,278204.78,74980.73,125656.62,0
United Kingdom,GBR,1995,6073.38,1001.81,378986.05,-799.23,113729.57,0
United Kingdom,GBR,2000,4078.23,1196.4,444734.34,-3400.27,141125.21,0.03
United Kingdom,GBR,2005,3497.05,2146.51,491560,-3657.8,171546.27,0.04
United Kingdom,GBR,2010,4035.64,2409.45,434656.23,-3780.26,184324.73,1
United Kingdom,GBR,2014,4586.61,3005.26,457222.73,-10576.87,193455.73,0.09
United States,USA,1995,14504.92,3653.69,621386.86,-2055.56,145070.14,202.02
United States,USA,2000,13624.04,4149.88,730721.98,-7576.64,166640.34,147.26
United States,USA,2005,12424.66,6755.95,759557.73,-7974.05,199130.19,131.91
United States,USA,2010,13758.74,9694.06,723711.32,-10006.27,206378.85,1017.63
United States,USA,2014,14972.87,7518.4,766470.32,-23000.1,216185.57,1132.8
Uruguay,URY,1995,10143.66,0,91688.02,-1803.86,31695.78,0
Uruguay,URY,2000,10971.83,0,116573.92,-1019.58,34063.56,5.69
Uruguay,URY,2005,14233.9,0,91636.44,-1080.25,40872.05,113.46
Uruguay,URY,2010,19701.46,0,156153.24,-657.5,51418.52,222.95
Uruguay,URY,2014,21778.34,0,171309.77,-2958.59,64248.63,222.5
Venezuela,VEN,1995,9884.66,21038.68,50248.13,-635.61,37119.28,579.79
Venezuela,VEN,2000,8622.53,20503.16,42374.14,-474.22,35929.53,437.16
Venezuela,VEN,2005,6444.65,27170.04,39598.71,1453.47,32037.57,756.55
Venezuela,VEN,2010,5999.63,28529.76,45996.2,2068.67,29167.01,1524.59
Venezuela,VEN,2014,6125.54,30795.09,49332.02,4925.73,70150.89,1230.55
Vietnam,VNM,1995,4279.71,265.89,7265.28,-556.14,1767.81,4.55
Vietnam,VNM,2000,4224.46,460.54,10404.52,-574.18,2588.12,5.46
Vietnam,VNM,2005,4683.36,1316.9,11708.95,-605.46,4019.04,16.11
Vietnam,VNM,2010,5989.7,2497.33,11210.17,-1220.31,5173.7,177.46
Vietnam,VNM,2014,6847.92,2328.9,13740.37,-1283.67,5530.28,204.34
Yemen,YEM,1995,4791.86,3809.19,7906.39,-3698.33,4712.64,0
Yemen,YEM,2000,4067.44,4992.2,8698.57,-123.95,4799.39,0
Yemen,YEM,2005,3768.66,7797.57,9643.48,270.49,4227.55,0
Yemen,YEM,2010,3885.19,9171.23,10910.55,8.92,4138.84,0
