Entity,Code,Year,"Share of youth not in education, employment or training, total (% of youth population) (% of youth population)"
Latin America & Caribbean,,2017,21.1489091550895
Latin America & Caribbean (IDA & IBRD),,2005,20.4369656124461
Latin America & Caribbean (IDA & IBRD),,2006,19.6942828074764
Latin America & Caribbean (IDA & IBRD),,2007,19.5079713708722
Latin America & Caribbean (IDA & IBRD),,2008,19.1926362568217
Latin America & Caribbean (IDA & IBRD),,2009,20.1600404529838
Latin America & Caribbean (IDA & IBRD),,2011,20.1795196435234
Latin America & Caribbean (IDA & IBRD),,2012,19.7453077689265
Latin America & Caribbean (IDA & IBRD),,2013,20.1813151066852
Latin America & Caribbean (IDA & IBRD),,2014,19.9209958157842
Latin America & Caribbean (IDA & IBRD),,2015,21.2669952472893
Latin America & Caribbean (IDA & IBRD),,2016,21.546124392192
Latin America & Caribbean (IDA & IBRD),,2017,21.1489091550895
Latin America & Caribbean (excluding high income),,2005,20.4930502996195
Latin America & Caribbean (excluding high income),,2006,19.6984200291894
Latin America & Caribbean (excluding high income),,2007,19.5069117974292
Latin America & Caribbean (excluding high income),,2008,19.1738207951563
Latin America & Caribbean (excluding high income),,2009,20.0857029843387
Latin America & Caribbean (excluding high income),,2011,20.6092997044115
Latin America & Caribbean (excluding high income),,2012,20.1363506619397
Latin America & Caribbean (excluding high income),,2013,20.5026240399089
Latin America & Caribbean (excluding high income),,2014,20.2063768829456
Latin America & Caribbean (excluding high income),,2015,21.4152782658448
Latin America & Caribbean (excluding high income),,2016,21.5971520487514
Latin America & Caribbean (excluding high income),,2017,21.3638222478197
Latvia,LVA,2003,12.7299995422363
Latvia,LVA,2004,12.3400001525879
Latvia,LVA,2005,10.8900003433228
Latvia,LVA,2006,11.460000038147
Latvia,LVA,2007,11.9399995803833
Latvia,LVA,2008,11.8199996948242
Latvia,LVA,2009,17.4899997711182
Latvia,LVA,2010,17.8099994659424
Latvia,LVA,2011,16.0300006866455
Latvia,LVA,2012,14.8900003433228
Latvia,LVA,2013,13.0299997329712
Latvia,LVA,2014,12.0100002288818
Latvia,LVA,2015,10.5200004577637
Latvia,LVA,2016,11.210000038147
Latvia,LVA,2017,10.2600002288818
Lebanon,LBN,2007,21.2999992370605
Liberia,LBR,2010,24.2847995758057
Lithuania,LTU,2004,9.88000011444092
Lithuania,LTU,2005,8.77000045776367
Lithuania,LTU,2006,8.31999969482422
Lithuania,LTU,2007,7.07000017166138
Lithuania,LTU,2008,8.85000038146973
Lithuania,LTU,2009,12.1199998855591
Lithuania,LTU,2010,13.1700000762939
Lithuania,LTU,2011,11.8199996948242
Lithuania,LTU,2012,11.1700000762939
Lithuania,LTU,2013,11.1400003433228
Lithuania,LTU,2014,9.90999984741211
Lithuania,LTU,2015,9.19999980926514
Lithuania,LTU,2016,9.40999984741211
Lithuania,LTU,2017,9.14999961853027
Lower middle income,,2010,27.9315685124926
Lower middle income,,2012,25.7761558837207
Luxembourg,LUX,2003,5.1399998664856
Luxembourg,LUX,2004,6.25
Luxembourg,LUX,2005,5.5
Luxembourg,LUX,2006,6.69000005722046
Luxembourg,LUX,2007,5.65999984741211
Luxembourg,LUX,2008,6.21000003814697
Luxembourg,LUX,2009,5.78999996185303
Luxembourg,LUX,2010,5.11999988555908
Luxembourg,LUX,2011,4.73999977111816
Luxembourg,LUX,2012,5.8899998664856
Luxembourg,LUX,2013,4.98999977111816
Luxembourg,LUX,2014,6.26000022888184
Luxembourg,LUX,2015,6.17000007629395
Luxembourg,LUX,2016,5.36999988555908
Luxembourg,LUX,2017,5.90999984741211
Macao,MAC,2009,7.19000005722046
Macao,MAC,2010,6.19000005722046
Macao,MAC,2011,6.30000019073486
Macao,MAC,2012,5.76000022888184
Macao,MAC,2013,5.26999998092651
Macao,MAC,2014,5
Macao,MAC,2015,5.30999994277954
Macao,MAC,2016,4.96000003814697
Macedonia,MKD,2006,41.2999992370605
Macedonia,MKD,2007,33.060001373291
Macedonia,MKD,2008,30.7000007629395
Macedonia,MKD,2009,27.6599998474121
Macedonia,MKD,2010,25.5200004577637
Macedonia,MKD,2011,25.1800003051758
Macedonia,MKD,2012,24.7999992370605
Macedonia,MKD,2013,24.2299995422363
Macedonia,MKD,2014,25.1499996185303
Macedonia,MKD,2015,24.7199993133545
Macedonia,MKD,2016,24.3199996948242
Macedonia,MKD,2017,24.8600006103516
Madagascar,MDG,2012,3.79069995880127
Malaysia,MYS,2011,14.3699998855591
Malaysia,MYS,2012,13.9499998092651
Malaysia,MYS,2013,13.6499996185303
Malaysia,MYS,2014,12.7700004577637
Malaysia,MYS,2016,11.6899995803833
Maldives,MDV,2014,20.5
Maldives,MDV,2016,23.4922008514404
Mali,MLI,2010,13.4700002670288
Mali,MLI,2014,21.308500289917
Mali,MLI,2015,24.9449005126953
Malta,MLT,2004,12.2200002670288
Malta,MLT,2005,11.8999996185303
Malta,MLT,2006,10.3400001525879
Malta,MLT,2007,11.539999961853
Malta,MLT,2008,8.27000045776367
Malta,MLT,2009,9.88000011444092
Malta,MLT,2010,9.52999973297119
Malta,MLT,2011,10.1800003051758
Malta,MLT,2012,10.6099996566772
Malta,MLT,2013,9.9399995803833
Malta,MLT,2014,10.4700002670288
Malta,MLT,2015,10.3500003814697
Malta,MLT,2016,8.47000026702881
Malta,MLT,2017,9.07999992370605
Mauritania,MRT,2012,39.4934005737305
Mauritius,MUS,2001,33.8419990539551
Mauritius,MUS,2002,30.2168006896973
Mauritius,MUS,2003,27.360200881958
Mauritius,MUS,2004,27.9871997833252
Mauritius,MUS,2005,28.482400894165
Mauritius,MUS,2006,22.2334995269775
Mauritius,MUS,2007,20.6051006317139
Mauritius,MUS,2008,21.3349990844727
Mauritius,MUS,2009,21.8321990966797
Mauritius,MUS,2010,21.5235996246338
Mauritius,MUS,2011,21.5445995330811
Mauritius,MUS,2012,21.6054992675781
Mauritius,MUS,2013,21.173999786377
Mauritius,MUS,2014,20.8635005950928
Mauritius,MUS,2015,20.0872993469238
Mauritius,MUS,2016,20.3187999725342
Mauritius,MUS,2017,19.9388008117676
Mexico,MEX,2005,21.4577007293701
Mexico,MEX,2006,21.3003997802734
Mexico,MEX,2007,21.0893001556396
Mexico,MEX,2008,21.9125995635986
Mexico,MEX,2009,22.1436996459961
Mexico,MEX,2010,22.1772003173828
Mexico,MEX,2011,21.816499710083
Mexico,MEX,2012,21.1443996429443
Mexico,MEX,2013,20.4650001525879
Mexico,MEX,2014,20.2758007049561
Mexico,MEX,2015,19.7476997375488
Mexico,MEX,2016,19.55299949646
Mexico,MEX,2017,18.7317008972168
Moldova,MDA,2010,28.1800003051758
Moldova,MDA,2011,29.1900005340576
Moldova,MDA,2012,29.2700004577637
Moldova,MDA,2013,28.6399993896484
Moldova,MDA,2014,30.8799991607666
Moldova,MDA,2015,27.8299999237061
Mongolia,MNG,2006,18.5100002288818
Mongolia,MNG,2008,17.8377990722656
Mongolia,MNG,2009,18.7043991088867
Mongolia,MNG,2010,17.6285991668701
Mongolia,MNG,2011,16.5393009185791
Mongolia,MNG,2012,17.5858001708984
Mongolia,MNG,2013,18.3899993896484
Mongolia,MNG,2014,17.4524002075195
Mongolia,MNG,2015,16.8062992095947
Mongolia,MNG,2016,20.4540996551514
Mongolia,MNG,2017,19.8215999603271
Montenegro,MNE,2013,18.5100002288818
Montenegro,MNE,2014,17.7000007629395
Montenegro,MNE,2015,16.5
Montenegro,MNE,2017,16.6900005340576
Myanmar,MMR,2015,18.619800567627
Myanmar,MMR,2017,17.3920993804932
Namibia,NAM,2012,31.1499996185303
Namibia,NAM,2013,32.0070991516113
Namibia,NAM,2014,30.4713001251221
Namibia,NAM,2016,33.415699005127
Nepal,NPL,2008,23.442699432373
Netherlands,NLD,2003,4.78000020980835
Netherlands,NLD,2004,4.8600001335144
Netherlands,NLD,2005,5.26000022888184
Netherlands,NLD,2006,4.03999996185303
Netherlands,NLD,2007,3.52999997138977
Netherlands,NLD,2008,3.44000005722046
Netherlands,NLD,2009,4.1100001335144
Netherlands,NLD,2010,4.28000020980835
Netherlands,NLD,2011,4.30999994277954
Netherlands,NLD,2012,4.84999990463257
Netherlands,NLD,2013,5.65000009536743
Netherlands,NLD,2014,5.53000020980835
Netherlands,NLD,2015,4.67000007629395
Netherlands,NLD,2016,4.57000017166138
Netherlands,NLD,2017,4
New Caledonia,NCL,2014,11.8400001525879
New Zealand,NZL,2004,10.789999961853
New Zealand,NZL,2005,11.1199998855591
New Zealand,NZL,2006,10.7200002670288
New Zealand,NZL,2007,10.9399995803833
New Zealand,NZL,2008,11.1499996185303
New Zealand,NZL,2009,14.0799999237061
New Zealand,NZL,2010,13.4200000762939
New Zealand,NZL,2011,13.1999998092651
New Zealand,NZL,2012,13.5500001907349
New Zealand,NZL,2013,11.9200000762939
New Zealand,NZL,2014,11.4300003051758
New Zealand,NZL,2015,11.3000001907349
New Zealand,NZL,2016,11.9799995422363
New Zealand,NZL,2017,11.75
Nicaragua,NIC,2012,15.019700050354
Nicaragua,NIC,2014,1.41919994354248
Niger,NER,2011,20.0389003753662
Nigeria,NGA,2013,20.4207992553711
North America,,1994,18.7779464383539
North America,,1995,18.4887194725135
North America,,1996,17.9109921324056
North America,,1997,16.942639056222
North America,,1998,16.0916147748729
North America,,1999,15.631375185671
North America,,2000,15.3442269277569
North America,,2001,15.9312849806494
North America,,2002,16.6906080529144
North America,,2003,16.8409767937071
North America,,2004,16.4685786158893
North America,,2005,16.4188912887723
North America,,2006,15.5076277022695
North America,,2007,15.3084176946524
North America,,2008,16.4989178045015
North America,,2009,19.0685807448107
North America,,2010,19.3234628423082
North America,,2011,18.3967025764126
North America,,2012,17.860558400287
North America,,2013,17.7641326398492
North America,,2014,16.5113026430881
North America,,2015,15.3280267104374
North America,,2016,14.858464238038
North America,,2017,13.719179592663
Norway,NOR,2003,10.0100002288818
Norway,NOR,2004,9.18000030517578
Norway,NOR,2005,11.3000001907349
Norway,NOR,2006,4.55999994277954
Norway,NOR,2007,4.40999984741211
Norway,NOR,2008,4.13000011444092
Norway,NOR,2009,5
Norway,NOR,2010,4.90000009536743
Norway,NOR,2011,5.03999996185303
Norway,NOR,2012,5.15999984741211
Norway,NOR,2013,5.63000011444092
Norway,NOR,2014,5.46999979019165
Norway,NOR,2015,5.03000020980835
Norway,NOR,2016,5.36999988555908
Norway,NOR,2017,4.59000015258789
OECD members,,2004,13.2238832955027
OECD members,,2005,15.1562831243871
OECD members,,2006,16.4672445291597
OECD members,,2007,16.2579477110839
OECD members,,2008,16.5729705984
OECD members,,2009,16.8539023897543
OECD members,,2010,16.619320600543
OECD members,,2011,17.2464617967421
OECD members,,2012,15.8730860800537
OECD members,,2013,15.4465597783324
OECD members,,2014,14.8034553694472
OECD members,,2015,14.2325326272689
OECD members,,2016,13.8509921840578
OECD members,,2017,13.3169041625934
Pakistan,PAK,2006,36.1688995361328
Pakistan,PAK,2007,34.9141006469727
Pakistan,PAK,2008,33.3325996398926
Pakistan,PAK,2009,31.4698009490967
Pakistan,PAK,2010,31.1026992797852
Pakistan,PAK,2011,31.9997997283936
Pakistan,PAK,2013,31.0121994018555
Pakistan,PAK,2014,30.9097995758057
Pakistan,PAK,2015,30.4095001220703
Palau,PLW,2000,27.2346000671387
Palestine,PSE,1995,44.6902008056641
Palestine,PSE,2000,33.0253982543945
Palestine,PSE,2001,36.8820991516113
Palestine,PSE,2002,36.1080017089844
Palestine,PSE,2003,32.1971015930176
Palestine,PSE,2004,30.8411998748779
Palestine,PSE,2005,29.7595996856689
Palestine,PSE,2006,29.1375007629395
Palestine,PSE,2007,29.1082992553711
Palestine,PSE,2008,28.8080005645752
Palestine,PSE,2009,28.0783996582031
Palestine,PSE,2010,29.1490993499756
Palestine,PSE,2011,27.3428001403809
Palestine,PSE,2012,29.8714008331299
Palestine,PSE,2013,31.3185005187988
Palestine,PSE,2014,32.0736999511719
Palestine,PSE,2015,32.1077995300293
Palestine,PSE,2016,32.2619018554688
Palestine,PSE,2017,32.997501373291
Panama,PAN,2009,20.0799999237061
Panama,PAN,2010,20.8875999450684
Panama,PAN,2011,21.0319004058838
Panama,PAN,2012,17.5893001556396
Panama,PAN,2013,16.9792995452881
Panama,PAN,2014,18.7588005065918
Panama,PAN,2015,18.4486999511719
Panama,PAN,2016,17.0897006988525
Panama,PAN,2017,17.1984996795654
Papua New Guinea,PNG,2010,27.6839008331299
Paraguay,PRY,2002,24.9484004974365
Paraguay,PRY,2003,21.679500579834
Paraguay,PRY,2004,20.5473003387451
Paraguay,PRY,2005,18.8771991729736
Paraguay,PRY,2006,19.1557998657227
Paraguay,PRY,2007,19.5580005645752
Paraguay,PRY,2008,17.5522994995117
Paraguay,PRY,2009,16.9964008331299
Paraguay,PRY,2010,33.1118011474609
Paraguay,PRY,2011,34.7056999206543
Paraguay,PRY,2012,39.1731986999512
Paraguay,PRY,2013,36.0544013977051
Paraguay,PRY,2014,38.8437995910645
Paraguay,PRY,2015,35.4818992614746
Paraguay,PRY,2016,37.7092018127441
Paraguay,PRY,2017,18.0606994628906
Peru,PER,2002,16.7616004943848
Peru,PER,2003,14.5002002716064
Peru,PER,2004,20.440299987793
Peru,PER,2005,23.0471992492676
Peru,PER,2006,18.7250995635986
Peru,PER,2007,17.4326000213623
Peru,PER,2008,17.0816993713379
Peru,PER,2009,16.3533992767334
Peru,PER,2010,15.4361000061035
Peru,PER,2011,16.1189994812012
Peru,PER,2012,15.433500289917
Peru,PER,2013,16.5648002624512
Peru,PER,2014,16.7903003692627
Peru,PER,2015,18.4521999359131
Peru,PER,2016,16.8689994812012
Peru,PER,2017,17.6772003173828
Philippines,PHL,2006,24.6793003082275
Philippines,PHL,2007,25.0305004119873
Philippines,PHL,2008,24.753999710083
Philippines,PHL,2009,24.8120994567871
Philippines,PHL,2010,25.3230991363525
Philippines,PHL,2011,24.4209003448486
Philippines,PHL,2012,24.8279991149902
Philippines,PHL,2013,24.304500579834
Philippines,PHL,2014,23.3483009338379
Philippines,PHL,2016,22.199800491333
Philippines,PHL,2017,21.698600769043
Poland,POL,2004,14.4799995422363
Poland,POL,2005,13.9099998474121
Poland,POL,2006,12.6099996566772
Poland,POL,2007,10.5900001525879
Poland,POL,2008,9.03999996185303
Poland,POL,2009,10.1099996566772
Poland,POL,2010,10.7700004577637
Poland,POL,2011,11.5
Poland,POL,2012,11.8199996948242
Poland,POL,2013,12.210000038147
Poland,POL,2014,11.9799995422363
Poland,POL,2015,10.9899997711182
Poland,POL,2016,10.5200004577637
Poland,POL,2017,9.47999954223633
Portugal,PRT,2004,10.25
Portugal,PRT,2005,11.0900001525879
Portugal,PRT,2006,10.6099996566772
Portugal,PRT,2007,11.1599998474121
Portugal,PRT,2008,10.2299995422363
Portugal,PRT,2009,11.1999998092651
Portugal,PRT,2010,11.4399995803833
Portugal,PRT,2011,12.5500001907349
Portugal,PRT,2012,13.9099998474121
Portugal,PRT,2013,14.0699996948242
Portugal,PRT,2014,12.2799997329712
Portugal,PRT,2015,11.2700004577637
Portugal,PRT,2016,10.5500001907349
Portugal,PRT,2017,9.34000015258789
Post-demographic dividend,,2004,13.252587221876
Post-demographic dividend,,2005,14.0963658438684
Post-demographic dividend,,2006,13.0102864916028
Post-demographic dividend,,2007,12.8896930627076
Post-demographic dividend,,2008,13.4847978097373
Post-demographic dividend,,2009,13.9621273881666
Post-demographic dividend,,2010,14.1517726320924
Post-demographic dividend,,2011,15.0319522808832
Post-demographic dividend,,2012,13.7354609794877
Post-demographic dividend,,2013,13.6148853687959
Post-demographic dividend,,2014,13.2156851313655
Post-demographic dividend,,2015,12.4809424084757
Post-demographic dividend,,2016,12.0679127649601
Post-demographic dividend,,2017,11.2213453334394
Qatar,QAT,2009,9.39999961853027
Qatar,QAT,2016,0.00999999977648258
Romania,ROU,2003,19.3299999237061
Romania,ROU,2004,18.8400001525879
Romania,ROU,2005,16.7999992370605
Romania,ROU,2006,14.7700004577637
Romania,ROU,2007,13.3100004196167
Romania,ROU,2008,11.5699996948242
Romania,ROU,2009,13.9399995803833
Romania,ROU,2010,16.6000003814697
Romania,ROU,2011,17.4699993133545
Romania,ROU,2012,16.8099994659424
Romania,ROU,2013,16.9599990844727
Romania,ROU,2014,17.0100002288818
Romania,ROU,2015,18.0799999237061
Romania,ROU,2016,17.3799991607666
Romania,ROU,2017,15.1499996185303
Russia,RUS,2009,14.0799999237061
Russia,RUS,2010,14.210000038147
Russia,RUS,2011,12.6899995803833
Russia,RUS,2012,11.9899997711182
Russia,RUS,2013,11.8199996948242
Russia,RUS,2014,12.0299997329712
Russia,RUS,2015,12.0299997329712
Russia,RUS,2016,12.4099998474121
Rwanda,RWA,2014,4.64610004425049
Rwanda,RWA,2017,30.7928009033203
Samoa,WSM,2012,38.8969993591309
Saudi Arabia,SAU,2009,18.7399997711182
Saudi Arabia,SAU,2011,20.5699996948242
Saudi Arabia,SAU,2012,18.7900009155273
Saudi Arabia,SAU,2013,18.4200000762939
Saudi Arabia,SAU,2014,18.3199996948242
Saudi Arabia,SAU,2015,16.1000003814697
Senegal,SEN,2015,36.239200592041
Serbia,SRB,2008,20.3176002502441
Serbia,SRB,2009,21.6147003173828
Serbia,SRB,2010,21.2038993835449
Serbia,SRB,2011,21.5965995788574
Serbia,SRB,2012,21.6504993438721
Serbia,SRB,2013,19.7868995666504
Serbia,SRB,2014,20.9971008300781
Serbia,SRB,2015,20.1331996917725
Serbia,SRB,2016,18.0755996704102
Serbia,SRB,2017,17.5825004577637
Sierra Leone,SLE,2014,10.0902004241943
Singapore,SGP,2009,6.80999994277954
Singapore,SGP,2010,7.57000017166138
Singapore,SGP,2011,5.98000001907349
Singapore,SGP,2012,6.36999988555908
Singapore,SGP,2013,4.92999982833862
Singapore,SGP,2014,4.44000005722046
Singapore,SGP,2016,3.95000004768372
Slovakia,SVK,2003,16.9799995422363
Slovakia,SVK,2004,17.0799999237061
Slovakia,SVK,2005,15.8500003814697
Slovakia,SVK,2006,14.3599996566772
Slovakia,SVK,2007,12.5500001907349
Slovakia,SVK,2008,11.0600004196167
Slovakia,SVK,2009,12.5500001907349
Slovakia,SVK,2010,14.0900001525879
Slovakia,SVK,2011,13.8100004196167
Slovakia,SVK,2012,13.8100004196167
Slovakia,SVK,2013,13.6899995803833
Slovakia,SVK,2014,12.8000001907349
Slovakia,SVK,2015,13.7200002670288
Slovakia,SVK,2016,12.25
Slovakia,SVK,2017,12.1000003814697
Slovenia,SVN,2003,7.26000022888184
Slovenia,SVN,2004,6.55999994277954
Slovenia,SVN,2005,8.93000030517578
Slovenia,SVN,2006,8.52000045776367
Slovenia,SVN,2007,6.69999980926514
Slovenia,SVN,2008,6.5
Slovenia,SVN,2009,7.46000003814697
Slovenia,SVN,2010,7.1100001335144
Slovenia,SVN,2011,7.07999992370605
Slovenia,SVN,2012,9.27999973297119
Slovenia,SVN,2013,9.23999977111816
Slovenia,SVN,2014,9.42000007629395
Slovenia,SVN,2015,9.51000022888184
Slovenia,SVN,2016,8.02999973297119
Slovenia,SVN,2017,6.51999998092651
South Africa,ZAF,2000,31.3540000915527
South Africa,ZAF,2001,34.5705986022949
South Africa,ZAF,2002,27.4540004730225
South Africa,ZAF,2003,36.5392990112305
South Africa,ZAF,2004,17.4766998291016
South Africa,ZAF,2005,34.2607002258301
South Africa,ZAF,2006,33.3423004150391
South Africa,ZAF,2007,32.5820999145508
South Africa,ZAF,2012,32.2099990844727
South Africa,ZAF,2013,31.9655990600586
South Africa,ZAF,2014,31.3129997253418
South Africa,ZAF,2015,30.4990997314453
South Africa,ZAF,2016,31.2219009399414
South Africa,ZAF,2017,31.1543006896973
South Asia,,1994,32.6193008422852
South Asia,,2000,32.2350006103516
South Asia,,2004,26.1299991607666
South Asia,,2005,30.4943992246017
South Asia,,2010,28.4003572406672
South Asia,,2012,27.5028991699219
South Asia (IDA & IBRD),,1994,32.6193008422852
South Asia (IDA & IBRD),,2000,32.2350006103516
South Asia (IDA & IBRD),,2004,26.1299991607666
South Asia (IDA & IBRD),,2005,30.4943992246017
South Asia (IDA & IBRD),,2010,28.4003572406672
South Asia (IDA & IBRD),,2012,27.5028991699219
Spain,ESP,2003,11.6899995803833
Spain,ESP,2004,11.7700004577637
Spain,ESP,2005,12.960000038147
Spain,ESP,2006,11.8299999237061
Spain,ESP,2007,12.0299997329712
Spain,ESP,2008,14.25
Spain,ESP,2009,18.0900001525879
Spain,ESP,2010,17.8099994659424
Spain,ESP,2011,18.25
Spain,ESP,2012,18.6000003814697
Spain,ESP,2013,18.6299991607666
Spain,ESP,2014,17.1399993896484
Spain,ESP,2015,15.6400003433228
Spain,ESP,2016,14.6099996566772
Spain,ESP,2017,13.3199996948242
Sri Lanka,LKA,2010,22.8799991607666
Sri Lanka,LKA,2013,26.4300003051758
Sri Lanka,LKA,2014,27.6700000762939
Swaziland,SWZ,2016,35.461799621582
Sweden,SWE,2003,6.51000022888184
Sweden,SWE,2004,7.86999988555908
Sweden,SWE,2005,14.1700000762939
Sweden,SWE,2006,9.34000015258789
Sweden,SWE,2007,7.48000001907349
Sweden,SWE,2008,7.82000017166138
Sweden,SWE,2009,9.60000038146973
Sweden,SWE,2010,7.67000007629395
Sweden,SWE,2011,7.53000020980835
Sweden,SWE,2012,7.82999992370605
Sweden,SWE,2013,7.44000005722046
Sweden,SWE,2014,7.15999984741211
Sweden,SWE,2015,6.71999979019165
Sweden,SWE,2016,6.48999977111816
Sweden,SWE,2017,6.15000009536743
Switzerland,CHE,2003,7.28000020980835
Switzerland,CHE,2004,6.59000015258789
Switzerland,CHE,2005,7.21000003814697
Switzerland,CHE,2006,7.17999982833862
Switzerland,CHE,2007,6.23000001907349
Switzerland,CHE,2008,6.28999996185303
Switzerland,CHE,2009,8.05000019073486
Switzerland,CHE,2010,6.75
Switzerland,CHE,2011,6.84000015258789
Switzerland,CHE,2012,6.80999994277954
Switzerland,CHE,2013,7.32999992370605
Switzerland,CHE,2014,7.40000009536743
Switzerland,CHE,2015,7.36999988555908
Switzerland,CHE,2016,7.03000020980835
Switzerland,CHE,2017,6.51000022888184
Tajikistan,TJK,2009,42.2004013061523
Tanzania,TZA,2001,12.1498003005981
Tanzania,TZA,2005,9.01000022888184
Tanzania,TZA,2006,9.00500011444092
Tanzania,TZA,2014,14.9320001602173
Thailand,THA,2009,13.710000038147
Thailand,THA,2010,12.5200004577637
Thailand,THA,2011,12.5500001907349
Thailand,THA,2012,12.8500003814697
Thailand,THA,2013,14.1529998779297
Thailand,THA,2014,13.3242998123169
Thailand,THA,2015,13.5910997390747
Thailand,THA,2016,14.9658002853394
Timor,TLS,2010,19.0020008087158
Timor,TLS,2013,24.263599395752
Togo,TGO,2011,11.4624996185303
Trinidad and Tobago,TTO,2013,52.0499992370605
Tunisia,TUN,2010,25.2168006896973
Turkey,TUR,2006,38.5499992370605
Turkey,TUR,2007,39.2200012207031
Turkey,TUR,2008,37.0200004577637
Turkey,TUR,2009,34.939998626709
Turkey,TUR,2010,32.2900009155273
Turkey,TUR,2011,29.5599994659424
Turkey,TUR,2012,28.7199993133545
Turkey,TUR,2013,25.5300006866455
Turkey,TUR,2014,24.7900009155273
Turkey,TUR,2015,23.8899993896484
Turkey,TUR,2016,23.9500007629395
Turkey,TUR,2017,24.1800003051758
Uganda,UGA,2005,8.09000015258789
Uganda,UGA,2009,6.94999980926514
Uganda,UGA,2012,14.5269002914429
Uganda,UGA,2013,5.90999984741211
Ukraine,UKR,2014,19.9799995422363
Ukraine,UKR,2015,17.6299991607666
Ukraine,UKR,2016,18.2600002288818
United Arab Emirates,ARE,2017,11.3084001541138
United Kingdom,GBR,2004,5.44999980926514
United Kingdom,GBR,2005,8.42000007629395
United Kingdom,GBR,2006,8.55000019073486
United Kingdom,GBR,2007,11.8999996185303
United Kingdom,GBR,2008,12.0900001525879
United Kingdom,GBR,2009,13.2200002670288
United Kingdom,GBR,2010,13.6199998855591
United Kingdom,GBR,2011,14.25
United Kingdom,GBR,2012,13.8800001144409
United Kingdom,GBR,2013,13.2399997711182
United Kingdom,GBR,2014,11.8599996566772
United Kingdom,GBR,2015,11.0500001907349
United Kingdom,GBR,2016,10.8999996185303
United Kingdom,GBR,2017,10.3199996948242
United States,USA,1994,19.0077991485596
United States,USA,1995,18.7562007904053
United States,USA,1996,18.0921993255615
United States,USA,1997,17.056999206543
United States,USA,1998,16.1777992248535
United States,USA,1999,15.7820997238159
United States,USA,2000,15.4990997314453
United States,USA,2001,16.2098007202148
United States,USA,2002,17.0622005462646
United States,USA,2003,17.2322998046875
United States,USA,2004,16.8302001953125
United States,USA,2005,16.8066005706787
United States,USA,2006,15.8425998687744
United States,USA,2007,15.6288995742798
United States,USA,2008,16.9020004272461
United States,USA,2009,19.5751991271973
United States,USA,2010,19.8848991394043
United States,USA,2011,18.9080009460449
United States,USA,2012,18.294900894165
United States,USA,2013,18.2199001312256
United States,USA,2014,16.7879009246826
United States,USA,2015,15.4868001937866
United States,USA,2016,15.00119972229
United States,USA,2017,13.8379001617432
Uruguay,URY,2004,19.6594009399414
Uruguay,URY,2005,19.2544002532959
Uruguay,URY,2006,20.5496006011963
Uruguay,URY,2007,19.6569004058838
Uruguay,URY,2008,18.7880992889404
Uruguay,URY,2009,17.8458003997803
Uruguay,URY,2010,18.1236000061035
Uruguay,URY,2011,17.1623992919922
Uruguay,URY,2012,17.7334995269775
Uruguay,URY,2013,18.0359992980957
Uruguay,URY,2014,18.1506996154785
Uruguay,URY,2015,18.7329006195068
Uruguay,URY,2016,18.6821002960205
Uruguay,URY,2017,17.8675994873047
Venezuela,VEN,2009,18.4500007629395
Venezuela,VEN,2010,19.1900005340576
Vietnam,VNM,2007,10.6005001068115
Vietnam,VNM,2012,9.43809986114502
Vietnam,VNM,2013,9.98729991912842
Vietnam,VNM,2014,9.72679996490479
Vietnam,VNM,2015,0.600000023841858
Vietnam,VNM,2016,0.600000023841858
Yemen,YEM,2014,44.7683982849121
Zambia,ZMB,2008,12.9399995803833
Zimbabwe,ZWE,2011,17.2378997802734
