Entity,Code,Year,"Indicator 3.7.2: Number of livebirths per 1,000 women aged 10-14 years and women aged 15-19 years - Past - Unscaled (live births per 1,000 women)"
Saint Lucia,LCA,2000,29.915
Saint Lucia,LCA,2005,26.128
Saint Lucia,LCA,2010,22.385
Saint Lucia,LCA,2016,18.659
Saint Vincent and the Grenadines,VCT,1990,48.551
Saint Vincent and the Grenadines,VCT,1995,42.166
Saint Vincent and the Grenadines,VCT,2000,35.821
Saint Vincent and the Grenadines,VCT,2005,30.458
Saint Vincent and the Grenadines,VCT,2010,29.448
Saint Vincent and the Grenadines,VCT,2016,26.351
Samoa,WSM,1990,18.666
Samoa,WSM,1995,19.267
Samoa,WSM,2000,18.977
Samoa,WSM,2005,16.02
Samoa,WSM,2010,15.352
Samoa,WSM,2016,12.288
Sao Tome and Principe,STP,1990,49.915
Sao Tome and Principe,STP,1995,55.985
Sao Tome and Principe,STP,2000,46.677
Sao Tome and Principe,STP,2005,49.211
Sao Tome and Principe,STP,2010,44.539
Sao Tome and Principe,STP,2016,41.789
Saudi Arabia,SAU,1990,33.881
Saudi Arabia,SAU,1995,23.18
Saudi Arabia,SAU,2000,14.781
Saudi Arabia,SAU,2005,8.228
Saudi Arabia,SAU,2010,5.274
Saudi Arabia,SAU,2016,2.642
Senegal,SEN,1990,56
Senegal,SEN,1995,50.462
Senegal,SEN,2000,45.727
Senegal,SEN,2005,45.797
Senegal,SEN,2010,42.172
Senegal,SEN,2016,33.796
Serbia,SRB,1990,19.402
Serbia,SRB,1995,15.882
Serbia,SRB,2000,11.742
Serbia,SRB,2005,11.047
Serbia,SRB,2010,9.753
Serbia,SRB,2016,8.372
Seychelles,SYC,1990,31.407
Seychelles,SYC,1995,31.18
Seychelles,SYC,2000,27.258
Seychelles,SYC,2005,28.363
Seychelles,SYC,2010,32.039
Seychelles,SYC,2016,27.314
Sierra Leone,SLE,1990,71.66
Sierra Leone,SLE,1995,66.729
Sierra Leone,SLE,2000,64.425
Sierra Leone,SLE,2005,63.785
Sierra Leone,SLE,2010,60.898
Sierra Leone,SLE,2016,57.148
Singapore,SGP,1990,4.341
Singapore,SGP,1995,3.924
Singapore,SGP,2000,3.817
Singapore,SGP,2005,3.077
Singapore,SGP,2010,2.31
Singapore,SGP,2016,1.842
Slovakia,SVK,1990,23.877
Slovakia,SVK,1995,16.574
Slovakia,SVK,2000,11.774
Slovakia,SVK,2005,10.914
Slovakia,SVK,2010,13.311
Slovakia,SVK,2016,9.829
Slovenia,SVN,1990,12.052
Slovenia,SVN,1995,6.551
Slovenia,SVN,2000,3.813
Slovenia,SVN,2005,2.891
Slovenia,SVN,2010,2.607
Slovenia,SVN,2016,1.551
Solomon Islands,SLB,1990,39.033
Solomon Islands,SLB,1995,36.946
Solomon Islands,SLB,2000,34.532
Solomon Islands,SLB,2005,30.855
Solomon Islands,SLB,2010,26.806
Solomon Islands,SLB,2016,21.489
Somalia,SOM,1990,30.357
Somalia,SOM,1995,35.481
Somalia,SOM,2000,36.874
Somalia,SOM,2005,36.099
Somalia,SOM,2010,32.968
Somalia,SOM,2016,29.592
South Africa,ZAF,1990,35.039
South Africa,ZAF,1995,34.553
South Africa,ZAF,2000,32.866
South Africa,ZAF,2005,30.505
South Africa,ZAF,2010,26.632
South Africa,ZAF,2016,22.01
South Korea,KOR,1990,2.667
South Korea,KOR,1995,1.777
South Korea,KOR,2000,1.434
South Korea,KOR,2005,1.041
South Korea,KOR,2010,0.993
South Korea,KOR,2016,0.754
South Sudan,SSD,1990,75.556
South Sudan,SSD,1995,74.093
South Sudan,SSD,2000,70.081
South Sudan,SSD,2005,64.993
South Sudan,SSD,2010,56.13
South Sudan,SSD,2016,41.454
Spain,ESP,1990,5.966
Spain,ESP,1995,4.61
Spain,ESP,2000,5.08
Spain,ESP,2005,6.024
Spain,ESP,2010,5.261
Spain,ESP,2016,3.849
Sri Lanka,LKA,1990,15.195
Sri Lanka,LKA,1995,14.49
Sri Lanka,LKA,2000,14.888
Sri Lanka,LKA,2005,12.69
Sri Lanka,LKA,2010,9.935
Sri Lanka,LKA,2016,5.274
Sudan,SDN,1990,35.665
Sudan,SDN,1995,39.542
Sudan,SDN,2000,44.353
Sudan,SDN,2005,40.662
Sudan,SDN,2010,32.129
Sudan,SDN,2016,21.263
Suriname,SUR,1990,36.879
Suriname,SUR,1995,31.625
Suriname,SUR,2000,30.082
Suriname,SUR,2005,30.817
Suriname,SUR,2010,24.515
Suriname,SUR,2016,21.619
Swaziland,SWZ,1990,50.456
Swaziland,SWZ,1995,46.504
Swaziland,SWZ,2000,47.53
Swaziland,SWZ,2005,48.387
Swaziland,SWZ,2010,53.407
Swaziland,SWZ,2016,35.324
Sweden,SWE,1990,6.697
Sweden,SWE,1995,4.252
Sweden,SWE,2000,3.039
Sweden,SWE,2005,3.077
Sweden,SWE,2010,3.309
Sweden,SWE,2016,2.729
Switzerland,CHE,1990,3.57
Switzerland,CHE,1995,2.979
Switzerland,CHE,2000,2.739
Switzerland,CHE,2005,2.413
Switzerland,CHE,2010,2.056
Switzerland,CHE,2016,1.318
Syria,SYR,1990,34.455
Syria,SYR,1995,32.107
Syria,SYR,2000,28.633
Syria,SYR,2005,24.047
Syria,SYR,2010,19.328
Syria,SYR,2016,13.949
Taiwan,TWN,1990,8.122
Taiwan,TWN,1995,9.203
Taiwan,TWN,2000,8.104
Taiwan,TWN,2005,3.676
Taiwan,TWN,2010,2.356
Taiwan,TWN,2016,2.916
Tajikistan,TJK,1990,25.491
Tajikistan,TJK,1995,20.444
Tajikistan,TJK,2000,16.749
Tajikistan,TJK,2005,17.852
Tajikistan,TJK,2010,18.12
Tajikistan,TJK,2016,18.616
Tanzania,TZA,1990,70.499
Tanzania,TZA,1995,67.79
Tanzania,TZA,2000,62.499
Tanzania,TZA,2005,60.258
Tanzania,TZA,2010,57.91
Tanzania,TZA,2016,50.043
Thailand,THA,1990,28.628
Thailand,THA,1995,28.7
Thailand,THA,2000,25.161
Thailand,THA,2005,21.57
Thailand,THA,2010,20.608
Thailand,THA,2016,18.374
Timor,TLS,1990,24.671
Timor,TLS,1995,17.577
Timor,TLS,2000,18.788
Timor,TLS,2005,20.443
Timor,TLS,2010,22.56
Timor,TLS,2016,15.424
Togo,TGO,1990,50.709
Togo,TGO,1995,44.49
Togo,TGO,2000,41.515
Togo,TGO,2005,41.124
Togo,TGO,2010,40.36
Togo,TGO,2016,40.661
Tonga,TON,1990,14.116
Tonga,TON,1995,12.217
Tonga,TON,2000,12.18
Tonga,TON,2005,9.812
Tonga,TON,2010,8.956
Tonga,TON,2016,7.033
Trinidad and Tobago,TTO,1990,29.249
Trinidad and Tobago,TTO,1995,22.898
Trinidad and Tobago,TTO,2000,21.678
Trinidad and Tobago,TTO,2005,20
Trinidad and Tobago,TTO,2010,15.945
Trinidad and Tobago,TTO,2016,9.738
Tunisia,TUN,1990,9.721
Tunisia,TUN,1995,6.04
Tunisia,TUN,2000,3.606
Tunisia,TUN,2005,3.266
Tunisia,TUN,2010,3.374
Tunisia,TUN,2016,2.635
Turkey,TUR,1990,29.839
Turkey,TUR,1995,26.818
Turkey,TUR,2000,23.488
Turkey,TUR,2005,20.229
Turkey,TUR,2010,16.864
Turkey,TUR,2016,11.724
Turkmenistan,TKM,1990,11.565
Turkmenistan,TKM,1995,12.118
Turkmenistan,TKM,2000,10.797
Turkmenistan,TKM,2005,10.764
Turkmenistan,TKM,2010,10.855
Turkmenistan,TKM,2016,8.062
Uganda,UGA,1990,91.428
Uganda,UGA,1995,88.97
Uganda,UGA,2000,82.18
Uganda,UGA,2005,72.571
Uganda,UGA,2010,63.006
Uganda,UGA,2016,47.283
Ukraine,UKR,1990,31.595
Ukraine,UKR,1995,23.771
Ukraine,UKR,2000,16.64
Ukraine,UKR,2005,16.782
Ukraine,UKR,2010,16.742
Ukraine,UKR,2016,10.82
United Arab Emirates,ARE,1990,31.217
United Arab Emirates,ARE,1995,20.615
United Arab Emirates,ARE,2000,18.421
United Arab Emirates,ARE,2005,24.171
United Arab Emirates,ARE,2010,28.411
United Arab Emirates,ARE,2016,24.476
United Kingdom,GBR,1990,16.851
United Kingdom,GBR,1995,14.571
United Kingdom,GBR,2000,13.304
United Kingdom,GBR,2005,13.371
United Kingdom,GBR,2010,11.102
United Kingdom,GBR,2016,6.277
United States,USA,1990,30.405
United States,USA,1995,26.669
United States,USA,2000,23.342
United States,USA,2005,21.018
United States,USA,2010,16.911
United States,USA,2016,8.688
Uruguay,URY,1990,30.142
Uruguay,URY,1995,36.039
Uruguay,URY,2000,31.655
Uruguay,URY,2005,28.733
Uruguay,URY,2010,28.599
Uruguay,URY,2016,28.283
Uzbekistan,UZB,1990,25.616
Uzbekistan,UZB,1995,22.112
Uzbekistan,UZB,2000,12.583
Uzbekistan,UZB,2005,10.009
Uzbekistan,UZB,2010,9.959
Uzbekistan,UZB,2016,9.106
Vanuatu,VUT,1990,38.795
Vanuatu,VUT,1995,34.259
Vanuatu,VUT,2000,32.893
Vanuatu,VUT,2005,29.627
Vanuatu,VUT,2010,27.144
Vanuatu,VUT,2016,24.798
Venezuela,VEN,1990,47.595
Venezuela,VEN,1995,42.77
Venezuela,VEN,2000,42.494
Venezuela,VEN,2005,42.893
Venezuela,VEN,2010,41.394
Venezuela,VEN,2016,36.964
Vietnam,VNM,1990,12.836
Vietnam,VNM,1995,13.963
Vietnam,VNM,2000,14.013
Vietnam,VNM,2005,15.1
Vietnam,VNM,2010,19.028
Vietnam,VNM,2016,19.035
Yemen,YEM,1990,58.099
Yemen,YEM,1995,52.5
Yemen,YEM,2000,44.327
Yemen,YEM,2005,38.229
Yemen,YEM,2010,41.515
Yemen,YEM,2016,31.381
Zambia,ZMB,1990,76.846
Zambia,ZMB,1995,69.216
Zambia,ZMB,2000,63.654
Zambia,ZMB,2005,58.529
Zambia,ZMB,2010,49.867
Zambia,ZMB,2016,36.959
Zimbabwe,ZWE,1990,46.774
Zimbabwe,ZWE,1995,48.828
Zimbabwe,ZWE,2000,50.033
Zimbabwe,ZWE,2005,53.438
Zimbabwe,ZWE,2010,57.245
Zimbabwe,ZWE,2016,53.542
