Entity,Code,Year,Indicator 2.2.1: Prevalence of stunting in children under 5 (%) - Past - Unscaled (%)
Saint Lucia,LCA,2016,3.135
Saint Vincent and the Grenadines,VCT,1990,16.133
Saint Vincent and the Grenadines,VCT,1995,14.17
Saint Vincent and the Grenadines,VCT,2000,11.364
Saint Vincent and the Grenadines,VCT,2005,10.707
Saint Vincent and the Grenadines,VCT,2010,10.147
Saint Vincent and the Grenadines,VCT,2016,9.601
Samoa,WSM,1990,9.422
Samoa,WSM,1995,8.593
Samoa,WSM,2000,8.016
Samoa,WSM,2005,7.85
Samoa,WSM,2010,7.5
Samoa,WSM,2016,6.817
Sao Tome and Principe,STP,1990,34.172
Sao Tome and Principe,STP,1995,35.57
Sao Tome and Principe,STP,2000,36.719
Sao Tome and Principe,STP,2005,32.33
Sao Tome and Principe,STP,2010,26.671
Sao Tome and Principe,STP,2016,16.652
Saudi Arabia,SAU,1990,25.454
Saudi Arabia,SAU,1995,20.136
Saudi Arabia,SAU,2000,14.652
Saudi Arabia,SAU,2005,10.926
Saudi Arabia,SAU,2010,8.519
Saudi Arabia,SAU,2016,6.633
Senegal,SEN,1990,32.813
Senegal,SEN,1995,32.96
Senegal,SEN,2000,30.92
Senegal,SEN,2005,22.648
Senegal,SEN,2010,25.368
Senegal,SEN,2016,18.825
Serbia,SRB,1990,6.968
Serbia,SRB,1995,7.156
Serbia,SRB,2000,7.298
Serbia,SRB,2005,7.55
Serbia,SRB,2010,8.389
Serbia,SRB,2016,10.192
Seychelles,SYC,1990,8.439
Seychelles,SYC,1995,8.236
Seychelles,SYC,2000,8.492
Seychelles,SYC,2005,10.319
Seychelles,SYC,2010,8.724
Seychelles,SYC,2016,8.998
Sierra Leone,SLE,1990,42.987
Sierra Leone,SLE,1995,39.319
Sierra Leone,SLE,2000,39.593
Sierra Leone,SLE,2005,45.172
Sierra Leone,SLE,2010,43.223
Sierra Leone,SLE,2016,36.8
Singapore,SGP,1990,4.101
Singapore,SGP,1995,3.68
Singapore,SGP,2000,3.344
Singapore,SGP,2005,3.309
Singapore,SGP,2010,3.217
Singapore,SGP,2016,3.022
Slovakia,SVK,1990,8.391
Slovakia,SVK,1995,9.199
Slovakia,SVK,2000,9.399
Slovakia,SVK,2005,8.277
Slovakia,SVK,2010,7.494
Slovakia,SVK,2016,7.101
Slovenia,SVN,1990,7.877
Slovenia,SVN,1995,9.243
Slovenia,SVN,2000,9.267
Slovenia,SVN,2005,8.118
Slovenia,SVN,2010,7.497
Slovenia,SVN,2016,7.127
Solomon Islands,SLB,1990,34.477
Solomon Islands,SLB,1995,30.532
Solomon Islands,SLB,2000,28.545
Solomon Islands,SLB,2005,30.818
Solomon Islands,SLB,2010,26.385
Solomon Islands,SLB,2016,22.113
Somalia,SOM,1990,35.992
Somalia,SOM,1995,35.836
Somalia,SOM,2000,32.944
Somalia,SOM,2005,39.887
Somalia,SOM,2010,30.603
Somalia,SOM,2016,30.074
South Africa,ZAF,1990,29.168
South Africa,ZAF,1995,27.692
South Africa,ZAF,2000,26.865
South Africa,ZAF,2005,24.149
South Africa,ZAF,2010,21.642
South Africa,ZAF,2016,19.31
South Korea,KOR,1990,2.989
South Korea,KOR,1995,2.63
South Korea,KOR,2000,2.463
South Korea,KOR,2005,2.829
South Korea,KOR,2010,3.334
South Korea,KOR,2016,3.146
South Sudan,SSD,1990,46.104
South Sudan,SSD,1995,45.391
South Sudan,SSD,2000,43.905
South Sudan,SSD,2005,37.088
South Sudan,SSD,2010,31.561
South Sudan,SSD,2016,32.25
Spain,ESP,1990,1.7
Spain,ESP,1995,1.341
Spain,ESP,2000,1.195
Spain,ESP,2005,1.131
Spain,ESP,2010,1.096
Spain,ESP,2016,1.06
Sri Lanka,LKA,1990,33.684
Sri Lanka,LKA,1995,24.462
Sri Lanka,LKA,2000,25.419
Sri Lanka,LKA,2005,18.344
Sri Lanka,LKA,2010,16.118
Sri Lanka,LKA,2016,14.051
Sudan,SDN,1990,45.533
Sudan,SDN,1995,44.833
Sudan,SDN,2000,45.476
Sudan,SDN,2005,40.528
Sudan,SDN,2010,36.36
Sudan,SDN,2016,32.354
Suriname,SUR,1990,13.834
Suriname,SUR,1995,13.968
Suriname,SUR,2000,14.181
Suriname,SUR,2005,11.13
Suriname,SUR,2010,9.123
Suriname,SUR,2016,8.513
Swaziland,SWZ,1990,37.888
Swaziland,SWZ,1995,36.395
Swaziland,SWZ,2000,36.326
Swaziland,SWZ,2005,33.644
Swaziland,SWZ,2010,33.205
Swaziland,SWZ,2016,26.022
Sweden,SWE,1990,2.087
Sweden,SWE,1995,1.424
Sweden,SWE,2000,1.259
Sweden,SWE,2005,1.239
Sweden,SWE,2010,1.253
Sweden,SWE,2016,1.221
Switzerland,CHE,1990,1.758
Switzerland,CHE,1995,1.311
Switzerland,CHE,2000,1.201
Switzerland,CHE,2005,1.195
Switzerland,CHE,2010,1.179
Switzerland,CHE,2016,1.147
Syria,SYR,1990,35.222
Syria,SYR,1995,30.599
Syria,SYR,2000,32.145
Syria,SYR,2005,31.835
Syria,SYR,2010,29.934
Syria,SYR,2016,23.4
Taiwan,TWN,1990,6.802
Taiwan,TWN,1995,6.627
Taiwan,TWN,2000,6.114
Taiwan,TWN,2005,5.343
Taiwan,TWN,2010,5.003
Taiwan,TWN,2016,4.673
Tajikistan,TJK,1990,40.153
Tajikistan,TJK,1995,41.655
Tajikistan,TJK,2000,40.713
Tajikistan,TJK,2005,35.826
Tajikistan,TJK,2010,30.681
Tajikistan,TJK,2016,28.757
Tanzania,TZA,1990,47.909
Tanzania,TZA,1995,54.574
Tanzania,TZA,2000,49.771
Tanzania,TZA,2005,43.39
Tanzania,TZA,2010,41.697
Tanzania,TZA,2016,33.743
Thailand,THA,1990,28.581
Thailand,THA,1995,17.143
Thailand,THA,2000,15.419
Thailand,THA,2005,15.396
Thailand,THA,2010,15.226
Thailand,THA,2016,13.322
Timor,TLS,1990,60.997
Timor,TLS,1995,60.251
Timor,TLS,2000,60.037
Timor,TLS,2005,56.221
Timor,TLS,2010,54.514
Timor,TLS,2016,46.776
Togo,TGO,1990,38.182
Togo,TGO,1995,35.537
Togo,TGO,2000,32.959
Togo,TGO,2005,32.001
Togo,TGO,2010,28.058
Togo,TGO,2016,20.139
Tonga,TON,1990,12.224
Tonga,TON,1995,11.081
Tonga,TON,2000,10.11
Tonga,TON,2005,9.392
Tonga,TON,2010,9.005
Tonga,TON,2016,7.899
Trinidad and Tobago,TTO,1990,3.68
Trinidad and Tobago,TTO,1995,2.201
Trinidad and Tobago,TTO,2000,2.551
Trinidad and Tobago,TTO,2005,1.829
Trinidad and Tobago,TTO,2010,1.556
Trinidad and Tobago,TTO,2016,1.506
Tunisia,TUN,1990,22.823
Tunisia,TUN,1995,20.67
Tunisia,TUN,2000,15.604
Tunisia,TUN,2005,11.905
Tunisia,TUN,2010,10.114
Tunisia,TUN,2016,8.677
Turkey,TUR,1990,21.418
Turkey,TUR,1995,21.327
Turkey,TUR,2000,16.72
Turkey,TUR,2005,13.657
Turkey,TUR,2010,11.725
Turkey,TUR,2016,9.851
Turkmenistan,TKM,1990,23.702
Turkmenistan,TKM,1995,23.446
Turkmenistan,TKM,2000,25.673
Turkmenistan,TKM,2005,18.828
Turkmenistan,TKM,2010,14.734
Turkmenistan,TKM,2016,11.196
Uganda,UGA,1990,44.636
Uganda,UGA,1995,47.348
Uganda,UGA,2000,45.914
Uganda,UGA,2005,39.353
Uganda,UGA,2010,35.413
Uganda,UGA,2016,29.492
Ukraine,UKR,1990,22.42
Ukraine,UKR,1995,22.309
Ukraine,UKR,2000,22.741
Ukraine,UKR,2005,19.743
Ukraine,UKR,2010,17.416
Ukraine,UKR,2016,16.663
United Arab Emirates,ARE,1990,22.704
United Arab Emirates,ARE,1995,21.047
United Arab Emirates,ARE,2000,15.443
United Arab Emirates,ARE,2005,12.615
United Arab Emirates,ARE,2010,11.77
United Arab Emirates,ARE,2016,10.883
United Kingdom,GBR,1990,4.052
United Kingdom,GBR,1995,3.479
United Kingdom,GBR,2000,3.168
United Kingdom,GBR,2005,3.096
United Kingdom,GBR,2010,3.025
United Kingdom,GBR,2016,2.891
United States,USA,1990,2.645
United States,USA,1995,2.503
United States,USA,2000,2.429
United States,USA,2005,2.218
United States,USA,2010,1.986
United States,USA,2016,1.911
Uruguay,URY,1990,14.495
Uruguay,URY,1995,12.026
Uruguay,URY,2000,11.286
Uruguay,URY,2005,11.214
Uruguay,URY,2010,9.977
Uruguay,URY,2016,9.081
Uzbekistan,UZB,1990,35.028
Uzbekistan,UZB,1995,38.717
Uzbekistan,UZB,2000,31.674
Uzbekistan,UZB,2005,22.468
Uzbekistan,UZB,2010,18.244
Uzbekistan,UZB,2016,16.03
Vanuatu,VUT,1990,26.025
Vanuatu,VUT,1995,25.372
Vanuatu,VUT,2000,24.077
Vanuatu,VUT,2005,24.653
Vanuatu,VUT,2010,26.211
Vanuatu,VUT,2016,22.538
Venezuela,VEN,1990,17.064
Venezuela,VEN,1995,17.783
Venezuela,VEN,2000,16.351
Venezuela,VEN,2005,14.243
Venezuela,VEN,2010,12.256
Venezuela,VEN,2016,10.74
Vietnam,VNM,1990,55.893
Vietnam,VNM,1995,50.518
Vietnam,VNM,2000,43.04
Vietnam,VNM,2005,31.164
Vietnam,VNM,2010,28.838
Vietnam,VNM,2016,19.974
Yemen,YEM,1990,52.297
Yemen,YEM,1995,54.03
Yemen,YEM,2000,55.648
Yemen,YEM,2005,52.468
Yemen,YEM,2010,51.99
Yemen,YEM,2016,44.33
Zambia,ZMB,1990,53.827
Zambia,ZMB,1995,54.519
Zambia,ZMB,2000,55.833
Zambia,ZMB,2005,52.401
Zambia,ZMB,2010,44.72
Zambia,ZMB,2016,40.666
Zimbabwe,ZWE,1990,30.942
Zimbabwe,ZWE,1995,31.763
Zimbabwe,ZWE,2000,31.943
Zimbabwe,ZWE,2005,33.922
Zimbabwe,ZWE,2010,33.882
Zimbabwe,ZWE,2016,26.834
