Entity,Code,Year,2.5.2 - Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%) - ER_RSK_LBREDS (%)
Philippines,PHL,2017,0
Philippines,PHL,2018,0
Philippines,PHL,2019,0
Poland,POL,2000,67.85714
Poland,POL,2001,67.85714
Poland,POL,2002,67.05882
Poland,POL,2003,67.05882
Poland,POL,2004,67.90123
Poland,POL,2005,68
Poland,POL,2006,68
Poland,POL,2007,91.66667
Poland,POL,2008,95.58824
Poland,POL,2009,94.11765
Poland,POL,2010,95.6044
Poland,POL,2011,93.68421
Poland,POL,2012,92.47312
Poland,POL,2013,83.80952
Poland,POL,2014,83.49515
Poland,POL,2015,83.96226
Poland,POL,2016,86.55462
Poland,POL,2017,86.55462
Poland,POL,2018,86.55462
Poland,POL,2019,86.55462
Portugal,PRT,2000,53.84615
Portugal,PRT,2001,53.84615
Portugal,PRT,2002,53.84615
Portugal,PRT,2003,53.84615
Portugal,PRT,2004,69.44444
Portugal,PRT,2005,72.22222
Portugal,PRT,2006,72.22222
Portugal,PRT,2007,72.22222
Portugal,PRT,2008,72.22222
Portugal,PRT,2009,72.22222
Portugal,PRT,2010,57.77778
Portugal,PRT,2011,57.77778
Portugal,PRT,2012,57.77778
Portugal,PRT,2013,64.44444
Portugal,PRT,2014,64.44444
Portugal,PRT,2015,64.44444
Portugal,PRT,2016,65.30612
Portugal,PRT,2017,59.18367
Portugal,PRT,2018,59.18367
Portugal,PRT,2019,59.18367
Senegal,SEN,2000,0
Senegal,SEN,2001,0
Senegal,SEN,2002,0
Senegal,SEN,2003,0
Senegal,SEN,2004,0
Senegal,SEN,2005,0
Senegal,SEN,2006,0
Senegal,SEN,2007,0
Senegal,SEN,2008,0
Senegal,SEN,2009,0
Senegal,SEN,2010,0
Senegal,SEN,2011,0
Senegal,SEN,2012,0
Senegal,SEN,2013,0
Senegal,SEN,2014,0
Senegal,SEN,2015,0
Senegal,SEN,2016,0
Senegal,SEN,2017,0
Senegal,SEN,2018,0
Senegal,SEN,2019,0
Serbia,SRB,2000,100
Serbia,SRB,2001,100
Serbia,SRB,2002,100
Serbia,SRB,2003,100
Serbia,SRB,2004,81.81818
Serbia,SRB,2005,81.81818
Serbia,SRB,2006,81.81818
Serbia,SRB,2007,81.81818
Serbia,SRB,2008,83.33333
Serbia,SRB,2009,83.33333
Serbia,SRB,2010,83.33333
Serbia,SRB,2011,83.33333
Serbia,SRB,2012,100
Serbia,SRB,2013,100
Serbia,SRB,2014,100
Serbia,SRB,2015,100
Serbia,SRB,2016,94.44444
Serbia,SRB,2017,94.44444
Serbia,SRB,2018,94.11765
Serbia,SRB,2019,94.11765
Slovakia,SVK,2000,85.71429
Slovakia,SVK,2001,85.71429
Slovakia,SVK,2002,85.71429
Slovakia,SVK,2003,90.90909
Slovakia,SVK,2004,85.71429
Slovakia,SVK,2005,83.33333
Slovakia,SVK,2006,83.33333
Slovakia,SVK,2007,93.33333
Slovakia,SVK,2008,93.75
Slovakia,SVK,2009,93.75
Slovakia,SVK,2010,93.75
Slovakia,SVK,2011,87.5
Slovakia,SVK,2012,93.75
Slovakia,SVK,2013,88.23529
Slovakia,SVK,2014,88.23529
Slovakia,SVK,2015,88.88889
Slovakia,SVK,2016,94.44444
Slovakia,SVK,2017,88.88889
Slovakia,SVK,2018,88.88889
Slovakia,SVK,2019,88.88889
Slovenia,SVN,2000,25
Slovenia,SVN,2001,60
Slovenia,SVN,2002,60
Slovenia,SVN,2003,69.23077
Slovenia,SVN,2004,78.57143
Slovenia,SVN,2005,83.33333
Slovenia,SVN,2006,88.46154
Slovenia,SVN,2007,88.46154
Slovenia,SVN,2008,88.46154
Slovenia,SVN,2009,92.30769
Slovenia,SVN,2010,92.30769
Slovenia,SVN,2011,92.30769
Slovenia,SVN,2012,92.30769
Slovenia,SVN,2013,92.59259
Slovenia,SVN,2014,92.85714
Slovenia,SVN,2015,96.42857
Slovenia,SVN,2016,100
Slovenia,SVN,2017,96.66667
Slovenia,SVN,2018,96.66667
Slovenia,SVN,2019,96.66667
South Africa,ZAF,2000,100
South Africa,ZAF,2001,100
South Africa,ZAF,2002,100
South Africa,ZAF,2003,100
South Africa,ZAF,2004,100
South Africa,ZAF,2005,100
South Africa,ZAF,2006,100
South Africa,ZAF,2007,100
South Africa,ZAF,2008,100
South Africa,ZAF,2009,100
South Africa,ZAF,2011,80
South Africa,ZAF,2012,80
South Africa,ZAF,2013,80
South Africa,ZAF,2014,80
South Africa,ZAF,2015,80
South Africa,ZAF,2016,66.66667
South Africa,ZAF,2017,75
South Africa,ZAF,2018,75
South Africa,ZAF,2019,75
South America,,2018,44
South America,,2019,44
South Korea,KOR,2000,100
South Korea,KOR,2001,100
South Korea,KOR,2002,100
South Korea,KOR,2003,0
South Korea,KOR,2004,0
South Korea,KOR,2005,0
South Korea,KOR,2006,0
South Korea,KOR,2007,0
South Korea,KOR,2008,0
South Korea,KOR,2009,0
South Korea,KOR,2010,0
South Korea,KOR,2011,75
South Korea,KOR,2012,88.88889
South Korea,KOR,2013,81.81818
South Korea,KOR,2014,82.6087
South Korea,KOR,2015,84.61538
South Korea,KOR,2016,84.61538
South Korea,KOR,2017,85.18519
South Korea,KOR,2018,86.2069
South Korea,KOR,2019,86.2069
Southern Africa,,2014,75
Southern Africa,,2015,75
Southern Africa,,2016,66
Southern Africa,,2017,71
Southern Africa,,2018,71
Southern Africa,,2019,71
Southern Europe,,2008,78
Southern Europe,,2009,77
Southern Europe,,2010,74
Southern Europe,,2011,73
Southern Europe,,2012,78
Southern Europe,,2013,77
Southern Europe,,2014,77
Southern Europe,,2015,78
Southern Europe,,2016,77
Southern Europe,,2017,77
Southern Europe,,2018,77
Southern Europe,,2019,77
Spain,ESP,2000,80.55556
Spain,ESP,2001,78.15126
Spain,ESP,2002,78.15126
Spain,ESP,2003,77.5
Spain,ESP,2004,78.15126
Spain,ESP,2005,77.9661
Spain,ESP,2006,77.11864
Spain,ESP,2007,77.5
Spain,ESP,2008,75.21368
Spain,ESP,2009,74.62687
Spain,ESP,2010,71.22302
Spain,ESP,2011,70.27027
Spain,ESP,2012,69.71831
Spain,ESP,2013,69.17808
Spain,ESP,2014,68.66667
Spain,ESP,2015,69.67742
Spain,ESP,2016,67.30769
Spain,ESP,2017,67.30769
Spain,ESP,2018,67.30769
Spain,ESP,2019,67.30769
Sri Lanka,LKA,2000,75
Sri Lanka,LKA,2001,75
Sri Lanka,LKA,2002,66.66667
Sri Lanka,LKA,2010,40
Sri Lanka,LKA,2011,40
Sri Lanka,LKA,2012,40
Sri Lanka,LKA,2013,40
Sri Lanka,LKA,2014,40
Sri Lanka,LKA,2015,40
Sri Lanka,LKA,2016,40
Sri Lanka,LKA,2017,40
Sri Lanka,LKA,2018,40
Sri Lanka,LKA,2019,40
Sweden,SWE,2000,90
Sweden,SWE,2001,90
Sweden,SWE,2002,91.42857
Sweden,SWE,2003,91.66667
Sweden,SWE,2004,97.2973
Sweden,SWE,2005,97.2973
Sweden,SWE,2006,97.2973
Sweden,SWE,2007,97.2973
Sweden,SWE,2008,97.4359
Sweden,SWE,2009,97.61905
Sweden,SWE,2010,97.67442
Sweden,SWE,2011,97.77778
Sweden,SWE,2012,95.65217
Sweden,SWE,2013,95.65217
Sweden,SWE,2014,95.65217
Sweden,SWE,2015,95.74468
Sweden,SWE,2016,93.61702
Sweden,SWE,2017,93.61702
Sweden,SWE,2018,93.61702
Sweden,SWE,2019,93.61702
Switzerland,CHE,2000,66.66667
Switzerland,CHE,2001,68.42105
Switzerland,CHE,2002,68.42105
Switzerland,CHE,2003,68.42105
Switzerland,CHE,2004,68.42105
Switzerland,CHE,2005,68.42105
Switzerland,CHE,2006,65
Switzerland,CHE,2007,65
Switzerland,CHE,2008,71.42857
Switzerland,CHE,2009,65.21739
Switzerland,CHE,2010,66.66667
Switzerland,CHE,2011,66.66667
Switzerland,CHE,2012,65.21739
Switzerland,CHE,2013,65.21739
Switzerland,CHE,2014,69.56522
Switzerland,CHE,2015,69.56522
Switzerland,CHE,2016,65.21739
Switzerland,CHE,2017,69.56522
Switzerland,CHE,2018,69.56522
Switzerland,CHE,2019,69.56522
Tanzania,TZA,2000,60
Tanzania,TZA,2001,88.88889
Tanzania,TZA,2002,88.88889
Tanzania,TZA,2003,88.88889
Tanzania,TZA,2004,88.88889
Tanzania,TZA,2005,100
Tanzania,TZA,2006,100
Tanzania,TZA,2007,100
Tanzania,TZA,2008,34.48276
Tanzania,TZA,2009,34.48276
Tanzania,TZA,2010,34.48276
Tanzania,TZA,2011,34.48276
Tanzania,TZA,2012,20.83333
Tanzania,TZA,2013,3.7037
Tanzania,TZA,2014,3.7037
Tanzania,TZA,2015,3.7037
Tanzania,TZA,2016,3.7037
Tanzania,TZA,2017,3.7037
Tanzania,TZA,2018,15.15152
Tanzania,TZA,2019,15.15152
Thailand,THA,2000,11.11111
Thailand,THA,2001,10
Thailand,THA,2002,10
Thailand,THA,2003,9.09091
Thailand,THA,2004,9.09091
Thailand,THA,2005,9.09091
Thailand,THA,2006,9.09091
Thailand,THA,2007,8.33333
Thailand,THA,2008,6.66667
Thailand,THA,2009,6.66667
Thailand,THA,2010,6.66667
Thailand,THA,2011,6.66667
Thailand,THA,2012,6.66667
Thailand,THA,2013,6.66667
Thailand,THA,2014,6.66667
Thailand,THA,2015,6.66667
Thailand,THA,2016,6.66667
Thailand,THA,2017,6.66667
Thailand,THA,2018,6.66667
Thailand,THA,2019,6.66667
Tunisia,TUN,2000,0
Tunisia,TUN,2001,0
Tunisia,TUN,2017,0
Tunisia,TUN,2018,0
Tunisia,TUN,2019,0
Turkey,TUR,2000,11.11111
Turkey,TUR,2001,16.66667
Turkey,TUR,2002,16.66667
Turkey,TUR,2003,16.66667
Turkey,TUR,2004,20
Turkey,TUR,2005,20
Turkey,TUR,2006,20
Turkey,TUR,2007,20
Turkey,TUR,2008,20
Turkey,TUR,2009,0
Turkey,TUR,2010,0
Turkey,TUR,2011,25
Turkey,TUR,2012,31.57895
Turkey,TUR,2013,42.85714
Turkey,TUR,2014,42.85714
Turkey,TUR,2015,42.85714
Turkey,TUR,2016,42.85714
Turkey,TUR,2017,42.85714
Turkey,TUR,2018,42.85714
Turkey,TUR,2019,42.85714
Ukraine,UKR,2000,80
Ukraine,UKR,2001,35.29412
Ukraine,UKR,2002,40
Ukraine,UKR,2003,63.41463
Ukraine,UKR,2004,59.09091
Ukraine,UKR,2005,57.77778
Ukraine,UKR,2006,54.34783
Ukraine,UKR,2007,52.17391
Ukraine,UKR,2008,58.69565
Ukraine,UKR,2009,55.31915
Ukraine,UKR,2010,56.25
Ukraine,UKR,2011,54.90196
Ukraine,UKR,2012,55.76923
Ukraine,UKR,2013,56.60377
Ukraine,UKR,2014,57.69231
Ukraine,UKR,2015,58.49057
Ukraine,UKR,2016,58.49057
Ukraine,UKR,2017,68.33333
Ukraine,UKR,2018,68.33333
Ukraine,UKR,2019,68.33333
United Kingdom,GBR,2000,92.30769
United Kingdom,GBR,2001,92.5
United Kingdom,GBR,2002,85.10638
United Kingdom,GBR,2003,85.10638
United Kingdom,GBR,2004,85.41667
United Kingdom,GBR,2005,85.41667
United Kingdom,GBR,2006,85.41667
United Kingdom,GBR,2007,87.7551
United Kingdom,GBR,2008,90
United Kingdom,GBR,2009,90
United Kingdom,GBR,2010,89.3617
United Kingdom,GBR,2011,88.37209
United Kingdom,GBR,2012,83.56164
United Kingdom,GBR,2013,84
United Kingdom,GBR,2014,84.21053
United Kingdom,GBR,2015,84.81013
United Kingdom,GBR,2016,83.5443
United Kingdom,GBR,2017,83.5443
United Kingdom,GBR,2018,83.5443
United Kingdom,GBR,2019,83.5443
United States,USA,2000,77.14286
United States,USA,2001,78.125
United States,USA,2002,80.55556
United States,USA,2003,82.22222
United States,USA,2004,82.22222
United States,USA,2005,91.89189
United States,USA,2006,90.90909
United States,USA,2007,93.18182
United States,USA,2008,91.30435
United States,USA,2009,93.61702
United States,USA,2010,96.15385
United States,USA,2011,96.22642
United States,USA,2012,94.44444
United States,USA,2013,93.44262
United States,USA,2014,94.23077
United States,USA,2015,90.16393
United States,USA,2016,91.80328
United States,USA,2017,90.32258
United States,USA,2018,90.625
United States,USA,2019,90.625
Uruguay,URY,2000,66.66667
Uruguay,URY,2001,66.66667
Uruguay,URY,2002,66.66667
Uruguay,URY,2003,100
Uruguay,URY,2004,75
Uruguay,URY,2005,50
Uruguay,URY,2006,50
Uruguay,URY,2007,50
Uruguay,URY,2008,50
Uruguay,URY,2009,50
Uruguay,URY,2010,33.33333
Uruguay,URY,2011,60
Uruguay,URY,2012,60
Uruguay,URY,2013,60
Uruguay,URY,2014,60
Uruguay,URY,2015,75
Uruguay,URY,2016,75
Uruguay,URY,2017,83.33333
Uruguay,URY,2018,71.42857
Uruguay,URY,2019,71.42857
Vietnam,VNM,2000,36.84211
Vietnam,VNM,2001,36.84211
Vietnam,VNM,2002,36.84211
Vietnam,VNM,2003,31.57895
Vietnam,VNM,2004,31.57895
Vietnam,VNM,2005,31.57895
Vietnam,VNM,2006,31.57895
Vietnam,VNM,2007,31.57895
Vietnam,VNM,2008,0
Vietnam,VNM,2009,0
Vietnam,VNM,2010,21.42857
Vietnam,VNM,2011,21.42857
Vietnam,VNM,2012,21.42857
Vietnam,VNM,2013,21.42857
Vietnam,VNM,2014,21.42857
Vietnam,VNM,2015,21.42857
Vietnam,VNM,2016,21.42857
Vietnam,VNM,2017,21.42857
Vietnam,VNM,2018,21.42857
Vietnam,VNM,2019,21.42857
