Entity,Code,Year,"Indicator:Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol) - Beverage Types:Wine (litres pure alcohol)"
Cyprus,CYP,1989,2.18
Cyprus,CYP,1990,2.15
Cyprus,CYP,1991,1.89
Cyprus,CYP,1992,2.26
Cyprus,CYP,1993,2.08
Cyprus,CYP,1994,2.21
Cyprus,CYP,1995,2.28
Cyprus,CYP,1996,2.14
Cyprus,CYP,1997,2.05
Cyprus,CYP,1998,2.03
Cyprus,CYP,1999,2.32
Cyprus,CYP,2000,2.52
Cyprus,CYP,2001,2.47
Cyprus,CYP,2002,2.7
Cyprus,CYP,2003,2.5
Cyprus,CYP,2004,2.64
Cyprus,CYP,2005,2.79
Cyprus,CYP,2006,2.92
Cyprus,CYP,2007,2.92
Cyprus,CYP,2008,2.96
Cyprus,CYP,2009,2.59
Cyprus,CYP,2010,2.67
Cyprus,CYP,2011,2.56
Cyprus,CYP,2012,2.61
Cyprus,CYP,2013,2.48
Czech Republic,CZE,1961,2
Czech Republic,CZE,1962,1.81
Czech Republic,CZE,1963,1.58
Czech Republic,CZE,1964,1.99
Czech Republic,CZE,1965,2.25
Czech Republic,CZE,1966,2.07
Czech Republic,CZE,1967,1.97
Czech Republic,CZE,1968,1.69
Czech Republic,CZE,1969,1.85
Czech Republic,CZE,1970,2.04
Czech Republic,CZE,1971,2.12
Czech Republic,CZE,1972,2.04
Czech Republic,CZE,1973,2.04
Czech Republic,CZE,1974,2.16
Czech Republic,CZE,1975,2.31
Czech Republic,CZE,1976,2.34
Czech Republic,CZE,1977,2.45
Czech Republic,CZE,1978,2.5
Czech Republic,CZE,1979,2.22
Czech Republic,CZE,1980,2.23
Czech Republic,CZE,1981,2.3
Czech Republic,CZE,1982,2.11
Czech Republic,CZE,1983,2.11
Czech Republic,CZE,1984,2.24
Czech Republic,CZE,1985,2.3
Czech Republic,CZE,1986,1.76
Czech Republic,CZE,1987,1.96
Czech Republic,CZE,1988,1.85
Czech Republic,CZE,1989,1.95
Czech Republic,CZE,1990,2.07
Czech Republic,CZE,1991,2.06
Czech Republic,CZE,1992,2.07
Czech Republic,CZE,1993,2.1
Czech Republic,CZE,1994,2.1
Czech Republic,CZE,1995,2.08
Czech Republic,CZE,1996,2.12
Czech Republic,CZE,1997,2.13
Czech Republic,CZE,1998,2.13
Czech Republic,CZE,1999,2.16
Czech Republic,CZE,2000,1.83
Czech Republic,CZE,2001,1.84
Czech Republic,CZE,2002,1.86
Czech Republic,CZE,2003,1.88
Czech Republic,CZE,2004,1.91
Czech Republic,CZE,2005,2.2
Czech Republic,CZE,2006,2.3
Czech Republic,CZE,2007,2.5
Czech Republic,CZE,2008,2.4
Czech Republic,CZE,2009,2.4
Czech Republic,CZE,2010,2.6
Czech Republic,CZE,2011,2.56
Czech Republic,CZE,2012,2.62
Czech Republic,CZE,2013,2.49
Czech Republic,CZE,2014,2.6
Democratic Republic of Congo,COD,1961,0.01
Democratic Republic of Congo,COD,1962,0.02
Democratic Republic of Congo,COD,1963,0.02
Democratic Republic of Congo,COD,1964,0.02
Democratic Republic of Congo,COD,1965,0.04
Democratic Republic of Congo,COD,1966,0.02
Democratic Republic of Congo,COD,1967,0.02
Democratic Republic of Congo,COD,1968,0.03
Democratic Republic of Congo,COD,1969,0.02
Democratic Republic of Congo,COD,1970,0.02
Democratic Republic of Congo,COD,1971,0.02
Democratic Republic of Congo,COD,1972,0.02
Democratic Republic of Congo,COD,1973,0.03
Democratic Republic of Congo,COD,1974,0.01
Democratic Republic of Congo,COD,1975,0.01
Democratic Republic of Congo,COD,1976,0.02
Democratic Republic of Congo,COD,1977,0
Democratic Republic of Congo,COD,1978,0.01
Democratic Republic of Congo,COD,1979,0
Democratic Republic of Congo,COD,1980,0.01
Democratic Republic of Congo,COD,1981,0.01
Democratic Republic of Congo,COD,1982,0.01
Democratic Republic of Congo,COD,1983,0.01
Democratic Republic of Congo,COD,1984,0.01
Democratic Republic of Congo,COD,1985,0.01
Democratic Republic of Congo,COD,1986,0
Democratic Republic of Congo,COD,1987,0.01
Democratic Republic of Congo,COD,1988,0
Democratic Republic of Congo,COD,1989,0
Democratic Republic of Congo,COD,1990,0
Democratic Republic of Congo,COD,1991,0.05
Democratic Republic of Congo,COD,1992,0
Democratic Republic of Congo,COD,1993,0
Democratic Republic of Congo,COD,1994,0
Democratic Republic of Congo,COD,1995,0
Democratic Republic of Congo,COD,1996,0
Democratic Republic of Congo,COD,1997,0
Democratic Republic of Congo,COD,1998,0.01
Democratic Republic of Congo,COD,1999,0
Democratic Republic of Congo,COD,2000,0
Democratic Republic of Congo,COD,2001,0
Democratic Republic of Congo,COD,2002,0
Democratic Republic of Congo,COD,2003,0
Democratic Republic of Congo,COD,2004,0.01
Democratic Republic of Congo,COD,2005,0.01
Democratic Republic of Congo,COD,2006,0.01
Democratic Republic of Congo,COD,2007,0.02
Democratic Republic of Congo,COD,2008,0.23
Democratic Republic of Congo,COD,2009,0.17
Democratic Republic of Congo,COD,2010,0.22
Democratic Republic of Congo,COD,2011,0.22
Denmark,DNK,1961,0.53
Denmark,DNK,1962,0.56
Denmark,DNK,1963,0.48
Denmark,DNK,1964,0.55
Denmark,DNK,1965,0.59
Denmark,DNK,1966,0.6
Denmark,DNK,1967,0.63
Denmark,DNK,1968,0.63
Denmark,DNK,1969,0.73
Denmark,DNK,1970,0.85
Denmark,DNK,1971,0.96
Denmark,DNK,1972,1.07
Denmark,DNK,1973,1.53
Denmark,DNK,1974,1.38
Denmark,DNK,1975,1.63
Denmark,DNK,1976,1.77
Denmark,DNK,1977,1.65
Denmark,DNK,1978,1.71
Denmark,DNK,1979,1.94
Denmark,DNK,1980,1.95
Denmark,DNK,1981,2.22
Denmark,DNK,1982,2.39
Denmark,DNK,1983,2.58
Denmark,DNK,1984,2.56
Denmark,DNK,1985,2.79
Denmark,DNK,1986,2.66
Denmark,DNK,1987,2.75
Denmark,DNK,1988,2.88
Denmark,DNK,1989,2.55
Denmark,DNK,1990,2.82
Denmark,DNK,1991,2.92
Denmark,DNK,1992,3.22
Denmark,DNK,1993,3.34
Denmark,DNK,1994,3.48
Denmark,DNK,1995,3.68
Denmark,DNK,1996,3.78
Denmark,DNK,1997,3.93
Denmark,DNK,1998,3.91
Denmark,DNK,1999,4.01
Denmark,DNK,2000,4.53
Denmark,DNK,2001,4.6
Denmark,DNK,2002,4.43
Denmark,DNK,2003,4.47
Denmark,DNK,2004,4.32
Denmark,DNK,2005,4.44
Denmark,DNK,2006,4.34
Denmark,DNK,2007,4.41
Denmark,DNK,2008,4.47
Denmark,DNK,2009,4.38
Denmark,DNK,2010,4.92
Denmark,DNK,2011,5.05
Denmark,DNK,2012,4.11
Denmark,DNK,2013,4.33
Denmark,DNK,2014,4.35
Djibouti,DJI,1961,2.39
Djibouti,DJI,1962,2.9
Djibouti,DJI,1963,2.34
Djibouti,DJI,1964,2.55
Djibouti,DJI,1965,2.18
Djibouti,DJI,1966,2.4
Djibouti,DJI,1967,2.04
Djibouti,DJI,1968,2.34
Djibouti,DJI,1969,1.75
Djibouti,DJI,1970,1.67
Djibouti,DJI,1971,1.63
Djibouti,DJI,1972,1.71
Djibouti,DJI,1973,1.64
Djibouti,DJI,1974,1.41
Djibouti,DJI,1975,1.06
Djibouti,DJI,1976,0.75
Djibouti,DJI,1977,0.76
Djibouti,DJI,1978,0.51
Djibouti,DJI,1979,0.58
Djibouti,DJI,1980,0.48
Djibouti,DJI,1981,0.52
Djibouti,DJI,1982,0.49
Djibouti,DJI,1983,0.63
Djibouti,DJI,1984,0.51
Djibouti,DJI,1985,0.52
Djibouti,DJI,1986,0.34
Djibouti,DJI,1987,0.38
Djibouti,DJI,1988,0.31
Djibouti,DJI,1989,0.27
Djibouti,DJI,1990,0.21
Djibouti,DJI,1991,0.22
Djibouti,DJI,1992,0.16
Djibouti,DJI,1993,0.19
Djibouti,DJI,1994,0.19
Djibouti,DJI,1995,0.12
Djibouti,DJI,1996,0.11
Djibouti,DJI,1997,0.08
Djibouti,DJI,1998,0.07
Djibouti,DJI,1999,0.04
Djibouti,DJI,2000,0.03
Djibouti,DJI,2001,0.06
Djibouti,DJI,2002,0.07
Djibouti,DJI,2003,0.08
Djibouti,DJI,2004,0.07
Djibouti,DJI,2005,0.08
Djibouti,DJI,2006,0.04
Djibouti,DJI,2007,0.06
Djibouti,DJI,2008,0.06
Djibouti,DJI,2009,0.07
Djibouti,DJI,2010,0.05
Djibouti,DJI,2011,0.08
Djibouti,DJI,2012,0.12
Djibouti,DJI,2013,0.2
Djibouti,DJI,2014,0.03
Dominica,DMA,1990,0.12
Dominica,DMA,1991,0.3
Dominica,DMA,1992,0.12
Dominica,DMA,1993,0.75
Dominica,DMA,1994,0.79
Dominica,DMA,1995,0.83
Dominica,DMA,1996,0.51
Dominica,DMA,1997,0.81
Dominica,DMA,1998,0.81
Dominica,DMA,1999,0.29
Dominica,DMA,2000,1.08
Dominica,DMA,2001,0.88
Dominica,DMA,2002,0.98
Dominica,DMA,2003,0.77
Dominica,DMA,2004,0.73
Dominica,DMA,2005,0.86
Dominica,DMA,2006,0.71
Dominica,DMA,2007,1.13
Dominica,DMA,2008,1.36
Dominica,DMA,2009,0.63
Dominica,DMA,2010,0.74
Dominica,DMA,2011,0.48
Dominican Republic,DOM,1961,0
Dominican Republic,DOM,1962,0.01
Dominican Republic,DOM,1963,0.02
Dominican Republic,DOM,1964,0.02
Dominican Republic,DOM,1965,0.01
Dominican Republic,DOM,1966,0.01
Dominican Republic,DOM,1967,0.01
Dominican Republic,DOM,1968,0.02
Dominican Republic,DOM,1969,0.01
Dominican Republic,DOM,1970,0.01
Dominican Republic,DOM,1971,0.02
Dominican Republic,DOM,1972,0.02
Dominican Republic,DOM,1973,0.02
Dominican Republic,DOM,1974,0.03
Dominican Republic,DOM,1975,0.03
Dominican Republic,DOM,1976,0.02
Dominican Republic,DOM,1977,0.05
Dominican Republic,DOM,1978,0.04
Dominican Republic,DOM,1979,0.04
Dominican Republic,DOM,1980,0.03
Dominican Republic,DOM,1981,0.04
Dominican Republic,DOM,1982,0.03
Dominican Republic,DOM,1983,0.01
Dominican Republic,DOM,1984,0.02
Dominican Republic,DOM,1985,0.04
Dominican Republic,DOM,1986,0.06
Dominican Republic,DOM,1987,0.03
Dominican Republic,DOM,1988,0.03
Dominican Republic,DOM,1989,0.04
Dominican Republic,DOM,1990,0.03
Dominican Republic,DOM,1991,0.04
Dominican Republic,DOM,1992,0.04
Dominican Republic,DOM,1993,0.04
Dominican Republic,DOM,1994,0.04
Dominican Republic,DOM,1995,0.07
Dominican Republic,DOM,1996,0.08
Dominican Republic,DOM,1997,0.09
Dominican Republic,DOM,1998,0.12
Dominican Republic,DOM,1999,0.1
Dominican Republic,DOM,2000,0.21
Dominican Republic,DOM,2001,0.14
Dominican Republic,DOM,2002,0.14
Dominican Republic,DOM,2003,0.16
Dominican Republic,DOM,2004,0.13
Dominican Republic,DOM,2005,0.13
Dominican Republic,DOM,2006,0.15
Dominican Republic,DOM,2007,0.16
Dominican Republic,DOM,2008,0.15
Dominican Republic,DOM,2009,0.15
Dominican Republic,DOM,2010,0.16
Dominican Republic,DOM,2011,0.18
Dominican Republic,DOM,2012,0.18
Dominican Republic,DOM,2013,0.2
Dominican Republic,DOM,2014,0.22
Ecuador,ECU,1961,0.02
Ecuador,ECU,1962,0.01
Ecuador,ECU,1963,0.01
Ecuador,ECU,1964,0.02
Ecuador,ECU,1965,0.01
Ecuador,ECU,1966,0.01
Ecuador,ECU,1967,0.01
Ecuador,ECU,1968,0.01
Ecuador,ECU,1969,0.01
Ecuador,ECU,1970,0.01
Ecuador,ECU,1971,0.01
Ecuador,ECU,1972,0.02
Ecuador,ECU,1973,0.02
Ecuador,ECU,1974,0.03
Ecuador,ECU,1975,0.03
Ecuador,ECU,1976,0.03
Ecuador,ECU,1977,0.04
Ecuador,ECU,1978,0.05
Ecuador,ECU,1979,0.06
Ecuador,ECU,1980,0.07
Ecuador,ECU,1981,0.06
Ecuador,ECU,1982,0.04
Ecuador,ECU,1983,0.02
Ecuador,ECU,1984,0.02
Ecuador,ECU,1985,0.01
Ecuador,ECU,1986,0.04
Ecuador,ECU,1987,0.05
Ecuador,ECU,1988,0.04
Ecuador,ECU,1989,0.03
Ecuador,ECU,1990,0.02
Ecuador,ECU,1991,0.06
Ecuador,ECU,1992,0.08
Ecuador,ECU,1993,0.13
Ecuador,ECU,1994,0.31
Ecuador,ECU,1995,0.13
Ecuador,ECU,1996,0.13
Ecuador,ECU,1997,0.06
Ecuador,ECU,1998,0.05
Ecuador,ECU,1999,0.03
Ecuador,ECU,2000,0.03
Ecuador,ECU,2001,0.05
Ecuador,ECU,2002,0.04
Ecuador,ECU,2003,0.05
Ecuador,ECU,2004,0.05
Ecuador,ECU,2005,0.04
Ecuador,ECU,2006,0.05
Ecuador,ECU,2007,0.07
Ecuador,ECU,2008,0.04
Ecuador,ECU,2009,0.04
Ecuador,ECU,2010,0.05
Ecuador,ECU,2011,0.05
Ecuador,ECU,2012,0.06
Ecuador,ECU,2013,0.05
Ecuador,ECU,2014,0.06
Egypt,EGY,1961,0.02
Egypt,EGY,1962,0.02
Egypt,EGY,1963,0.01
Egypt,EGY,1964,0.01
Egypt,EGY,1965,0.01
Egypt,EGY,1966,0.02
Egypt,EGY,1967,0.02
Egypt,EGY,1968,0.02
Egypt,EGY,1969,0.01
Egypt,EGY,1970,0
Egypt,EGY,1971,0.01
Egypt,EGY,1972,0
Egypt,EGY,1973,0
Egypt,EGY,1974,0
Egypt,EGY,1975,0
Egypt,EGY,1976,0
Egypt,EGY,1977,0
Egypt,EGY,1978,0.01
Egypt,EGY,1979,0.01
Egypt,EGY,1980,0.01
Egypt,EGY,1981,0.01
Egypt,EGY,1982,0.01
Egypt,EGY,1983,0.01
Egypt,EGY,1984,0.01
Egypt,EGY,1985,0.01
Egypt,EGY,1986,0.01
Egypt,EGY,1987,0.01
Egypt,EGY,1988,0.01
Egypt,EGY,1989,0.01
Egypt,EGY,1990,0.01
Egypt,EGY,1991,0.01
Egypt,EGY,1992,0.01
Egypt,EGY,1993,0.01
Egypt,EGY,1994,0.01
Egypt,EGY,1995,0.01
Egypt,EGY,1996,0.01
Egypt,EGY,1997,0.01
Egypt,EGY,1998,0.01
Egypt,EGY,1999,0.01
Egypt,EGY,2000,0.01
Egypt,EGY,2001,0.01
Egypt,EGY,2002,0.02
Egypt,EGY,2003,0.02
Egypt,EGY,2004,0.02
Egypt,EGY,2005,0.02
Egypt,EGY,2006,0.02
Egypt,EGY,2007,0.04
Egypt,EGY,2008,0.05
Egypt,EGY,2009,0.04
Egypt,EGY,2010,0.02
Egypt,EGY,2011,0.02
Egypt,EGY,2012,0.02
Egypt,EGY,2013,0
Egypt,EGY,2014,0
El Salvador,SLV,1961,0.01
El Salvador,SLV,1962,0.01
El Salvador,SLV,1963,0.01
El Salvador,SLV,1964,0.01
El Salvador,SLV,1965,0.01
El Salvador,SLV,1966,0.03
El Salvador,SLV,1967,0.01
El Salvador,SLV,1968,0.02
El Salvador,SLV,1969,0.02
El Salvador,SLV,1970,0.01
El Salvador,SLV,1971,0.01
El Salvador,SLV,1972,0.01
El Salvador,SLV,1973,0.02
El Salvador,SLV,1974,0.02
El Salvador,SLV,1975,0.02
El Salvador,SLV,1976,0.03
El Salvador,SLV,1977,0.02
El Salvador,SLV,1978,0.03
El Salvador,SLV,1979,0.03
El Salvador,SLV,1980,0.01
El Salvador,SLV,1981,0.01
El Salvador,SLV,1982,0.01
El Salvador,SLV,1983,0.01
El Salvador,SLV,1984,0.04
El Salvador,SLV,1985,0.01
El Salvador,SLV,1986,0.02
El Salvador,SLV,1987,0.03
El Salvador,SLV,1988,0.02
El Salvador,SLV,1989,0.02
El Salvador,SLV,1990,0.02
El Salvador,SLV,1991,0.03
El Salvador,SLV,1992,0.03
El Salvador,SLV,1993,0.03
El Salvador,SLV,1994,0.05
El Salvador,SLV,1995,0.04
El Salvador,SLV,1996,0.03
El Salvador,SLV,1997,0.03
El Salvador,SLV,1998,0.04
El Salvador,SLV,1999,0.04
El Salvador,SLV,2000,0.04
El Salvador,SLV,2001,0.02
El Salvador,SLV,2002,0.02
El Salvador,SLV,2003,0.1
El Salvador,SLV,2004,0.03
El Salvador,SLV,2005,0.03
El Salvador,SLV,2006,0.03
El Salvador,SLV,2007,0.03
El Salvador,SLV,2008,0.03
El Salvador,SLV,2009,0.04
El Salvador,SLV,2010,0.04
El Salvador,SLV,2011,0.04
El Salvador,SLV,2012,0.03
El Salvador,SLV,2013,0.04
El Salvador,SLV,2014,0.04
Equatorial Guinea,GNQ,1983,0
Equatorial Guinea,GNQ,1984,0
Equatorial Guinea,GNQ,1985,0
Equatorial Guinea,GNQ,1986,1.3
Equatorial Guinea,GNQ,1987,2.07
Equatorial Guinea,GNQ,1988,5.42
Equatorial Guinea,GNQ,1989,5.82
Equatorial Guinea,GNQ,1990,2.29
Equatorial Guinea,GNQ,1991,3.3
Equatorial Guinea,GNQ,1992,2.8
Equatorial Guinea,GNQ,1993,4.37
Equatorial Guinea,GNQ,1994,1.37
Equatorial Guinea,GNQ,1995,1.93
Equatorial Guinea,GNQ,1996,0.75
Equatorial Guinea,GNQ,1997,0.74
Equatorial Guinea,GNQ,1998,0.72
Equatorial Guinea,GNQ,1999,0.7
Equatorial Guinea,GNQ,2000,3.77
Equatorial Guinea,GNQ,2001,4.26
Equatorial Guinea,GNQ,2002,4.77
Equatorial Guinea,GNQ,2003,4.95
Equatorial Guinea,GNQ,2004,5.23
Equatorial Guinea,GNQ,2005,4.06
Equatorial Guinea,GNQ,2006,3.87
Equatorial Guinea,GNQ,2007,3.63
Equatorial Guinea,GNQ,2008,4.31
Equatorial Guinea,GNQ,2009,3.82
Equatorial Guinea,GNQ,2010,3.67
Equatorial Guinea,GNQ,2011,3.52
Equatorial Guinea,GNQ,2012,3.78
Equatorial Guinea,GNQ,2013,1.71
Eritrea,ERI,1961,0
Eritrea,ERI,1962,0
Eritrea,ERI,1963,0
Eritrea,ERI,1964,0
Eritrea,ERI,1965,0
Eritrea,ERI,1966,0
Eritrea,ERI,1967,0
Eritrea,ERI,1968,0
Eritrea,ERI,1969,0
Eritrea,ERI,1970,0
Eritrea,ERI,1971,0
Eritrea,ERI,1972,0
Eritrea,ERI,1973,0
Eritrea,ERI,1974,0
Eritrea,ERI,1976,0
Eritrea,ERI,1977,0
Eritrea,ERI,1978,0
Eritrea,ERI,1979,0
Eritrea,ERI,1980,0
Eritrea,ERI,1981,0
Eritrea,ERI,1982,0
Eritrea,ERI,1983,0
Eritrea,ERI,1984,0
Eritrea,ERI,1985,0
Eritrea,ERI,1986,0
Eritrea,ERI,1987,0
Eritrea,ERI,1988,0
Eritrea,ERI,1989,0
Eritrea,ERI,1990,0
Eritrea,ERI,1991,0
Eritrea,ERI,1992,0
Eritrea,ERI,1993,0
Eritrea,ERI,1994,0
Eritrea,ERI,1995,0
Eritrea,ERI,1996,0
Eritrea,ERI,1997,0
Eritrea,ERI,1998,0
Eritrea,ERI,1999,0
Eritrea,ERI,2000,0
Eritrea,ERI,2001,0
Eritrea,ERI,2002,0
Eritrea,ERI,2003,0
Eritrea,ERI,2004,0
Eritrea,ERI,2005,0
Eritrea,ERI,2006,0
Eritrea,ERI,2007,0
Eritrea,ERI,2008,0
Eritrea,ERI,2009,0
Eritrea,ERI,2010,0
Eritrea,ERI,2011,0
Estonia,EST,2002,0.8
Estonia,EST,2003,0.82
Estonia,EST,2004,1.15
Estonia,EST,2005,1.47
Estonia,EST,2006,1.5
Estonia,EST,2007,1.44
Estonia,EST,2008,1.54
Estonia,EST,2009,1.41
Estonia,EST,2010,1.65
Ethiopia,ETH,1961,0
Ethiopia,ETH,1962,0
Ethiopia,ETH,1963,0
Ethiopia,ETH,1964,0
Ethiopia,ETH,1965,0
Ethiopia,ETH,1966,0
Ethiopia,ETH,1967,0
Ethiopia,ETH,1968,0
Ethiopia,ETH,1969,0
Ethiopia,ETH,1970,0
Ethiopia,ETH,1971,0
Ethiopia,ETH,1972,0
Ethiopia,ETH,1973,0
Ethiopia,ETH,1974,0
Ethiopia,ETH,1975,0
Ethiopia,ETH,1976,0
Ethiopia,ETH,1977,0
Ethiopia,ETH,1978,0
Ethiopia,ETH,1979,0
Ethiopia,ETH,1980,0
Ethiopia,ETH,1981,0
Ethiopia,ETH,1982,0
Ethiopia,ETH,1983,0
Ethiopia,ETH,1984,0
Ethiopia,ETH,1985,0
Ethiopia,ETH,1986,0
Ethiopia,ETH,1987,0
Ethiopia,ETH,1988,0
Ethiopia,ETH,1989,0
Ethiopia,ETH,1990,0
Ethiopia,ETH,1991,0
Ethiopia,ETH,1992,0
Ethiopia,ETH,1993,0
Ethiopia,ETH,1994,0
Ethiopia,ETH,1995,0
Ethiopia,ETH,1996,0
Ethiopia,ETH,1997,0
Ethiopia,ETH,1998,0.01
Ethiopia,ETH,1999,0.01
Ethiopia,ETH,2000,0.01
Ethiopia,ETH,2001,0.01
Ethiopia,ETH,2002,0.01
Ethiopia,ETH,2003,0.01
Ethiopia,ETH,2004,0.01
Ethiopia,ETH,2005,0.01
Ethiopia,ETH,2006,0.01
Ethiopia,ETH,2007,0.01
Ethiopia,ETH,2008,0
Ethiopia,ETH,2009,0.01
Ethiopia,ETH,2010,0
Ethiopia,ETH,2011,0
Ethiopia,ETH,2012,0
Ethiopia,ETH,2013,0
Fiji,FJI,1961,0.02
Fiji,FJI,1962,0.02
Fiji,FJI,1963,0.03
Fiji,FJI,1964,0.04
Fiji,FJI,1965,0.04
Fiji,FJI,1966,0.03
Fiji,FJI,1967,0.04
Fiji,FJI,1968,0.06
Fiji,FJI,1969,0.05
Fiji,FJI,1970,0.08
Fiji,FJI,1971,0.09
Fiji,FJI,1972,0.1
Fiji,FJI,1973,0.16
Fiji,FJI,1974,0.11
Fiji,FJI,1975,0.08
Fiji,FJI,1976,0.09
Fiji,FJI,1977,0.11
Fiji,FJI,1978,0.09
Fiji,FJI,1979,0.11
Fiji,FJI,1980,0.1
Fiji,FJI,1981,0.12
Fiji,FJI,1982,0.14
Fiji,FJI,1983,0.13
Fiji,FJI,1984,0.13
Fiji,FJI,1985,0.15
Fiji,FJI,1986,0.11
Fiji,FJI,1987,0.11
Fiji,FJI,1988,0.16
Fiji,FJI,1989,0.13
Fiji,FJI,1990,0.11
Fiji,FJI,1991,0.1
Fiji,FJI,1992,0.11
Fiji,FJI,1993,0.11
Fiji,FJI,1994,0.12
Fiji,FJI,1995,0.12
Fiji,FJI,1996,0.18
Fiji,FJI,1997,0.2
Fiji,FJI,1998,0.21
Fiji,FJI,1999,0.23
Fiji,FJI,2000,0.08
Fiji,FJI,2001,0.11
Fiji,FJI,2002,0.02
Fiji,FJI,2003,0.01
Fiji,FJI,2004,0.02
Fiji,FJI,2005,0.02
Fiji,FJI,2006,0.02
Fiji,FJI,2007,0.02
Fiji,FJI,2008,0.02
Fiji,FJI,2009,0.02
Fiji,FJI,2010,0.02
Finland,FIN,1961,0.32
Finland,FIN,1962,0.37
Finland,FIN,1963,0.42
Finland,FIN,1964,0.49
Finland,FIN,1965,0.53
Finland,FIN,1966,0.58
Finland,FIN,1967,0.62
Finland,FIN,1968,0.65
Finland,FIN,1969,0.65
Finland,FIN,1970,0.7
Finland,FIN,1971,0.76
Finland,FIN,1972,0.76
Finland,FIN,1973,0.92
Finland,FIN,1974,1.16
Finland,FIN,1975,0.99
Finland,FIN,1976,0.92
Finland,FIN,1977,0.88
Finland,FIN,1978,0.92
Finland,FIN,1979,0.91
Finland,FIN,1980,0.93
Finland,FIN,1981,1.07
Finland,FIN,1982,0.97
Finland,FIN,1983,0.93
Finland,FIN,1984,0.85
Finland,FIN,1985,0.83
Finland,FIN,1986,0.88
Finland,FIN,1987,0.89
Finland,FIN,1988,0.93
Finland,FIN,1989,0.98
Finland,FIN,1990,1.02
Finland,FIN,1991,1.15
Finland,FIN,1992,1.2
Finland,FIN,1993,1.21
Finland,FIN,1994,1.3
Finland,FIN,1995,1.42
Finland,FIN,1996,1.48
Finland,FIN,1997,1.65
Finland,FIN,1998,1.73
Finland,FIN,1999,1.91
Finland,FIN,2000,1.07
Finland,FIN,2001,1.19
Finland,FIN,2002,1.31
Finland,FIN,2003,1.43
Finland,FIN,2004,1.42
Finland,FIN,2005,1.47
Finland,FIN,2006,1.55
Finland,FIN,2007,1.64
Finland,FIN,2008,1.67
Finland,FIN,2009,1.68
Finland,FIN,2010,1.7
Finland,FIN,2011,1.74
Finland,FIN,2012,1.7
Finland,FIN,2013,1.71
Finland,FIN,2014,1.67
France,FRA,1961,20.56
France,FRA,1962,19.71
France,FRA,1963,18.94
France,FRA,1964,17.91
France,FRA,1965,17.39
France,FRA,1966,17.23
France,FRA,1967,16.97
France,FRA,1968,16.94
France,FRA,1969,16.48
France,FRA,1970,15.96
France,FRA,1971,15.77
France,FRA,1972,15.58
France,FRA,1973,15.34
France,FRA,1974,15.09
France,FRA,1975,14.99
France,FRA,1976,14.59
France,FRA,1977,14.64
France,FRA,1978,13.75
France,FRA,1979,13.19
France,FRA,1980,12.88
France,FRA,1981,12.55
France,FRA,1982,12.37
France,FRA,1983,11.91
France,FRA,1984,11.45
France,FRA,1985,11.1
France,FRA,1986,10.62
France,FRA,1987,10.42
France,FRA,1988,10.28
France,FRA,1989,10.24
France,FRA,1990,10.01
France,FRA,1991,9.21
France,FRA,1992,8.87
France,FRA,1993,8.71
France,FRA,1994,8.56
France,FRA,1995,8.61
France,FRA,1996,8.18
France,FRA,1997,8.02
France,FRA,1998,7.89
France,FRA,1999,7.8
France,FRA,2000,8.59
France,FRA,2001,8.4
France,FRA,2002,8.59
France,FRA,2003,8.36
France,FRA,2004,8.1
France,FRA,2005,7.1
France,FRA,2006,7.1
France,FRA,2007,7
France,FRA,2008,6.7
France,FRA,2009,6.7
France,FRA,2010,6.6
France,FRA,2011,6.9
France,FRA,2012,6.7
France,FRA,2013,6.5
France,FRA,2014,6.4
Gabon,GAB,1961,3.51
Gabon,GAB,1962,4.05
Gabon,GAB,1963,3.53
Gabon,GAB,1964,3.74
Gabon,GAB,1965,3.99
Gabon,GAB,1966,4.16
Gabon,GAB,1967,4.74
Gabon,GAB,1968,4.5
Gabon,GAB,1969,4.34
Gabon,GAB,1970,3.85
Gabon,GAB,1971,3.64
Gabon,GAB,1972,3.61
Gabon,GAB,1973,3.2
Gabon,GAB,1974,3.28
Gabon,GAB,1975,5.05
Gabon,GAB,1976,8.56
Gabon,GAB,1977,6.9
Gabon,GAB,1978,5.35
Gabon,GAB,1979,4.49
Gabon,GAB,1980,4.54
Gabon,GAB,1981,4.48
Gabon,GAB,1982,5.61
Gabon,GAB,1983,5.79
Gabon,GAB,1984,6.14
Gabon,GAB,1985,5.4
Gabon,GAB,1986,5
Gabon,GAB,1987,3.59
Gabon,GAB,1988,3.49
Gabon,GAB,1989,2.43
Gabon,GAB,1990,2.05
Gabon,GAB,1991,1.93
Gabon,GAB,1992,1.77
Gabon,GAB,1993,2.02
Gabon,GAB,1994,1.58
Gabon,GAB,1995,2.01
Gabon,GAB,1996,1.93
Gabon,GAB,1997,2.25
Gabon,GAB,1998,2.02
Gabon,GAB,1999,1.96
Gabon,GAB,2000,1.52
Gabon,GAB,2001,1.55
Gabon,GAB,2002,1.27
Gabon,GAB,2003,0.84
Gabon,GAB,2004,0.99
Gabon,GAB,2005,0.85
Gabon,GAB,2006,0.97
Gabon,GAB,2007,1.16
Gabon,GAB,2008,0.94
Gabon,GAB,2009,0.94
Gabon,GAB,2010,1.17
Gabon,GAB,2011,1.12
Gabon,GAB,2012,0.92
Gabon,GAB,2013,0.96
Gambia,GMB,1961,0.17
