Entity,Code,Year,Pesticides Use - Insecticides - 1309 - Agricultural Use - 5157 - tonnes (tonnes)
Guatemala,GTM,1996,2246.03
Guatemala,GTM,2000,1476
Guatemala,GTM,2003,1496.21
Guatemala,GTM,2004,1379.67
Guatemala,GTM,2005,1144.79
Guatemala,GTM,2006,2271.47
Guatemala,GTM,2007,2047.12
Guatemala,GTM,2008,2781.49
Guatemala,GTM,2009,1350.26
Guatemala,GTM,2010,2026.93
Guatemala,GTM,2011,1324.7
Guatemala,GTM,2012,1193.6
Guatemala,GTM,2013,954.4
Guinea,GIN,1992,77
Guinea,GIN,1993,18
Guinea,GIN,1994,20
Guinea,GIN,1995,130
Guinea,GIN,1996,147
Guinea,GIN,1997,147
Guinea,GIN,2009,68.99
Guinea,GIN,2013,70.47
Guinea,GIN,2014,128.68
Guinea-Bissau,GNB,1990,32
Guinea-Bissau,GNB,1991,38
Guinea-Bissau,GNB,1992,3
Guinea-Bissau,GNB,1993,24
Guinea-Bissau,GNB,1999,0.85
Guinea-Bissau,GNB,2001,82
Guyana,GUY,2004,73.34
Guyana,GUY,2005,64.18
Guyana,GUY,2006,47.44
Guyana,GUY,2007,45.61
Guyana,GUY,2008,23.7
Guyana,GUY,2009,35.94
Guyana,GUY,2010,32.07
Guyana,GUY,2011,95.4
Guyana,GUY,2012,77.69
Guyana,GUY,2013,51.9
Haiti,HTI,1990,7.12
Haiti,HTI,1991,8.14
Haiti,HTI,1992,4.41
Haiti,HTI,1993,2.75
Haiti,HTI,1994,3.07
Haiti,HTI,1995,4.5
Haiti,HTI,1996,5.1
Haiti,HTI,1997,6
Haiti,HTI,1998,6.3
Haiti,HTI,1999,6.5
Haiti,HTI,2000,6.6
Honduras,HND,1990,1103.91
Honduras,HND,1991,730.36
Honduras,HND,1992,522.66
Honduras,HND,1993,373
Honduras,HND,1994,680.14
Honduras,HND,1995,319
Honduras,HND,1996,320
Honduras,HND,1997,1785
Honduras,HND,1998,1223
Honduras,HND,1999,1205
Honduras,HND,2000,1262
Honduras,HND,2006,231.7
Honduras,HND,2007,250.7
Honduras,HND,2008,313.8
Honduras,HND,2009,251.8
Honduras,HND,2010,311.2
Honduras,HND,2011,339.4
Honduras,HND,2012,101.69
Hong Kong,HKG,1990,74
Hong Kong,HKG,1991,61
Hong Kong,HKG,1992,43
Hong Kong,HKG,1993,38
Hong Kong,HKG,1994,34
Hong Kong,HKG,1995,28
Hong Kong,HKG,2000,19
Hong Kong,HKG,2001,20
Hong Kong,HKG,2002,30
Hong Kong,HKG,2003,41
Hong Kong,HKG,2004,26
Hong Kong,HKG,2005,23
Hong Kong,HKG,2006,23
Hong Kong,HKG,2007,23
Hong Kong,HKG,2008,28
Hong Kong,HKG,2009,20
Hong Kong,HKG,2010,14
Hong Kong,HKG,2011,29
Hong Kong,HKG,2012,32
Hong Kong,HKG,2013,20
Hong Kong,HKG,2014,25
Hong Kong,HKG,2015,24
Hong Kong,HKG,2016,32
Hungary,HUN,1990,1127
Hungary,HUN,1991,789
Hungary,HUN,1992,534
Hungary,HUN,1993,1472
Hungary,HUN,1994,1280
Hungary,HUN,1995,1004
Hungary,HUN,1996,1041
Hungary,HUN,1997,582
Hungary,HUN,1998,413
Hungary,HUN,1999,398
Hungary,HUN,2000,388
Hungary,HUN,2001,298
Hungary,HUN,2002,1307
Hungary,HUN,2003,1439
Hungary,HUN,2004,1640
Hungary,HUN,2005,1523.5
Hungary,HUN,2006,2011.5
Hungary,HUN,2007,2504.5
Hungary,HUN,2008,2540
Hungary,HUN,2009,2190
Hungary,HUN,2010,1965
Hungary,HUN,2011,524
Hungary,HUN,2012,611
Hungary,HUN,2013,606.8
Hungary,HUN,2014,922.2
Hungary,HUN,2015,830
Hungary,HUN,2016,845
Hungary,HUN,2017,865
Iceland,ISL,1999,0.58
Iceland,ISL,2000,0.56
Iceland,ISL,2001,0.56
Iceland,ISL,2002,1
Iceland,ISL,2003,1
Iceland,ISL,2004,1
Iceland,ISL,2005,1
Iceland,ISL,2006,0
Iceland,ISL,2007,0.42
Iceland,ISL,2008,0.25
Iceland,ISL,2009,0.26
Iceland,ISL,2010,0.47
Iceland,ISL,2011,0.4
Iceland,ISL,2012,0.41
Iceland,ISL,2013,0.18
Iceland,ISL,2014,0.27
Iceland,ISL,2015,0.7
Iceland,ISL,2016,0.2
Iceland,ISL,2017,0.25
India,IND,1990,57945
India,IND,1991,54420
India,IND,1992,51659
India,IND,1993,47031
India,IND,1994,41994
India,IND,1995,40045
India,IND,1996,35486
India,IND,1997,31078
India,IND,1998,28268
India,IND,1999,27405
India,IND,2003,22694
India,IND,2004,21489
India,IND,2005,21783
India,IND,2006,16913
India,IND,2007,14617.64
India,IND,2008,3278.33
India,IND,2009,14810.19
India,IND,2010,20618.83
Indonesia,IDN,1990,445
Indonesia,IDN,1991,757
Indonesia,IDN,1992,306
Indonesia,IDN,1993,929
Iran,IRN,1990,1744
Iran,IRN,1991,1858
Iran,IRN,1992,3637
Iran,IRN,1993,2452
Iran,IRN,1994,2047
Iran,IRN,1995,1502
Iran,IRN,1996,1898
Iran,IRN,2000,2755.28
Iran,IRN,2001,2805.5
Iran,IRN,2002,2606.48
Iran,IRN,2003,2643.68
Iran,IRN,2004,2242.54
Iran,IRN,2005,1559.61
Iran,IRN,2006,1288.36
Iran,IRN,2007,325.19
Iran,IRN,2008,374.48
Iran,IRN,2009,644.18
Iran,IRN,2011,875.22
Iran,IRN,2012,2068.78
Iran,IRN,2013,1631.16
Iran,IRN,2016,1756.06
Iraq,IRQ,1994,241
Iraq,IRQ,1995,384
Iraq,IRQ,1996,207
Iraq,IRQ,1997,256
Iraq,IRQ,1998,260
Iraq,IRQ,1999,193
Iraq,IRQ,2000,204
Iraq,IRQ,2001,228.65
Iraq,IRQ,2002,246.65
Iraq,IRQ,2004,231.11
Iraq,IRQ,2005,242.14
Iraq,IRQ,2006,236.88
Iraq,IRQ,2007,352.15
Iraq,IRQ,2013,399.91
Iraq,IRQ,2014,377.48
Iraq,IRQ,2015,107.78
Iraq,IRQ,2016,62.87
Iraq,IRQ,2017,85.31
Ireland,IRL,1994,110
Ireland,IRL,1995,106
Ireland,IRL,1996,45
Ireland,IRL,1997,51
Ireland,IRL,1998,80
Ireland,IRL,1999,69
Ireland,IRL,2000,55
Ireland,IRL,2001,66
Ireland,IRL,2002,47
Ireland,IRL,2003,42
Ireland,IRL,2004,39
Ireland,IRL,2005,50
Ireland,IRL,2006,43
Ireland,IRL,2007,43
Ireland,IRL,2008,44
Ireland,IRL,2009,24
Ireland,IRL,2010,24
Ireland,IRL,2011,57
Ireland,IRL,2012,42
Ireland,IRL,2013,54
Ireland,IRL,2014,51.02
Ireland,IRL,2015,70
Ireland,IRL,2016,32.9
Ireland,IRL,2017,53.71
Israel,ISR,1998,618
Israel,ISR,2008,1272.9
Israel,ISR,2009,935
Israel,ISR,2010,1124
Israel,ISR,2011,535.86
Israel,ISR,2012,530.8
Israel,ISR,2013,532.4
Israel,ISR,2014,503
Israel,ISR,2015,516
Israel,ISR,2016,525
Italy,ITA,1990,12074
Italy,ITA,1991,12279
Italy,ITA,1992,10336
Italy,ITA,1993,12344
Italy,ITA,1994,11739
Italy,ITA,1995,12233
Italy,ITA,1996,11932
Italy,ITA,1997,13493
Italy,ITA,1998,11966
Italy,ITA,1999,10572
Italy,ITA,2000,8859
Italy,ITA,2001,8874
Italy,ITA,2002,10697
Italy,ITA,2003,11021
Italy,ITA,2004,12980
Italy,ITA,2005,12838
Italy,ITA,2006,12470
Italy,ITA,2007,13567
Italy,ITA,2008,13523
Italy,ITA,2009,10930
Italy,ITA,2010,10834
Italy,ITA,2011,11795
Italy,ITA,2012,10413
Italy,ITA,2013,8713
Italy,ITA,2014,9099
Italy,ITA,2015,10437
Italy,ITA,2016,10470
Italy,ITA,2017,11407
Jamaica,JAM,1994,221.96
Jamaica,JAM,1995,172.05
Jamaica,JAM,1996,328.29
Jamaica,JAM,1997,203.98
Japan,JPN,2000,27292.3
Japan,JPN,2001,26227.3
Japan,JPN,2002,23363.2
Japan,JPN,2003,24795.1
Japan,JPN,2004,22772.5
Japan,JPN,2005,22679.6
Japan,JPN,2006,24031.8
Japan,JPN,2007,22549
Japan,JPN,2008,21146.4
Japan,JPN,2009,23403.1
Japan,JPN,2010,20535
Japan,JPN,2011,18847.5
Japan,JPN,2012,19066.3
Japan,JPN,2013,17547.8
Japan,JPN,2014,18030.2
Japan,JPN,2015,18187.77
Japan,JPN,2016,16735.89
Japan,JPN,2017,16947.7
Jordan,JOR,1990,324
Jordan,JOR,1991,397
Jordan,JOR,1992,372
Jordan,JOR,1993,292
Jordan,JOR,1995,232
Jordan,JOR,1996,255
Jordan,JOR,1997,264
Jordan,JOR,1998,191
Jordan,JOR,1999,102
Jordan,JOR,2000,61
Jordan,JOR,2001,343.25
Jordan,JOR,2002,358.94
Jordan,JOR,2003,470.96
Jordan,JOR,2004,319.06
Jordan,JOR,2005,508.72
Jordan,JOR,2006,440.83
Jordan,JOR,2007,428.53
Jordan,JOR,2008,385
Jordan,JOR,2009,309
Jordan,JOR,2010,451
Jordan,JOR,2011,546
Jordan,JOR,2012,359
Jordan,JOR,2013,640
Jordan,JOR,2014,455
Jordan,JOR,2015,410
Jordan,JOR,2016,510
Jordan,JOR,2017,572
Kazakhstan,KAZ,1994,937
Kazakhstan,KAZ,1995,670
Kazakhstan,KAZ,1996,903
Kazakhstan,KAZ,1997,818
Kazakhstan,KAZ,2000,707.73
Kazakhstan,KAZ,2001,448.83
Kazakhstan,KAZ,2002,317.67
Kazakhstan,KAZ,2003,334.6
Kazakhstan,KAZ,2004,337.29
Kazakhstan,KAZ,2005,247.77
Kazakhstan,KAZ,2006,289.08
Kazakhstan,KAZ,2007,178.99
Kazakhstan,KAZ,2008,313.73
Kazakhstan,KAZ,2009,352.05
Kazakhstan,KAZ,2010,289.52
Kazakhstan,KAZ,2011,449.2
Kazakhstan,KAZ,2012,410.2
Kazakhstan,KAZ,2013,632.4
Kazakhstan,KAZ,2014,645.4
Kazakhstan,KAZ,2015,524.7
Kazakhstan,KAZ,2016,506.9
Kazakhstan,KAZ,2017,619.4
Kenya,KEN,1994,1050
Kenya,KEN,1995,1413
Kenya,KEN,1996,1876
Kenya,KEN,1997,2078
Kenya,KEN,2000,367
Kenya,KEN,2001,303
Kuwait,KWT,1995,9
Kuwait,KWT,1996,5
Kuwait,KWT,1997,13
Kuwait,KWT,1998,14
Kyrgyzstan,KGZ,1992,409
Kyrgyzstan,KGZ,2000,71.5
Kyrgyzstan,KGZ,2001,109.3
Kyrgyzstan,KGZ,2002,121.4
Kyrgyzstan,KGZ,2003,108.6
Kyrgyzstan,KGZ,2004,122.2
Kyrgyzstan,KGZ,2005,90.9
Kyrgyzstan,KGZ,2006,93.3
Kyrgyzstan,KGZ,2007,83.4
Kyrgyzstan,KGZ,2008,113.7
Kyrgyzstan,KGZ,2009,82.1
Kyrgyzstan,KGZ,2010,109.4
Kyrgyzstan,KGZ,2011,94.8
Kyrgyzstan,KGZ,2012,153.3
Kyrgyzstan,KGZ,2013,126.1
Kyrgyzstan,KGZ,2014,130.1
Kyrgyzstan,KGZ,2015,154.2
Kyrgyzstan,KGZ,2016,199.3
Kyrgyzstan,KGZ,2017,170.9
Laos,LAO,1992,17
Laos,LAO,1993,34
Laos,LAO,1997,2.92
Laos,LAO,1998,0.37
Laos,LAO,2000,0.51
Laos,LAO,2006,0.08
Laos,LAO,2007,0.11
Laos,LAO,2008,0.05
Laos,LAO,2009,0.49
Laos,LAO,2010,0.05
Laos,LAO,2012,19.53
Laos,LAO,2013,54.07
Laos,LAO,2014,0.2
Latvia,LVA,1992,14
Latvia,LVA,1993,7
Latvia,LVA,1994,3
Latvia,LVA,1995,3
Latvia,LVA,1996,4
Latvia,LVA,1997,2
Latvia,LVA,1998,3
Latvia,LVA,2000,18.7
Latvia,LVA,2001,19.2
Latvia,LVA,2002,14.7
Latvia,LVA,2003,12.4
Latvia,LVA,2004,18.3
Latvia,LVA,2005,15.1
Latvia,LVA,2006,14.01
Latvia,LVA,2007,30.01
Latvia,LVA,2008,35.3
Latvia,LVA,2009,36.2
Latvia,LVA,2010,38.1
Latvia,LVA,2011,34.3
Latvia,LVA,2012,44.51
Latvia,LVA,2013,44.1
Latvia,LVA,2014,64
Latvia,LVA,2015,17.4
Latvia,LVA,2016,33.81
Latvia,LVA,2017,36.48
Lebanon,LBN,1996,87
Lebanon,LBN,1997,255
Lesotho,LSO,2004,0.05
Lesotho,LSO,2005,0.03
Lesotho,LSO,2006,1.79
Lesotho,LSO,2007,27.62
Lesotho,LSO,2008,21.37
Lesotho,LSO,2009,44.88
Lesotho,LSO,2010,32.33
Lesotho,LSO,2011,100.22
Lesotho,LSO,2012,171.05
Lesotho,LSO,2013,49.75
Libya,LBY,2005,2254.01
Libya,LBY,2006,996.34
Libya,LBY,2007,556.76
Libya,LBY,2008,776.55
Libya,LBY,2009,1047.49
Libya,LBY,2010,327.05
Lithuania,LTU,1992,52
Lithuania,LTU,1993,11
Lithuania,LTU,1994,7
Lithuania,LTU,1995,5
Lithuania,LTU,1996,3
Lithuania,LTU,1997,3
Lithuania,LTU,1998,4
Lithuania,LTU,1999,3
Lithuania,LTU,2000,7
Lithuania,LTU,2001,7
Lithuania,LTU,2002,6.2
Lithuania,LTU,2003,7.1
Lithuania,LTU,2004,5.7
Lithuania,LTU,2005,6.8
Lithuania,LTU,2006,7
Lithuania,LTU,2007,32.6
Lithuania,LTU,2008,21.2
Lithuania,LTU,2009,21.3
Lithuania,LTU,2010,12.83
Lithuania,LTU,2011,21.63
Lithuania,LTU,2012,42.3
Lithuania,LTU,2013,39.93
Lithuania,LTU,2014,43.6
Lithuania,LTU,2015,30.7
Lithuania,LTU,2016,45.3
Lithuania,LTU,2017,53.8
Luxembourg,LUX,2012,35.45
Luxembourg,LUX,2013,26.36
Luxembourg,LUX,2014,27
Luxembourg,LUX,2015,21.43
Luxembourg,LUX,2016,20.82
Luxembourg,LUX,2017,19.35
Macao,MAC,2002,26.97
Macao,MAC,2003,30.69
Macao,MAC,2004,29.76
Macao,MAC,2005,32.24
Macao,MAC,2006,42.78
Macao,MAC,2007,42.16
Macao,MAC,2008,44.02
Macao,MAC,2015,43.15
Macedonia,MKD,1992,227
Macedonia,MKD,1993,115
Macedonia,MKD,1994,93
Macedonia,MKD,1995,122
Macedonia,MKD,1996,112
Macedonia,MKD,1997,118
Macedonia,MKD,1998,103
Macedonia,MKD,2000,57
Macedonia,MKD,2001,66
Macedonia,MKD,2002,54
Macedonia,MKD,2003,42
Macedonia,MKD,2004,51
Macedonia,MKD,2005,17
Macedonia,MKD,2006,20
Macedonia,MKD,2007,22
Macedonia,MKD,2008,12
Macedonia,MKD,2009,27
Madagascar,MDG,1990,81.41
Madagascar,MDG,1991,99
Madagascar,MDG,1992,66
Madagascar,MDG,1993,67
Madagascar,MDG,1994,47
Madagascar,MDG,1995,49
Madagascar,MDG,1996,87
Madagascar,MDG,1997,115.54
Madagascar,MDG,1998,46
Madagascar,MDG,1999,27.2
Madagascar,MDG,2000,59.45
Madagascar,MDG,2001,22.32
Madagascar,MDG,2002,200.6
Madagascar,MDG,2003,12.94
Madagascar,MDG,2004,13.38
Madagascar,MDG,2005,53.11
Madagascar,MDG,2006,29.48
Madagascar,MDG,2007,33.72
Madagascar,MDG,2008,34.97
Madagascar,MDG,2009,43.06
Madagascar,MDG,2010,99.19
Madagascar,MDG,2011,156.82
Madagascar,MDG,2012,159.28
Madagascar,MDG,2013,332.75
Madagascar,MDG,2014,237
Madagascar,MDG,2015,197.65
Madagascar,MDG,2016,249.26
Madagascar,MDG,2017,249.14
Malawi,MWI,1997,81.53
Malawi,MWI,1998,68.51
Malawi,MWI,1999,62.62
Malawi,MWI,2000,79.67
Malawi,MWI,2004,7
Malawi,MWI,2005,177.49
Malawi,MWI,2006,141.65
Malawi,MWI,2007,338.49
Malawi,MWI,2008,305.3
Malawi,MWI,2009,192.22
Malawi,MWI,2010,357.61
Malawi,MWI,2011,181.42
Malawi,MWI,2012,386.72
Malawi,MWI,2013,620.42
Malawi,MWI,2014,574.71
Malaysia,MYS,2006,6074
Malaysia,MYS,2007,8147.91
Malaysia,MYS,2008,8398.69
Malaysia,MYS,2009,16607.77
Malaysia,MYS,2010,21636.26
Malaysia,MYS,2011,3532.83
Malaysia,MYS,2012,4098.35
Malaysia,MYS,2013,4902.41
Malaysia,MYS,2014,4053.45
Malaysia,MYS,2015,4680.16
Malaysia,MYS,2016,5516.22
Maldives,MDV,2011,40
Maldives,MDV,2012,55
Maldives,MDV,2013,157
Maldives,MDV,2014,347
Maldives,MDV,2015,883.01
Maldives,MDV,2016,292.89
Maldives,MDV,2017,278.77
Mali,MLI,1990,247.07
Mali,MLI,1991,141.05
Mali,MLI,1992,91.45
Mali,MLI,2005,16.64
Mali,MLI,2006,11.19
Mali,MLI,2007,10.31
Mali,MLI,2008,16.79
Mali,MLI,2009,6.73
Mali,MLI,2010,7.01
Mali,MLI,2011,6.35
Mali,MLI,2012,3.26
Malta,MLT,1993,47
Malta,MLT,1994,104
Malta,MLT,1995,47
Malta,MLT,1996,13
Malta,MLT,1997,51.4
Malta,MLT,1998,43.43
Malta,MLT,1999,38
Malta,MLT,2000,47
Malta,MLT,2001,23.5
Malta,MLT,2007,0.93
Malta,MLT,2014,0.31
Mauritania,MRT,2001,39.09
Mauritania,MRT,2002,3.2
Mauritania,MRT,2003,3.22
Mauritania,MRT,2004,697.7
Mauritania,MRT,2005,1.1
Mauritania,MRT,2006,1.7
Mauritania,MRT,2007,9.8
Mauritania,MRT,2008,17.13
Mauritania,MRT,2009,4.29
Mauritania,MRT,2010,2.79
Mauritania,MRT,2011,13.35
Mauritania,MRT,2012,26.41
Mauritius,MUS,1990,81
Mauritius,MUS,1994,109.43
Mauritius,MUS,1995,184.45
Mauritius,MUS,1996,105.4
Mauritius,MUS,1997,192.2
Mauritius,MUS,1998,132.68
Mauritius,MUS,1999,164.3
Mauritius,MUS,2000,136.09
Mauritius,MUS,2001,187.55
Mauritius,MUS,2002,234.05
Mauritius,MUS,2003,250.79
Mauritius,MUS,2004,199.02
Mauritius,MUS,2005,219.17
Mauritius,MUS,2006,399.28
Mauritius,MUS,2007,200.88
Mauritius,MUS,2008,199.95
Mauritius,MUS,2009,259.47
Mauritius,MUS,2010,293.88
Mauritius,MUS,2011,280.24
Mauritius,MUS,2012,261.33
Mauritius,MUS,2013,291.71
Mauritius,MUS,2014,251.1
Mauritius,MUS,2015,298.53
Mauritius,MUS,2016,259.16
Mauritius,MUS,2017,216.07
Mexico,MEX,2000,5852.18
Mexico,MEX,2001,4720.06
Mexico,MEX,2002,3053.67
Mexico,MEX,2003,4105.84
Mexico,MEX,2004,4809.77
Mexico,MEX,2005,5948.28
Mexico,MEX,2006,6122.5
Mexico,MEX,2007,8430.76
Mexico,MEX,2008,7798.05
Mexico,MEX,2009,8067.44
Mexico,MEX,2010,8268.01
Mexico,MEX,2011,9555.13
Mexico,MEX,2012,11625.31
Mexico,MEX,2013,11611.05
Mexico,MEX,2014,10045.86
Mexico,MEX,2015,8942.88
Mexico,MEX,2016,8488.73
Moldova,MDA,1992,994
Moldova,MDA,1993,571
Moldova,MDA,2000,247.6
Moldova,MDA,2001,224.55
Moldova,MDA,2002,239.1
Moldova,MDA,2003,255.7
Moldova,MDA,2004,272.91
Moldova,MDA,2005,221.33
Moldova,MDA,2006,227
Moldova,MDA,2007,305.2
Moldova,MDA,2008,357.58
Moldova,MDA,2009,272.18
Moldova,MDA,2010,241.28
Moldova,MDA,2011,230.86
Moldova,MDA,2012,268.55
Moldova,MDA,2013,276.62
Moldova,MDA,2014,242
Moldova,MDA,2015,186
Moldova,MDA,2016,358
Moldova,MDA,2017,320
Montenegro,MNE,2008,0.34
Montenegro,MNE,2009,0.34
Montenegro,MNE,2010,8
Montenegro,MNE,2011,9
Montenegro,MNE,2012,8
Montenegro,MNE,2013,6
Montenegro,MNE,2014,9
Montenegro,MNE,2015,8
Montenegro,MNE,2016,4
Montenegro,MNE,2017,8
Morocco,MAR,1990,3633
Morocco,MAR,2004,9510
Morocco,MAR,2005,9975
Morocco,MAR,2006,7775
Mozambique,MOZ,1994,27
Mozambique,MOZ,1995,16.4
Mozambique,MOZ,1996,18.4
Mozambique,MOZ,1997,18
Mozambique,MOZ,2002,6.04
Mozambique,MOZ,2003,99.63
Mozambique,MOZ,2004,185.25
Mozambique,MOZ,2005,254.54
Mozambique,MOZ,2006,439.24
Mozambique,MOZ,2007,172.34
Mozambique,MOZ,2008,437.12
Mozambique,MOZ,2009,180.23
Mozambique,MOZ,2010,398.46
Mozambique,MOZ,2011,200
Myanmar,MMR,1990,200.03
Myanmar,MMR,1991,113
Myanmar,MMR,1992,141
Myanmar,MMR,1993,145
Myanmar,MMR,1994,167
Myanmar,MMR,1995,242.5
Myanmar,MMR,1996,116.22
Myanmar,MMR,1997,140.53
Myanmar,MMR,2001,418.59
Myanmar,MMR,2002,519.78
Myanmar,MMR,2003,541.49
Myanmar,MMR,2004,513.69
Myanmar,MMR,2005,660.65
Myanmar,MMR,2006,1987.15
Myanmar,MMR,2007,1718.54
Myanmar,MMR,2008,871.89
Myanmar,MMR,2009,591.84
Myanmar,MMR,2010,1812.27
Myanmar,MMR,2011,2369.76
Myanmar,MMR,2012,1677.34
Myanmar,MMR,2013,1245.1
Myanmar,MMR,2014,2211.5
Myanmar,MMR,2015,3143.98
Myanmar,MMR,2016,4293.43
Myanmar,MMR,2017,5956.74
Namibia,NAM,1990,6
Namibia,NAM,1991,5
Namibia,NAM,1992,7
Namibia,NAM,1993,9
Nepal,NPL,1995,35.11
Nepal,NPL,2004,44.83
Nepal,NPL,2005,65.2
Nepal,NPL,2006,46.79
Nepal,NPL,2007,62.7
Nepal,NPL,2008,107.8
Nepal,NPL,2009,61.64
Nepal,NPL,2010,96.11
Nepal,NPL,2011,114.46
Nepal,NPL,2012,138.76
Nepal,NPL,2013,162.3
Nepal,NPL,2014,155.3
Nepal,NPL,2015,181.24
Netherlands,NLD,1990,731
Netherlands,NLD,1991,594
Netherlands,NLD,1992,557
Netherlands,NLD,1993,553
Netherlands,NLD,1994,439
Netherlands,NLD,1995,553
Netherlands,NLD,1996,495
Netherlands,NLD,1997,544
Netherlands,NLD,1998,463
Netherlands,NLD,1999,413
Netherlands,NLD,2000,1714
Netherlands,NLD,2001,1283.66
Netherlands,NLD,2002,1466.39
Netherlands,NLD,2003,1510.76
Netherlands,NLD,2004,1439.73
Netherlands,NLD,2005,1663.42
Netherlands,NLD,2006,1699.12
Netherlands,NLD,2007,1906.3
Netherlands,NLD,2008,1857.59
Netherlands,NLD,2009,1714.52
Netherlands,NLD,2010,1634.9
Netherlands,NLD,2011,302.79
Netherlands,NLD,2012,297.64
Netherlands,NLD,2013,266.89
Netherlands,NLD,2014,272.7
Netherlands,NLD,2015,268.5
Netherlands,NLD,2016,224.5
Netherlands,NLD,2017,315.48
New Caledonia,NCL,2009,1.5
New Caledonia,NCL,2010,1.9
New Caledonia,NCL,2011,1.4
New Caledonia,NCL,2012,0.9
New Caledonia,NCL,2013,1.49
New Caledonia,NCL,2014,0.51
New Caledonia,NCL,2015,1.16
New Caledonia,NCL,2016,1.17
New Caledonia,NCL,2017,0.13
New Zealand,NZL,1990,472
New Zealand,NZL,1991,462
New Zealand,NZL,1992,481
New Zealand,NZL,1993,478
New Zealand,NZL,1994,316
New Zealand,NZL,1995,370
New Zealand,NZL,1996,291
New Zealand,NZL,1997,445
New Zealand,NZL,1998,237
New Zealand,NZL,1999,179
New Zealand,NZL,2000,289
New Zealand,NZL,2001,249
New Zealand,NZL,2002,385
New Zealand,NZL,2003,357
New Zealand,NZL,2004,272
New Zealand,NZL,2005,277
New Zealand,NZL,2006,253
New Zealand,NZL,2007,299
New Zealand,NZL,2008,319
New Zealand,NZL,2009,303
Nicaragua,NIC,1992,172
Nicaragua,NIC,1993,186
Nicaragua,NIC,1994,176
Nicaragua,NIC,1995,292
Nicaragua,NIC,1998,1742
Nicaragua,NIC,1999,1838
Nicaragua,NIC,2000,1516.19
Nicaragua,NIC,2001,1448.7
Nicaragua,NIC,2002,1880.25
Nicaragua,NIC,2003,1594.94
Nicaragua,NIC,2004,1306.58
Nicaragua,NIC,2005,2189.8
Nicaragua,NIC,2006,2123.39
Nicaragua,NIC,2007,2867.59
Nicaragua,NIC,2008,2495.14
Nicaragua,NIC,2009,1916.08
Nicaragua,NIC,2010,2237.24
Nicaragua,NIC,2011,378.89
Nicaragua,NIC,2012,386.13
Niger,NER,1995,62
Niger,NER,1996,22
Niger,NER,1997,34
Niger,NER,1998,36
Niger,NER,1999,26
Niger,NER,2000,62
Niger,NER,2001,31
Niger,NER,2005,24.75
Niger,NER,2006,21.12
Niger,NER,2007,30.57
Niger,NER,2008,12.04
Niger,NER,2009,7.32
Niger,NER,2010,11.49
Niger,NER,2011,10.59
Niger,NER,2012,21.37
Norway,NOR,1990,19
Norway,NOR,1991,18
Norway,NOR,1992,27.9
Norway,NOR,1993,17
Norway,NOR,1994,19
Norway,NOR,1995,21.04
Norway,NOR,1996,16.1
Norway,NOR,1997,20.02
Norway,NOR,1998,23
Norway,NOR,1999,22
Norway,NOR,2000,9.96
Norway,NOR,2001,8.43
Norway,NOR,2002,10.05
Norway,NOR,2003,13.55
Norway,NOR,2004,9.74
Norway,NOR,2005,7.09
Norway,NOR,2006,7.75
Norway,NOR,2007,9.72
Norway,NOR,2008,8.38
Norway,NOR,2009,7.04
Norway,NOR,2010,5.33
Norway,NOR,2011,5.94
Norway,NOR,2012,6.5
Norway,NOR,2013,6.59
Norway,NOR,2014,6.88
Norway,NOR,2015,6.3
Norway,NOR,2016,7.4
Norway,NOR,2017,7.2
Oman,OMN,1990,11.33
Oman,OMN,1991,8.82
Oman,OMN,1992,35.28
Oman,OMN,1994,33.63
Oman,OMN,1996,40.92
Oman,OMN,1997,182.59
Oman,OMN,1998,101.06
Oman,OMN,2000,28.27
Oman,OMN,2010,168.7
Oman,OMN,2011,154.81
Oman,OMN,2012,183.37
Oman,OMN,2013,291.05
Oman,OMN,2014,256.59
Oman,OMN,2015,176.64
Oman,OMN,2016,191.55
Pakistan,PAK,1990,4332
Pakistan,PAK,1991,5009
Pakistan,PAK,1992,4701
Pakistan,PAK,1993,4029
Pakistan,PAK,1994,5098
Pakistan,PAK,1995,6550
Pakistan,PAK,1996,9435
Pakistan,PAK,1997,8961
Pakistan,PAK,1998,9209
Pakistan,PAK,1999,10121
Pakistan,PAK,2000,13741
Pakistan,PAK,2001,10611
Palestine,PSE,2002,251.91
Palestine,PSE,2003,250.6
Palestine,PSE,2004,250.42
Palestine,PSE,2005,252.84
Palestine,PSE,2006,254.57
Palestine,PSE,2007,252.96
Palestine,PSE,2008,255.32
Panama,PAN,1997,339.87
Panama,PAN,1998,369.05
Panama,PAN,2000,192.95
Panama,PAN,2001,369.15
Panama,PAN,2002,373.84
Panama,PAN,2003,392.57
Panama,PAN,2004,471.03
Panama,PAN,2005,451.52
Panama,PAN,2006,396.01
Panama,PAN,2007,279.99
Panama,PAN,2011,226.5
Panama,PAN,2012,213.37
Panama,PAN,2013,184.73
Panama,PAN,2017,160.17
Papua New Guinea,PNG,1992,11
Papua New Guinea,PNG,1993,24
Papua New Guinea,PNG,1994,16
Papua New Guinea,PNG,1995,1
Paraguay,PRY,1992,1598
Paraguay,PRY,1997,9054
Paraguay,PRY,1998,7156
Paraguay,PRY,1999,540
Paraguay,PRY,2000,765
Paraguay,PRY,2001,1706
Paraguay,PRY,2012,6910.79
Paraguay,PRY,2013,5129.35
Paraguay,PRY,2014,2239.81
