Entity,Code,Year,"Indicator 3.9.2: Age-standardised death rate attributable to unsafe water, sanitation, and hygiene (WaSH) (per 100,000 population) - Past - Unscaled (deaths per 100,000)"
Saint Lucia,LCA,1995,6.291
Saint Lucia,LCA,2000,4.234
Saint Lucia,LCA,2005,3.165
Saint Lucia,LCA,2010,2.593
Saint Lucia,LCA,2016,2.326
Saint Vincent and the Grenadines,VCT,1990,12.877
Saint Vincent and the Grenadines,VCT,1995,11.197
Saint Vincent and the Grenadines,VCT,2000,8.17
Saint Vincent and the Grenadines,VCT,2005,6.07
Saint Vincent and the Grenadines,VCT,2010,5.324
Saint Vincent and the Grenadines,VCT,2016,5.229
Samoa,WSM,1990,14.392
Samoa,WSM,1995,11.392
Samoa,WSM,2000,8.46
Samoa,WSM,2005,6.56
Samoa,WSM,2010,5.79
Samoa,WSM,2016,5.105
Sao Tome and Principe,STP,1990,102.9
Sao Tome and Principe,STP,1995,93.655
Sao Tome and Principe,STP,2000,76.491
Sao Tome and Principe,STP,2005,66.207
Sao Tome and Principe,STP,2010,40.856
Sao Tome and Principe,STP,2016,29.661
Saudi Arabia,SAU,1990,13.255
Saudi Arabia,SAU,1995,10.028
Saudi Arabia,SAU,2000,8.524
Saudi Arabia,SAU,2005,7.199
Saudi Arabia,SAU,2010,5.269
Saudi Arabia,SAU,2016,3.427
Senegal,SEN,1990,189.817
Senegal,SEN,1995,183.059
Senegal,SEN,2000,150.481
Senegal,SEN,2005,103.484
Senegal,SEN,2010,91.994
Senegal,SEN,2016,82.432
Serbia,SRB,1990,0.41
Serbia,SRB,1995,0.41
Serbia,SRB,2000,0.322
Serbia,SRB,2005,0.256
Serbia,SRB,2010,0.248
Serbia,SRB,2016,0.242
Seychelles,SYC,1990,5.691
Seychelles,SYC,1995,3.935
Seychelles,SYC,2000,3.233
Seychelles,SYC,2005,3.067
Seychelles,SYC,2010,2.888
Seychelles,SYC,2016,2.522
Sierra Leone,SLE,1990,234.322
Sierra Leone,SLE,1995,224.35
Sierra Leone,SLE,2000,218.497
Sierra Leone,SLE,2005,213.688
Sierra Leone,SLE,2010,199.245
Sierra Leone,SLE,2016,160.782
Singapore,SGP,1990,2.285
Singapore,SGP,1995,1.48
Singapore,SGP,2000,0.956
Singapore,SGP,2005,0.865
Singapore,SGP,2010,0.714
Singapore,SGP,2016,0.647
Slovakia,SVK,1990,0.732
Slovakia,SVK,1995,0.587
Slovakia,SVK,2000,0.465
Slovakia,SVK,2005,0.417
Slovakia,SVK,2010,0.366
Slovakia,SVK,2016,0.33
Slovenia,SVN,1990,0.372
Slovenia,SVN,1995,0.348
Slovenia,SVN,2000,0.326
Slovenia,SVN,2005,0.265
Slovenia,SVN,2010,0.196
Slovenia,SVN,2016,0.173
Solomon Islands,SLB,1990,96.698
Solomon Islands,SLB,1995,75.817
Solomon Islands,SLB,2000,59.38
Solomon Islands,SLB,2005,53.946
Solomon Islands,SLB,2010,44.939
Solomon Islands,SLB,2016,31.699
Somalia,SOM,1990,194.555
Somalia,SOM,1995,198.45
Somalia,SOM,2000,196.42
Somalia,SOM,2005,180.2
Somalia,SOM,2010,173.746
Somalia,SOM,2016,150.633
South Africa,ZAF,1990,93.636
South Africa,ZAF,1995,83.405
South Africa,ZAF,2000,73.656
South Africa,ZAF,2005,60.392
South Africa,ZAF,2010,47.271
South Africa,ZAF,2016,34.855
South Korea,KOR,1990,1.6
South Korea,KOR,1995,1.027
South Korea,KOR,2000,0.738
South Korea,KOR,2005,0.6
South Korea,KOR,2010,0.606
South Korea,KOR,2016,0.597
South Sudan,SSD,1990,212.611
South Sudan,SSD,1995,222.116
South Sudan,SSD,2000,209.557
South Sudan,SSD,2005,188.064
South Sudan,SSD,2010,174.035
South Sudan,SSD,2016,164.319
Spain,ESP,1990,0.226
Spain,ESP,1995,0.183
Spain,ESP,2000,0.19
Spain,ESP,2005,0.192
Spain,ESP,2010,0.181
Spain,ESP,2016,0.166
Sri Lanka,LKA,1990,32.296
Sri Lanka,LKA,1995,18.479
Sri Lanka,LKA,2000,10.526
Sri Lanka,LKA,2005,7.167
Sri Lanka,LKA,2010,4.811
Sri Lanka,LKA,2016,3.187
Sudan,SDN,1990,66.405
Sudan,SDN,1995,61.684
Sudan,SDN,2000,58.81
Sudan,SDN,2005,48.815
Sudan,SDN,2010,39.101
Sudan,SDN,2016,26.713
Suriname,SUR,1990,25.346
Suriname,SUR,1995,21.337
Suriname,SUR,2000,17.359
Suriname,SUR,2005,13.801
Suriname,SUR,2010,11.754
Suriname,SUR,2016,9.695
Swaziland,SWZ,1990,151.693
Swaziland,SWZ,1995,138.578
Swaziland,SWZ,2000,131.981
Swaziland,SWZ,2005,126.074
Swaziland,SWZ,2010,112.474
Swaziland,SWZ,2016,80.794
Sweden,SWE,1990,0.267
Sweden,SWE,1995,0.221
Sweden,SWE,2000,0.229
Sweden,SWE,2005,0.302
Sweden,SWE,2010,0.426
Sweden,SWE,2016,0.409
Switzerland,CHE,1990,0.272
Switzerland,CHE,1995,0.207
Switzerland,CHE,2000,0.164
Switzerland,CHE,2005,0.165
Switzerland,CHE,2010,0.196
Switzerland,CHE,2016,0.18
Syria,SYR,1990,3.775
Syria,SYR,1995,2.633
Syria,SYR,2000,1.468
Syria,SYR,2005,1.187
Syria,SYR,2010,1.027
Syria,SYR,2016,0.831
Taiwan,TWN,1990,1.232
Taiwan,TWN,1995,0.922
Taiwan,TWN,2000,0.736
Taiwan,TWN,2005,0.699
Taiwan,TWN,2010,0.717
Taiwan,TWN,2016,0.655
Tajikistan,TJK,1990,45.294
Tajikistan,TJK,1995,45.789
Tajikistan,TJK,2000,39.872
Tajikistan,TJK,2005,20.71
Tajikistan,TJK,2010,16.305
Tajikistan,TJK,2016,11.584
Tanzania,TZA,1990,225.229
Tanzania,TZA,1995,224.456
Tanzania,TZA,2000,186.006
Tanzania,TZA,2005,161.009
Tanzania,TZA,2010,143.806
Tanzania,TZA,2016,114.518
Thailand,THA,1990,16.159
Thailand,THA,1995,10.435
Thailand,THA,2000,9.091
Thailand,THA,2005,9.397
Thailand,THA,2010,8.458
Thailand,THA,2016,6.967
Timor,TLS,1990,141.66
Timor,TLS,1995,106.909
Timor,TLS,2000,96.634
Timor,TLS,2005,73.042
Timor,TLS,2010,41.449
Timor,TLS,2016,24.847
Togo,TGO,1990,168.764
Togo,TGO,1995,156.951
Togo,TGO,2000,142.683
Togo,TGO,2005,130.162
Togo,TGO,2010,116.012
Togo,TGO,2016,96.364
Tonga,TON,1990,16.778
Tonga,TON,1995,14.149
Tonga,TON,2000,10.969
Tonga,TON,2005,8.472
Tonga,TON,2010,7.031
Tonga,TON,2016,5.996
Trinidad and Tobago,TTO,1990,7.611
Trinidad and Tobago,TTO,1995,6.479
Trinidad and Tobago,TTO,2000,4.795
Trinidad and Tobago,TTO,2005,3.542
Trinidad and Tobago,TTO,2010,2.922
Trinidad and Tobago,TTO,2016,2.75
Tunisia,TUN,1990,6.601
Tunisia,TUN,1995,4.627
Tunisia,TUN,2000,3.426
Tunisia,TUN,2005,2.982
Tunisia,TUN,2010,2.822
Tunisia,TUN,2016,2.457
Turkey,TUR,1990,15.376
Turkey,TUR,1995,11.45
Turkey,TUR,2000,6.476
Turkey,TUR,2005,2.964
Turkey,TUR,2010,1.482
Turkey,TUR,2016,1.106
Turkmenistan,TKM,1990,29.711
Turkmenistan,TKM,1995,30.142
Turkmenistan,TKM,2000,21.671
Turkmenistan,TKM,2005,10.698
Turkmenistan,TKM,2010,5.106
Turkmenistan,TKM,2016,2.44
Uganda,UGA,1990,169.874
Uganda,UGA,1995,164.25
Uganda,UGA,2000,138.105
Uganda,UGA,2005,112.204
Uganda,UGA,2010,99.695
Uganda,UGA,2016,90.275
Ukraine,UKR,1990,0.83
Ukraine,UKR,1995,1.001
Ukraine,UKR,2000,0.899
Ukraine,UKR,2005,0.613
Ukraine,UKR,2010,0.403
Ukraine,UKR,2016,0.321
United Arab Emirates,ARE,1990,6.231
United Arab Emirates,ARE,1995,4.323
United Arab Emirates,ARE,2000,3.43
United Arab Emirates,ARE,2005,2.89
United Arab Emirates,ARE,2010,2.557
United Arab Emirates,ARE,2016,2.369
United Kingdom,GBR,1990,0.402
United Kingdom,GBR,1995,0.423
United Kingdom,GBR,2000,0.42
United Kingdom,GBR,2005,0.455
United Kingdom,GBR,2010,0.405
United Kingdom,GBR,2016,0.367
United States,USA,1990,0.238
United States,USA,1995,0.259
United States,USA,2000,0.328
United States,USA,2005,0.434
United States,USA,2010,0.465
United States,USA,2016,0.43
Uruguay,URY,1990,3.829
Uruguay,URY,1995,2.583
Uruguay,URY,2000,1.845
Uruguay,URY,2005,1.647
Uruguay,URY,2010,1.507
Uruguay,URY,2016,1.251
Uzbekistan,UZB,1990,12.145
Uzbekistan,UZB,1995,11.311
Uzbekistan,UZB,2000,5.432
Uzbekistan,UZB,2005,3.265
Uzbekistan,UZB,2010,2.212
Uzbekistan,UZB,2016,1.362
Vanuatu,VUT,1990,79.354
Vanuatu,VUT,1995,71.93
Vanuatu,VUT,2000,62.889
Vanuatu,VUT,2005,52.713
Vanuatu,VUT,2010,42.155
Vanuatu,VUT,2016,32.29
Venezuela,VEN,1990,13.82
Venezuela,VEN,1995,12.024
Venezuela,VEN,2000,7.811
Venezuela,VEN,2005,5.883
Venezuela,VEN,2010,4.059
Venezuela,VEN,2016,3.448
Vietnam,VNM,1990,20.8
Vietnam,VNM,1995,15.122
Vietnam,VNM,2000,9.921
Vietnam,VNM,2005,6.604
Vietnam,VNM,2010,4.326
Vietnam,VNM,2016,3.232
Yemen,YEM,1990,95.791
Yemen,YEM,1995,81.153
Yemen,YEM,2000,68.52
Yemen,YEM,2005,52.464
Yemen,YEM,2010,36.586
Yemen,YEM,2016,24.096
Zambia,ZMB,1990,249.942
Zambia,ZMB,1995,275.723
Zambia,ZMB,2000,285.24
Zambia,ZMB,2005,258.239
Zambia,ZMB,2010,194.609
Zambia,ZMB,2016,130.52
Zimbabwe,ZWE,1990,53.24
Zimbabwe,ZWE,1995,54.393
Zimbabwe,ZWE,2000,69.22
Zimbabwe,ZWE,2005,82.045
Zimbabwe,ZWE,2010,96.139
Zimbabwe,ZWE,2016,76.517
