Entity,Code,Year,Pregnant women receiving prenatal care (%) (%)
Tajikistan,TJK,2004,75.7
Tajikistan,TJK,2005,77.1
Tajikistan,TJK,2006,78.4
Tajikistan,TJK,2007,88.8
Tajikistan,TJK,2008,79.8
Tajikistan,TJK,2012,78.8
Tanzania,TZA,1992,62.2
Tanzania,TZA,1996,49.5
Tanzania,TZA,1999,48.8
Tanzania,TZA,2005,78.2
Tanzania,TZA,2008,75.8
Tanzania,TZA,2010,87.8
Tanzania,TZA,2016,91.4
Thailand,THA,1987,80
Thailand,THA,1996,85.9
Thailand,THA,2000,91.8
Thailand,THA,2004,94.3
Thailand,THA,2006,97.8
Thailand,THA,2009,99.1
Thailand,THA,2012,98.1
Thailand,THA,2016,98.1
Timor,TLS,1997,70.9
Timor,TLS,2002,42.5
Timor,TLS,2003,60.5
Timor,TLS,2010,84.4
Timor,TLS,2016,70.9
Togo,TGO,1988,42.7
Togo,TGO,1998,82
Togo,TGO,2000,72.9
Togo,TGO,2003,84.8
Togo,TGO,2006,84.1
Togo,TGO,2010,71.6
Togo,TGO,2014,72.7
Tonga,TON,2008,99
Tonga,TON,2009,99
Tonga,TON,2010,97.9
Tonga,TON,2011,97.9
Tonga,TON,2012,99
Trinidad and Tobago,TTO,1987,97.6
Trinidad and Tobago,TTO,1997,60.7
Trinidad and Tobago,TTO,1999,93
Trinidad and Tobago,TTO,2000,92.4
Trinidad and Tobago,TTO,2001,90.4
Trinidad and Tobago,TTO,2002,95.8
Trinidad and Tobago,TTO,2003,95.4
Trinidad and Tobago,TTO,2004,94.4
Trinidad and Tobago,TTO,2006,95.7
Trinidad and Tobago,TTO,2011,95.1
Tunisia,TUN,1988,57.6
Tunisia,TUN,1995,79
Tunisia,TUN,2000,91.5
Tunisia,TUN,2006,96
Tunisia,TUN,2012,98.1
Turkey,TUR,1993,62.3
Turkey,TUR,1998,67.5
Turkey,TUR,2003,80.9
Turkey,TUR,2007,89.3
Turkey,TUR,2008,92
Turkey,TUR,2009,95
Turkey,TUR,2013,97
Turkmenistan,TKM,2000,98.1
Turkmenistan,TKM,2006,99.1
Turkmenistan,TKM,2016,99.9
Turks and Caicos Islands,TCA,1998,100
Turks and Caicos Islands,TCA,1999,100
Turks and Caicos Islands,TCA,2004,100
Turks and Caicos Islands,TCA,2006,100
Tuvalu,TUV,2007,97.4
Uganda,UGA,1989,86.7
Uganda,UGA,1995,91.2
Uganda,UGA,2001,92.4
Uganda,UGA,2006,93.5
Uganda,UGA,2011,93.3
Uganda,UGA,2015,95.4
Uganda,UGA,2016,97.3
Ukraine,UKR,2005,98.8
Ukraine,UKR,2007,98.5
Ukraine,UKR,2012,98.6
United Arab Emirates,ARE,1995,96.8
United Arab Emirates,ARE,2007,100
United Arab Emirates,ARE,2009,100
Upper middle income,,2000,87.2662527019691
Upper middle income,,2013,95.877726860595
Uruguay,URY,1997,94
Uruguay,URY,2005,97.1
Uruguay,URY,2007,96.2
Uruguay,URY,2013,97.2
Uzbekistan,UZB,1996,94.9
Uzbekistan,UZB,2000,97.2
Uzbekistan,UZB,2006,99
Uzbekistan,UZB,2010,96.6
Uzbekistan,UZB,2011,99.1
Uzbekistan,UZB,2012,99.8
Uzbekistan,UZB,2013,96.6
Uzbekistan,UZB,2014,99.8
Uzbekistan,UZB,2015,99.4
Vanuatu,VUT,2007,84.3
Vanuatu,VUT,2013,75.6
Venezuela,VEN,2000,94.1
Venezuela,VEN,2013,97.5
Venezuela,VEN,2017,97.5
Vietnam,VNM,1997,70.6
Vietnam,VNM,2000,68.3
Vietnam,VNM,2002,86.4
Vietnam,VNM,2006,90.8
Vietnam,VNM,2011,93.7
Vietnam,VNM,2014,95.8
World,OWID_WRL,2000,69.030057125284
World,OWID_WRL,2013,84.5921490026321
Yemen,YEM,1992,25.8
Yemen,YEM,1997,34.3
Yemen,YEM,2003,41.4
Yemen,YEM,2006,47
Yemen,YEM,2013,59.8
Zambia,ZMB,1992,92.4
Zambia,ZMB,1996,95.6
Zambia,ZMB,1999,83.1
Zambia,ZMB,2002,93.4
Zambia,ZMB,2007,93.7
Zambia,ZMB,2014,95.7
Zimbabwe,ZWE,1988,91.3
Zimbabwe,ZWE,1994,93.1
Zimbabwe,ZWE,1997,88.1
Zimbabwe,ZWE,1999,93.1
Zimbabwe,ZWE,2006,94.2
Zimbabwe,ZWE,2009,88.4
Zimbabwe,ZWE,2011,89.8
Zimbabwe,ZWE,2014,93.7
Zimbabwe,ZWE,2015,93.3
