Entity,Code,Year,"Mortality caused by road traffic injury (per 100,000 people) (per 100,000 people)"
Sub-Saharan Africa,,2010,27.369097751372
Sub-Saharan Africa,,2015,27.2365699467198
Sub-Saharan Africa (IDA & IBRD),,2000,26.834410730719
Sub-Saharan Africa (IDA & IBRD),,2005,27.2670904295702
Sub-Saharan Africa (IDA & IBRD),,2010,27.369097751372
Sub-Saharan Africa (IDA & IBRD),,2015,27.2365699467198
Sub-Saharan Africa (excluding high income),,2000,26.8360240395244
Sub-Saharan Africa (excluding high income),,2005,27.2689365775064
Sub-Saharan Africa (excluding high income),,2010,27.3705165253261
Sub-Saharan Africa (excluding high income),,2015,27.2383660104731
Sudan,SDN,2000,24.6
Sudan,SDN,2005,24.4
Sudan,SDN,2010,24.5
Sudan,SDN,2015,24.6
Suriname,SUR,2000,25.9
Suriname,SUR,2005,26
Suriname,SUR,2010,22.6
Suriname,SUR,2015,18.7
Swaziland,SWZ,2000,23.4
Swaziland,SWZ,2005,23.5
Swaziland,SWZ,2010,25
Swaziland,SWZ,2015,24.9
Sweden,SWE,2000,6.7
Sweden,SWE,2005,5.2
Sweden,SWE,2010,3
Sweden,SWE,2015,2.9
Switzerland,CHE,2000,8.2
Switzerland,CHE,2005,5.4
Switzerland,CHE,2010,4.1
Switzerland,CHE,2015,3.6
Syrian Arab Republic,,2000,20.6
Syrian Arab Republic,,2005,20.8
Syrian Arab Republic,,2010,20.7
Syrian Arab Republic,,2015,19.7
Tajikistan,TJK,2000,19.7
Tajikistan,TJK,2005,19.5
Tajikistan,TJK,2010,18.2
Tajikistan,TJK,2015,17.6
Tanzania,TZA,2000,32.3
Tanzania,TZA,2005,31
Tanzania,TZA,2010,31
Tanzania,TZA,2015,33.4
Thailand,THA,2000,26.5
Thailand,THA,2005,29.8
Thailand,THA,2010,32.7
Thailand,THA,2015,31.7
Timor,TLS,2000,19.3
Timor,TLS,2005,18.5
Timor,TLS,2010,16.9
Timor,TLS,2015,17.6
Togo,TGO,2000,29.2
Togo,TGO,2005,31.5
Togo,TGO,2010,32.2
Togo,TGO,2015,31.9
Tonga,TON,2000,13.4
Tonga,TON,2005,12.9
Tonga,TON,2010,5.3
Tonga,TON,2015,6
Trinidad and Tobago,TTO,2000,13.4
Trinidad and Tobago,TTO,2005,18.7
Trinidad and Tobago,TTO,2010,18.7
Trinidad and Tobago,TTO,2015,13.5
Tunisia,TUN,2000,23.3
Tunisia,TUN,2005,23.1
Tunisia,TUN,2010,23.7
Tunisia,TUN,2015,23
Turkey,TUR,2000,12
Turkey,TUR,2005,9.1
Turkey,TUR,2010,7.3
Turkey,TUR,2015,8.8
Turkmenistan,TKM,2000,18.5
Turkmenistan,TKM,2005,18.9
Turkmenistan,TKM,2010,18.8
Turkmenistan,TKM,2015,17.4
Uganda,UGA,2000,28.6
Uganda,UGA,2005,29.6
Uganda,UGA,2010,29.5
Uganda,UGA,2015,27.3
Ukraine,UKR,2000,13.4
Ukraine,UKR,2005,24.6
Ukraine,UKR,2010,15.1
Ukraine,UKR,2015,9.7
United Arab Emirates,ARE,2000,9.6
United Arab Emirates,ARE,2005,20.6
United Arab Emirates,ARE,2010,11.7
United Arab Emirates,ARE,2015,9.8
United Kingdom,GBR,2000,6.9
United Kingdom,GBR,2005,6.3
United Kingdom,GBR,2010,3.7
United Kingdom,GBR,2015,2.9
United States,USA,2000,15.5
United States,USA,2005,15.4
United States,USA,2010,11.5
United States,USA,2015,10.8
Upper middle income,,2000,20.7577724460008
Upper middle income,,2005,21.1385412491205
Upper middle income,,2010,20.583042276921
Upper middle income,,2015,19.5485304886725
Uruguay,URY,2000,16.2
Uruguay,URY,2005,12.3
Uruguay,URY,2010,15.8
Uruguay,URY,2015,17.4
Uzbekistan,UZB,2000,10.3
Uzbekistan,UZB,2005,14.1
Uzbekistan,UZB,2010,12
Uzbekistan,UZB,2015,10.2
Vanuatu,VUT,2000,14.2
Vanuatu,VUT,2005,14.1
Vanuatu,VUT,2010,14.4
Vanuatu,VUT,2015,15.2
Venezuela,VEN,2000,28.7
Venezuela,VEN,2005,28.1
Venezuela,VEN,2010,40.5
Venezuela,VEN,2015,41.7
Vietnam,VNM,2000,23.1
Vietnam,VNM,2005,22.2
Vietnam,VNM,2010,23.5
Vietnam,VNM,2015,24
World,OWID_WRL,2000,18.2494553153367
World,OWID_WRL,2005,18.6086480520935
World,OWID_WRL,2010,18.4907961329673
World,OWID_WRL,2015,18.2623611464741
Yemen,YEM,2000,20.9
Yemen,YEM,2005,21.9
Yemen,YEM,2010,22.4
Yemen,YEM,2015,22.8
Zambia,ZMB,2000,27
Zambia,ZMB,2005,26.7
Zambia,ZMB,2010,27
Zambia,ZMB,2015,24.7
Zimbabwe,ZWE,2000,37.7
Zimbabwe,ZWE,2005,40
Zimbabwe,ZWE,2010,42.4
Zimbabwe,ZWE,2015,45.4
