Entity,Code,Year,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%) (%)"
Other small states,,2015,18.6225605435353
Other small states,,2016,18.4524753403645
Pacific island small states,,2000,32.70691480817
Pacific island small states,,2005,31.341174734008
Pacific island small states,,2010,28.9749567334742
Pacific island small states,,2015,27.2447207548403
Pacific island small states,,2016,26.9087973997319
Pakistan,PAK,2000,26.7
Pakistan,PAK,2005,26.7
Pakistan,PAK,2010,25.6
Pakistan,PAK,2015,24.8
Pakistan,PAK,2016,24.7
Panama,PAN,2000,15
Panama,PAN,2005,14.6
Panama,PAN,2010,13.4
Panama,PAN,2015,13.2
Panama,PAN,2016,13
Papua New Guinea,PNG,2000,31.2
Papua New Guinea,PNG,2005,29.3
Papua New Guinea,PNG,2010,28.2
Papua New Guinea,PNG,2015,29.9
Papua New Guinea,PNG,2016,30
Paraguay,PRY,2000,21.2
Paraguay,PRY,2005,19.8
Paraguay,PRY,2010,18.6
Paraguay,PRY,2015,17.7
Paraguay,PRY,2016,17.5
Peru,PER,2000,15.3
Peru,PER,2005,14
Peru,PER,2010,13.6
Peru,PER,2015,12.8
Peru,PER,2016,12.6
Philippines,PHL,2000,26.8
Philippines,PHL,2005,28.4
Philippines,PHL,2010,27.6
Philippines,PHL,2015,26.9
Philippines,PHL,2016,26.8
Poland,POL,2000,24.8
Poland,POL,2005,22.3
Poland,POL,2010,20.4
Poland,POL,2015,19.3
Poland,POL,2016,18.7
Portugal,PRT,2000,15.7
Portugal,PRT,2005,13.8
Portugal,PRT,2010,12.1
Portugal,PRT,2015,11.2
Portugal,PRT,2016,11.1
Post-demographic dividend,,2000,16.9069869201228
Post-demographic dividend,,2005,15.2089455202501
Post-demographic dividend,,2010,13.5052552913866
Post-demographic dividend,,2015,12.5819445799899
Post-demographic dividend,,2016,12.4312629224323
Pre-demographic dividend,,2000,24.5711323036817
Pre-demographic dividend,,2005,23.5148526532512
Pre-demographic dividend,,2010,22.0225294513157
Pre-demographic dividend,,2015,21.32801987364
Pre-demographic dividend,,2016,21.2604207149286
Qatar,QAT,2000,18.3
Qatar,QAT,2005,16.7
Qatar,QAT,2010,16.4
Qatar,QAT,2015,15.4
Qatar,QAT,2016,15.3
Romania,ROU,2000,26.4
Romania,ROU,2005,25.4
Romania,ROU,2010,23.4
Romania,ROU,2015,21.5
Romania,ROU,2016,21.4
Russia,RUS,2000,37
Russia,RUS,2005,37.1
Russia,RUS,2010,30.4
Russia,RUS,2015,25.9
Russia,RUS,2016,25.4
Rwanda,RWA,2000,30.1
Rwanda,RWA,2005,22.4
Rwanda,RWA,2010,19.2
Rwanda,RWA,2015,18.3
Rwanda,RWA,2016,18.2
Saint Lucia,LCA,2000,24.9
Saint Lucia,LCA,2005,24.8
Saint Lucia,LCA,2010,19.4
Saint Lucia,LCA,2015,19
Saint Lucia,LCA,2016,18.8
Saint Vincent and the Grenadines,VCT,2000,24.6
Saint Vincent and the Grenadines,VCT,2005,22.8
Saint Vincent and the Grenadines,VCT,2010,21.4
Saint Vincent and the Grenadines,VCT,2015,22.3
Saint Vincent and the Grenadines,VCT,2016,23.2
Samoa,WSM,2000,29.5
Samoa,WSM,2005,26.7
Samoa,WSM,2010,23.4
Samoa,WSM,2015,20.9
Samoa,WSM,2016,20.6
Sao Tome and Principe,STP,2000,19.8
Sao Tome and Principe,STP,2005,19
Sao Tome and Principe,STP,2010,18.6
Sao Tome and Principe,STP,2015,18.6
Sao Tome and Principe,STP,2016,18.5
Saudi Arabia,SAU,2000,18.9
Saudi Arabia,SAU,2005,18.4
Saudi Arabia,SAU,2010,17.9
Saudi Arabia,SAU,2015,16.5
Saudi Arabia,SAU,2016,16.4
Senegal,SEN,2000,21.3
Senegal,SEN,2005,21.9
Senegal,SEN,2010,20
Senegal,SEN,2015,18.4
Senegal,SEN,2016,18.1
Serbia,SRB,2000,28.5
Serbia,SRB,2005,26.1
Serbia,SRB,2010,22.5
Serbia,SRB,2015,20.1
Serbia,SRB,2016,19.1
Seychelles,SYC,2000,24.1
Seychelles,SYC,2005,23.4
Seychelles,SYC,2010,22.8
Seychelles,SYC,2015,21.3
Seychelles,SYC,2016,21.2
Sierra Leone,SLE,2000,36.7
Sierra Leone,SLE,2005,33.9
Sierra Leone,SLE,2010,31.8
Sierra Leone,SLE,2015,30
Sierra Leone,SLE,2016,30.5
Singapore,SGP,2000,16.8
Singapore,SGP,2005,13.3
Singapore,SGP,2010,11.3
Singapore,SGP,2015,10
Singapore,SGP,2016,9.3
Slovakia,SVK,2000,25.3
Slovakia,SVK,2005,22.9
Slovakia,SVK,2010,20.4
Slovakia,SVK,2015,17.7
Slovakia,SVK,2016,17.2
Slovenia,SVN,2000,18.5
Slovenia,SVN,2005,16.1
Slovenia,SVN,2010,13.5
Slovenia,SVN,2015,13.1
Slovenia,SVN,2016,12.7
Small states,,2000,24.181223568877
Small states,,2005,22.3580413688871
Small states,,2010,20.428828168077
Small states,,2015,19.2179080245213
Small states,,2016,19.0427393349315
Solomon Islands,SLB,2000,31.2
Solomon Islands,SLB,2005,28.5
Solomon Islands,SLB,2010,25.8
Solomon Islands,SLB,2015,24.4
Solomon Islands,SLB,2016,23.8
Somalia,SOM,2000,24.1
Somalia,SOM,2005,23.9
Somalia,SOM,2010,21.6
Somalia,SOM,2015,21.9
Somalia,SOM,2016,21.8
South Africa,ZAF,2000,29.4
South Africa,ZAF,2005,28.7
South Africa,ZAF,2010,28.2
South Africa,ZAF,2015,26.6
South Africa,ZAF,2016,26.2
South Asia,,2000,26.1602101632787
South Asia,,2005,24.9429869784767
South Asia,,2010,24.1246450134351
South Asia,,2015,23.4274688021633
South Asia,,2016,23.2477444304661
South Asia (IDA & IBRD),,2000,26.1602101632787
South Asia (IDA & IBRD),,2005,24.9429869784767
South Asia (IDA & IBRD),,2010,24.1246450134351
South Asia (IDA & IBRD),,2015,23.4274688021633
South Asia (IDA & IBRD),,2016,23.2477444304661
South Korea,KOR,2000,16.5
South Korea,KOR,2005,13.5
South Korea,KOR,2010,10.6
South Korea,KOR,2015,8.3
South Korea,KOR,2016,7.8
South Sudan,SSD,2000,23.8
South Sudan,SSD,2005,22.3
South Sudan,SSD,2010,20.3
South Sudan,SSD,2015,19.6
South Sudan,SSD,2016,19.8
Spain,ESP,2000,13.5
Spain,ESP,2005,12.2
Spain,ESP,2010,10.7
Spain,ESP,2015,10.1
Spain,ESP,2016,9.9
Sri Lanka,LKA,2000,21.5
Sri Lanka,LKA,2005,17.9
Sri Lanka,LKA,2010,17.6
Sri Lanka,LKA,2015,17.6
Sri Lanka,LKA,2016,17.4
Sub-Saharan Africa,,2000,24.4016768092877
Sub-Saharan Africa,,2005,23.254126789558
Sub-Saharan Africa,,2010,21.8315240050168
Sub-Saharan Africa,,2015,21.1094308214279
Sub-Saharan Africa,,2016,21.0088602124393
Sub-Saharan Africa (IDA & IBRD),,2000,24.4016768092877
Sub-Saharan Africa (IDA & IBRD),,2005,23.254126789558
Sub-Saharan Africa (IDA & IBRD),,2010,21.8315240050168
Sub-Saharan Africa (IDA & IBRD),,2015,21.1094308214279
Sub-Saharan Africa (IDA & IBRD),,2016,21.0088602124393
Sub-Saharan Africa (excluding high income),,2000,24.4017294824762
Sub-Saharan Africa (excluding high income),,2005,23.2541012236295
Sub-Saharan Africa (excluding high income),,2010,21.8313511416942
Sub-Saharan Africa (excluding high income),,2015,21.1093976426052
Sub-Saharan Africa (excluding high income),,2016,21.0088273804312
Sudan,SDN,2000,29.8
Sudan,SDN,2005,28.8
Sudan,SDN,2010,26.8
Sudan,SDN,2015,26
Sudan,SDN,2016,26
Suriname,SUR,2000,28
Suriname,SUR,2005,25.1
Suriname,SUR,2010,23
Suriname,SUR,2015,21.8
Suriname,SUR,2016,21.7
Swaziland,SWZ,2000,27.2
Swaziland,SWZ,2005,27.3
Swaziland,SWZ,2010,26.6
Swaziland,SWZ,2015,26.6
Swaziland,SWZ,2016,26.7
Sweden,SWE,2000,13.2
Sweden,SWE,2005,11.8
Sweden,SWE,2010,10.4
Sweden,SWE,2015,9.3
Sweden,SWE,2016,9.1
Switzerland,CHE,2000,12.6
Switzerland,CHE,2005,10.9
Switzerland,CHE,2010,9.7
Switzerland,CHE,2015,8.7
Switzerland,CHE,2016,8.6
Syrian Arab Republic,,2000,22.6
Syrian Arab Republic,,2005,22.2
Syrian Arab Republic,,2010,22.1
Syrian Arab Republic,,2015,21.8
Syrian Arab Republic,,2016,21.8
Tajikistan,TJK,2000,27.3
Tajikistan,TJK,2005,27.3
Tajikistan,TJK,2010,26.1
Tajikistan,TJK,2015,25.4
Tajikistan,TJK,2016,25.3
Tanzania,TZA,2000,21.2
Tanzania,TZA,2005,18.8
Tanzania,TZA,2010,17.9
Tanzania,TZA,2015,17.9
Tanzania,TZA,2016,17.9
Thailand,THA,2000,19.2
Thailand,THA,2005,17.7
Thailand,THA,2010,15.8
Thailand,THA,2015,14.6
Thailand,THA,2016,14.5
Timor,TLS,2000,26.8
Timor,TLS,2005,24.3
Timor,TLS,2010,23.2
Timor,TLS,2015,19.9
Timor,TLS,2016,19.9
Togo,TGO,2000,24.9
Togo,TGO,2005,25.2
Togo,TGO,2010,24.4
Togo,TGO,2015,23.5
Togo,TGO,2016,23.6
Tonga,TON,2000,26.1
Tonga,TON,2005,25.3
Tonga,TON,2010,24.7
Tonga,TON,2015,23.5
Tonga,TON,2016,23.3
Trinidad and Tobago,TTO,2000,28.9
Trinidad and Tobago,TTO,2005,26.4
Trinidad and Tobago,TTO,2010,23.6
Trinidad and Tobago,TTO,2015,21.5
Trinidad and Tobago,TTO,2016,21.3
Tunisia,TUN,2000,19.3
Tunisia,TUN,2005,18.2
Tunisia,TUN,2010,17.5
Tunisia,TUN,2015,16.4
Tunisia,TUN,2016,16.1
Turkey,TUR,2000,22.3
Turkey,TUR,2005,20.2
Turkey,TUR,2010,18.2
Turkey,TUR,2015,16.4
Turkey,TUR,2016,16.1
Turkmenistan,TKM,2000,34
Turkmenistan,TKM,2005,35.6
Turkmenistan,TKM,2010,31
Turkmenistan,TKM,2015,30.6
Turkmenistan,TKM,2016,29.5
Uganda,UGA,2000,25.9
Uganda,UGA,2005,24.8
Uganda,UGA,2010,22.7
Uganda,UGA,2015,21.9
Uganda,UGA,2016,21.9
Ukraine,UKR,2000,34.3
Ukraine,UKR,2005,35.6
Ukraine,UKR,2010,29.3
Ukraine,UKR,2015,25.9
Ukraine,UKR,2016,24.7
United Arab Emirates,ARE,2000,21.6
United Arab Emirates,ARE,2005,18.9
United Arab Emirates,ARE,2010,18.1
United Arab Emirates,ARE,2015,17
United Arab Emirates,ARE,2016,16.8
United Kingdom,GBR,2000,16.4
United Kingdom,GBR,2005,14.2
United Kingdom,GBR,2010,12.2
United Kingdom,GBR,2015,11.2
United Kingdom,GBR,2016,10.9
United States,USA,2000,18
United States,USA,2005,16
United States,USA,2010,14.5
United States,USA,2015,14.3
United States,USA,2016,14.6
Upper middle income,,2000,23.0896788830736
Upper middle income,,2005,20.8487978810771
Upper middle income,,2010,19.1993259366431
Upper middle income,,2015,17.943938194603
Upper middle income,,2016,17.5703962252418
Uruguay,URY,2000,20.6
Uruguay,URY,2005,19.1
Uruguay,URY,2010,17.7
Uruguay,URY,2015,17.1
Uruguay,URY,2016,16.7
Uzbekistan,UZB,2000,29.3
Uzbekistan,UZB,2005,29.9
Uzbekistan,UZB,2010,26.5
Uzbekistan,UZB,2015,24.8
Uzbekistan,UZB,2016,24.5
Vanuatu,VUT,2000,27.9
Vanuatu,VUT,2005,25.6
Vanuatu,VUT,2010,24.9
Vanuatu,VUT,2015,23.7
Vanuatu,VUT,2016,23.3
Venezuela,VEN,2000,21.6
Venezuela,VEN,2005,19.4
Venezuela,VEN,2010,18.4
Venezuela,VEN,2015,18.2
Venezuela,VEN,2016,18.1
Vietnam,VNM,2000,18.6
Vietnam,VNM,2005,18.4
Vietnam,VNM,2010,18
Vietnam,VNM,2015,17.3
Vietnam,VNM,2016,17.1
World,OWID_WRL,2000,22.535878502242
World,OWID_WRL,2005,21.0279117663406
World,OWID_WRL,2010,19.7976163265376
World,OWID_WRL,2015,18.9859104499141
World,OWID_WRL,2016,18.7670002064012
Yemen,YEM,2000,33.1
Yemen,YEM,2005,32.6
Yemen,YEM,2010,31.9
Yemen,YEM,2015,30.7
Yemen,YEM,2016,30.6
Zambia,ZMB,2000,23.2
Zambia,ZMB,2005,21.1
Zambia,ZMB,2010,19.9
Zambia,ZMB,2015,18
Zambia,ZMB,2016,17.9
Zimbabwe,ZWE,2000,21.6
Zimbabwe,ZWE,2005,22.5
Zimbabwe,ZWE,2010,21.1
Zimbabwe,ZWE,2015,19.4
Zimbabwe,ZWE,2016,19.3
